Block Type,96well,,,,,,,,,,,,,,,,
Chemistry,TAQMAN,,,,,,,,,,,,,,,,
Experiment File Name,Z:\Scott_Creek\qpcr\chloe temp\20201001_Scott_Creek_Omykiss_P1.eds,,,,,,,,,,,,,,,,
Experiment Run End Time,Not Started,,,,,,,,,,,,,,,,
Instrument Type,steponeplus,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Well,Sample Name,Target Name,Task,Reporter,Quencher,Cт,Cт Mean,Cт SD,Quantity,Quantity Mean,Quantity SD,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Comments
A1,,O.mykiss,STANDARD,FAM,NFQ-MGB,18.26003075,17.78978729,0.410837322,1000000,,,FALSE,0.1,TRUE,3,15,
A2,,O.mykiss,STANDARD,FAM,NFQ-MGB,17.60889816,17.78978729,0.410837322,1000000,,,FALSE,0.1,TRUE,3,15,
A3,,O.mykiss,STANDARD,FAM,NFQ-MGB,17.50043488,17.78978729,0.410837322,1000000,,,FALSE,0.1,TRUE,3,15,
A4,SCr-275,O.mykiss,UNKNOWN,FAM,NFQ-MGB,28.4405117,28.37815285,0.060778793,617.7267456,644.057312,25.81857872,FALSE,0.1,TRUE,3,27,
A5,SCr-275,O.mykiss,UNKNOWN,FAM,NFQ-MGB,28.31908798,28.37815285,0.060778793,669.3314819,644.057312,25.81857872,FALSE,0.1,TRUE,3,26,
A6,SCr-275,O.mykiss,UNKNOWN,FAM,NFQ-MGB,28.37486076,28.37815285,0.060778793,645.1135864,644.057312,25.81857872,FALSE,0.1,TRUE,3,25,
A7,SCr-275-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,30.93272209,30.98327065,0.174234882,119.0172577,115.6089706,12.98086834,FALSE,0.1,TRUE,3,28,
A8,SCr-275-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,31.17719078,30.98327065,0.174234882,101.2639923,115.6089706,12.98086834,FALSE,0.1,TRUE,3,29,
A9,SCr-275-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,30.83989906,30.98327065,0.174234882,126.5456543,115.6089706,12.98086834,FALSE,0.1,TRUE,3,28,
A10,SCr-283,O.mykiss,UNKNOWN,FAM,NFQ-MGB,28.14531326,28.25892067,0.36227262,750.7738647,709.3925171,159.9812622,FALSE,0.1,TRUE,3,25,
A11,SCr-283,O.mykiss,UNKNOWN,FAM,NFQ-MGB,27.96706772,28.25892067,0.36227262,844.6174316,709.3925171,159.9812622,FALSE,0.1,TRUE,3,25,
A12,SCr-283,O.mykiss,UNKNOWN,FAM,NFQ-MGB,28.66438103,28.25892067,0.36227262,532.7861328,709.3925171,159.9812622,FALSE,0.1,TRUE,3,26,
B1,,O.mykiss,STANDARD,FAM,NFQ-MGB,20.75371552,20.80235863,0.066552304,100000,,,FALSE,0.1,TRUE,3,18,
B2,,O.mykiss,STANDARD,FAM,NFQ-MGB,20.77515602,20.80235863,0.066552304,100000,,,FALSE,0.1,TRUE,3,18,
B3,,O.mykiss,STANDARD,FAM,NFQ-MGB,20.87820244,20.80235863,0.066552304,100000,,,FALSE,0.1,TRUE,3,18,
B4,SCr-276,O.mykiss,UNKNOWN,FAM,NFQ-MGB,28.5147171,28.38912773,0.131124958,588.1685181,640.666748,55.74133682,FALSE,0.1,TRUE,3,25,
B5,SCr-276,O.mykiss,UNKNOWN,FAM,NFQ-MGB,28.39957047,28.38912773,0.131124958,634.6660767,640.666748,55.74133682,FALSE,0.1,TRUE,3,26,
B6,SCr-276,O.mykiss,UNKNOWN,FAM,NFQ-MGB,28.25309181,28.38912773,0.131124958,699.1656494,640.666748,55.74133682,FALSE,0.1,TRUE,3,25,
B7,SCr-276-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,30.27522469,30.74131012,0.551641881,183.7769928,140.8457489,47.19206619,FALSE,0.1,TRUE,3,28,
B8,SCr-276-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,31.35036087,30.74131012,0.551641881,90.31515503,140.8457489,47.19206619,FALSE,0.1,TRUE,3,29,
B9,SCr-276-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,30.5983448,30.74131012,0.551641881,148.4450684,140.8457489,47.19206619,FALSE,0.1,TRUE,3,28,
B10,SCr-283-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,30.91794777,30.67178535,0.300412357,120.184845,143.3265533,29.4097271,FALSE,0.1,TRUE,3,29,
B11,SCr-283-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,30.33704376,30.67178535,0.300412357,176.4212952,143.3265533,29.4097271,FALSE,0.1,TRUE,3,28,
B12,SCr-283-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,30.76037025,30.67178535,0.300412357,133.3734894,143.3265533,29.4097271,FALSE,0.1,TRUE,3,29,
C1,,O.mykiss,STANDARD,FAM,NFQ-MGB,23.44345093,23.44314575,0.330479741,10000,,,FALSE,0.1,TRUE,3,21,
C2,,O.mykiss,STANDARD,FAM,NFQ-MGB,23.1125145,23.44314575,0.330479741,10000,,,FALSE,0.1,TRUE,3,20,
C3,,O.mykiss,STANDARD,FAM,NFQ-MGB,23.77347374,23.44314575,0.330479741,10000,,,FALSE,0.1,TRUE,3,21,
C4,SCr-277,O.mykiss,UNKNOWN,FAM,NFQ-MGB,28.39172554,28.19299126,0.17411083,637.9645386,730.6399536,81.38858032,FALSE,0.1,TRUE,3,25,
C5,SCr-277,O.mykiss,UNKNOWN,FAM,NFQ-MGB,28.0673027,28.19299126,0.17411083,790.4888306,730.6399536,81.38858032,FALSE,0.1,TRUE,3,25,
