Block Type,96well,,,,,,,,,,,,,,,,,,
Chemistry,TAQMAN,,,,,,,,,,,,,,,,,,
Experiment File Name,Z:\Scott_Creek\qpcr\chloe temp\20201008_Scott_Creek_Omykiss_P1.eds,,,,,,,,,,,,,,,,,,
Experiment Run End Time,2020-10-08 12:22:25 PM PDT,,,,,,,,,,,,,,,,,,
Instrument Type,steponeplus,,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Well,Sample Name,Target Name,Task,Reporter,Quencher,Cт,Cт Mean,Cт SD,Quantity,Quantity Mean,Quantity SD,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Comments,HIGHSD,EXPFAIL
A1,,O.mykiss,STANDARD,FAM,NFQ-MGB,19.5056057,19.23973656,0.260879129,1000000,,,FALSE,0.1,TRUE,3,15,,N,N
A2,,O.mykiss,STANDARD,FAM,NFQ-MGB,19.22944641,19.23973656,0.260879129,1000000,,,FALSE,0.1,TRUE,3,15,,N,N
A3,,O.mykiss,STANDARD,FAM,NFQ-MGB,18.98415184,19.23973656,0.260879129,1000000,,,FALSE,0.1,TRUE,3,15,,N,N
A4,SCr-297,O.mykiss,UNKNOWN,FAM,NFQ-MGB,29.36869049,29.2995739,0.16070123,1628.673828,1705.713257,174.1147308,FALSE,0.1,TRUE,3,26,,N,N
A5,SCr-297,O.mykiss,UNKNOWN,FAM,NFQ-MGB,29.11587715,29.2995739,0.16070123,1905.057739,1705.713257,174.1147308,FALSE,0.1,TRUE,3,25,,N,N
A6,SCr-297,O.mykiss,UNKNOWN,FAM,NFQ-MGB,29.41415215,29.2995739,0.16070123,1583.407959,1705.713257,174.1147308,FALSE,0.1,TRUE,3,26,,N,N
A7,SCr-297-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,30.83630562,30.89641571,0.164533451,655.6246338,633.7976074,62.99306107,FALSE,0.1,TRUE,3,28,,N,N
A8,SCr-297-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,31.08255196,30.89641571,0.164533451,562.7940674,633.7976074,62.99306107,FALSE,0.1,TRUE,3,27,,N,N
A9,SCr-297-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,30.77038956,30.89641571,0.164533451,682.9741211,633.7976074,62.99306107,FALSE,0.1,TRUE,3,27,,N,N
A10,SCr-305,O.mykiss,UNKNOWN,FAM,NFQ-MGB,30.23628044,30.19139862,0.204593733,951.0900879,983.2496948,126.9102783,FALSE,0.1,TRUE,3,26,,N,N
A11,SCr-305,O.mykiss,UNKNOWN,FAM,NFQ-MGB,29.96809006,30.19139862,0.204593733,1123.145996,983.2496948,126.9102783,FALSE,0.1,TRUE,3,27,,N,N
