Block Type,96well,,,,,,,,,,,,,,,,,,,
Chemistry,TAQMAN,,,,,,,,,,,,,,,,,,,
Experiment File Name,Z:\Scott_Creek\qpcr\chloe temp\20201021_Scott_Creek_Omykiss_P1.eds,,,,,,,,,,,,,,,,,,,
Experiment Run End Time,Not Started,,,,,,,,,,,,,,,,,,,
Instrument Type,steponeplus,,,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Well,Sample Name,Target Name,Task,Reporter,Quencher,Cт,Cт Mean,Cт SD,Quantity,Quantity Mean,Quantity SD,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Comments,HIGHSD,OUTLIERRG,EXPFAIL
A1,,O.mykiss,STANDARD,FAM,NFQ-MGB,19.11454773,18.81272125,0.26146543,1000000,,,FALSE,0.1,TRUE,3,15,,N,Y,N
A2,,O.mykiss,STANDARD,FAM,NFQ-MGB,18.66811371,18.81272125,0.26146543,1000000,,,FALSE,0.1,TRUE,3,15,,N,N,N
A3,,O.mykiss,STANDARD,FAM,NFQ-MGB,18.65550232,18.81272125,0.26146543,1000000,,,FALSE,0.1,TRUE,3,15,,N,N,N
A4,SCr-186,O.mykiss,UNKNOWN,FAM,NFQ-MGB,30.82568741,30.81054688,0.131950155,331.1213684,335.4405518,30.23550415,FALSE,0.1,TRUE,3,28,,N,N,N
A5,SCr-186,O.mykiss,UNKNOWN,FAM,NFQ-MGB,30.93427467,30.81054688,0.131950155,307.5969238,335.4405518,30.23550415,FALSE,0.1,TRUE,3,26,,N,N,N
A6,SCr-186,O.mykiss,UNKNOWN,FAM,NFQ-MGB,30.67168045,30.81054688,0.131950155,367.6033936,335.4405518,30.23550415,FALSE,0.1,TRUE,3,26,,N,N,N
A7,SCr-186-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,32.8981781,32.98917007,0.111059546,81.12179565,76.40674591,5.666760921,FALSE,0.1,TRUE,3,29,,N,N,N
A8,SCr-186-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,33.11292648,32.98917007,0.111059546,70.12004852,76.40674591,5.666760921,FALSE,0.1,TRUE,3,29,,N,N,N
A9,SCr-186-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,32.95640945,32.98917007,0.111059546,77.97840118,76.40674591,5.666760921,FALSE,0.1,TRUE,3,29,,N,N,N
A10,SCr-364,O.mykiss,UNKNOWN,FAM,NFQ-MGB,31.16996765,31.27289009,0.586100996,262.1280212,257.0638123,95.31241608,FALSE,0.1,TRUE,3,27,,Y,N,N
