Block Type,96well,,,,,,,,,,,,,,,,,,,,
Chemistry,TAQMAN,,,,,,,,,,,,,,,,,,,,
Experiment File Name,C:\Users\kyamahara\Desktop\S1P_data\Scott_Creek_EDS\20201027_Scott_Creek_Omykiss_Kevan_P2.eds,,,,,,,,,,,,,,,,,,,,
Experiment Run End Time,2020-10-27 17:05:14 PM PDT,,,,,,,,,,,,,,,,,,,,
Instrument Type,steponeplus,,,,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Well,Sample Name,Target Name,Task,Reporter,Quencher,Cт,Cт Mean,Cт SD,Quantity,Quantity Mean,Quantity SD,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Comments,HIGHSD,NOAMP,OUTLIERRG,EXPFAIL
A1,,O.mykiss,STANDARD,FAM,NFQ-MGB,19.53567886,19.23402405,0.265706778,1000000,,,FALSE,0.1,TRUE,3,16,,N,N,N,N
A2,,O.mykiss,STANDARD,FAM,NFQ-MGB,19.03468513,19.23402405,0.265706778,1000000,,,FALSE,0.1,TRUE,3,15,,N,N,N,N
A3,,O.mykiss,STANDARD,FAM,NFQ-MGB,19.13170815,19.23402405,0.265706778,1000000,,,FALSE,0.1,TRUE,3,15,,N,N,N,N
A4,SCr-528,O.mykiss,UNKNOWN,FAM,NFQ-MGB,30.2681675,30.42344666,0.137699276,625.4050903,566.7731934,51.82496643,FALSE,0.1,TRUE,3,27,,N,N,N,N
A5,SCr-528,O.mykiss,UNKNOWN,FAM,NFQ-MGB,30.47146225,30.42344666,0.137699276,547.8278809,566.7731934,51.82496643,FALSE,0.1,TRUE,3,26,,N,N,N,N
A6,SCr-528,O.mykiss,UNKNOWN,FAM,NFQ-MGB,30.53070831,30.42344666,0.137699276,527.0865479,566.7731934,51.82496643,FALSE,0.1,TRUE,3,27,,N,N,N,N
A7,SCr-528-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,32.24862671,32.34088135,0.143474564,172.1230774,162.5471954,14.77084923,FALSE,0.1,TRUE,3,29,,N,N,N,N
A8,SCr-528-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,32.26783752,32.34088135,0.143474564,169.9823608,162.5471954,14.77084923,FALSE,0.1,TRUE,3,28,,N,N,N,N
A9,SCr-528-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,32.50617981,32.34088135,0.143474564,145.5361176,162.5471954,14.77084923,FALSE,0.1,TRUE,3,29,,N,N,N,N
A10,SCr-559,O.mykiss,UNKNOWN,FAM,NFQ-MGB,35.19429398,34.59880447,0.516095102,25.26008797,38.55686951,11.53046894,FALSE,0.1,TRUE,3,32,,Y,N,N,N
