Block Type,96well,,,,,,,,,,,,,,,,
Chemistry,TAQMAN,,,,,,,,,,,,,,,,
Experiment File Name,Z:\S1P_data\eds_files\20201105_Scott_Creek_Omykiss_Chloe_P1.eds,,,,,,,,,,,,,,,,
Experiment Run End Time,2020-11-05 14:44:58 PM PST,,,,,,,,,,,,,,,,
Instrument Type,steponeplus,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Well,Sample Name,Target Name,Task,Reporter,Quencher,Cт,Cт Mean,Cт SD,Quantity,Quantity Mean,Quantity SD,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Comments
A1,,O.mykiss,STANDARD,FAM,NFQ-MGB,18.97083855,18.24497223,0.639784634,1000000,,,FALSE,0.1,TRUE,3,16,
A2,,O.mykiss,STANDARD,FAM,NFQ-MGB,18.00105095,18.24497223,0.639784634,1000000,,,FALSE,0.1,TRUE,3,15,
A3,,O.mykiss,STANDARD,FAM,NFQ-MGB,17.7630291,18.24497223,0.639784634,1000000,,,FALSE,0.1,TRUE,3,16,
A4,SCr-84,O.mykiss,UNKNOWN,FAM,NFQ-MGB,29.40396309,29.60288811,0.251496166,848.9971313,753.5881348,116.8527374,FALSE,0.1,TRUE,3,26,
A5,SCr-84,O.mykiss,UNKNOWN,FAM,NFQ-MGB,29.51912117,29.60288811,0.251496166,788.5118408,753.5881348,116.8527374,FALSE,0.1,TRUE,3,27,
A6,SCr-84,O.mykiss,UNKNOWN,FAM,NFQ-MGB,29.88557625,29.60288811,0.251496166,623.2555542,753.5881348,116.8527374,FALSE,0.1,TRUE,3,27,
A7,SCr-84-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,31.31695175,31.68505859,0.319919258,248.7131195,199.255127,42.93753815,FALSE,0.1,TRUE,3,28,
A8,SCr-84-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,31.89598656,31.68505859,0.319919258,171.5158539,199.255127,42.93753815,FALSE,0.1,TRUE,3,29,
A9,SCr-84-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,31.84223175,31.68505859,0.319919258,177.536377,199.255127,42.93753815,FALSE,0.1,TRUE,3,29,
A10,SCr-119,O.mykiss,UNKNOWN,FAM,NFQ-MGB,35.26316071,35.52800751,0.400829166,19.75929642,17.02263832,4.02598238,FALSE,0.1,TRUE,3,32,
