Block Type,96well,,,,,,,,,,,,,,,,,,,
Chemistry,TAQMAN,,,,,,,,,,,,,,,,,,,
Experiment File Name,Y:\old_structure\Scott_Creek\qpcr\S1P_data\eds_files\20201123_Scott_Creek_Okisutch_Chloe_P1.eds,,,,,,,,,,,,,,,,,,,
Experiment Run End Time,2020-11-23 14:51:22 PM PST,,,,,,,,,,,,,,,,,,,
Instrument Type,steponeplus,,,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Well,Sample Name,Target Name,Task,Reporter,Quencher,Cт,Cт Mean,Cт SD,Quantity,Quantity Mean,Quantity SD,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Comments,HIGHSD,NOAMP,EXPFAIL
A1,,O.kisutch,STANDARD,FAM,NFQ-MGB,19.42686462,19.40207863,0.040514268,1000000,,,FALSE,0.1,TRUE,3,15,,N,N,N
A2,,O.kisutch,STANDARD,FAM,NFQ-MGB,19.42404747,19.40207863,0.040514268,1000000,,,FALSE,0.1,TRUE,3,15,,N,N,N
A3,,O.kisutch,STANDARD,FAM,NFQ-MGB,19.3553257,19.40207863,0.040514268,1000000,,,FALSE,0.1,TRUE,3,15,,N,N,N
A4,SCr-050,O.kisutch,UNKNOWN,FAM,NFQ-MGB,38.195755,36.66631699,1.348014951,3.870177984,13.16543579,8.562005997,FALSE,0.1,TRUE,3,33,,Y,N,N
A5,SCr-050,O.kisutch,UNKNOWN,FAM,NFQ-MGB,35.65108109,36.66631699,1.348014951,20.72966957,13.16543579,8.562005997,FALSE,0.1,TRUE,3,31,,Y,N,N
A6,SCr-050,O.kisutch,UNKNOWN,FAM,NFQ-MGB,36.15211487,36.66631699,1.348014951,14.89646149,13.16543579,8.562005997,FALSE,0.1,TRUE,3,32,,Y,N,N
A7,SCr-050-1:5,O.kisutch,UNKNOWN,FAM,NFQ-MGB,38.46875,37.96292496,0.574694037,3.232496023,4.739422321,1.857076883,FALSE,0.1,TRUE,3,34,,Y,N,N
A8,SCr-050-1:5,O.kisutch,UNKNOWN,FAM,NFQ-MGB,37.33802032,37.96292496,0.574694037,6.81410265,4.739422321,1.857076883,FALSE,0.1,TRUE,3,33,,Y,N,N
A9,SCr-050-1:5,O.kisutch,UNKNOWN,FAM,NFQ-MGB,38.08201218,37.96292496,0.574694037,4.171669006,4.739422321,1.857076883,FALSE,0.1,TRUE,3,34,,Y,N,N
A10,SCr-EB06,O.kisutch,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,Y,Y
