Block Type,96well,,,,,,,,,,,,,,,,,,,,
Chemistry,TAQMAN,,,,,,,,,,,,,,,,,,,,
Experiment File Name,\\atlas.shore.mbari.org\ESP\Scott_Creek\qpcr\S1P_data\eds_files\20201124_Scott_Creek_Okisutch_Chloe_P1.eds,,,,,,,,,,,,,,,,,,,,
Experiment Run End Time,Not Started,,,,,,,,,,,,,,,,,,,,
Instrument Type,steponeplus,,,,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Well,Sample Name,Target Name,Task,Reporter,Quencher,Cт,Cт Mean,Cт SD,Quantity,Quantity Mean,Quantity SD,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Comments,HIGHSD,NOAMP,OUTLIERRG,EXPFAIL
A1,,O.kisutch,STANDARD,FAM,NFQ-MGB,19.92171288,19.88001442,0.07176128,1000000,,,FALSE,0.1,TRUE,3,16,,N,N,N,N
A2,,O.kisutch,STANDARD,FAM,NFQ-MGB,19.92118073,19.88001442,0.07176128,1000000,,,FALSE,0.1,TRUE,3,15,,N,N,N,N
A3,,O.kisutch,STANDARD,FAM,NFQ-MGB,19.79715347,19.88001442,0.07176128,1000000,,,FALSE,0.1,TRUE,3,15,,N,N,N,N
A4,SCr-246,O.kisutch,UNKNOWN,FAM,NFQ-MGB,36.76132965,36.52051163,0.27747032,12.00565052,14.29110241,2.740259409,FALSE,0.1,TRUE,3,32,,N,N,N,N
A5,SCr-246,O.kisutch,UNKNOWN,FAM,NFQ-MGB,36.58311844,36.52051163,0.27747032,13.53868961,14.29110241,2.740259409,FALSE,0.1,TRUE,3,32,,N,N,N,N
A6,SCr-246,O.kisutch,UNKNOWN,FAM,NFQ-MGB,36.21708679,36.52051163,0.27747032,17.32896805,14.29110241,2.740259409,FALSE,0.1,TRUE,3,32,,N,N,N,N
A7,SCr-246-1:5,O.kisutch,UNKNOWN,FAM,NFQ-MGB,36.48791885,37.03247452,0.477698863,14.43632984,10.36755848,3.549465179,FALSE,0.1,TRUE,3,32,,N,N,N,N
A8,SCr-246-1:5,O.kisutch,UNKNOWN,FAM,NFQ-MGB,37.38084793,37.03247452,0.477698863,7.905940056,10.36755848,3.549465179,FALSE,0.1,TRUE,3,33,,N,N,N,N
A9,SCr-246-1:5,O.kisutch,UNKNOWN,FAM,NFQ-MGB,37.22865677,37.03247452,0.477698863,8.76040554,10.36755848,3.549465179,FALSE,0.1,TRUE,3,33,,N,N,N,N
A10,SCr-036,O.kisutch,UNKNOWN,FAM,NFQ-MGB,36.95708847,36.66776657,0.252042949,10.52096939,12.90716267,2.082702875,FALSE,0.1,TRUE,3,33,,N,N,N,N
A11,SCr-036,O.kisutch,UNKNOWN,FAM,NFQ-MGB,36.55036926,36.66776657,0.252042949,13.84100246,12.90716267,2.082702875,FALSE,0.1,TRUE,3,33,,N,N,N,N
A12,SCr-036,O.kisutch,UNKNOWN,FAM,NFQ-MGB,36.49583054,36.66776657,0.252042949,14.35951519,12.90716267,2.082702875,FALSE,0.1,TRUE,3,32,,N,N,N,N
B1,,O.kisutch,STANDARD,FAM,NFQ-MGB,23.30834579,23.35806274,0.067695245,100000,,,FALSE,0.1,TRUE,3,19,,N,N,N,N
B2,,O.kisutch,STANDARD,FAM,NFQ-MGB,23.43515778,23.35806274,0.067695245,100000,,,FALSE,0.1,TRUE,3,19,,N,N,N,N
B3,,O.kisutch,STANDARD,FAM,NFQ-MGB,23.33067894,23.35806274,0.067695245,100000,,,FALSE,0.1,TRUE,3,19,,N,N,N,N
B4,SCr-249,O.kisutch,UNKNOWN,FAM,NFQ-MGB,38.87831497,38.53848648,0.2972776,2.880084276,3.668791771,0.692647874,FALSE,0.1,TRUE,3,34,,N,N,N,N
