Block Type,96well,,,,,,,,,,,,,,,,,,,
Chemistry,TAQMAN,,,,,,,,,,,,,,,,,,,
Experiment File Name,Z:\Scott_Creek\qpcr\chloe temp\20210301_Scott_Creek_Okitsuch_P1.eds,,,,,,,,,,,,,,,,,,,
Experiment Run End Time,2021-03-01 14:54:39 PM PDT,,,,,,,,,,,,,,,,,,,
Instrument Type,steponeplus,,,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Well,Sample Name,Target Name,Task,Reporter,Quencher,Cт,Cт Mean,Cт SD,Quantity,Quantity Mean,Quantity SD,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Comments,HIGHSD,NOAMP,EXPFAIL
A1,,O.kitsuch,STANDARD,FAM,NFQ-MGB,20.24938011,20.0577774,0.178864866,1000000,,,FALSE,0.1,TRUE,3,16,,N,N,N
A2,,O.kitsuch,STANDARD,FAM,NFQ-MGB,19.89520073,20.0577774,0.178864866,1000000,,,FALSE,0.1,TRUE,3,16,,N,N,N
A3,,O.kitsuch,STANDARD,FAM,NFQ-MGB,20.02875137,20.0577774,0.178864866,1000000,,,FALSE,0.1,TRUE,3,16,,N,N,N
A4,SCr-287,O.kitsuch,UNKNOWN,FAM,NFQ-MGB,36.23029327,36.43388367,0.248522863,21.09422302,18.59280586,2.952473164,FALSE,0.1,TRUE,3,32,,N,N,N
A5,SCr-287,O.kitsuch,UNKNOWN,FAM,NFQ-MGB,36.71082687,36.43388367,0.248522863,15.33603668,18.59280586,2.952473164,FALSE,0.1,TRUE,3,32,,N,N,N
A6,SCr-287,O.kitsuch,UNKNOWN,FAM,NFQ-MGB,36.36053085,36.43388367,0.248522863,19.3481617,18.59280586,2.952473164,FALSE,0.1,TRUE,3,32,,N,N,N
A7,SCr-287-1:5,O.kitsuch,UNKNOWN,FAM,NFQ-MGB,39.60509872,39.10380173,0.63346833,2.248129129,3.334060907,1.486214042,FALSE,0.1,TRUE,3,35,,Y,N,N
A8,SCr-287-1:5,O.kitsuch,UNKNOWN,FAM,NFQ-MGB,39.31446457,39.10380173,0.63346833,2.726203203,3.334060907,1.486214042,FALSE,0.1,TRUE,3,35,,Y,N,N
A9,SCr-287-1:5,O.kitsuch,UNKNOWN,FAM,NFQ-MGB,38.39184189,39.10380173,0.63346833,5.027851105,3.334060907,1.486214042,FALSE,0.1,TRUE,3,34,,Y,N,N
A10,SCr-219,O.kitsuch,UNKNOWN,FAM,NFQ-MGB,39.58916855,39.20738602,0.611320853,2.272014141,3.102166414,1.36076653,FALSE,0.1,TRUE,3,35,,Y,N,N
A11,SCr-219,O.kitsuch,UNKNOWN,FAM,NFQ-MGB,38.50230026,39.20738602,0.611320853,4.672586918,3.102166414,1.36076653,FALSE,0.1,TRUE,3,33,,Y,N,N
A12,SCr-219,O.kitsuch,UNKNOWN,FAM,NFQ-MGB,39.53068542,39.20738602,0.611320853,2.361897707,3.102166414,1.36076653,FALSE,0.1,TRUE,3,35,,Y,N,N
B1,,O.kitsuch,STANDARD,FAM,NFQ-MGB,23.5855999,23.4845295,0.101032279,100000,,,FALSE,0.1,TRUE,3,19,,N,N,N
B2,,O.kitsuch,STANDARD,FAM,NFQ-MGB,23.38353539,23.4845295,0.101032279,100000,,,FALSE,0.1,TRUE,3,19,,N,N,N
B3,,O.kitsuch,STANDARD,FAM,NFQ-MGB,23.48445129,23.4845295,0.101032279,100000,,,FALSE,0.1,TRUE,3,19,,N,N,N
B4,SCr-288,O.kitsuch,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.1,TRUE,3,34,,N,N,N
B5,SCr-288,O.kitsuch,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.1,TRUE,3,34,,N,N,N
B6,SCr-288,O.kitsuch,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.1,TRUE,3,35,,N,N,N
B7,SCr-288-1:5,O.kitsuch,UNKNOWN,FAM,NFQ-MGB,38.79202652,38.57234192,0.659157097,3.855511665,4.768033504,2.213748455,FALSE,0.1,TRUE,3,35,,Y,N,N
B8,SCr-288-1:5,O.kitsuch,UNKNOWN,FAM,NFQ-MGB,37.8313942,38.57234192,0.659157097,7.292181969,4.768033504,2.213748455,FALSE,0.1,TRUE,3,34,,Y,N,N
B9,SCr-288-1:5,O.kitsuch,UNKNOWN,FAM,NFQ-MGB,39.09360123,38.57234192,0.659157097,3.156406403,4.768033504,2.213748455,FALSE,0.1,TRUE,3,35,,Y,N,N
B10,SCr-219-1:5,O.kitsuch,UNKNOWN,FAM,NFQ-MGB,38.11070251,37.75212097,0.403198659,6.058759689,7.874934673,2.162491798,FALSE,0.1,TRUE,3,34,,N,N,N
B11,SCr-219-1:5,O.kitsuch,UNKNOWN,FAM,NFQ-MGB,37.82999802,37.75212097,0.403198659,7.298939705,7.874934673,2.162491798,FALSE,0.1,TRUE,3,34,,N,N,N
B12,SCr-219-1:5,O.kitsuch,UNKNOWN,FAM,NFQ-MGB,37.3156662,37.75212097,0.403198659,10.2671051,7.874934673,2.162491798,FALSE,0.1,TRUE,3,33,,N,N,N
C1,,O.kitsuch,STANDARD,FAM,NFQ-MGB,26.84599304,26.88173485,0.084335886,10000,,,FALSE,0.1,TRUE,3,22,,N,N,N
C2,,O.kitsuch,STANDARD,FAM,NFQ-MGB,26.97805595,26.88173485,0.084335886,10000,,,FALSE,0.1,TRUE,3,23,,N,N,N
C3,,O.kitsuch,STANDARD,FAM,NFQ-MGB,26.82115555,26.88173485,0.084335886,10000,,,FALSE,0.1,TRUE,3,22,,N,N,N
C4,SCr-213,O.kitsuch,UNKNOWN,FAM,NFQ-MGB,35.8400116,35.58369827,0.5792045,27.32817841,34.117939,14.06936169,FALSE,0.1,TRUE,3,32,,Y,N,N
C5,SCr-213,O.kitsuch,UNKNOWN,FAM,NFQ-MGB,34.92056274,35.58369827,0.5792045,50.29449844,34.117939,14.06936169,FALSE,0.1,TRUE,3,31,,Y,N,N
C6,SCr-213,O.kitsuch,UNKNOWN,FAM,NFQ-MGB,35.99052811,35.58369827,0.5792045,24.73114204,34.117939,14.06936169,FALSE,0.1,TRUE,3,32,,Y,N,N
C7,SCr-213-1:5,O.kitsuch,UNKNOWN,FAM,NFQ-MGB,38.0340271,36.91740417,0.969794095,6.374928474,15.05131149,7.572722435,FALSE,0.1,TRUE,3,34,,Y,N,N
C8,SCr-213-1:5,O.kitsuch,UNKNOWN,FAM,NFQ-MGB,36.2858429,36.91740417,0.969794095,20.33099747,15.05131149,7.572722435,FALSE,0.1,TRUE,3,32,,Y,N,N
C9,SCr-213-1:5,O.kitsuch,UNKNOWN,FAM,NFQ-MGB,36.43234253,36.91740417,0.969794095,18.44800758,15.05131149,7.572722435,FALSE,0.1,TRUE,3,31,,Y,N,N
C10,SCr-220,O.kitsuch,UNKNOWN,FAM,NFQ-MGB,36.26408005,36.00314331,0.275894672,20.6266613,24.80215263,4.581526756,FALSE,0.1,TRUE,3,32,,N,N,N
C11,SCr-220,O.kitsuch,UNKNOWN,FAM,NFQ-MGB,35.71439743,36.00314331,0.275894672,29.70314217,24.80215263,4.581526756,FALSE,0.1,TRUE,3,32,,N,N,N
C12,SCr-220,O.kitsuch,UNKNOWN,FAM,NFQ-MGB,36.03095627,36.00314331,0.275894672,24.07665253,24.80215263,4.581526756,FALSE,0.1,TRUE,3,32,,N,N,N
D1,,O.kitsuch,STANDARD,FAM,NFQ-MGB,30.34147835,30.3137188,0.196403071,1000,,,FALSE,0.1,TRUE,3,26,,N,N,N
D2,,O.kitsuch,STANDARD,FAM,NFQ-MGB,30.10491371,30.3137188,0.196403071,1000,,,FALSE,0.1,TRUE,3,26,,N,N,N
D3,,O.kitsuch,STANDARD,FAM,NFQ-MGB,30.49476624,30.3137188,0.196403071,1000,,,FALSE,0.1,TRUE,3,26,,N,N,N
D4,SCr-214,O.kitsuch,UNKNOWN,FAM,NFQ-MGB,34.99806213,34.75466537,0.320798665,47.77398682,57.02600098,12.66397285,FALSE,0.1,TRUE,3,31,,N,N,N
D5,SCr-214,O.kitsuch,UNKNOWN,FAM,NFQ-MGB,34.87479401,34.75466537,0.320798665,51.845047,57.02600098,12.66397285,FALSE,0.1,TRUE,3,31,,N,N,N
D6,SCr-214,O.kitsuch,UNKNOWN,FAM,NFQ-MGB,34.39113998,34.75466537,0.320798665,71.45896149,57.02600098,12.66397285,FALSE,0.1,TRUE,3,30,,N,N,N
D7,SCr-214-1:5,O.kitsuch,UNKNOWN,FAM,NFQ-MGB,36.27132416,36.5356369,0.341707587,20.527771,17.51209068,3.733925104,FALSE,0.1,TRUE,3,33,,N,N,N
D8,SCr-214-1:5,O.kitsuch,UNKNOWN,FAM,NFQ-MGB,36.92150116,36.5356369,0.341707587,13.33564663,17.51209068,3.733925104,FALSE,0.1,TRUE,3,33,,N,N,N
D9,SCr-214-1:5,O.kitsuch,UNKNOWN,FAM,NFQ-MGB,36.41408157,36.5356369,0.341707587,18.67285728,17.51209068,3.733925104,FALSE,0.1,TRUE,3,33,,N,N,N
D10,SCr-220-1:5,O.kitsuch,UNKNOWN,FAM,NFQ-MGB,37.45412064,37.08069229,0.528107405,9.366057396,12.36919308,4.247075081,FALSE,0.1,TRUE,3,33,,Y,N,N
D11,SCr-220-1:5,O.kitsuch,UNKNOWN,FAM,NFQ-MGB,36.70726395,37.08069229,0.528107405,15.37232876,12.36919308,4.247075081,FALSE,0.1,TRUE,3,32,,Y,N,N
D12,SCr-220-1:5,O.kitsuch,UNKNOWN,FAM,NFQ-MGB,Undetermined,37.08069229,0.528107405,,,,FALSE,0.1,TRUE,3,39,,N,Y,Y
E1,,O.kitsuch,STANDARD,FAM,NFQ-MGB,32.97254944,33.658741,0.76029259,100,,,FALSE,0.1,TRUE,3,29,,Y,N,N
E2,,O.kitsuch,STANDARD,FAM,NFQ-MGB,34.47607422,33.658741,0.76029259,100,,,FALSE,0.1,TRUE,3,30,,Y,N,N
E3,,O.kitsuch,STANDARD,FAM,NFQ-MGB,33.52760315,33.658741,0.76029259,100,,,FALSE,0.1,TRUE,3,29,,Y,N,N
E4,SCr-215,O.kitsuch,UNKNOWN,FAM,NFQ-MGB,34.75992966,35.00782776,0.263064295,55.95021439,47.94410706,8.220796585,FALSE,0.1,TRUE,3,31,,N,N,N
E5,SCr-215,O.kitsuch,UNKNOWN,FAM,NFQ-MGB,34.97975159,35.00782776,0.263064295,48.35786438,47.94410706,8.220796585,FALSE,0.1,TRUE,3,31,,N,N,N
E6,SCr-215,O.kitsuch,UNKNOWN,FAM,NFQ-MGB,35.28380585,35.00782776,0.263064295,39.52424622,47.94410706,8.220796585,FALSE,0.1,TRUE,3,31,,N,N,N
E7,SCr-215-1:5,O.kitsuch,UNKNOWN,FAM,NFQ-MGB,38.23077011,37.69964218,1.088166595,5.594871521,9.595809937,7.509428501,FALSE,0.1,TRUE,3,34,,Y,N,N
E8,SCr-215-1:5,O.kitsuch,UNKNOWN,FAM,NFQ-MGB,38.42024231,37.69964218,1.088166595,4.934006691,9.595809937,7.509428501,FALSE,0.1,TRUE,3,34,,Y,N,N
E9,SCr-215-1:5,O.kitsuch,UNKNOWN,FAM,NFQ-MGB,36.44790268,37.69964218,1.088166595,18.25855255,9.595809937,7.509428501,FALSE,0.1,TRUE,3,32,,Y,N,N
E10,SCr-221,O.kitsuch,UNKNOWN,FAM,NFQ-MGB,34.97205353,34.68323135,0.359549224,48.60545731,60.03079605,14.91191483,FALSE,0.1,TRUE,3,31,,N,N,N
E11,SCr-221,O.kitsuch,UNKNOWN,FAM,NFQ-MGB,34.28053284,34.68323135,0.359549224,76.89969635,60.03079605,14.91191483,FALSE,0.1,TRUE,3,30,,N,N,N
E12,SCr-221,O.kitsuch,UNKNOWN,FAM,NFQ-MGB,34.79710388,34.68323135,0.359549224,54.58724594,60.03079605,14.91191483,FALSE,0.1,TRUE,3,31,,N,N,N
F1,,O.kitsuch,STANDARD,FAM,NFQ-MGB,38.41192245,38.59786606,0.174588919,10,,,FALSE,0.1,TRUE,3,34,,N,N,N
