Block Type,96well,,,,,,,,,,,,,,,,
Chemistry,TAQMAN,,,,,,,,,,,,,,,,
Experiment File Name,Z:\Scott_Creek\qpcr\chloe temp\20210301_Scott_Creek_Okitsuch_P3.eds,,,,,,,,,,,,,,,,
Experiment Run End Time,2020-03-01 15:20:15 PM PDT,,,,,,,,,,,,,,,,
Instrument Type,steponeplus,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Well,Sample Name,Target Name,Task,Reporter,Quencher,Cт,Cт Mean,Cт SD,Quantity,Quantity Mean,Quantity SD,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Comments
A1,,O.kitsuch,STANDARD,FAM,NFQ-MGB,20.56484985,20.38021278,0.168371618,1000000,,,FALSE,0.1,TRUE,3,16,
A2,,O.kitsuch,STANDARD,FAM,NFQ-MGB,20.34063339,20.38021278,0.168371618,1000000,,,FALSE,0.1,TRUE,3,16,
A3,,O.kitsuch,STANDARD,FAM,NFQ-MGB,20.23515892,20.38021278,0.168371618,1000000,,,FALSE,0.1,TRUE,3,16,
A4,SCr-235,O.kitsuch,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,
A5,SCr-235,O.kitsuch,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.1,TRUE,3,35,
A6,SCr-235,O.kitsuch,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.1,TRUE,3,34,
A7,SCr-235-1:5,O.kitsuch,UNKNOWN,FAM,NFQ-MGB,Undetermined,37.91524124,1.111889124,,,,FALSE,0.1,TRUE,3,39,
A8,SCr-235-1:5,O.kitsuch,UNKNOWN,FAM,NFQ-MGB,38.70146561,37.91524124,1.111889124,3.223067999,6.420861721,4.522363186,FALSE,0.1,TRUE,3,35,
A9,SCr-235-1:5,O.kitsuch,UNKNOWN,FAM,NFQ-MGB,37.12901688,37.91524124,1.111889124,9.618655205,6.420861721,4.522363186,FALSE,0.1,TRUE,3,33,
A10,SCr-293,O.kitsuch,UNKNOWN,FAM,NFQ-MGB,35.70613861,35.57965469,0.335698426,25.86974907,28.78285789,7.033947945,FALSE,0.1,TRUE,3,32,
