Block Type,96well,,,,,,,,,,,,,,,,,,,,
Chemistry,TAQMAN,,,,,,,,,,,,,,,,,,,,
Experiment File Name,C:\Users\kyamahara\Desktop\S1P_data\Scott_Creek_EDS\20210302_Scott_Creek_Okisutch_P3.eds,,,,,,,,,,,,,,,,,,,,
Experiment Run End Time,Not Started,,,,,,,,,,,,,,,,,,,,
Instrument Type,steponeplus,,,,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Well,Sample Name,Target Name,Task,Reporter,Quencher,Cт,Cт Mean,Cт SD,Quantity,Quantity Mean,Quantity SD,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Comments,HIGHSD,NOAMP,OUTLIERRG,EXPFAIL
A1,,O.kisutch,STANDARD,FAM,NFQ-MGB,19.60091591,19.90330696,0.264128178,1000000,,,FALSE,0.1,TRUE,3,15,,N,N,N,N
A2,,O.kisutch,STANDARD,FAM,NFQ-MGB,20.02011681,19.90330696,0.264128178,1000000,,,FALSE,0.1,TRUE,3,16,,N,N,N,N
A3,,O.kisutch,STANDARD,FAM,NFQ-MGB,20.08889389,19.90330696,0.264128178,1000000,,,FALSE,0.1,TRUE,3,15,,N,N,N,N
A4,SCr-516,O.kisutch,UNKNOWN,FAM,NFQ-MGB,36.25761032,36.77348328,0.481013507,26.34000778,19.54129028,6.167843819,FALSE,0.1,TRUE,3,31,,N,N,N,N
A5,SCr-516,O.kisutch,UNKNOWN,FAM,NFQ-MGB,37.20969009,36.77348328,0.481013507,14.30471134,19.54129028,6.167843819,FALSE,0.1,TRUE,3,33,,N,N,N,N
A6,SCr-516,O.kisutch,UNKNOWN,FAM,NFQ-MGB,36.85314941,36.77348328,0.481013507,17.97915077,19.54129028,6.167843819,FALSE,0.1,TRUE,3,32,,N,N,N,N
A7,SCr-516-1:5,O.kisutch,UNKNOWN,FAM,NFQ-MGB,36.56188202,37.15040207,0.527292967,21.67114258,15.45714951,5.486379147,FALSE,0.1,TRUE,3,33,,Y,N,N,N
A8,SCr-516-1:5,O.kisutch,UNKNOWN,FAM,NFQ-MGB,37.57983017,37.15040207,0.527292967,11.28240967,15.45714951,5.486379147,FALSE,0.1,TRUE,3,33,,Y,N,N,N
A9,SCr-516-1:5,O.kisutch,UNKNOWN,FAM,NFQ-MGB,37.30949783,37.15040207,0.527292967,13.41789722,15.45714951,5.486379147,FALSE,0.1,TRUE,3,34,,Y,N,N,N
A10,SCr-524,O.kisutch,UNKNOWN,FAM,NFQ-MGB,35.5755806,35.53298569,0.211512953,40.78953171,42.17984009,5.818070889,FALSE,0.1,TRUE,3,31,,N,N,N,N
A11,SCr-524,O.kisutch,UNKNOWN,FAM,NFQ-MGB,35.30341339,35.53298569,0.211512953,48.56711578,42.17984009,5.818070889,FALSE,0.1,TRUE,3,31,,N,N,N,N
A12,SCr-524,O.kisutch,UNKNOWN,FAM,NFQ-MGB,35.71995544,35.53298569,0.211512953,37.18287659,42.17984009,5.818070889,FALSE,0.1,TRUE,3,31,,N,N,N,N
B1,,O.kisutch,STANDARD,FAM,NFQ-MGB,22.83918571,23.42403221,0.51463449,100000,,,FALSE,0.1,TRUE,3,19,,Y,N,N,N
B2,,O.kisutch,STANDARD,FAM,NFQ-MGB,23.62526703,23.42403221,0.51463449,100000,,,FALSE,0.1,TRUE,3,19,,Y,N,N,N
B3,,O.kisutch,STANDARD,FAM,NFQ-MGB,23.80764198,23.42403221,0.51463449,100000,,,FALSE,0.1,TRUE,3,20,,Y,N,N,N
B4,SCr-517,O.kisutch,UNKNOWN,FAM,NFQ-MGB,Undetermined,38.0405426,1.276371121,,,,FALSE,0.1,TRUE,3,34,,N,N,N,N
B5,SCr-517,O.kisutch,UNKNOWN,FAM,NFQ-MGB,38.94307327,38.0405426,1.276371121,4.707210064,9.84236908,7.2622118,FALSE,0.1,TRUE,3,34,,Y,N,N,N
B6,SCr-517,O.kisutch,UNKNOWN,FAM,NFQ-MGB,37.13801193,38.0405426,1.276371121,14.97752857,9.84236908,7.2622118,FALSE,0.1,TRUE,3,33,,Y,N,N,N
B7,SCr-517-1:5,O.kisutch,UNKNOWN,FAM,NFQ-MGB,37.06068802,36.78401566,0.357909381,15.73886681,19.1373539,4.587024212,FALSE,0.1,TRUE,3,33,,N,N,N,N
B8,SCr-517-1:5,O.kisutch,UNKNOWN,FAM,NFQ-MGB,36.91155243,36.78401566,0.357909381,17.3182888,19.1373539,4.587024212,FALSE,0.1,TRUE,3,33,,N,N,N,N
B9,SCr-517-1:5,O.kisutch,UNKNOWN,FAM,NFQ-MGB,36.37980652,36.78401566,0.357909381,24.35490799,19.1373539,4.587024212,FALSE,0.1,TRUE,3,32,,N,N,N,N
B10,SCr-524-1:5,O.kisutch,UNKNOWN,FAM,NFQ-MGB,39.83832932,38.4507103,1.20901978,2.651252747,7.622362614,4.389799595,FALSE,0.1,TRUE,3,35,,Y,N,N,N
