Block Type,96well,,,,,,,,,,,,,,,,,,,
Chemistry,TAQMAN,,,,,,,,,,,,,,,,,,,
Experiment File Name,Z:\Scott_Creek\chloe\20201028_Scott_Creek_Okisuch_Chloe_P1.eds,,,,,,,,,,,,,,,,,,,
Experiment Run End Time,2020-10-28 15:00:06 PM PDT,,,,,,,,,,,,,,,,,,,
Instrument Type,steponeplus,,,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Well,Sample Name,Target Name,Task,Reporter,Quencher,Cт,Cт Mean,Cт SD,Quantity,Quantity Mean,Quantity SD,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Comments,HIGHSD,NOAMP,EXPFAIL
A1,,O.kisutch,STANDARD,FAM,NFQ-MGB,19.83278847,19.84468079,0.028733604,1000000,,,FALSE,0.1,TRUE,3,15,,N,N,N
A2,,O.kisutch,STANDARD,FAM,NFQ-MGB,19.87745285,19.84468079,0.028733604,1000000,,,FALSE,0.1,TRUE,3,15,,N,N,N
A3,,O.kisutch,STANDARD,FAM,NFQ-MGB,19.82380486,19.84468079,0.028733604,1000000,,,FALSE,0.1,TRUE,3,15,,N,N,N
A4,SCr-340,O.kisutch,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,N,Y
A5,SCr-340,O.kisutch,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,N,Y
A6,SCr-340,O.kisutch,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,Y,Y
A7,SCr-340-1:5,O.kisutch,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,Y,Y
A8,SCr-340-1:5,O.kisutch,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,N,Y
A9,SCr-340-1:5,O.kisutch,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,N,Y
A10,SCr-348,O.kisutch,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.1,TRUE,3,35,,N,N,N
A11,SCr-348,O.kisutch,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,N,Y
A12,SCr-348,O.kisutch,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,Y,Y
B1,,O.kisutch,STANDARD,FAM,NFQ-MGB,23.18561745,23.27876282,0.107697442,100000,,,FALSE,0.1,TRUE,3,19,,N,N,N
B2,,O.kisutch,STANDARD,FAM,NFQ-MGB,23.25398254,23.27876282,0.107697442,100000,,,FALSE,0.1,TRUE,3,19,,N,N,N
B3,,O.kisutch,STANDARD,FAM,NFQ-MGB,23.39669228,23.27876282,0.107697442,100000,,,FALSE,0.1,TRUE,3,19,,N,N,N
B4,SCr-341,O.kisutch,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,Y,Y
B5,SCr-341,O.kisutch,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,Y,Y
B6,SCr-341,O.kisutch,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,Y,Y
B7,SCr-341-1:5,O.kisutch,UNKNOWN,FAM,NFQ-MGB,38.32635117,38.31859207,0.613081515,0.849238157,0.925246716,0.444267452,FALSE,0.1,TRUE,3,34,,Y,N,N
B8,SCr-341-1:5,O.kisutch,UNKNOWN,FAM,NFQ-MGB,37.7016716,38.31859207,0.613081515,1.402614832,0.925246716,0.444267452,FALSE,0.1,TRUE,3,34,,Y,N,N
B9,SCr-341-1:5,O.kisutch,UNKNOWN,FAM,NFQ-MGB,38.92776108,38.31859207,0.613081515,0.523887157,0.925246716,0.444267452,FALSE,0.1,TRUE,3,35,,Y,N,N
B10,SCr-348-1:5,O.kisutch,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,N,Y
B11,SCr-348-1:5,O.kisutch,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,Y,Y
B12,SCr-348-1:5,O.kisutch,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,N,Y
C1,,O.kisutch,STANDARD,FAM,NFQ-MGB,29.98430443,30.01996613,0.031906988,10000,,,FALSE,0.1,TRUE,3,26,,N,N,N
C2,,O.kisutch,STANDARD,FAM,NFQ-MGB,30.02978516,30.01996613,0.031906988,10000,,,FALSE,0.1,TRUE,3,26,,N,N,N
C3,,O.kisutch,STANDARD,FAM,NFQ-MGB,30.0458107,30.01996613,0.031906988,10000,,,FALSE,0.1,TRUE,3,26,,N,N,N
C4,SCr-342,O.kisutch,UNKNOWN,FAM,NFQ-MGB,39.75774765,39.24148178,0.490846545,0.268974394,0.428096384,0.160291791,FALSE,0.1,TRUE,3,35,,N,N,N
C5,SCr-342,O.kisutch,UNKNOWN,FAM,NFQ-MGB,39.18590927,39.24148178,0.490846545,0.425781816,0.428096384,0.160291791,FALSE,0.1,TRUE,3,34,,N,N,N
C6,SCr-342,O.kisutch,UNKNOWN,FAM,NFQ-MGB,38.78078461,39.24148178,0.490846545,0.589532912,0.428096384,0.160291791,FALSE,0.1,TRUE,3,34,,N,N,N
C7,SCr-342-1:5,O.kisutch,UNKNOWN,FAM,NFQ-MGB,38.65275192,38.35317993,0.423658758,0.653386414,0.855310559,0.285563827,FALSE,0.1,TRUE,3,35,,N,N,N
