Block Type,96well,,,,,,,,,,,,,,,,,,,
Chemistry,TAQMAN,,,,,,,,,,,,,,,,,,,
Experiment File Name,\\atlas.shore.mbari.org\ESP\Scott_Creek\qpcr\S1P_data\eds_files\20201111_Scott_Creek_Omykiss_Chloe_P1.eds,,,,,,,,,,,,,,,,,,,
Experiment Run End Time,2020-11-11 11:56:05 AM PST,,,,,,,,,,,,,,,,,,,
Instrument Type,steponeplus,,,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Well,Sample Name,Target Name,Task,Reporter,Quencher,Cт,Cт Mean,Cт SD,Quantity,Quantity Mean,Quantity SD,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Comments,HIGHSD,NOAMP,EXPFAIL
A1,,O.mykiss,STANDARD,FAM,NFQ-MGB,19.80366516,19.63855553,0.170594722,1000000,,,FALSE,0.1,TRUE,3,15,,N,N,N
A2,,O.mykiss,STANDARD,FAM,NFQ-MGB,19.64903831,19.63855553,0.170594722,1000000,,,FALSE,0.1,TRUE,3,15,,N,N,N
A3,,O.mykiss,STANDARD,FAM,NFQ-MGB,19.46295929,19.63855553,0.170594722,1000000,,,FALSE,0.1,TRUE,3,16,,N,N,N
A4,SCr-830,O.mykiss,UNKNOWN,FAM,NFQ-MGB,29.64500237,29.77091789,0.155388758,1270.0448,1174.026489,116.0913544,FALSE,0.1,TRUE,3,25,,N,N,N
A5,SCr-830,O.mykiss,UNKNOWN,FAM,NFQ-MGB,29.72317505,29.77091789,0.155388758,1207.0271,1174.026489,116.0913544,FALSE,0.1,TRUE,3,25,,N,N,N
A6,SCr-830,O.mykiss,UNKNOWN,FAM,NFQ-MGB,29.94457626,29.77091789,0.155388758,1045.00769,1174.026489,116.0913544,FALSE,0.1,TRUE,3,26,,N,N,N
A7,SCr-830-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,31.97379494,31.96323967,0.176734969,278.8633728,282.0308838,32.56143188,FALSE,0.1,TRUE,3,28,,N,N,N
A8,SCr-830-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,31.78146362,31.96323967,0.176734969,316.0603027,282.0308838,32.56143188,FALSE,0.1,TRUE,3,27,,N,N,N
A9,SCr-830-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,32.13446045,31.96323967,0.176734969,251.1689453,282.0308838,32.56143188,FALSE,0.1,TRUE,3,28,,N,N,N
A10,SCr-854,O.mykiss,UNKNOWN,FAM,NFQ-MGB,33.19960403,33.17813492,0.066655606,125.5492706,127.3965836,5.578595161,FALSE,0.1,TRUE,3,30,,N,N,N
A11,SCr-854,O.mykiss,UNKNOWN,FAM,NFQ-MGB,33.10339355,33.17813492,0.066655606,133.6645203,127.3965836,5.578595161,FALSE,0.1,TRUE,3,30,,N,N,N
A12,SCr-854,O.mykiss,UNKNOWN,FAM,NFQ-MGB,33.23141479,33.17813492,0.066655606,122.9759674,127.3965836,5.578595161,FALSE,0.1,TRUE,3,29,,N,N,N
B1,,O.mykiss,STANDARD,FAM,NFQ-MGB,22.97742844,23.01195335,0.03070957,100000,,,FALSE,0.1,TRUE,3,19,,N,N,N
B2,,O.mykiss,STANDARD,FAM,NFQ-MGB,23.03622437,23.01195335,0.03070957,100000,,,FALSE,0.1,TRUE,3,19,,N,N,N
B3,,O.mykiss,STANDARD,FAM,NFQ-MGB,23.02220535,23.01195335,0.03070957,100000,,,FALSE,0.1,TRUE,3,19,,N,N,N
B4,SCr-833,O.mykiss,UNKNOWN,FAM,NFQ-MGB,30.06162834,30.18558502,0.166398734,968.3334961,896.6962891,94.35678101,FALSE,0.1,TRUE,3,26,,N,N,N
B5,SCr-833,O.mykiss,UNKNOWN,FAM,NFQ-MGB,30.37470245,30.18558502,0.166398734,789.7841797,896.6962891,94.35678101,FALSE,0.1,TRUE,3,27,,N,N,N
B6,SCr-833,O.mykiss,UNKNOWN,FAM,NFQ-MGB,30.12042046,30.18558502,0.166398734,931.9711304,896.6962891,94.35678101,FALSE,0.1,TRUE,3,26,,N,N,N
