Block Type,96well,,,,,,,,,,,,,,,,,,,,,
Chemistry,TAQMAN,,,,,,,,,,,,,,,,,,,,,
Experiment File Name,\\atlas.shore.mbari.org\ESP\Scott_Creek\qpcr\S1P_data\eds_files\20201124_Scott_Creek_Omykiss_Chloe_P1.eds,,,,,,,,,,,,,,,,,,,,,
Experiment Run End Time,2020-11-24 13:24:23 PM PST,,,,,,,,,,,,,,,,,,,,,
Instrument Type,steponeplus,,,,,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Well,Sample Name,Target Name,Task,Reporter,Quencher,Cт,Cт Mean,Cт SD,Quantity,Quantity Mean,Quantity SD,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Comments,HIGHSD,NOAMP,NOISE,OUTLIERRG,EXPFAIL
A1,,O.mykiss,STANDARD,FAM,NFQ-MGB,18.73897362,18.52144051,0.210691229,1000000,,,FALSE,0.1,TRUE,3,14,,N,N,N,N,N
A2,,O.mykiss,STANDARD,FAM,NFQ-MGB,18.50701332,18.52144051,0.210691229,1000000,,,FALSE,0.1,TRUE,3,15,,N,N,N,N,N
A3,,O.mykiss,STANDARD,FAM,NFQ-MGB,18.31833267,18.52144051,0.210691229,1000000,,,FALSE,0.1,TRUE,3,15,,N,N,N,N,N
A4,SCr-246,O.mykiss,UNKNOWN,FAM,NFQ-MGB,33.22215652,33.26498795,0.055592164,32.54524994,31.58888054,1.232114911,FALSE,0.1,TRUE,3,29,,N,N,N,N,N
A5,SCr-246,O.mykiss,UNKNOWN,FAM,NFQ-MGB,33.24499893,33.26498795,0.055592164,32.02290344,31.58888054,1.232114911,FALSE,0.1,TRUE,3,29,,N,N,N,N,N
A6,SCr-246,O.mykiss,UNKNOWN,FAM,NFQ-MGB,33.32781219,33.26498795,0.055592164,30.19848633,31.58888054,1.232114911,FALSE,0.1,TRUE,3,29,,N,N,N,N,N
A7,SCr-246-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,31.32850838,30.63619804,1.234537959,124.4580841,267.7198181,251.2064667,FALSE,0.1,TRUE,3,27,,Y,N,N,N,N
A8,SCr-246-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,29.21087074,30.63619804,1.234537959,557.7808838,267.7198181,251.2064667,FALSE,0.1,TRUE,3,27,,Y,N,Y,Y,N
A9,SCr-246-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,31.36921692,30.63619804,1.234537959,120.9205475,267.7198181,251.2064667,FALSE,0.1,TRUE,3,27,,Y,N,N,N,N
A10,SCr-036,O.mykiss,UNKNOWN,FAM,NFQ-MGB,34.33950424,34.25396347,0.208501726,14.74899197,15.78733063,2.410928726,FALSE,0.1,TRUE,3,30,,N,N,N,N,N
A11,SCr-036,O.mykiss,UNKNOWN,FAM,NFQ-MGB,34.01629257,34.25396347,0.208501726,18.54345512,15.78733063,2.410928726,FALSE,0.1,TRUE,3,30,,N,N,N,N,N
A12,SCr-036,O.mykiss,UNKNOWN,FAM,NFQ-MGB,34.40608597,34.25396347,0.208501726,14.06954575,15.78733063,2.410928726,FALSE,0.1,TRUE,3,30,,N,N,N,N,N
B1,,O.mykiss,STANDARD,FAM,NFQ-MGB,21.74304962,21.72499847,0.023470124,100000,,,FALSE,0.1,TRUE,3,18,,N,N,N,N,N
B2,,O.mykiss,STANDARD,FAM,NFQ-MGB,21.69846725,21.72499847,0.023470124,100000,,,FALSE,0.1,TRUE,3,17,,N,N,N,N,N
B3,,O.mykiss,STANDARD,FAM,NFQ-MGB,21.73348045,21.72499847,0.023470124,100000,,,FALSE,0.1,TRUE,3,18,,N,N,N,N,N
B4,SCr-249,O.mykiss,UNKNOWN,FAM,NFQ-MGB,36.60533905,36.7332077,0.159620568,2.96300602,2.717789888,0.299268246,FALSE,0.1,TRUE,3,32,,N,N,N,N,N
B5,SCr-249,O.mykiss,UNKNOWN,FAM,NFQ-MGB,36.91210175,36.7332077,0.159620568,2.384318829,2.717789888,0.299268246,FALSE,0.1,TRUE,3,33,,N,N,N,N,N
B6,SCr-249,O.mykiss,UNKNOWN,FAM,NFQ-MGB,36.6821785,36.7332077,0.159620568,2.806045532,2.717789888,0.299268246,FALSE,0.1,TRUE,3,32,,N,N,N,N,N
B7,SCr-249-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,33.52005768,33.11613083,0.353270888,26.35393333,35.78725815,8.291125298,FALSE,0.1,TRUE,3,30,,N,N,N,N,N
B8,SCr-249-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,32.96350861,33.11613083,0.353270888,39.08898926,35.78725815,8.291125298,FALSE,0.1,TRUE,3,29,,N,N,N,N,N
