Block Type,96well,,,,,,,,,,,,,,,,
Chemistry,TAQMAN,,,,,,,,,,,,,,,,
Experiment File Name,Z:\Scott_Creek\qpcr\kevan\20210301_Scott_Creek_Okitsuch_P2.eds,,,,,,,,,,,,,,,,
Experiment Run End Time,2021-03-01 14:02:10 PM PDT,,,,,,,,,,,,,,,,
Instrument Type,steponeplus,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Well,Sample Name,Target Name,Task,Reporter,Quencher,Cт,Cт Mean,Cт SD,Quantity,Quantity Mean,Quantity SD,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Comments
A1,,O.kitsuch,STANDARD,FAM,NFQ-MGB,19.93267441,19.87505913,0.090175956,1000000,,,FALSE,0.1,TRUE,3,16,
A2,,O.kitsuch,STANDARD,FAM,NFQ-MGB,19.92136383,19.87505913,0.090175956,1000000,,,FALSE,0.1,TRUE,3,15,
A3,,O.kitsuch,STANDARD,FAM,NFQ-MGB,19.77113724,19.87505913,0.090175956,1000000,,,FALSE,0.1,TRUE,3,15,
A4,SCr-297,O.kitsuch,UNKNOWN,FAM,NFQ-MGB,34.93077087,35.12021255,0.687326908,47.92857361,45.07661438,18.21953583,FALSE,0.1,TRUE,3,31,
A5,SCr-297,O.kitsuch,UNKNOWN,FAM,NFQ-MGB,34.54747391,35.12021255,0.687326908,61.70198441,45.07661438,18.21953583,FALSE,0.1,TRUE,3,30,
A6,SCr-297,O.kitsuch,UNKNOWN,FAM,NFQ-MGB,35.88239288,35.12021255,0.687326908,25.59928322,45.07661438,18.21953583,FALSE,0.1,TRUE,3,31,
A7,SCr-297-1:5,O.kitsuch,UNKNOWN,FAM,NFQ-MGB,35.99495316,36.50694275,0.564816654,23.76903725,17.73051262,6.201516628,FALSE,0.1,TRUE,3,32,
A8,SCr-297-1:5,O.kitsuch,UNKNOWN,FAM,NFQ-MGB,37.11281967,36.50694275,0.564816654,11.37793732,17.73051262,6.201516628,FALSE,0.1,TRUE,3,33,
A9,SCr-297-1:5,O.kitsuch,UNKNOWN,FAM,NFQ-MGB,36.41305161,36.50694275,0.564816654,18.04456139,17.73051262,6.201516628,FALSE,0.1,TRUE,3,32,
A10,SCr-305,O.kitsuch,UNKNOWN,FAM,NFQ-MGB,36.03162766,35.78315353,0.343196303,23.20143509,27.81575012,6.60042572,FALSE,0.1,TRUE,3,32,
A11,SCr-305,O.kitsuch,UNKNOWN,FAM,NFQ-MGB,35.92626953,35.78315353,0.343196303,24.8696537,27.81575012,6.60042572,FALSE,0.1,TRUE,3,32,
A12,SCr-305,O.kitsuch,UNKNOWN,FAM,NFQ-MGB,35.3915596,35.78315353,0.343196303,35.37616348,27.81575012,6.60042572,FALSE,0.1,TRUE,3,31,
B1,,O.kitsuch,STANDARD,FAM,NFQ-MGB,23.41117096,23.29175568,0.103441358,100000,,,FALSE,0.1,TRUE,3,19,
B2,,O.kitsuch,STANDARD,FAM,NFQ-MGB,23.22981262,23.29175568,0.103441358,100000,,,FALSE,0.1,TRUE,3,19,
B3,,O.kitsuch,STANDARD,FAM,NFQ-MGB,23.23428154,23.29175568,0.103441358,100000,,,FALSE,0.1,TRUE,3,19,
B4,SCr-298,O.kitsuch,UNKNOWN,FAM,NFQ-MGB,35.0967865,35.26913452,0.300312281,42.96142197,38.83192444,7.20347929,FALSE,0.1,TRUE,3,31,
B5,SCr-298,O.kitsuch,UNKNOWN,FAM,NFQ-MGB,35.61590195,35.26913452,0.300312281,30.51413155,38.83192444,7.20347929,FALSE,0.1,TRUE,3,32,
B6,SCr-298,O.kitsuch,UNKNOWN,FAM,NFQ-MGB,35.0947113,35.26913452,0.300312281,43.0202179,38.83192444,7.20347929,FALSE,0.1,TRUE,3,31,
B7,SCr-298-1:5,O.kitsuch,UNKNOWN,FAM,NFQ-MGB,36.28079605,36.67645264,0.683304012,19.68790817,16.12144661,6.151398182,FALSE,0.1,TRUE,3,32,
B8,SCr-298-1:5,O.kitsuch,UNKNOWN,FAM,NFQ-MGB,37.46546555,36.67645264,0.683304012,9.018445015,16.12144661,6.151398182,FALSE,0.1,TRUE,3,33,
B9,SCr-298-1:5,O.kitsuch,UNKNOWN,FAM,NFQ-MGB,36.28310394,36.67645264,0.683304012,19.65798759,16.12144661,6.151398182,FALSE,0.1,TRUE,3,32,
B10,SCr-305-1:5,O.kitsuch,UNKNOWN,FAM,NFQ-MGB,37.03942108,37.14661407,0.151593789,11.94183731,11.15511131,1.112599254,FALSE,0.1,TRUE,3,33,
B11,SCr-305-1:5,O.kitsuch,UNKNOWN,FAM,NFQ-MGB,Undetermined,37.14661407,0.151593789,,,,FALSE,0.1,TRUE,3,35,
B12,SCr-305-1:5,O.kitsuch,UNKNOWN,FAM,NFQ-MGB,37.25380707,37.14661407,0.151593789,10.36838436,11.15511131,1.112599254,FALSE,0.1,TRUE,3,33,
C1,,O.kitsuch,STANDARD,FAM,NFQ-MGB,26.69602585,26.73580742,0.100359656,10000,,,FALSE,0.1,TRUE,3,22,
C2,,O.kitsuch,STANDARD,FAM,NFQ-MGB,26.84995842,26.73580742,0.100359656,10000,,,FALSE,0.1,TRUE,3,23,
C3,,O.kitsuch,STANDARD,FAM,NFQ-MGB,26.66143608,26.73580742,0.100359656,10000,,,FALSE,0.1,TRUE,3,23,
C4,SCr-299,O.kitsuch,UNKNOWN,FAM,NFQ-MGB,Undetermined,37.61029816,0.365613461,,,,FALSE,0.1,TRUE,3,34,
C5,SCr-299,O.kitsuch,UNKNOWN,FAM,NFQ-MGB,37.35177231,37.61029816,0.365613461,9.720131874,8.316705704,1.984745026,FALSE,0.1,TRUE,3,33,
C6,SCr-299,O.kitsuch,UNKNOWN,FAM,NFQ-MGB,37.86882782,37.61029816,0.365613461,6.91327858,8.316705704,1.984745026,FALSE,0.1,TRUE,3,33,
C7,SCr-299-1:5,O.kitsuch,UNKNOWN,FAM,NFQ-MGB,36.57783508,36.51060867,0.268993109,16.18762398,17.10233879,3.111640453,FALSE,0.1,TRUE,3,33,
C8,SCr-299-1:5,O.kitsuch,UNKNOWN,FAM,NFQ-MGB,36.73961258,36.51060867,0.268993109,14.55057907,17.10233879,3.111640453,FALSE,0.1,TRUE,3,33,
C9,SCr-299-1:5,O.kitsuch,UNKNOWN,FAM,NFQ-MGB,36.21437836,36.51060867,0.268993109,20.56881142,17.10233879,3.111640453,FALSE,0.1,TRUE,3,32,
C10,SCr-306,O.kitsuch,UNKNOWN,FAM,NFQ-MGB,35.36153412,35.52231216,0.188194305,36.08314896,32.61974716,3.950729609,FALSE,0.1,TRUE,3,31,
C11,SCr-306,O.kitsuch,UNKNOWN,FAM,NFQ-MGB,35.47608566,35.52231216,0.188194305,33.45940781,32.61974716,3.950729609,FALSE,0.1,TRUE,3,32,
C12,SCr-306,O.kitsuch,UNKNOWN,FAM,NFQ-MGB,35.72930908,35.52231216,0.188194305,28.31668472,32.61974716,3.950729609,FALSE,0.1,TRUE,3,32,
D1,,O.kitsuch,STANDARD,FAM,NFQ-MGB,30.39862061,30.34209251,0.075331561,1000,,,FALSE,0.1,TRUE,3,26,
D2,,O.kitsuch,STANDARD,FAM,NFQ-MGB,30.25657272,30.34209251,0.075331561,1000,,,FALSE,0.1,TRUE,3,26,
D3,,O.kitsuch,STANDARD,FAM,NFQ-MGB,30.37108612,30.34209251,0.075331561,1000,,,FALSE,0.1,TRUE,3,26,
D4,SCr-300,O.kitsuch,UNKNOWN,FAM,NFQ-MGB,37.57598495,37.52783585,0.623390198,8.384931564,9.156899452,3.766253233,FALSE,0.1,TRUE,3,33,
D5,SCr-300,O.kitsuch,UNKNOWN,FAM,NFQ-MGB,38.12575531,37.52783585,0.623390198,5.836440563,9.156899452,3.766253233,FALSE,0.1,TRUE,3,33,
D6,SCr-300,O.kitsuch,UNKNOWN,FAM,NFQ-MGB,36.88176727,37.52783585,0.623390198,13.2493248,9.156899452,3.766253233,FALSE,0.1,TRUE,3,32,
D7,SCr-300-1:5,O.kitsuch,UNKNOWN,FAM,NFQ-MGB,36.31530762,36.87268448,0.482752204,19.24517822,13.81013012,4.707161903,FALSE,0.1,TRUE,3,32,
D8,SCr-300-1:5,O.kitsuch,UNKNOWN,FAM,NFQ-MGB,37.14444733,36.87268448,0.482752204,11.14323425,13.81013012,4.707161903,FALSE,0.1,TRUE,3,33,
D9,SCr-300-1:5,O.kitsuch,UNKNOWN,FAM,NFQ-MGB,37.15829849,36.87268448,0.482752204,11.04197788,13.81013012,4.707161903,FALSE,0.1,TRUE,3,33,
D10,SCr-306-1:5,O.kitsuch,UNKNOWN,FAM,NFQ-MGB,38.22606659,37.47148514,0.659516811,5.46308136,9.513220787,3.572018147,FALSE,0.1,TRUE,3,34,
D11,SCr-306-1:5,O.kitsuch,UNKNOWN,FAM,NFQ-MGB,37.18315506,37.47148514,0.659516811,10.86257076,9.513220787,3.572018147,FALSE,0.1,TRUE,3,33,
D12,SCr-306-1:5,O.kitsuch,UNKNOWN,FAM,NFQ-MGB,37.00522614,37.47148514,0.659516811,12.21400833,9.513220787,3.572018147,FALSE,0.1,TRUE,3,32,
E1,,O.kitsuch,STANDARD,FAM,NFQ-MGB,34.03171539,33.85401535,0.410660118,100,,,FALSE,0.1,TRUE,3,30,
E2,,O.kitsuch,STANDARD,FAM,NFQ-MGB,34.14590454,33.85401535,0.410660118,100,,,FALSE,0.1,TRUE,3,30,
E3,,O.kitsuch,STANDARD,FAM,NFQ-MGB,33.38443375,33.85401535,0.410660118,100,,,FALSE,0.1,TRUE,3,29,
E4,SCr-301,O.kitsuch,UNKNOWN,FAM,NFQ-MGB,36.71860123,36.408741,0.306961358,14.75346375,18.34310913,3.681300163,FALSE,0.1,TRUE,3,33,
E5,SCr-301,O.kitsuch,UNKNOWN,FAM,NFQ-MGB,36.10476303,36.408741,0.306961358,22.10968399,18.34310913,3.681300163,FALSE,0.1,TRUE,3,32,
E6,SCr-301,O.kitsuch,UNKNOWN,FAM,NFQ-MGB,36.40285873,36.408741,0.306961358,18.16618156,18.34310913,3.681300163,FALSE,0.1,TRUE,3,32,
E7,SCr-301-1:5,O.kitsuch,UNKNOWN,FAM,NFQ-MGB,36.20402527,35.88755798,0.276661873,20.70963287,25.78668785,4.453042984,FALSE,0.1,TRUE,3,32,
E8,SCr-301-1:5,O.kitsuch,UNKNOWN,FAM,NFQ-MGB,35.69153976,35.88755798,0.276661873,29.03036308,25.78668785,4.453042984,FALSE,0.1,TRUE,3,31,
E9,SCr-301-1:5,O.kitsuch,UNKNOWN,FAM,NFQ-MGB,35.7671051,35.88755798,0.276661873,27.62006378,25.78668785,4.453042984,FALSE,0.1,TRUE,3,31,
E10,SCr-307,O.kitsuch,UNKNOWN,FAM,NFQ-MGB,34.94681931,34.97345352,0.04651225,47.42433167,46.61367798,1.415986538,FALSE,0.1,TRUE,3,31,
E11,SCr-307,O.kitsuch,UNKNOWN,FAM,NFQ-MGB,34.94638062,34.97345352,0.04651225,47.4380455,46.61367798,1.415986538,FALSE,0.1,TRUE,3,31,
E12,SCr-307,O.kitsuch,UNKNOWN,FAM,NFQ-MGB,35.02716064,34.97345352,0.04651225,44.97865677,46.61367798,1.415986538,FALSE,0.1,TRUE,3,31,
F1,,O.kitsuch,STANDARD,FAM,NFQ-MGB,39.75714111,38.23915482,2.146756887,10,,,FALSE,0.1,TRUE,3,35,
F2,,O.kitsuch,STANDARD,FAM,NFQ-MGB,Undetermined,38.23915482,2.146756887,10,,,FALSE,0.1,TRUE,3,39,
F3,,O.kitsuch,STANDARD,FAM,NFQ-MGB,36.72116852,38.23915482,2.146756887,10,,,FALSE,0.1,TRUE,3,32,
F4,SCr-302,O.kitsuch,UNKNOWN,FAM,NFQ-MGB,35.00415421,35.17279053,0.182694629,45.66581726,41.05863571,4.873619556,FALSE,0.1,TRUE,3,31,
F5,SCr-302,O.kitsuch,UNKNOWN,FAM,NFQ-MGB,35.14733887,35.17279053,0.182694629,41.55371857,41.05863571,4.873619556,FALSE,0.1,TRUE,3,31,
F6,SCr-302,O.kitsuch,UNKNOWN,FAM,NFQ-MGB,35.36687469,35.17279053,0.182694629,35.95637131,41.05863571,4.873619556,FALSE,0.1,TRUE,3,31,
F7,SCr-302-1:5,O.kitsuch,UNKNOWN,FAM,NFQ-MGB,37.06714249,36.8205986,0.89603442,11.72564983,15.56886387,9.650885582,FALSE,0.1,TRUE,3,33,
F8,SCr-302-1:5,O.kitsuch,UNKNOWN,FAM,NFQ-MGB,35.82710266,36.8205986,0.89603442,26.54927063,15.56886387,9.650885582,FALSE,0.1,TRUE,3,32,
F9,SCr-302-1:5,O.kitsuch,UNKNOWN,FAM,NFQ-MGB,37.56755066,36.8205986,0.89603442,8.431669235,15.56886387,9.650885582,FALSE,0.1,TRUE,3,33,
F10,SCr-307-1:5,O.kitsuch,UNKNOWN,FAM,NFQ-MGB,38.11366653,36.74300003,1.225056171,5.883124352,17.46930504,11.03076744,FALSE,0.1,TRUE,3,34,
F11,SCr-307-1:5,O.kitsuch,UNKNOWN,FAM,NFQ-MGB,36.36053467,36.74300003,1.225056171,18.68002129,17.46930504,11.03076744,FALSE,0.1,TRUE,3,33,
F12,SCr-307-1:5,O.kitsuch,UNKNOWN,FAM,NFQ-MGB,35.75481033,36.74300003,1.225056171,27.84476852,17.46930504,11.03076744,FALSE,0.1,TRUE,3,32,
G1,,O.kitsuch,STANDARD,FAM,NFQ-MGB,37.16679001,37.7758522,0.763326168,5,,,FALSE,0.1,TRUE,3,33,
G2,,O.kitsuch,STANDARD,FAM,NFQ-MGB,37.52861404,37.7758522,0.763326168,5,,,FALSE,0.1,TRUE,3,33,
G3,,O.kitsuch,STANDARD,FAM,NFQ-MGB,38.63215256,37.7758522,0.763326168,5,,,FALSE,0.1,TRUE,3,34,
G4,SCr-303,O.kitsuch,UNKNOWN,FAM,NFQ-MGB,37.39480209,36.83842087,0.950901151,9.448360443,15.69961262,10.74744225,FALSE,0.1,TRUE,3,34,
G5,SCr-303,O.kitsuch,UNKNOWN,FAM,NFQ-MGB,35.740448,36.83842087,0.950901151,28.10957527,15.69961262,10.74744225,FALSE,0.1,TRUE,3,32,
G6,SCr-303,O.kitsuch,UNKNOWN,FAM,NFQ-MGB,37.38001251,36.83842087,0.950901151,9.540902138,15.69961262,10.74744225,FALSE,0.1,TRUE,3,33,
G7,SCr-303-1:5,O.kitsuch,UNKNOWN,FAM,NFQ-MGB,36.79424667,38.06976318,1.335966229,14.03599739,7.662345409,5.888569355,FALSE,0.1,TRUE,3,32,
G8,SCr-303-1:5,O.kitsuch,UNKNOWN,FAM,NFQ-MGB,37.95612335,38.06976318,1.335966229,6.526779652,7.662345409,5.888569355,FALSE,0.1,TRUE,3,34,
G9,SCr-303-1:5,O.kitsuch,UNKNOWN,FAM,NFQ-MGB,39.45891953,38.06976318,1.335966229,2.424258709,7.662345409,5.888569355,FALSE,0.1,TRUE,3,35,
G10,SCr-308,O.kitsuch,UNKNOWN,FAM,NFQ-MGB,35.91427994,35.72976303,0.371206284,25.0669384,28.90176201,7.474926472,FALSE,0.1,TRUE,3,31,
G11,SCr-308,O.kitsuch,UNKNOWN,FAM,NFQ-MGB,35.97255325,35.72976303,0.371206284,24.12252235,28.90176201,7.474926472,FALSE,0.1,TRUE,3,31,
