Block Type,96well,,,,,,,,,,,,,,,,,,,
Chemistry,TAQMAN,,,,,,,,,,,,,,,,,,,
Experiment File Name,C:\Users\kyamahara\Desktop\S1P_data\Scott_Creek_EDS\20201005_Scott_Creek_Omykiss_Kevan_P1.eds,,,,,,,,,,,,,,,,,,,
Experiment Run End Time,2020-10-05 09:54:15 AM PDT,,,,,,,,,,,,,,,,,,,
Instrument Type,steponeplus,,,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Well,Sample Name,Target Name,Task,Reporter,Quencher,Cт,Cт Mean,Cт SD,Quantity,Quantity Mean,Quantity SD,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Comments,HIGHSD,NOAMP,EXPFAIL
A1,,O.mykiss,STANDARD,FAM,NFQ-MGB,19.03162956,18.90591621,0.113119394,1000000,,,FALSE,0.1,TRUE,3,15,,N,N,N
A2,,O.mykiss,STANDARD,FAM,NFQ-MGB,18.87377548,18.90591621,0.113119394,1000000,,,FALSE,0.1,TRUE,3,15,,N,N,N
A3,,O.mykiss,STANDARD,FAM,NFQ-MGB,18.81234741,18.90591621,0.113119394,1000000,,,FALSE,0.1,TRUE,3,15,,N,N,N
A4,SCr-470,O.mykiss,UNKNOWN,FAM,NFQ-MGB,30.68510437,30.6208744,0.059293706,383.5499573,400.4543762,15.66369152,FALSE,0.1,TRUE,3,26,,N,N,N
A5,SCr-470,O.mykiss,UNKNOWN,FAM,NFQ-MGB,30.60929298,30.6208744,0.059293706,403.3360901,400.4543762,15.66369152,FALSE,0.1,TRUE,3,26,,N,N,N
A6,SCr-470,O.mykiss,UNKNOWN,FAM,NFQ-MGB,30.56822586,30.6208744,0.059293706,414.4771729,400.4543762,15.66369152,FALSE,0.1,TRUE,3,26,,N,N,N
A7,SCr-470-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,32.55677032,33.01455307,0.547401309,110.7896271,85.23806,28.38476181,FALSE,0.1,TRUE,3,29,,Y,N,N
A8,SCr-470-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,33.62090302,33.01455307,0.547401309,54.68496704,85.23806,28.38476181,FALSE,0.1,TRUE,3,30,,Y,N,N
A9,SCr-470-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,32.86598969,33.01455307,0.547401309,90.23960114,85.23806,28.38476181,FALSE,0.1,TRUE,3,29,,Y,N,N
A10,SCr-506,O.mykiss,UNKNOWN,FAM,NFQ-MGB,34.71448517,34.96822739,0.702259123,26.46981621,23.8960247,9.660438538,FALSE,0.1,TRUE,3,31,,Y,N,N
