Block Type,96well,,,,,,,,,,,,,,,,
Chemistry,TAQMAN,,,,,,,,,,,,,,,,
Experiment File Name,Z:\Scott_Creek\qpcr\chloe temp\20201014_Scott_Creek_Omykiss_P1.eds,,,,,,,,,,,,,,,,
Experiment Run End Time,2020-10-14 11:31:09 AM PDT,,,,,,,,,,,,,,,,
Instrument Type,steponeplus,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Well,Sample Name,Target Name,Task,Reporter,Quencher,Cт,Cт Mean,Cт SD,Quantity,Quantity Mean,Quantity SD,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Comments
A1,,O.mykiss,STANDARD,FAM,NFQ-MGB,19.34679413,18.95820236,0.354398429,1000000,,,FALSE,0.1,TRUE,3,15,
A2,,O.mykiss,STANDARD,FAM,NFQ-MGB,18.87501717,18.95820236,0.354398429,1000000,,,FALSE,0.1,TRUE,3,15,
A3,,O.mykiss,STANDARD,FAM,NFQ-MGB,18.65279579,18.95820236,0.354398429,1000000,,,FALSE,0.1,TRUE,3,15,
A4,SCr-191,O.mykiss,UNKNOWN,FAM,NFQ-MGB,30.62744904,30.71581459,0.228142932,578.9404297,550.8156128,77.57691956,FALSE,0.1,TRUE,3,28,
A5,SCr-191,O.mykiss,UNKNOWN,FAM,NFQ-MGB,30.97492409,30.71581459,0.228142932,463.0991516,550.8156128,77.57691956,FALSE,0.1,TRUE,3,28,
A6,SCr-191,O.mykiss,UNKNOWN,FAM,NFQ-MGB,30.54507446,30.71581459,0.228142932,610.4073486,550.8156128,77.57691956,FALSE,0.1,TRUE,3,27,
A7,SCr-191-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,32.99478912,32.96908188,0.316973537,126.4877319,130.3930511,26.73790359,FALSE,0.1,TRUE,3,29,
A8,SCr-191-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,33.27241898,32.96908188,0.316973537,105.8225555,130.3930511,26.73790359,FALSE,0.1,TRUE,3,28,
A9,SCr-191-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,32.64003754,32.96908188,0.316973537,158.8688354,130.3930511,26.73790359,FALSE,0.1,TRUE,3,29,
A10,SCr-199,O.mykiss,UNKNOWN,FAM,NFQ-MGB,30.1047821,30.19750404,0.257658571,809.9896851,769.9500122,122.0342178,FALSE,0.1,TRUE,3,26,
A11,SCr-199,O.mykiss,UNKNOWN,FAM,NFQ-MGB,29.9990387,30.19750404,0.257658571,866.9343872,769.9500122,122.0342178,FALSE,0.1,TRUE,3,26,
A12,SCr-199,O.mykiss,UNKNOWN,FAM,NFQ-MGB,30.48869133,30.19750404,0.257658571,632.9260864,769.9500122,122.0342178,FALSE,0.1,TRUE,3,26,
B1,,O.mykiss,STANDARD,FAM,NFQ-MGB,22.80827332,22.59243774,0.188573629,100000,,,FALSE,0.1,TRUE,3,19,
B2,,O.mykiss,STANDARD,FAM,NFQ-MGB,22.45959473,22.59243774,0.188573629,100000,,,FALSE,0.1,TRUE,3,18,
B3,,O.mykiss,STANDARD,FAM,NFQ-MGB,22.50944519,22.59243774,0.188573629,100000,,,FALSE,0.1,TRUE,3,18,
B4,SCr-192,O.mykiss,UNKNOWN,FAM,NFQ-MGB,30.53233528,30.36260986,0.161978379,615.4241333,688.7993774,71.01541138,FALSE,0.1,TRUE,3,26,
B5,SCr-192,O.mykiss,UNKNOWN,FAM,NFQ-MGB,30.34580994,30.36260986,0.161978379,693.7816162,688.7993774,71.01541138,FALSE,0.1,TRUE,3,26,
B6,SCr-192,O.mykiss,UNKNOWN,FAM,NFQ-MGB,30.20968819,30.36260986,0.161978379,757.1925659,688.7993774,71.01541138,FALSE,0.1,TRUE,3,25,
B7,SCr-192-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,32.41075516,32.77334213,0.41856885,184.0848083,149.2621765,38.05002213,FALSE,0.1,TRUE,3,28,
B8,SCr-192-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,32.67787552,32.77334213,0.41856885,155.0530701,149.2621765,38.05002213,FALSE,0.1,TRUE,3,29,
B9,SCr-192-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,33.23139954,32.77334213,0.41856885,108.6486511,149.2621765,38.05002213,FALSE,0.1,TRUE,3,30,
B10,SCr-199-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,32.19896698,32.40136337,0.362282932,210.9189453,188.4084473,40.58602524,FALSE,0.1,TRUE,3,29,
B11,SCr-199-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,32.18550873,32.40136337,0.362282932,212.7507019,188.4084473,40.58602524,FALSE,0.1,TRUE,3,29,
