Block Type,96well,,,,,,,,,,,,,,,,,,,
Chemistry,TAQMAN,,,,,,,,,,,,,,,,,,,
Experiment File Name,Z:\Scott_Creek\qpcr\chloe temp\20201020_Scott_Creek_Okykiss_P1.eds,,,,,,,,,,,,,,,,,,,
Experiment Run End Time,2020-10-20 11:06:37 AM PDT,,,,,,,,,,,,,,,,,,,
Instrument Type,steponeplus,,,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Well,Sample Name,Target Name,Task,Reporter,Quencher,Cт,Cт Mean,Cт SD,Quantity,Quantity Mean,Quantity SD,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Comments,HIGHSD,NOAMP,EXPFAIL
A1,,O.mykiss,STANDARD,FAM,NFQ-MGB,19.63862801,19.16252708,0.446006417,1000000,,,FALSE,0.1,TRUE,3,15,,N,N,N
A2,,O.mykiss,STANDARD,FAM,NFQ-MGB,19.09452629,19.16252708,0.446006417,1000000,,,FALSE,0.1,TRUE,3,15,,N,N,N
A3,,O.mykiss,STANDARD,FAM,NFQ-MGB,18.75442505,19.16252708,0.446006417,1000000,,,FALSE,0.1,TRUE,3,14,,N,N,N
A4,SCr-174,O.mykiss,UNKNOWN,FAM,NFQ-MGB,31.28668213,31.10996437,0.158063486,383.3521423,429.849823,41.81580734,FALSE,0.1,TRUE,3,29,,N,N,N
A5,SCr-174,O.mykiss,UNKNOWN,FAM,NFQ-MGB,31.06113625,31.10996437,0.158063486,441.8275452,429.849823,41.81580734,FALSE,0.1,TRUE,3,26,,N,N,N
A6,SCr-174,O.mykiss,UNKNOWN,FAM,NFQ-MGB,30.98207855,31.10996437,0.158063486,464.3697205,429.849823,41.81580734,FALSE,0.1,TRUE,3,27,,N,N,N
A7,SCr-174-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,32.35624313,32.47546387,0.108668908,195.5349274,181.6837921,12.5611639,FALSE,0.1,TRUE,3,28,,N,N,N
A8,SCr-174-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,32.56896591,32.47546387,0.108668908,171.0309753,181.6837921,12.5611639,FALSE,0.1,TRUE,3,29,,N,N,N
A9,SCr-174-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,32.50118637,32.47546387,0.108668908,178.4854736,181.6837921,12.5611639,FALSE,0.1,TRUE,3,29,,N,N,N
A10,SCr-182,O.mykiss,UNKNOWN,FAM,NFQ-MGB,31.26283836,31.3335247,0.336064696,389.1488953,377.668457,76.90648651,FALSE,0.1,TRUE,3,28,,N,N,N
