Block Type,96well,,,,,,,,,,,,,,,,,,,
Chemistry,TAQMAN,,,,,,,,,,,,,,,,,,,
Experiment File Name,Z:\Scott_Creek\qpcr\chloe temp\20201026_Scott_Creek_Okitsuch_Chloe_P1.eds,,,,,,,,,,,,,,,,,,,
Experiment Run End Time,2020-10-26 16:37:09 PM PDT,,,,,,,,,,,,,,,,,,,
Instrument Type,steponeplus,,,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Well,Sample Name,Target Name,Task,Reporter,Quencher,Cт,Cт Mean,Cт SD,Quantity,Quantity Mean,Quantity SD,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Comments,HIGHSD,NOAMP,EXPFAIL
A1,,O.kitsuch,STANDARD,FAM,NFQ-MGB,20.12633514,19.97454262,0.131748185,1000000,,,FALSE,0.1,TRUE,3,15,,N,N,N
A2,,O.kitsuch,STANDARD,FAM,NFQ-MGB,19.90740395,19.97454262,0.131748185,1000000,,,FALSE,0.1,TRUE,3,16,,N,N,N
A3,,O.kitsuch,STANDARD,FAM,NFQ-MGB,19.88988686,19.97454262,0.131748185,1000000,,,FALSE,0.1,TRUE,3,16,,N,N,N
A4,SCr-368,O.kitsuch,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,N,Y
A5,SCr-368,O.kitsuch,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,N,Y
A6,SCr-368,O.kitsuch,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.1,TRUE,3,35,,N,N,N
A7,SCr-368-1:5,O.kitsuch,UNKNOWN,FAM,NFQ-MGB,Undetermined,39.06289673,0.252937734,,,,FALSE,0.1,TRUE,3,39,,N,N,Y
A8,SCr-368-1:5,O.kitsuch,UNKNOWN,FAM,NFQ-MGB,39.24174881,39.06289673,0.252937734,2.254145861,2.561645985,0.434870839,FALSE,0.1,TRUE,3,35,,N,N,N
A9,SCr-368-1:5,O.kitsuch,UNKNOWN,FAM,NFQ-MGB,38.88404083,39.06289673,0.252937734,2.869146109,2.561645985,0.434870839,FALSE,0.1,TRUE,3,34,,N,N,N
A10,SCr-376,O.kitsuch,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.1,TRUE,3,35,,N,N,N
