Block Type,96well,,,,,,,,,,,,,,,,,,,
Chemistry,TAQMAN,,,,,,,,,,,,,,,,,,,
Experiment File Name,C:\Users\kyamahara\Desktop\S1P_data\Scott_Creek_EDS\20201027_Scott_Creek_Okisutch_Kevan_P2.eds,,,,,,,,,,,,,,,,,,,
Experiment Run End Time,Not Started,,,,,,,,,,,,,,,,,,,
Instrument Type,steponeplus,,,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Well,Sample Name,Target Name,Task,Reporter,Quencher,Cт,Cт Mean,Cт SD,Quantity,Quantity Mean,Quantity SD,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Comments,HIGHSD,NOAMP,EXPFAIL
A1,,O.kisutch,STANDARD,FAM,NFQ-MGB,20.22599983,19.98221397,0.214699373,1000000,,,FALSE,0.1,TRUE,3,16,,N,N,N
A2,,O.kisutch,STANDARD,FAM,NFQ-MGB,19.89933205,19.98221397,0.214699373,1000000,,,FALSE,0.1,TRUE,3,16,,N,N,N
A3,,O.kisutch,STANDARD,FAM,NFQ-MGB,19.82130814,19.98221397,0.214699373,1000000,,,FALSE,0.1,TRUE,3,16,,N,N,N
A4,SCr-528,O.kisutch,UNKNOWN,FAM,NFQ-MGB,33.29998779,33.36271667,0.22617802,133.9779816,129.429306,18.98689461,FALSE,0.1,TRUE,3,29,,N,N,N
A5,SCr-528,O.kisutch,UNKNOWN,FAM,NFQ-MGB,33.61363983,33.36271667,0.22617802,108.5812073,129.429306,18.98689461,FALSE,0.1,TRUE,3,29,,N,N,N
A6,SCr-528,O.kisutch,UNKNOWN,FAM,NFQ-MGB,33.17452621,33.36271667,0.22617802,145.728714,129.429306,18.98689461,FALSE,0.1,TRUE,3,29,,N,N,N
A7,SCr-528-1:5,O.kisutch,UNKNOWN,FAM,NFQ-MGB,35.17927933,35.35042191,0.356708229,38.02975845,34.52936935,7.64340353,FALSE,0.1,TRUE,3,31,,N,N,N
A8,SCr-528-1:5,O.kisutch,UNKNOWN,FAM,NFQ-MGB,35.76045609,35.35042191,0.356708229,25.76261902,34.52936935,7.64340353,FALSE,0.1,TRUE,3,32,,N,N,N
A9,SCr-528-1:5,O.kisutch,UNKNOWN,FAM,NFQ-MGB,35.11154175,35.35042191,0.356708229,39.79573441,34.52936935,7.64340353,FALSE,0.1,TRUE,3,31,,N,N,N
A10,SCr-559,O.kisutch,UNKNOWN,FAM,NFQ-MGB,38.19102097,37.27592468,0.865451038,5.054161549,10.36858273,5.483938694,FALSE,0.1,TRUE,3,33,,Y,N,N
A11,SCr-559,O.kisutch,UNKNOWN,FAM,NFQ-MGB,36.4705925,37.27592468,0.865451038,16.00761795,10.36858273,5.483938694,FALSE,0.1,TRUE,3,33,,Y,N,N
A12,SCr-559,O.kisutch,UNKNOWN,FAM,NFQ-MGB,37.16615295,37.27592468,0.865451038,10.0439682,10.36858273,5.483938694,FALSE,0.1,TRUE,3,33,,Y,N,N
B1,,O.kisutch,STANDARD,FAM,NFQ-MGB,23.52164078,23.50793457,0.017413836,100000,,,FALSE,0.1,TRUE,3,19,,N,N,N
B2,,O.kisutch,STANDARD,FAM,NFQ-MGB,23.51382446,23.50793457,0.017413836,100000,,,FALSE,0.1,TRUE,3,19,,N,N,N
B3,,O.kisutch,STANDARD,FAM,NFQ-MGB,23.48834038,23.50793457,0.017413836,100000,,,FALSE,0.1,TRUE,3,19,,N,N,N
B4,SCr-534,O.kisutch,UNKNOWN,FAM,NFQ-MGB,35.94956589,36.80767441,0.772335291,22.69631958,14.01566029,7.638756752,FALSE,0.1,TRUE,3,32,,Y,N,N
B5,SCr-534,O.kisutch,UNKNOWN,FAM,NFQ-MGB,37.02639771,36.80767441,0.772335291,11.03003216,14.01566029,7.638756752,FALSE,0.1,TRUE,3,33,,Y,N,N
B6,SCr-534,O.kisutch,UNKNOWN,FAM,NFQ-MGB,37.44705963,36.80767441,0.772335291,8.320628166,14.01566029,7.638756752,FALSE,0.1,TRUE,3,34,,Y,N,N
B7,SCr-534-1:5,O.kisutch,UNKNOWN,FAM,NFQ-MGB,Undetermined,38.10970306,1.643451929,,,,FALSE,0.1,TRUE,3,39,,N,Y,Y
B8,SCr-534-1:5,O.kisutch,UNKNOWN,FAM,NFQ-MGB,39.27180099,38.10970306,1.643451929,2.449748039,7.03888464,6.490019321,FALSE,0.1,TRUE,3,35,,Y,N,N
B9,SCr-534-1:5,O.kisutch,UNKNOWN,FAM,NFQ-MGB,36.94760895,38.10970306,1.643451929,11.62802124,7.03888464,6.490019321,FALSE,0.1,TRUE,3,33,,Y,N,N
B10,SCr-559-1:5,O.kisutch,UNKNOWN,FAM,NFQ-MGB,37.81209183,38.06887436,0.415883183,6.515154839,5.620564938,1.425210714,FALSE,0.1,TRUE,3,34,,N,N,N
B11,SCr-559-1:5,O.kisutch,UNKNOWN,FAM,NFQ-MGB,37.84582901,38.06887436,0.415883183,6.369517803,5.620564938,1.425210714,FALSE,0.1,TRUE,3,34,,N,N,N
B12,SCr-559-1:5,O.kisutch,UNKNOWN,FAM,NFQ-MGB,38.54869843,38.06887436,0.415883183,3.977023125,5.620564938,1.425210714,FALSE,0.1,TRUE,3,34,,N,N,N
C1,,O.kisutch,STANDARD,FAM,NFQ-MGB,26.96242332,26.78383446,0.160467237,10000,,,FALSE,0.1,TRUE,3,23,,N,N,N
C2,,O.kisutch,STANDARD,FAM,NFQ-MGB,26.73730087,26.78383446,0.160467237,10000,,,FALSE,0.1,TRUE,3,23,,N,N,N
C3,,O.kisutch,STANDARD,FAM,NFQ-MGB,26.65177345,26.78383446,0.160467237,10000,,,FALSE,0.1,TRUE,3,22,,N,N,N
C4,SCr-537,O.kisutch,UNKNOWN,FAM,NFQ-MGB,36.01444244,36.13957977,0.203518674,21.73077011,20.10372353,2.626824141,FALSE,0.1,TRUE,3,32,,N,N,N
C5,SCr-537,O.kisutch,UNKNOWN,FAM,NFQ-MGB,36.02988052,36.13957977,0.203518674,21.50712395,20.10372353,2.626824141,FALSE,0.1,TRUE,3,32,,N,N,N
C6,SCr-537,O.kisutch,UNKNOWN,FAM,NFQ-MGB,36.37441254,36.13957977,0.203518674,17.07327843,20.10372353,2.626824141,FALSE,0.1,TRUE,3,32,,N,N,N
C7,SCr-537-1:5,O.kisutch,UNKNOWN,FAM,NFQ-MGB,38.04411697,37.85795975,0.632829249,5.577004433,6.724260807,3.004471064,FALSE,0.1,TRUE,3,33,,Y,N,N
C8,SCr-537-1:5,O.kisutch,UNKNOWN,FAM,NFQ-MGB,38.37683487,37.85795975,0.632829249,4.462453365,6.724260807,3.004471064,FALSE,0.1,TRUE,3,34,,Y,N,N
C9,SCr-537-1:5,O.kisutch,UNKNOWN,FAM,NFQ-MGB,37.15293503,37.85795975,0.632829249,10.13332558,6.724260807,3.004471064,FALSE,0.1,TRUE,3,33,,Y,N,N
C10,SCr-563,O.kisutch,UNKNOWN,FAM,NFQ-MGB,35.89550781,36.58771515,0.705734253,23.53354645,15.91339874,7.232389927,FALSE,0.1,TRUE,3,32,,Y,N,N
C11,SCr-563,O.kisutch,UNKNOWN,FAM,NFQ-MGB,37.30624008,36.58771515,0.705734253,9.144021988,15.91339874,7.232389927,FALSE,0.1,TRUE,3,33,,Y,N,N
C12,SCr-563,O.kisutch,UNKNOWN,FAM,NFQ-MGB,36.56139755,36.58771515,0.705734253,15.06262684,15.91339874,7.232389927,FALSE,0.1,TRUE,3,33,,Y,N,N
D1,,O.kisutch,STANDARD,FAM,NFQ-MGB,30.31461716,30.2980442,0.122429974,1000,,,FALSE,0.1,TRUE,3,26,,N,N,N
D2,,O.kisutch,STANDARD,FAM,NFQ-MGB,30.16817284,30.2980442,0.122429974,1000,,,FALSE,0.1,TRUE,3,26,,N,N,N
D3,,O.kisutch,STANDARD,FAM,NFQ-MGB,30.41134453,30.2980442,0.122429974,1000,,,FALSE,0.1,TRUE,3,26,,N,N,N
D4,SCr-EB22,O.kisutch,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,Y,Y
D5,SCr-EB22,O.kisutch,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,Y,Y
D6,SCr-EB22,O.kisutch,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,Y,Y
D7,SCr-EB22-1:5,O.kisutch,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,N,Y
D8,SCr-EB22-1:5,O.kisutch,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,Y,Y
D9,SCr-EB22-1:5,O.kisutch,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,N,Y
D10,SCr-563-1:5,O.kisutch,UNKNOWN,FAM,NFQ-MGB,38.6637764,38.53911209,0.176301956,3.681868076,4.016627312,0.473420709,FALSE,0.1,TRUE,3,35,,N,N,N
D11,SCr-563-1:5,O.kisutch,UNKNOWN,FAM,NFQ-MGB,38.41444778,38.53911209,0.176301956,4.35138607,4.016627312,0.473420709,FALSE,0.1,TRUE,3,35,,N,N,N
D12,SCr-563-1:5,O.kisutch,UNKNOWN,FAM,NFQ-MGB,Undetermined,38.53911209,0.176301956,,,,FALSE,0.1,TRUE,3,39,,N,Y,Y
E1,,O.kisutch,STANDARD,FAM,NFQ-MGB,33.47261429,33.66900253,0.242381603,100,,,FALSE,0.1,TRUE,3,29,,N,N,N
E2,,O.kisutch,STANDARD,FAM,NFQ-MGB,33.939888,33.66900253,0.242381603,100,,,FALSE,0.1,TRUE,3,30,,N,N,N
E3,,O.kisutch,STANDARD,FAM,NFQ-MGB,33.5945015,33.66900253,0.242381603,100,,,FALSE,0.1,TRUE,3,29,,N,N,N
E4,SCr-545,O.kisutch,UNKNOWN,FAM,NFQ-MGB,39.51215363,39.39703751,0.11400193,2.085327148,2.256936312,0.172091112,FALSE,0.1,TRUE,3,34,,N,N,N
E5,SCr-545,O.kisutch,UNKNOWN,FAM,NFQ-MGB,39.39477158,39.39703751,0.11400193,2.255976677,2.256936312,0.172091112,FALSE,0.1,TRUE,3,34,,N,N,N
E6,SCr-545,O.kisutch,UNKNOWN,FAM,NFQ-MGB,39.2841835,39.39703751,0.11400193,2.429505348,2.256936312,0.172091112,FALSE,0.1,TRUE,3,34,,N,N,N
E7,SCr-545-1:5,O.kisutch,UNKNOWN,FAM,NFQ-MGB,37.39612579,37.2690773,0.150418818,8.609517097,9.406769753,0.964067698,FALSE,0.1,TRUE,3,34,,N,N,N
E8,SCr-545-1:5,O.kisutch,UNKNOWN,FAM,NFQ-MGB,37.3081131,37.2690773,0.150418818,9.132553101,9.406769753,0.964067698,FALSE,0.1,TRUE,3,33,,N,N,N
E9,SCr-545-1:5,O.kisutch,UNKNOWN,FAM,NFQ-MGB,37.10298538,37.2690773,0.150418818,10.47823906,9.406769753,0.964067698,FALSE,0.1,TRUE,3,33,,N,N,N
E10,SCr-564,O.kisutch,UNKNOWN,FAM,NFQ-MGB,36.48266983,36.86802292,0.625955284,15.87859249,12.93638515,4.663635731,FALSE,0.1,TRUE,3,32,,Y,N,N
E11,SCr-564,O.kisutch,UNKNOWN,FAM,NFQ-MGB,36.53112411,36.86802292,0.625955284,15.37130928,12.93638515,4.663635731,FALSE,0.1,TRUE,3,33,,Y,N,N
E12,SCr-564,O.kisutch,UNKNOWN,FAM,NFQ-MGB,37.590271,36.86802292,0.625955284,7.559252262,12.93638515,4.663635731,FALSE,0.1,TRUE,3,33,,Y,N,N
F1,,O.kisutch,STANDARD,FAM,NFQ-MGB,36.82102203,37.36136246,0.742530167,10,,,FALSE,0.1,TRUE,3,33,,Y,N,N
F2,,O.kisutch,STANDARD,FAM,NFQ-MGB,38.20805359,37.36136246,0.742530167,10,,,FALSE,0.1,TRUE,3,35,,Y,N,N
F3,,O.kisutch,STANDARD,FAM,NFQ-MGB,37.05501556,37.36136246,0.742530167,10,,,FALSE,0.1,TRUE,3,33,,Y,N,N
F4,SCr-546,O.kisutch,UNKNOWN,FAM,NFQ-MGB,35.34807968,35.16657639,0.24262622,33.96248627,38.70268631,6.516551018,FALSE,0.1,TRUE,3,31,,N,N,N
F5,SCr-546,O.kisutch,UNKNOWN,FAM,NFQ-MGB,34.89099884,35.16657639,0.24262622,46.1337471,38.70268631,6.516551018,FALSE,0.1,TRUE,3,31,,N,N,N
F6,SCr-546,O.kisutch,UNKNOWN,FAM,NFQ-MGB,35.26064301,35.16657639,0.24262622,36.01182938,38.70268631,6.516551018,FALSE,0.1,TRUE,3,31,,N,N,N
F7,SCr-546-1:5,O.kisutch,UNKNOWN,FAM,NFQ-MGB,Undetermined,37.73558044,2.142637968,,,,FALSE,0.1,TRUE,3,39,,N,Y,Y
F8,SCr-546-1:5,O.kisutch,UNKNOWN,FAM,NFQ-MGB,39.25065613,37.73558044,2.142637968,2.484705925,10.70637894,11.62720203,FALSE,0.1,TRUE,3,35,,Y,N,N
F9,SCr-546-1:5,O.kisutch,UNKNOWN,FAM,NFQ-MGB,36.22050858,37.73558044,2.142637968,18.9280529,10.70637894,11.62720203,FALSE,0.1,TRUE,3,32,,Y,N,N
F10,SCr-564-1:5,O.kisutch,UNKNOWN,FAM,NFQ-MGB,Undetermined,38.62907028,,,,,FALSE,0.1,TRUE,3,39,,N,Y,Y
F11,SCr-564-1:5,O.kisutch,UNKNOWN,FAM,NFQ-MGB,Undetermined,38.62907028,,,,,FALSE,0.1,TRUE,3,39,,N,N,Y
F12,SCr-564-1:5,O.kisutch,UNKNOWN,FAM,NFQ-MGB,38.62907028,38.62907028,,3.768498659,3.768498659,,FALSE,0.1,TRUE,3,34,,N,N,N
G1,,O.kisutch,STANDARD,FAM,NFQ-MGB,38.50753021,38.04030228,0.660760105,5,,,FALSE,0.1,TRUE,3,34,,Y,N,N
G2,,O.kisutch,STANDARD,FAM,NFQ-MGB,37.57307434,38.04030228,0.660760105,5,,,FALSE,0.1,TRUE,3,33,,Y,N,N
G3,,O.kisutch,STANDARD,FAM,NFQ-MGB,Undetermined,38.04030228,0.660760105,5,,,FALSE,0.1,TRUE,3,39,,N,Y,Y
G4,SCr-554,O.kisutch,UNKNOWN,FAM,NFQ-MGB,34.66875076,34.75523758,0.077049099,53.54232025,50.57266235,2.639529705,FALSE,0.1,TRUE,3,29,,N,N,N
G5,SCr-554,O.kisutch,UNKNOWN,FAM,NFQ-MGB,34.81654739,34.75523758,0.077049099,48.49372101,50.57266235,2.639529705,FALSE,0.1,TRUE,3,30,,N,N,N
G6,SCr-554,O.kisutch,UNKNOWN,FAM,NFQ-MGB,34.78042221,34.75523758,0.077049099,49.68194962,50.57266235,2.639529705,FALSE,0.1,TRUE,3,31,,N,N,N
G7,SCr-554-1:5,O.kisutch,UNKNOWN,FAM,NFQ-MGB,36.89409256,36.58443069,0.403988332,12.05258179,15.21205139,4.328528404,FALSE,0.1,TRUE,3,33,,N,N,N
G8,SCr-554-1:5,O.kisutch,UNKNOWN,FAM,NFQ-MGB,36.73174286,36.58443069,0.403988332,13.43776321,15.21205139,4.328528404,FALSE,0.1,TRUE,3,32,,N,N,N
G9,SCr-554-1:5,O.kisutch,UNKNOWN,FAM,NFQ-MGB,36.12746048,36.58443069,0.403988332,20.14580917,15.21205139,4.328528404,FALSE,0.1,TRUE,3,31,,N,N,N
G10,SCr-568,O.kisutch,UNKNOWN,FAM,NFQ-MGB,35.00306702,35.1833725,0.771281958,42.79615402,41.18115616,18.90327454,FALSE,0.1,TRUE,3,31,,Y,N,N
G11,SCr-568,O.kisutch,UNKNOWN,FAM,NFQ-MGB,34.51821518,35.1833725,0.771281958,59.22511673,41.18115616,18.90327454,FALSE,0.1,TRUE,3,30,,Y,N,N
G12,SCr-568,O.kisutch,UNKNOWN,FAM,NFQ-MGB,36.0288353,35.1833725,0.771281958,21.52219391,41.18115616,18.90327454,FALSE,0.1,TRUE,3,32,,Y,N,N
H1,,O.kisutch,NTC,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,N,N
H2,,O.kisutch,NTC,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,N,N
H3,,O.kisutch,NTC,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,N,N
H4,SCr-555,O.kisutch,UNKNOWN,FAM,NFQ-MGB,35.78866959,35.59618759,0.39210543,25.28013229,29.45866966,8.205535889,FALSE,0.1,TRUE,3,32,,N,N,N
H5,SCr-555,O.kisutch,UNKNOWN,FAM,NFQ-MGB,35.85485458,35.59618759,0.39210543,24.18344879,29.45866966,8.205535889,FALSE,0.1,TRUE,3,32,,N,N,N
H6,SCr-555,O.kisutch,UNKNOWN,FAM,NFQ-MGB,35.1450386,35.59618759,0.39210543,38.91242599,29.45866966,8.205535889,FALSE,0.1,TRUE,3,31,,N,N,N
H7,SCr-555-1:5,O.kisutch,UNKNOWN,FAM,NFQ-MGB,35.98801804,36.05905151,0.728567243,22.11898232,22.75971794,10.43329525,FALSE,0.1,TRUE,3,32,,Y,N,N
H8,SCr-555-1:5,O.kisutch,UNKNOWN,FAM,NFQ-MGB,36.82053375,36.05905151,0.728567243,12.6615572,22.75971794,10.43329525,FALSE,0.1,TRUE,3,32,,Y,N,N
H9,SCr-555-1:5,O.kisutch,UNKNOWN,FAM,NFQ-MGB,35.36860275,36.05905151,0.728567243,33.49861526,22.75971794,10.43329525,FALSE,0.1,TRUE,3,31,,Y,N,N
H10,SCr-568-1:5,O.kisutch,UNKNOWN,FAM,NFQ-MGB,35.91165543,36.94441605,1.130999684,23.28027534,13.8583765,9.071086884,FALSE,0.1,TRUE,3,31,,Y,N,N
H11,SCr-568-1:5,O.kisutch,UNKNOWN,FAM,NFQ-MGB,38.15304947,36.94441605,1.130999684,5.184412479,13.8583765,9.071086884,FALSE,0.1,TRUE,3,35,,Y,N,N
H12,SCr-568-1:5,O.kisutch,UNKNOWN,FAM,NFQ-MGB,36.76854324,36.94441605,1.130999684,13.11044312,13.8583765,9.071086884,FALSE,0.1,TRUE,3,32,,Y,N,N
