Block Type,96well,,,,,,,,,,,,,,,,,,,,
Chemistry,TAQMAN,,,,,,,,,,,,,,,,,,,,
Experiment File Name,C:\Users\kyamahara\Desktop\S1P_data\Scott_Creek_EDS\20201028_Scott_Creek_Okisutch_Kevan_P1.eds,,,,,,,,,,,,,,,,,,,,
Experiment Run End Time,2020-10-28 13:25:03 PM PDT,,,,,,,,,,,,,,,,,,,,
Instrument Type,steponeplus,,,,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Well,Sample Name,Target Name,Task,Reporter,Quencher,Cт,Cт Mean,Cт SD,Quantity,Quantity Mean,Quantity SD,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Comments,HIGHSD,NOAMP,OUTLIERRG,EXPFAIL
A1,,O.kisutch,STANDARD,FAM,NFQ-MGB,19.77122879,19.75475883,0.079583272,1000000,,,FALSE,0.1,TRUE,3,16,,N,N,N,N
A2,,O.kisutch,STANDARD,FAM,NFQ-MGB,19.82481956,19.75475883,0.079583272,1000000,,,FALSE,0.1,TRUE,3,15,,N,N,N,N
A3,,O.kisutch,STANDARD,FAM,NFQ-MGB,19.66823006,19.75475883,0.079583272,1000000,,,FALSE,0.1,TRUE,3,15,,N,N,N,N
A4,SCr-572,O.kisutch,UNKNOWN,FAM,NFQ-MGB,38.18198395,38.63036728,0.752364933,6.584774971,5.293365479,2.135488749,FALSE,0.1,TRUE,3,34,,Y,N,N,N
A5,SCr-572,O.kisutch,UNKNOWN,FAM,NFQ-MGB,38.21014404,38.63036728,0.752364933,6.466866016,5.293365479,2.135488749,FALSE,0.1,TRUE,3,34,,Y,N,N,N
A6,SCr-572,O.kisutch,UNKNOWN,FAM,NFQ-MGB,39.49897003,38.63036728,0.752364933,2.828455448,5.293365479,2.135488749,FALSE,0.1,TRUE,3,35,,Y,N,Y,N
A7,SCr-572-1:5,O.kisutch,UNKNOWN,FAM,NFQ-MGB,Undetermined,38.42260361,,,,,FALSE,0.1,TRUE,3,39,,N,Y,N,Y
A8,SCr-572-1:5,O.kisutch,UNKNOWN,FAM,NFQ-MGB,38.42260361,38.42260361,,5.642737389,5.642737389,,FALSE,0.1,TRUE,3,34,,N,N,N,N
A9,SCr-572-1:5,O.kisutch,UNKNOWN,FAM,NFQ-MGB,Undetermined,38.42260361,,,,,FALSE,0.1,TRUE,3,39,,N,N,N,Y
A10,SCr-Match1A,O.kisutch,UNKNOWN,FAM,NFQ-MGB,34.93852615,35.00259399,0.154178485,52.76713943,50.80443192,4.89048481,FALSE,0.1,TRUE,3,31,,N,N,N,N
A11,SCr-Match1A,O.kisutch,UNKNOWN,FAM,NFQ-MGB,34.8907814,35.00259399,0.154178485,54.40867233,50.80443192,4.89048481,FALSE,0.1,TRUE,3,30,,N,N,N,N
A12,SCr-Match1A,O.kisutch,UNKNOWN,FAM,NFQ-MGB,35.17847824,35.00259399,0.154178485,45.23748398,50.80443192,4.89048481,FALSE,0.1,TRUE,3,31,,N,N,N,N
B1,,O.kisutch,STANDARD,FAM,NFQ-MGB,23.14599228,23.257658,0.098554201,100000,,,FALSE,0.1,TRUE,3,19,,N,N,N,N
B2,,O.kisutch,STANDARD,FAM,NFQ-MGB,23.33249283,23.257658,0.098554201,100000,,,FALSE,0.1,TRUE,3,19,,N,N,N,N
B3,,O.kisutch,STANDARD,FAM,NFQ-MGB,23.294487,23.257658,0.098554201,100000,,,FALSE,0.1,TRUE,3,19,,N,N,N,N
B4,SCr-573,O.kisutch,UNKNOWN,FAM,NFQ-MGB,37.08742142,37.18873215,0.165375426,13.29082584,12.50017643,1.283722043,FALSE,0.1,TRUE,3,33,,N,N,N,N
B5,SCr-573,O.kisutch,UNKNOWN,FAM,NFQ-MGB,37.09920502,37.18873215,0.165375426,13.19071484,12.50017643,1.283722043,FALSE,0.1,TRUE,3,33,,N,N,N,N
B6,SCr-573,O.kisutch,UNKNOWN,FAM,NFQ-MGB,37.37957001,37.18873215,0.165375426,11.01898956,12.50017643,1.283722043,FALSE,0.1,TRUE,3,33,,N,N,N,N
B7,SCr-573-1:5,O.kisutch,UNKNOWN,FAM,NFQ-MGB,38.42369461,37.83107376,0.614121497,5.6387887,8.685620308,3.419770479,FALSE,0.1,TRUE,3,34,,Y,N,N,N
B8,SCr-573-1:5,O.kisutch,UNKNOWN,FAM,NFQ-MGB,37.87203598,37.83107376,0.614121497,8.03361702,8.685620308,3.419770479,FALSE,0.1,TRUE,3,33,,Y,N,N,N
B9,SCr-573-1:5,O.kisutch,UNKNOWN,FAM,NFQ-MGB,37.19750214,37.83107376,0.614121497,12.38445377,8.685620308,3.419770479,FALSE,0.1,TRUE,3,33,,Y,N,N,N
B10,SCr-Match1A-1:5,O.kisutch,UNKNOWN,FAM,NFQ-MGB,35.92889023,35.95750427,0.313843966,27.95042992,27.81079865,5.49659729,FALSE,0.1,TRUE,3,32,,N,N,N,N
B11,SCr-Match1A-1:5,O.kisutch,UNKNOWN,FAM,NFQ-MGB,35.65894318,35.95750427,0.313843966,33.23624802,27.81079865,5.49659729,FALSE,0.1,TRUE,3,31,,N,N,N,N
B12,SCr-Match1A-1:5,O.kisutch,UNKNOWN,FAM,NFQ-MGB,36.28467178,35.95750427,0.313843966,22.24571419,27.81079865,5.49659729,FALSE,0.1,TRUE,3,32,,N,N,N,N
C1,,O.kisutch,STANDARD,FAM,NFQ-MGB,26.54338646,26.6103344,0.072316907,10000,,,FALSE,0.1,TRUE,3,22,,N,N,N,N
C2,,O.kisutch,STANDARD,FAM,NFQ-MGB,26.68703079,26.6103344,0.072316907,10000,,,FALSE,0.1,TRUE,3,22,,N,N,N,N
C3,,O.kisutch,STANDARD,FAM,NFQ-MGB,26.60058212,26.6103344,0.072316907,10000,,,FALSE,0.1,TRUE,3,22,,N,N,N,N
C4,SCr-577,O.kisutch,UNKNOWN,FAM,NFQ-MGB,38.33795547,38.33795547,,5.957689762,5.957689762,,FALSE,0.1,TRUE,3,34,,N,N,N,N
