Block Type,96well,,,,,,,,,,,,,,,,,,
Chemistry,TAQMAN,,,,,,,,,,,,,,,,,,
Experiment File Name,Z:\Scott_Creek\chloe\20201028_Scott_Creek_Omykiss_Chloe_P1.eds,,,,,,,,,,,,,,,,,,
Experiment Run End Time,2020-10-28 11:45:25 AM PDT,,,,,,,,,,,,,,,,,,
Instrument Type,steponeplus,,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Well,Sample Name,Target Name,Task,Reporter,Quencher,Cт,Cт Mean,Cт SD,Quantity,Quantity Mean,Quantity SD,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Comments,HIGHSD,EXPFAIL
A1,,O.mykiss,STANDARD,FAM,NFQ-MGB,19.25367737,19.09232712,0.141218692,1000000,,,FALSE,0.1,TRUE,3,15,,N,N
A2,,O.mykiss,STANDARD,FAM,NFQ-MGB,19.0320797,19.09232712,0.141218692,1000000,,,FALSE,0.1,TRUE,3,15,,N,N
A3,,O.mykiss,STANDARD,FAM,NFQ-MGB,18.99122429,19.09232712,0.141218692,1000000,,,FALSE,0.1,TRUE,3,15,,N,N
A4,SCr-340,O.mykiss,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,Y
A5,SCr-340,O.mykiss,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,Y
A6,SCr-340,O.mykiss,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,Y
A7,SCr-340-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,Y
A8,SCr-340-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,Y
A9,SCr-340-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,Y
A10,SCr-348,O.mykiss,UNKNOWN,FAM,NFQ-MGB,32.93775558,32.97920227,0.395083666,122.3576965,121.6526718,29.57331276,FALSE,0.1,TRUE,3,29,,N,N
A11,SCr-348,O.mykiss,UNKNOWN,FAM,NFQ-MGB,32.60647583,32.97920227,0.395083666,150.8671722,121.6526718,29.57331276,FALSE,0.1,TRUE,3,28,,N,N
A12,SCr-348,O.mykiss,UNKNOWN,FAM,NFQ-MGB,33.3933754,32.97920227,0.395083666,91.7331543,121.6526718,29.57331276,FALSE,0.1,TRUE,3,29,,N,N
B1,,O.mykiss,STANDARD,FAM,NFQ-MGB,22.32043648,22.39608765,0.092181653,100000,,,FALSE,0.1,TRUE,3,18,,N,N
B2,,O.mykiss,STANDARD,FAM,NFQ-MGB,22.36906624,22.39608765,0.092181653,100000,,,FALSE,0.1,TRUE,3,18,,N,N
B3,,O.mykiss,STANDARD,FAM,NFQ-MGB,22.49876022,22.39608765,0.092181653,100000,,,FALSE,0.1,TRUE,3,18,,N,N
B4,SCr-341,O.mykiss,UNKNOWN,FAM,NFQ-MGB,35.02116776,34.57815552,0.420686126,32.77659988,44.38484192,11.43747139,FALSE,0.1,TRUE,3,31,,N,N
B5,SCr-341,O.mykiss,UNKNOWN,FAM,NFQ-MGB,34.52922821,34.57815552,0.420686126,44.7344017,44.38484192,11.43747139,FALSE,0.1,TRUE,3,31,,N,N
B6,SCr-341,O.mykiss,UNKNOWN,FAM,NFQ-MGB,34.1840744,34.57815552,0.420686126,55.64352798,44.38484192,11.43747139,FALSE,0.1,TRUE,3,29,,N,N
B7,SCr-341-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,32.56391907,32.70315552,0.122058533,154.9815674,142.207016,11.18172836,FALSE,0.1,TRUE,3,29,,N,N
B8,SCr-341-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,32.75385666,32.70315552,0.122058533,137.4442596,142.207016,11.18172836,FALSE,0.1,TRUE,3,29,,N,N
B9,SCr-341-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,32.79169464,32.70315552,0.122058533,134.1952057,142.207016,11.18172836,FALSE,0.1,TRUE,3,29,,N,N
B10,SCr-348-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,33.1584053,32.86329651,0.308507621,106.425293,129.9000397,25.51211929,FALSE,0.1,TRUE,3,29,,N,N
B11,SCr-348-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,32.54294205,32.86329651,0.308507621,157.0507355,129.9000397,25.51211929,FALSE,0.1,TRUE,3,29,,N,N
B12,SCr-348-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,32.8885498,32.86329651,0.308507621,126.2241058,129.9000397,25.51211929,FALSE,0.1,TRUE,3,29,,N,N
C1,,O.mykiss,STANDARD,FAM,NFQ-MGB,25.8308754,25.64039612,0.166754261,10000,,,FALSE,0.1,TRUE,3,22,,N,N
C2,,O.mykiss,STANDARD,FAM,NFQ-MGB,25.56956291,25.64039612,0.166754261,10000,,,FALSE,0.1,TRUE,3,21,,N,N
C3,,O.mykiss,STANDARD,FAM,NFQ-MGB,25.52075386,25.64039612,0.166754261,10000,,,FALSE,0.1,TRUE,3,21,,N,N
C4,SCr-342,O.mykiss,UNKNOWN,FAM,NFQ-MGB,31.55564308,31.5750351,0.12108434,293.1800537,290.1701355,21.99842834,FALSE,0.1,TRUE,3,27,,N,N
C5,SCr-342,O.mykiss,UNKNOWN,FAM,NFQ-MGB,31.46481705,31.5750351,0.12108434,310.508606,290.1701355,21.99842834,FALSE,0.1,TRUE,3,27,,N,N
C6,SCr-342,O.mykiss,UNKNOWN,FAM,NFQ-MGB,31.70464516,31.5750351,0.12108434,266.8217163,290.1701355,21.99842834,FALSE,0.1,TRUE,3,28,,N,N
C7,SCr-342-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,33.12769699,33.1099968,0.241126612,108.5117645,110.5896225,16.94950294,FALSE,0.1,TRUE,3,29,,N,N
C8,SCr-342-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,33.34178162,33.1099968,0.241126612,94.77483368,110.5896225,16.94950294,FALSE,0.1,TRUE,3,29,,N,N
C9,SCr-342-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,32.86050415,33.1099968,0.241126612,128.482254,110.5896225,16.94950294,FALSE,0.1,TRUE,3,29,,N,N
