Block Type,96well,,,,,,,,,,,,,,,,,,,,
Chemistry,TAQMAN,,,,,,,,,,,,,,,,,,,,
Experiment File Name,C:\Users\kyamahara\Desktop\S1P_data\Scott_Creek_EDS\20201028_Scott_Creek_Omykiss_Kevan_P1.eds,,,,,,,,,,,,,,,,,,,,
Experiment Run End Time,2020-10-28 09:55:57 AM PDT,,,,,,,,,,,,,,,,,,,,
Instrument Type,steponeplus,,,,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Well,Sample Name,Target Name,Task,Reporter,Quencher,Cт,Cт Mean,Cт SD,Quantity,Quantity Mean,Quantity SD,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Comments,HIGHSD,NOAMP,OUTLIERRG,EXPFAIL
A1,,O.mykiss,STANDARD,FAM,NFQ-MGB,19.18801498,19.24782181,0.078020193,1000000,,,FALSE,0.1,TRUE,3,14,,N,N,N,N
A2,,O.mykiss,STANDARD,FAM,NFQ-MGB,19.33607292,19.24782181,0.078020193,1000000,,,FALSE,0.1,TRUE,3,15,,N,N,N,N
A3,,O.mykiss,STANDARD,FAM,NFQ-MGB,19.21937561,19.24782181,0.078020193,1000000,,,FALSE,0.1,TRUE,3,15,,N,N,N,N
A4,SCr-572,O.mykiss,UNKNOWN,FAM,NFQ-MGB,35.65224457,35.54362106,0.70611006,18.30223083,21.14092636,10.00405788,FALSE,0.1,TRUE,3,31,,Y,N,N,N
A5,SCr-572,O.mykiss,UNKNOWN,FAM,NFQ-MGB,36.18912506,35.54362106,0.70611006,12.86297894,21.14092636,10.00405788,FALSE,0.1,TRUE,3,33,,Y,N,N,N
A6,SCr-572,O.mykiss,UNKNOWN,FAM,NFQ-MGB,34.78949356,35.54362106,0.70611006,32.25756836,21.14092636,10.00405788,FALSE,0.1,TRUE,3,31,,Y,N,N,N
A7,SCr-572-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,37.09567642,37.34615707,0.605262399,7.091179848,6.314627171,2.208848715,FALSE,0.1,TRUE,3,33,,Y,N,N,N
A8,SCr-572-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,36.90633774,37.34615707,0.605262399,8.030331612,6.314627171,2.208848715,FALSE,0.1,TRUE,3,33,,Y,N,N,N
A9,SCr-572-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,38.03644943,37.34615707,0.605262399,3.822369099,6.314627171,2.208848715,FALSE,0.1,TRUE,3,34,,Y,N,N,N
A10,SCr-Match1A,O.mykiss,UNKNOWN,FAM,NFQ-MGB,32.03859329,32.20973587,0.335834205,196.5236206,178.3681641,36.62781143,FALSE,0.1,TRUE,3,29,,N,N,N,N
A11,SCr-Match1A,O.mykiss,UNKNOWN,FAM,NFQ-MGB,31.9939518,32.20973587,0.335834205,202.3718872,178.3681641,36.62781143,FALSE,0.1,TRUE,3,29,,N,N,N,N
A12,SCr-Match1A,O.mykiss,UNKNOWN,FAM,NFQ-MGB,32.59666824,32.20973587,0.335834205,136.2090149,178.3681641,36.62781143,FALSE,0.1,TRUE,3,28,,N,N,N,N
B1,,O.mykiss,STANDARD,FAM,NFQ-MGB,22.07132149,22.62671471,0.483688205,100000,,,FALSE,0.1,TRUE,3,18,,N,N,N,N
B2,,O.mykiss,STANDARD,FAM,NFQ-MGB,22.95548058,22.62671471,0.483688205,100000,,,FALSE,0.1,TRUE,3,19,,N,N,N,N
B3,,O.mykiss,STANDARD,FAM,NFQ-MGB,22.85334206,22.62671471,0.483688205,100000,,,FALSE,0.1,TRUE,3,19,,N,N,N,N
B4,SCr-573,O.mykiss,UNKNOWN,FAM,NFQ-MGB,36.06998062,35.69894028,0.701232851,13.91013527,19.1391983,9.57820797,FALSE,0.1,TRUE,3,32,,Y,N,N,N
B5,SCr-573,O.mykiss,UNKNOWN,FAM,NFQ-MGB,34.89014435,35.69894028,0.701232851,30.19379807,19.1391983,9.57820797,FALSE,0.1,TRUE,3,31,,Y,N,N,N
B6,SCr-573,O.mykiss,UNKNOWN,FAM,NFQ-MGB,36.13669968,35.69894028,0.701232851,13.31366348,19.1391983,9.57820797,FALSE,0.1,TRUE,3,33,,Y,N,N,N
B7,SCr-573-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,36.32912064,36.69050217,0.46318379,11.73284435,9.527939796,2.664806128,FALSE,0.1,TRUE,3,32,,N,N,N,N
B8,SCr-573-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,36.52973175,36.69050217,0.46318379,10.2842474,9.527939796,2.664806128,FALSE,0.1,TRUE,3,32,,N,N,N,N
B9,SCr-573-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,37.21264648,36.69050217,0.46318379,6.566727638,9.527939796,2.664806128,FALSE,0.1,TRUE,3,33,,N,N,N,N
B10,SCr-Match1A-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,33.98594666,34.3896637,0.447183073,54.6851387,43.13192368,12.07828236,FALSE,0.1,TRUE,3,30,,N,N,N,N
B11,SCr-Match1A-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,34.31271744,34.3896637,0.447183073,44.12120819,43.13192368,12.07828236,FALSE,0.1,TRUE,3,31,,N,N,N,N
B12,SCr-Match1A-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,34.870327,34.3896637,0.447183073,30.58942223,43.13192368,12.07828236,FALSE,0.1,TRUE,3,31,,N,N,N,N
C1,,O.mykiss,STANDARD,FAM,NFQ-MGB,25.37589264,25.46632957,0.308199555,10000,,,FALSE,0.1,TRUE,3,22,,N,N,N,N
C2,,O.mykiss,STANDARD,FAM,NFQ-MGB,25.80962753,25.46632957,0.308199555,10000,,,FALSE,0.1,TRUE,3,21,,N,N,N,N
C3,,O.mykiss,STANDARD,FAM,NFQ-MGB,25.21346283,25.46632957,0.308199555,10000,,,FALSE,0.1,TRUE,3,21,,N,N,N,N
C4,SCr-577,O.mykiss,UNKNOWN,FAM,NFQ-MGB,35.04099655,35.78477097,0.778181553,27.34527397,18.2381134,8.763845444,FALSE,0.1,TRUE,3,31,,Y,N,N,N
C5,SCr-577,O.mykiss,UNKNOWN,FAM,NFQ-MGB,35.72000122,35.78477097,0.778181553,17.50548935,18.2381134,8.763845444,FALSE,0.1,TRUE,3,32,,Y,N,N,N
C6,SCr-577,O.mykiss,UNKNOWN,FAM,NFQ-MGB,36.59331131,35.78477097,0.778181553,9.863575935,18.2381134,8.763845444,FALSE,0.1,TRUE,3,33,,Y,N,N,N
C7,SCr-577-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,38.55892563,38.02827454,0.750451267,2.711935997,4.078788757,1.933021665,FALSE,0.1,TRUE,3,35,,Y,N,N,N
C8,SCr-577-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,37.49762726,38.02827454,0.750451267,5.445641518,4.078788757,1.933021665,FALSE,0.1,TRUE,3,33,,Y,N,N,N
C9,SCr-577-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,Undetermined,38.02827454,0.750451267,,,,FALSE,0.1,TRUE,3,39,,N,N,N,Y
C10,SCr-Match1E,O.mykiss,UNKNOWN,FAM,NFQ-MGB,32.87334061,33.70895386,0.785770178,113.5732651,71.76796722,37.58538055,FALSE,0.1,TRUE,3,29,,Y,N,N,N
C11,SCr-Match1E,O.mykiss,UNKNOWN,FAM,NFQ-MGB,34.43294144,33.70895386,0.785770178,40.77083588,71.76796722,37.58538055,FALSE,0.1,TRUE,3,29,,Y,N,N,N
C12,SCr-Match1E,O.mykiss,UNKNOWN,FAM,NFQ-MGB,33.82058716,33.70895386,0.785770178,60.95978928,71.76796722,37.58538055,FALSE,0.1,TRUE,3,29,,Y,N,N,N
D1,,O.mykiss,STANDARD,FAM,NFQ-MGB,29.24030685,29.30993652,0.288715839,1000,,,FALSE,0.1,TRUE,3,25,,N,N,N,N
D2,,O.mykiss,STANDARD,FAM,NFQ-MGB,29.06240082,29.30993652,0.288715839,1000,,,FALSE,0.1,TRUE,3,25,,N,N,N,N
D3,,O.mykiss,STANDARD,FAM,NFQ-MGB,29.62709808,29.30993652,0.288715839,1000,,,FALSE,0.1,TRUE,3,26,,N,N,N,N
D4,SCr-581,O.mykiss,UNKNOWN,FAM,NFQ-MGB,31.99024963,32.30218124,0.471984863,202.864624,170.3096924,47.58873749,FALSE,0.1,TRUE,3,28,,N,N,N,N
D5,SCr-581,O.mykiss,UNKNOWN,FAM,NFQ-MGB,32.8451767,32.30218124,0.471984863,115.693985,170.3096924,47.58873749,FALSE,0.1,TRUE,3,29,,N,N,N,N
D6,SCr-581,O.mykiss,UNKNOWN,FAM,NFQ-MGB,32.07110977,32.30218124,0.471984863,192.3704529,170.3096924,47.58873749,FALSE,0.1,TRUE,3,28,,N,N,N,N
D7,SCr-581-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,33.6816864,34.46182632,0.675745845,66.78353119,42.90320969,20.68262482,FALSE,0.1,TRUE,3,29,,Y,N,Y,N
D8,SCr-581-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,34.8647728,34.46182632,0.675745845,30.701231,42.90320969,20.68262482,FALSE,0.1,TRUE,3,31,,Y,N,N,N
D9,SCr-581-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,34.8390274,34.46182632,0.675745845,31.22485924,42.90320969,20.68262482,FALSE,0.1,TRUE,3,30,,Y,N,N,N
D10,SCr-Match1E-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,35.38723373,36.20866394,0.719611406,21.78246117,13.74132156,6.998111725,FALSE,0.1,TRUE,3,31,,Y,N,N,N
D11,SCr-Match1E-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,36.72790909,36.20866394,0.719611406,9.028923988,13.74132156,6.998111725,FALSE,0.1,TRUE,3,33,,Y,N,N,N
D12,SCr-Match1E-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,36.51085281,36.20866394,0.719611406,10.41257954,13.74132156,6.998111725,FALSE,0.1,TRUE,3,32,,Y,N,N,N
E1,,O.mykiss,STANDARD,FAM,NFQ-MGB,33.24971771,34.02791214,0.806179106,100,,,FALSE,0.1,TRUE,3,29,,Y,N,N,N
E2,,O.mykiss,STANDARD,FAM,NFQ-MGB,33.97458649,34.02791214,0.806179106,100,,,FALSE,0.1,TRUE,3,30,,Y,N,N,N
E3,,O.mykiss,STANDARD,FAM,NFQ-MGB,34.85942841,34.02791214,0.806179106,100,,,FALSE,0.1,TRUE,3,31,,Y,N,N,N
E4,SCr-586,O.mykiss,UNKNOWN,FAM,NFQ-MGB,32.74925995,32.82180023,0.068162061,123.2179947,117.5629272,5.287400246,FALSE,0.1,TRUE,3,28,,N,N,N,N
E5,SCr-586,O.mykiss,UNKNOWN,FAM,NFQ-MGB,32.88451767,32.82180023,0.068162061,112.7424622,117.5629272,5.287400246,FALSE,0.1,TRUE,3,29,,N,N,N,N
E6,SCr-586,O.mykiss,UNKNOWN,FAM,NFQ-MGB,32.83162689,32.82180023,0.068162061,116.7283401,117.5629272,5.287400246,FALSE,0.1,TRUE,3,29,,N,N,N,N
E7,SCr-586-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,36.04423141,35.5871315,0.446938038,14.14741611,19.65096474,5.650271893,FALSE,0.1,TRUE,3,32,,N,N,N,N
E8,SCr-586-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,35.56607056,35.5871315,0.446938038,19.36814308,19.65096474,5.650271893,FALSE,0.1,TRUE,3,32,,N,N,N,N
E9,SCr-586-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,35.15110016,35.5871315,0.446938038,25.43733788,19.65096474,5.650271893,FALSE,0.1,TRUE,3,30,,N,N,N,N
E10,SCr-Hand1B,O.mykiss,UNKNOWN,FAM,NFQ-MGB,31.44474983,31.56913567,0.368950188,290.2871094,272.5846252,61.98694229,FALSE,0.1,TRUE,3,27,,N,N,N,N
E11,SCr-Hand1B,O.mykiss,UNKNOWN,FAM,NFQ-MGB,31.27845192,31.56913567,0.368950188,323.7946167,272.5846252,61.98694229,FALSE,0.1,TRUE,3,27,,N,N,N,N
E12,SCr-Hand1B,O.mykiss,UNKNOWN,FAM,NFQ-MGB,31.98420143,31.56913567,0.368950188,203.6722107,272.5846252,61.98694229,FALSE,0.1,TRUE,3,28,,N,N,N,N
F1,,O.mykiss,STANDARD,FAM,NFQ-MGB,35.77173996,35.97744751,0.290917099,10,,,FALSE,0.1,TRUE,3,32,,N,N,N,N
F2,,O.mykiss,STANDARD,FAM,NFQ-MGB,Undetermined,35.97744751,0.290917099,10,,,FALSE,0.1,TRUE,3,39,,N,Y,N,Y
F3,,O.mykiss,STANDARD,FAM,NFQ-MGB,36.18315887,35.97744751,0.290917099,10,,,FALSE,0.1,TRUE,3,32,,N,N,N,N
F4,SCr-590,O.mykiss,UNKNOWN,FAM,NFQ-MGB,37.05346298,37.30647278,0.357812583,7.290565968,6.259681225,1.457891226,FALSE,0.1,TRUE,3,32,,N,N,N,N
F5,SCr-590,O.mykiss,UNKNOWN,FAM,NFQ-MGB,Undetermined,37.30647278,0.357812583,,,,FALSE,0.1,TRUE,3,39,,N,N,N,Y
F6,SCr-590,O.mykiss,UNKNOWN,FAM,NFQ-MGB,37.55948639,37.30647278,0.357812583,5.228796482,6.259681225,1.457891226,FALSE,0.1,TRUE,3,33,,N,N,N,N
F7,SCr-590-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,N,N,Y
F8,SCr-590-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,N,N,Y
F9,SCr-590-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,N,N,Y
F10,SCr-Hand1B-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,34.73547363,34.30060959,0.389337718,33.42277908,45.41407776,10.90568638,FALSE,0.1,TRUE,3,31,,N,N,N,N
F11,SCr-Hand1B-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,34.18192673,34.30060959,0.389337718,48.07947159,45.41407776,10.90568638,FALSE,0.1,TRUE,3,30,,N,N,N,N
F12,SCr-Hand1B-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,33.98442078,34.30060959,0.389337718,54.73997879,45.41407776,10.90568638,FALSE,0.1,TRUE,3,30,,N,N,N,N
G1,,O.mykiss,STANDARD,FAM,NFQ-MGB,Undetermined,,,5,,,FALSE,0.1,TRUE,3,39,,N,Y,N,Y
G2,,O.mykiss,STANDARD,FAM,NFQ-MGB,Undetermined,,,5,,,FALSE,0.1,TRUE,3,39,,N,N,N,Y
G3,,O.mykiss,STANDARD,FAM,NFQ-MGB,Undetermined,,,5,,,FALSE,0.1,TRUE,3,39,,N,N,N,Y
G4,SCr-591,O.mykiss,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,N,N,Y
G5,SCr-591,O.mykiss,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,Y,N,Y
G6,SCr-591,O.mykiss,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,Y,N,Y
G7,SCr-591-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,Y,N,Y
G8,SCr-591-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,Y,N,Y
G9,SCr-591-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,N,N,Y
G10,SCr-EB20,O.mykiss,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,Y,N,Y
G11,SCr-EB20,O.mykiss,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,N,N,Y
G12,SCr-EB20,O.mykiss,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,Y,N,Y
H1,,O.mykiss,NTC,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,N,N,N
H2,,O.mykiss,NTC,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,N,N,N
H3,,O.mykiss,NTC,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,N,N,N
H4,SCr-598,O.mykiss,UNKNOWN,FAM,NFQ-MGB,32.54009247,32.85644531,0.412906796,141.3663025,117.5526505,29.53965759,FALSE,0.1,TRUE,3,29,,N,N,N,N
H5,SCr-598,O.mykiss,UNKNOWN,FAM,NFQ-MGB,33.32354355,32.85644531,0.412906796,84.49697876,117.5526505,29.53965759,FALSE,0.1,TRUE,3,29,,N,N,N,N
H6,SCr-598,O.mykiss,UNKNOWN,FAM,NFQ-MGB,32.70569992,32.85644531,0.412906796,126.7946854,117.5526505,29.53965759,FALSE,0.1,TRUE,3,29,,N,N,N,N
H7,SCr-598-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,36.02160263,35.66479492,1.126241565,14.35928249,21.9832058,17.10144615,FALSE,0.1,TRUE,3,32,,Y,N,N,N
H8,SCr-598-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,34.40336609,35.66479492,1.126241565,41.57066345,21.9832058,17.10144615,FALSE,0.1,TRUE,3,30,,Y,N,N,N
H9,SCr-598-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,36.56940842,35.66479492,1.126241565,10.01967049,21.9832058,17.10144615,FALSE,0.1,TRUE,3,33,,Y,N,N,N
H10,SCr-EB20-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,Y,N,Y
H11,SCr-EB20-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.1,TRUE,3,35,,N,N,N,N
H12,SCr-EB20-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,N,N,Y
