Block Type,96well,,,,,,,,,,,,,,,,,,,
Chemistry,TAQMAN,,,,,,,,,,,,,,,,,,,
Experiment File Name,\\atlas.shore.mbari.org\ESP\Scott_Creek\qpcr\S1P_data\eds_files\20201112_Scott_Creek_Okisutch_Chloe_P1.eds,,,,,,,,,,,,,,,,,,,
Experiment Run End Time,2020-11-12 12:48:26 PM PST,,,,,,,,,,,,,,,,,,,
Instrument Type,steponeplus,,,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Well,Sample Name,Target Name,Task,Reporter,Quencher,Cт,Cт Mean,Cт SD,Quantity,Quantity Mean,Quantity SD,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Comments,HIGHSD,NOAMP,EXPFAIL
A1,,O.kisutch,STANDARD,FAM,NFQ-MGB,17.43959999,17.63780785,0.174797967,1000000,,,FALSE,0.1,TRUE,3,16,,N,N,N
A2,,O.kisutch,STANDARD,FAM,NFQ-MGB,17.76992035,17.63780785,0.174797967,1000000,,,FALSE,0.1,TRUE,3,16,,N,N,N
A3,,O.kisutch,STANDARD,FAM,NFQ-MGB,17.7039032,17.63780785,0.174797967,1000000,,,FALSE,0.1,TRUE,3,16,,N,N,N
A4,SCr-463,O.kisutch,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,Y,Y
A5,SCr-463,O.kisutch,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,Y,Y
A6,SCr-463,O.kisutch,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,Y,Y
A7,SCr-463-1:5,O.kisutch,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,Y,Y
A8,SCr-463-1:5,O.kisutch,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,N,Y
A9,SCr-463-1:5,O.kisutch,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,Y,Y
A10,SCr-495,O.kisutch,UNKNOWN,FAM,NFQ-MGB,30.40486526,30.5425415,0.32606706,238.7841797,221.7101898,43.49559402,FALSE,0.1,TRUE,3,29,,N,N,N
A11,SCr-495,O.kisutch,UNKNOWN,FAM,NFQ-MGB,30.91486549,30.5425415,0.32606706,172.2681122,221.7101898,43.49559402,FALSE,0.1,TRUE,3,29,,N,N,N
A12,SCr-495,O.kisutch,UNKNOWN,FAM,NFQ-MGB,30.30789375,30.5425415,0.32606706,254.0782776,221.7101898,43.49559402,FALSE,0.1,TRUE,3,29,,N,N,N
