Block Type,96well,,,,,,,,,,,,,,,,
Chemistry,TAQMAN,,,,,,,,,,,,,,,,
Experiment File Name,\\atlas.shore.mbari.org\ESP\Scott_Creek\qpcr\S1P_data\eds_files\20201119_Scott_Creek_Omykiss_Chloe_P1.eds,,,,,,,,,,,,,,,,
Experiment Run End Time,2020-11-19 11:58:28 AM PST,,,,,,,,,,,,,,,,
Instrument Type,steponeplus,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Well,Sample Name,Target Name,Task,Reporter,Quencher,Cт,Cт Mean,Cт SD,Quantity,Quantity Mean,Quantity SD,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Comments
A1,,O.mykiss,STANDARD,FAM,NFQ-MGB,18.28447151,18.17515564,0.141039521,1000000,,,FALSE,0.1,TRUE,3,15,
A2,,O.mykiss,STANDARD,FAM,NFQ-MGB,18.22504425,18.17515564,0.141039521,1000000,,,FALSE,0.1,TRUE,3,14,
A3,,O.mykiss,STANDARD,FAM,NFQ-MGB,18.01595306,18.17515564,0.141039521,1000000,,,FALSE,0.1,TRUE,3,14,
A4,SCr-014,O.mykiss,UNKNOWN,FAM,NFQ-MGB,34.13650513,34.2660675,0.319627672,12.7034359,11.79426575,2.454347372,FALSE,0.1,TRUE,3,30,
A5,SCr-014,O.mykiss,UNKNOWN,FAM,NFQ-MGB,34.63013458,34.2660675,0.319627672,9.01505661,11.79426575,2.454347372,FALSE,0.1,TRUE,3,31,
A6,SCr-014,O.mykiss,UNKNOWN,FAM,NFQ-MGB,34.03156281,34.2660675,0.319627672,13.66430569,11.79426575,2.454347372,FALSE,0.1,TRUE,3,30,
A7,SCr-014-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,37.59514236,37.13795471,0.687935591,1.148885846,1.711841583,0.887628078,FALSE,0.1,TRUE,3,34,
A8,SCr-014-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,36.3467865,37.13795471,0.687935591,2.735070229,1.711841583,0.887628078,FALSE,0.1,TRUE,3,32,
A9,SCr-014-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,37.47193527,37.13795471,0.687935591,1.251568556,1.711841583,0.887628078,FALSE,0.1,TRUE,3,33,
A10,SCr-032,O.mykiss,UNKNOWN,FAM,NFQ-MGB,33.23151398,33.51168823,0.294943988,23.82332802,19.88204193,3.99576354,FALSE,0.1,TRUE,3,29,
A11,SCr-032,O.mykiss,UNKNOWN,FAM,NFQ-MGB,33.4840889,33.51168823,0.294943988,19.98885345,19.88204193,3.99576354,FALSE,0.1,TRUE,3,30,
A12,SCr-032,O.mykiss,UNKNOWN,FAM,NFQ-MGB,33.81946182,33.51168823,0.294943988,15.83394241,19.88204193,3.99576354,FALSE,0.1,TRUE,3,29,
B1,,O.mykiss,STANDARD,FAM,NFQ-MGB,21.21588326,21.20969963,0.027259924,100000,,,FALSE,0.1,TRUE,3,17,
B2,,O.mykiss,STANDARD,FAM,NFQ-MGB,21.23333549,21.20969963,0.027259924,100000,,,FALSE,0.1,TRUE,3,17,
B3,,O.mykiss,STANDARD,FAM,NFQ-MGB,21.17987823,21.20969963,0.027259924,100000,,,FALSE,0.1,TRUE,3,17,
B4,SCr-017,O.mykiss,UNKNOWN,FAM,NFQ-MGB,38.35808563,38.35808563,,0.676174283,0.676174283,,FALSE,0.1,TRUE,3,35,
B5,SCr-017,O.mykiss,UNKNOWN,FAM,NFQ-MGB,Undetermined,38.35808563,,,,,FALSE,0.1,TRUE,3,39,
B6,SCr-017,O.mykiss,UNKNOWN,FAM,NFQ-MGB,Undetermined,38.35808563,,,,,FALSE,0.1,TRUE,3,39,
B7,SCr-017-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,
B8,SCr-017-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,
B9,SCr-017-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,
B10,SCr-032-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,37.5828743,36.18115616,1.256546736,1.158720732,3.800419807,2.55407238,FALSE,0.1,TRUE,3,34,
B11,SCr-032-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,35.15579605,36.18115616,1.256546736,6.256767273,3.800419807,2.55407238,FALSE,0.1,TRUE,3,31,
B12,SCr-032-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,35.80480194,36.18115616,1.256546736,3.985771418,3.800419807,2.55407238,FALSE,0.1,TRUE,3,32,
C1,,O.mykiss,STANDARD,FAM,NFQ-MGB,24.32790947,24.39028931,0.059914779,10000,,,FALSE,0.1,TRUE,3,20,
C2,,O.mykiss,STANDARD,FAM,NFQ-MGB,24.4473896,24.39028931,0.059914779,10000,,,FALSE,0.1,TRUE,3,20,
C3,,O.mykiss,STANDARD,FAM,NFQ-MGB,24.39556885,24.39028931,0.059914779,10000,,,FALSE,0.1,TRUE,3,21,
C4,SCr-020,O.mykiss,UNKNOWN,FAM,NFQ-MGB,34.05594635,34.49927902,0.52339673,13.43475723,10.29402542,3.444414139,FALSE,0.1,TRUE,3,30,
C5,SCr-020,O.mykiss,UNKNOWN,FAM,NFQ-MGB,34.36522293,34.49927902,0.52339673,10.83691311,10.29402542,3.444414139,FALSE,0.1,TRUE,3,30,
C6,SCr-020,O.mykiss,UNKNOWN,FAM,NFQ-MGB,35.07666397,34.49927902,0.52339673,6.610405922,10.29402542,3.444414139,FALSE,0.1,TRUE,3,31,
C7,SCr-020-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,36.41117477,36.72885513,0.823523045,2.61540699,2.310516119,1.095091105,FALSE,0.1,TRUE,3,32,
C8,SCr-020-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,36.11148453,36.72885513,0.823523045,3.220852852,2.310516119,1.095091105,FALSE,0.1,TRUE,3,32,
C9,SCr-020-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,37.66390228,36.72885513,0.823523045,1.095288634,2.310516119,1.095091105,FALSE,0.1,TRUE,3,34,
C10,SCr-038,O.mykiss,UNKNOWN,FAM,NFQ-MGB,33.6425705,33.7756691,0.135269523,17.90465927,16.37117577,1.533575058,FALSE,0.1,TRUE,3,30,
C11,SCr-038,O.mykiss,UNKNOWN,FAM,NFQ-MGB,33.91300964,33.7756691,0.135269523,14.83750916,16.37117577,1.533575058,FALSE,0.1,TRUE,3,30,
C12,SCr-038,O.mykiss,UNKNOWN,FAM,NFQ-MGB,33.77142334,33.7756691,0.135269523,16.37135696,16.37117577,1.533575058,FALSE,0.1,TRUE,3,30,
D1,,O.mykiss,STANDARD,FAM,NFQ-MGB,27.72415352,27.68427277,0.057107918,1000,,,FALSE,0.1,TRUE,3,24,
D2,,O.mykiss,STANDARD,FAM,NFQ-MGB,27.61885262,27.68427277,0.057107918,1000,,,FALSE,0.1,TRUE,3,24,
D3,,O.mykiss,STANDARD,FAM,NFQ-MGB,27.70981407,27.68427277,0.057107918,1000,,,FALSE,0.1,TRUE,3,23,
D4,SCr-021,O.mykiss,UNKNOWN,FAM,NFQ-MGB,35.0676918,35.37452316,0.511893928,6.651743412,5.588024139,1.752951264,FALSE,0.1,TRUE,3,31,
D5,SCr-021,O.mykiss,UNKNOWN,FAM,NFQ-MGB,35.09041595,35.37452316,0.511893928,6.547544479,5.588024139,1.752951264,FALSE,0.1,TRUE,3,30,
D6,SCr-021,O.mykiss,UNKNOWN,FAM,NFQ-MGB,35.96546173,35.37452316,0.511893928,3.564784527,5.588024139,1.752951264,FALSE,0.1,TRUE,3,32,
D7,SCr-021-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,36.7419281,36.31021118,0.610539913,2.078425407,2.932627201,1.208023906,FALSE,0.1,TRUE,3,33,
D8,SCr-021-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,Undetermined,36.31021118,0.610539913,,,,FALSE,0.1,TRUE,3,39,
D9,SCr-021-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,35.87849426,36.31021118,0.610539913,3.786829233,2.932627201,1.208023906,FALSE,0.1,TRUE,3,32,
