Block Type,96well,,,,,,,,,,,,,,,,,,,,
Chemistry,TAQMAN,,,,,,,,,,,,,,,,,,,,
Experiment File Name,Z:\Scott_Creek\qpcr\chloe temp\20210301_Scott_Creek_Okitsuch_P2.eds,,,,,,,,,,,,,,,,,,,,
Experiment Run End Time,2021-03-01 13:22:00 PM PDT,,,,,,,,,,,,,,,,,,,,
Instrument Type,steponeplus,,,,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Well,Sample Name,Target Name,Task,Reporter,Quencher,Cт,Cт Mean,Cт SD,Quantity,Quantity Mean,Quantity SD,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Comments,HIGHSD,NOAMP,OUTLIERRG,EXPFAIL
A1,,O.kitsuch,STANDARD,FAM,NFQ-MGB,20.8443222,20.65402222,0.176368788,1000000,,,FALSE,0.1,TRUE,3,16,,N,N,N,N
A2,,O.kitsuch,STANDARD,FAM,NFQ-MGB,20.62168694,20.65402222,0.176368788,1000000,,,FALSE,0.1,TRUE,3,16,,N,N,N,N
A3,,O.kitsuch,STANDARD,FAM,NFQ-MGB,20.49605942,20.65402222,0.176368788,1000000,,,FALSE,0.1,TRUE,3,16,,N,N,N,N
A4,SCr-223,O.kitsuch,UNKNOWN,FAM,NFQ-MGB,33.70474625,33.92671585,0.204271957,56.91497803,47.80286789,8.270760536,FALSE,0.1,TRUE,3,30,,N,N,N,N
A5,SCr-223,O.kitsuch,UNKNOWN,FAM,NFQ-MGB,34.10679245,33.92671585,0.204271957,40.77040863,47.80286789,8.270760536,FALSE,0.1,TRUE,3,30,,N,N,N,N
A6,SCr-223,O.kitsuch,UNKNOWN,FAM,NFQ-MGB,33.9686203,33.92671585,0.204271957,45.72322083,47.80286789,8.270760536,FALSE,0.1,TRUE,3,30,,N,N,N,N
A7,SCr-223-1:5,O.kitsuch,UNKNOWN,FAM,NFQ-MGB,35.59838867,35.57584763,0.554967999,11.82586479,12.92406178,5.874351501,FALSE,0.1,TRUE,3,31,,Y,N,N,N
A8,SCr-223-1:5,O.kitsuch,UNKNOWN,FAM,NFQ-MGB,35.00995255,35.57584763,0.554967999,19.2700119,12.92406178,5.874351501,FALSE,0.1,TRUE,3,31,,Y,N,N,N
A9,SCr-223-1:5,O.kitsuch,UNKNOWN,FAM,NFQ-MGB,36.11920166,35.57584763,0.554967999,7.676311016,12.92406178,5.874351501,FALSE,0.1,TRUE,3,32,,Y,N,N,N
A10,SCr-231,O.kitsuch,UNKNOWN,FAM,NFQ-MGB,34.97926331,35.10762405,0.644749224,19.76701736,19.41724968,9.300262451,FALSE,0.1,TRUE,3,31,,Y,N,N,N
