index,id,target,dilution,replicate,task,Ct,Ct_Mean,Ct_sd,quantity,quantity_mean,quantity_sd,well,source_file,logQ,detect
0,,coho,,,STANDARD,19.22520828,19.0054493,0.198911503,1000000.0,,,A1,20200930_Scott_Creek_Okisutch_Chloe_P1_results.csv,6.0,1
1,,coho,,,STANDARD,18.95340538,19.0054493,0.198911503,1000000.0,,,A2,20200930_Scott_Creek_Okisutch_Chloe_P1_results.csv,6.0,1
2,,coho,,,STANDARD,18.83773232,19.0054493,0.198911503,1000000.0,,,A3,20200930_Scott_Creek_Okisutch_Chloe_P1_results.csv,6.0,1
12,,coho,,,STANDARD,21.75493813,21.47031593,0.248385504,100000.0,,,B1,20200930_Scott_Creek_Okisutch_Chloe_P1_results.csv,5.0,1
13,,coho,,,STANDARD,21.29737091,21.47031593,0.248385504,100000.0,,,B2,20200930_Scott_Creek_Okisutch_Chloe_P1_results.csv,5.0,1
14,,coho,,,STANDARD,21.35864258,21.47031593,0.248385504,100000.0,,,B3,20200930_Scott_Creek_Okisutch_Chloe_P1_results.csv,5.0,1
24,,coho,,,STANDARD,25.12310982,24.87368965,0.218916282,10000.0,,,C1,20200930_Scott_Creek_Okisutch_Chloe_P1_results.csv,4.0,1
25,,coho,,,STANDARD,24.71338654,24.87368965,0.218916282,10000.0,,,C2,20200930_Scott_Creek_Okisutch_Chloe_P1_results.csv,4.0,1
26,,coho,,,STANDARD,24.78457642,24.87368965,0.218916282,10000.0,,,C3,20200930_Scott_Creek_Okisutch_Chloe_P1_results.csv,4.0,1
36,,coho,,,STANDARD,28.76001167,28.56752586,0.167831913,1000.0,,,D1,20200930_Scott_Creek_Okisutch_Chloe_P1_results.csv,3.0,1
37,,coho,,,STANDARD,28.45179939,28.56752586,0.167831913,1000.0,,,D2,20200930_Scott_Creek_Okisutch_Chloe_P1_results.csv,3.0,1
38,,coho,,,STANDARD,28.49076843,28.56752586,0.167831913,1000.0,,,D3,20200930_Scott_Creek_Okisutch_Chloe_P1_results.csv,3.0,1
48,,coho,,,STANDARD,31.77895164,31.64806557,0.428168863,100.0,,,E1,20200930_Scott_Creek_Okisutch_Chloe_P1_results.csv,2.0,1
49,,coho,,,STANDARD,31.99551392,31.64806557,0.428168863,100.0,,,E2,20200930_Scott_Creek_Okisutch_Chloe_P1_results.csv,2.0,1
50,,coho,,,STANDARD,31.16972923,31.64806557,0.428168863,100.0,,,E3,20200930_Scott_Creek_Okisutch_Chloe_P1_results.csv,2.0,1
60,,coho,,,STANDARD,36.55305862,35.40656662,1.109976411,10.0,,,F1,20200930_Scott_Creek_Okisutch_Chloe_P1_results.csv,1.0,1
61,,coho,,,STANDARD,34.33712006,35.40656662,1.109976411,10.0,,,F2,20200930_Scott_Creek_Okisutch_Chloe_P1_results.csv,1.0,1
62,,coho,,,STANDARD,35.32952499,35.40656662,1.109976411,10.0,,,F3,20200930_Scott_Creek_Okisutch_Chloe_P1_results.csv,1.0,1
72,,coho,,,STANDARD,37.65584183,36.42384338,1.7423115969999998,5.0,,,G1,20200930_Scott_Creek_Okisutch_Chloe_P1_results.csv,0.6989700043360189,1
73,,coho,,,STANDARD,35.19184113,36.42384338,1.7423115969999998,5.0,,,G2,20200930_Scott_Creek_Okisutch_Chloe_P1_results.csv,0.6989700043360189,1
74,,coho,,,STANDARD,Undetermined,36.42384338,1.7423115969999998,5.0,,,G3,20200930_Scott_Creek_Okisutch_Chloe_P1_results.csv,0.6989700043360189,0
96,,coho,,,STANDARD,20.21873093,20.14407539,0.066578321,1000000.0,,,A1,20200930_Scott_Creek_Okisutch_Kevan_P1_results.csv,6.0,1
97,,coho,,,STANDARD,20.12264061,20.14407539,0.066578321,1000000.0,,,A2,20200930_Scott_Creek_Okisutch_Kevan_P1_results.csv,6.0,1
98,,coho,,,STANDARD,20.09085464,20.14407539,0.066578321,1000000.0,,,A3,20200930_Scott_Creek_Okisutch_Kevan_P1_results.csv,6.0,1
108,,coho,,,STANDARD,23.49358559,23.54495049,0.052796938,100000.0,,,B1,20200930_Scott_Creek_Okisutch_Kevan_P1_results.csv,5.0,1
109,,coho,,,STANDARD,23.5990715,23.54495049,0.052796938,100000.0,,,B2,20200930_Scott_Creek_Okisutch_Kevan_P1_results.csv,5.0,1
110,,coho,,,STANDARD,23.54219437,23.54495049,0.052796938,100000.0,,,B3,20200930_Scott_Creek_Okisutch_Kevan_P1_results.csv,5.0,1
120,,coho,,,STANDARD,26.1072197,27.14659882,0.923272014,10000.0,,,C1,20200930_Scott_Creek_Okisutch_Kevan_P1_results.csv,4.0,1
121,,coho,,,STANDARD,27.87171364,27.14659882,0.923272014,10000.0,,,C2,20200930_Scott_Creek_Okisutch_Kevan_P1_results.csv,4.0,1
122,,coho,,,STANDARD,27.46086311,27.14659882,0.923272014,10000.0,,,C3,20200930_Scott_Creek_Okisutch_Kevan_P1_results.csv,4.0,1
132,,coho,,,STANDARD,30.57057381,30.50922585,0.053140197,1000.0,,,D1,20200930_Scott_Creek_Okisutch_Kevan_P1_results.csv,3.0,1
133,,coho,,,STANDARD,30.47967529,30.50922585,0.053140197,1000.0,,,D2,20200930_Scott_Creek_Okisutch_Kevan_P1_results.csv,3.0,1
134,,coho,,,STANDARD,30.47743034,30.50922585,0.053140197,1000.0,,,D3,20200930_Scott_Creek_Okisutch_Kevan_P1_results.csv,3.0,1
144,,coho,,,STANDARD,33.7465477,34.05220413,0.266169786,100.0,,,E1,20200930_Scott_Creek_Okisutch_Kevan_P1_results.csv,2.0,1
145,,coho,,,STANDARD,34.23290634,34.05220413,0.266169786,100.0,,,E2,20200930_Scott_Creek_Okisutch_Kevan_P1_results.csv,2.0,1
146,,coho,,,STANDARD,34.17715836,34.05220413,0.266169786,100.0,,,E3,20200930_Scott_Creek_Okisutch_Kevan_P1_results.csv,2.0,1
156,,coho,,,STANDARD,36.98766708,38.35620117,1.2508591409999998,10.0,,,F1,20200930_Scott_Creek_Okisutch_Kevan_P1_results.csv,1.0,1
157,,coho,,,STANDARD,39.44044876,38.35620117,1.2508591409999998,10.0,,,F2,20200930_Scott_Creek_Okisutch_Kevan_P1_results.csv,1.0,1
158,,coho,,,STANDARD,38.64048767,38.35620117,1.2508591409999998,10.0,,,F3,20200930_Scott_Creek_Okisutch_Kevan_P1_results.csv,1.0,1
168,,coho,,,STANDARD,37.05712509,37.70846939,0.921139956,5.0,,,G1,20200930_Scott_Creek_Okisutch_Kevan_P1_results.csv,0.6989700043360189,1
169,,coho,,,STANDARD,Undetermined,37.70846939,0.921139956,5.0,,,G2,20200930_Scott_Creek_Okisutch_Kevan_P1_results.csv,0.6989700043360189,0
170,,coho,,,STANDARD,38.35981369,37.70846939,0.921139956,5.0,,,G3,20200930_Scott_Creek_Okisutch_Kevan_P1_results.csv,0.6989700043360189,1
192,,trout,,,STANDARD,19.23835754,18.99343681,0.216961354,1000000.0,,,A1,20200930_Scott_Creek_Omykiss_Chloe_P1_results.csv,6.0,1
