# //UNITED STATES GEOLOGICAL SURVEY       http://water.usgs.gov/
# //NATIONAL WATER INFORMATION SYSTEM     http://water.usgs.gov/data.html
# //DATA ARE PROVISIONAL AND SUBJECT TO CHANGE UNTIL PUBLISHED BY USGS
# //RETRIEVED: 2021-04-19 18:35:04
# //WARNING
# //WARNING The stage-discharge rating provided in this file should be
# //WARNING considered provisional and subject to change. Stage-discharge
# //WARNING ratings change over time as the channel features that control
# //WARNING the relation between stage and discharge vary. Users are
# //WARNING cautioned to consider carefully the applicability of this
# //WARNING rating before using it for decisions that concern personal or
# //WARNING public safety or operational consequences.
# //WARNING
# //WARNING This rating does not include any shifts that may have been
# //WARNING used along with this base rating in converting stage to
# //WARNING discharge at this site. Stage data processed with the rating
# //WARNING thus may not match that displayed or published by the USGS.
# //WARNING
# //FILE TYPE="NWIS RATING" 
# //DATABASE NUMBER=01 DESCRIPTION=" Standard data base for this site."
# //STATION AGENCY="USGS " NUMBER="11162500       " TIME_ZONE="PST" DST_FLAG=Y
# //STATION NAME="PESCADERO C NR PESCADERO CA"
# //LABEL="Discharge (ft^3/s)"
# //PARAMETER CODE="00060"
# //RATING SHIFTED="20210419183504 PST"
# //RATING ID="38.0" TYPE="STGQ" NAME="stage-discharge" AGING=????
# //RATING REMARKS="Rating 38.0 reflects significant mid-channel control scour with slight fill to the upper channel control. Low end fill."
# //RATING EXPANSION="logarithmic"
# //RATING BREAKPOINT1=3.740000E+00 BREAKPOINT2=1.083000E+01
# //RATING OFFSET1=4.000000E-01 OFFSET2=2.400000E+00 OFFSET3=-7.500000E+00
# //RATING_INDEP ROUNDING="????" PARAMETER="Gage height (ft)"
# //RATING_DEP ROUNDING="????" PARAMETER="Discharge (ft^3/s)"
# //RATING_DATETIME BEGIN=20181010120100 BZONE=-08:00 END=-------------- EZONE=--- AGING=1
# //RATING_DATETIME COMMENT="Rating 38.0 reflects significant mid-channel control scour with slight fill to the upper channel control. Low end fill."
# //SHIFT_PREV BEGIN="20210319163000" BZONE="-08:00" END="--------------" EZONE="---"
# //SHIFT_PREV STAGE1="0.00" SHIFT1="-0.12" STAGE2="3.00" SHIFT2="-0.12" STAGE3="6.00" SHIFT3="0.00"
# //SHIFT_PREV COMMENT="Shift prorated from the 03/18 to 03/19 rise to peak as the increasing flows cause leaves to collect on the control. Shift based on meas 932 (04/16)."
# //SHIFT_NEXT BEGIN="--------------" BZONE="---" END="--------------" EZONE="---"
# //SHIFT_NEXT STAGE1="---" SHIFT1="---" STAGE2="---" SHIFT2="---" STAGE3="---" SHIFT3="---"
# //SHIFT_NEXT COMMENT=" "
INDEP	SHIFT	DEP	STOR
16N	16N	16N	1S
0.62	-0.12	0.00	
0.63	-0.12	0.01	
0.64	-0.13	0.01	
0.65	-0.12	0.02	
0.66	-0.13	0.02	
0.67	-0.12	0.03	
0.68	-0.13	0.03	
0.69	-0.12	0.04	
0.70	-0.13	0.04	
0.71	-0.12	0.05	
0.72	-0.12	0.06	
0.73	-0.12	0.07	
0.74	-0.12	0.08	
0.75	-0.12	0.09	
0.76	-0.12	0.11	
0.77	-0.12	0.12	
0.78	-0.12	0.14	
0.79	-0.12	0.15	
0.80	-0.12	0.17	
0.81	-0.12	0.19	
0.82	-0.12	0.21	
0.83	-0.12	0.24	
0.84	-0.12	0.26	
0.85	-0.12	0.29	
0.86	-0.12	0.31	
0.87	-0.12	0.34	
0.88	-0.12	0.37	
0.89	-0.12	0.40	
0.90	-0.12	0.44	
0.91	-0.12	0.48	
0.92	-0.12	0.51	
0.93	-0.12	0.55	
0.94	-0.12	0.60	
0.95	-0.12	0.64	
0.96	-0.12	0.69	
0.97	-0.12	0.74	
0.98	-0.12	0.79	
0.99	-0.12	0.84	
1.00	-0.12	0.90	
1.01	-0.12	0.95	
1.02	-0.12	1.01	
1.03	-0.12	1.08	
1.04	-0.12	1.14	
1.05	-0.12	1.21	
1.06	-0.12	1.28	
1.07	-0.12	1.36	
1.08	-0.12	1.43	
1.09	-0.12	1.51	
1.10	-0.12	1.60	
1.11	-0.12	1.68	
1.12	-0.12	1.77	
1.13	-0.12	1.86	
1.14	-0.12	1.96	
1.15	-0.12	2.05	
1.16	-0.12	2.16	
1.17	-0.12	2.26	
1.18	-0.12	2.37	
1.19	-0.12	2.48	
1.20	-0.12	2.59	
1.21	-0.12	2.71	
1.22	-0.12	2.83	
1.23	-0.12	2.96	
1.24	-0.12	3.09	
1.25	-0.12	3.22	
1.26	-0.12	3.36	
1.27	-0.12	3.50	
1.28	-0.12	3.64	
1.29	-0.12	3.79	
1.30	-0.12	3.94	
1.31	-0.12	4.10	
1.32	-0.12	4.26	
1.33	-0.12	4.42	
1.34	-0.12	4.59	
1.35	-0.12	4.76	
1.36	-0.12	4.94	
1.37	-0.12	5.12	
1.38	-0.12	5.31	
1.39	-0.12	5.50	
1.40	-0.12	5.69	
1.41	-0.12	5.89	
1.42	-0.12	6.10	
1.43	-0.12	6.31	
1.44	-0.12	6.52	
1.45	-0.12	6.74	
1.46	-0.12	6.96	
1.47	-0.12	7.19	
1.48	-0.12	7.43	
1.49	-0.12	7.66	
1.50	-0.12	7.91	
1.51	-0.12	8.16	
1.52	-0.12	8.41	
1.53	-0.12	8.67	
1.54	-0.12	8.94	
1.55	-0.12	9.21	
1.56	-0.12	9.48	
1.57	-0.12	9.76	
1.58	-0.12	10.05	
1.59	-0.12	10.34	
1.60	-0.12	10.64	
1.61	-0.12	10.94	
1.62	-0.12	11.25	
1.63	-0.12	11.57	
1.64	-0.12	11.89	
1.65	-0.12	12.21	
1.66	-0.12	12.55	
1.67	-0.12	12.88	
1.68	-0.12	13.23	
1.69	-0.12	13.58	
1.70	-0.12	13.94	
1.71	-0.12	14.30	
1.72	-0.12	14.67	
1.73	-0.12	15.05	
1.74	-0.12	15.43	
1.75	-0.12	15.82	
1.76	-0.12	16.21	
1.77	-0.12	16.62	
1.78	-0.12	17.03	
1.79	-0.12	17.44	
1.80	-0.12	17.86	
1.81	-0.12	18.29	
1.82	-0.12	18.73	
1.83	-0.12	19.17	
1.84	-0.12	19.62	
1.85	-0.12	20.08	
1.86	-0.12	20.54	
1.87	-0.12	21.02	
1.88	-0.12	21.49	
1.89	-0.12	21.98	
1.90	-0.12	22.47	
1.91	-0.12	22.97	
1.92	-0.12	23.48	
1.93	-0.12	24.00	
1.94	-0.12	24.52	
1.95	-0.12	25.05	
1.96	-0.12	25.59	
1.97	-0.12	26.14	
1.98	-0.12	26.69	
1.99	-0.12	27.25	
2.00	-0.12	27.82	
2.01	-0.12	28.40	
2.02	-0.12	28.98	
2.03	-0.12	29.58	
2.04	-0.12	30.18	
2.05	-0.12	30.79	
2.06	-0.12	31.41	
2.07	-0.12	32.03	
2.08	-0.12	32.67	
2.09	-0.12	33.31	
2.10	-0.12	33.96	
2.11	-0.12	34.62	
2.12	-0.12	35.29	
2.13	-0.12	35.97	
2.14	-0.12	36.65	
2.15	-0.12	37.35	
2.16	-0.12	38.05	
2.17	-0.12	38.77	
2.18	-0.12	39.49	
2.19	-0.12	40.22	
2.20	-0.12	40.96	
2.21	-0.12	41.70	
2.22	-0.12	42.46	
2.23	-0.12	43.23	
2.24	-0.12	44.00	
2.25	-0.12	44.79	
2.26	-0.12	45.58	
2.27	-0.12	46.39	
2.28	-0.12	47.20	
2.29	-0.12	48.03	
2.30	-0.12	48.86	
2.31	-0.12	49.70	
2.32	-0.12	50.55	
2.33	-0.12	51.41	
2.34	-0.12	52.29	
2.35	-0.12	53.17	
2.36	-0.12	54.06	
2.37	-0.12	54.96	
2.38	-0.12	55.87	
2.39	-0.12	56.79	
2.40	-0.12	57.73	
2.41	-0.12	58.67	
2.42	-0.12	59.62	
2.43	-0.12	60.58	
2.44	-0.12	61.55	
2.45	-0.12	62.54	
2.46	-0.12	63.53	
2.47	-0.12	64.54	
2.48	-0.12	65.55	
2.49	-0.12	66.58	
2.50	-0.12	67.61	
2.51	-0.12	68.66	
2.52	-0.12	69.72	
2.53	-0.12	70.79	
2.54	-0.12	71.87	
2.55	-0.12	72.96	
2.56	-0.12	74.06	
2.57	-0.12	75.18	
2.58	-0.12	76.30	
2.59	-0.12	77.44	
2.60	-0.12	78.58	
2.61	-0.12	79.74	
2.62	-0.12	80.91	
2.63	-0.12	82.09	
2.64	-0.12	83.29	
2.65	-0.12	84.49	
2.66	-0.12	85.71	
2.67	-0.12	86.93	
2.68	-0.12	88.17	
2.69	-0.12	89.42	
2.70	-0.12	90.69	
2.71	-0.12	91.96	
2.72	-0.12	93.25	
2.73	-0.12	94.55	
2.74	-0.12	95.86	
2.75	-0.12	97.18	
2.76	-0.12	98.52	
2.77	-0.12	99.87	
2.78	-0.12	101.23	
2.79	-0.12	102.60	
2.80	-0.12	103.99	
2.81	-0.12	105.39	
2.82	-0.12	106.80	
2.83	-0.12	108.22	
2.84	-0.12	109.65	
2.85	-0.12	111.10	
2.86	-0.12	112.56	
2.87	-0.12	114.04	
2.88	-0.12	115.53	
2.89	-0.12	117.03	
2.90	-0.12	118.54	
2.91	-0.12	120.07	
2.92	-0.12	121.60	
2.93	-0.12	123.16	*
2.94	-0.12	124.72	
2.95	-0.12	126.30	
2.96	-0.12	127.89	
2.97	-0.12	129.50	
2.98	-0.12	131.12	
2.99	-0.12	132.75	
3.00	-0.12	134.40	
3.01	-0.12	136.13	
3.02	-0.12	137.87	
3.03	-0.12	139.63	
3.04	-0.12	141.40	
3.05	-0.12	143.18	
3.06	-0.12	144.93	
3.07	-0.12	146.71	
3.08	-0.12	148.49	
3.09	-0.12	150.29	
3.10	-0.12	152.11	
3.11	-0.12	153.94	
3.12	-0.12	155.78	
3.13	-0.11	157.64	
3.14	-0.11	159.52	
3.15	-0.11	161.41	
3.16	-0.11	163.31	
3.17	-0.11	165.23	
3.18	-0.11	167.16	*
3.19	-0.11	169.11	
3.20	-0.11	171.07	
3.21	-0.11	173.05	
3.22	-0.11	175.04	
3.23	-0.11	177.05	
3.24	-0.11	179.07	
3.25	-0.11	181.11	
3.26	-0.11	183.17	
3.27	-0.11	185.24	
3.28	-0.11	187.32	
3.29	-0.11	189.41	
3.30	-0.11	191.44	
3.31	-0.11	193.48	
3.32	-0.11	195.53	
3.33	-0.11	197.60	
3.34	-0.11	199.68	
3.35	-0.11	201.78	
3.36	-0.11	203.89	
3.37	-0.11	206.02	
3.38	-0.10	208.16	
3.39	-0.10	210.31	
3.40	-0.10	212.48	
3.41	-0.10	214.67	
3.42	-0.10	216.86	
3.43	-0.10	219.08	
3.44	-0.10	221.30	
3.45	-0.10	223.55	
3.46	-0.10	225.80	
3.47	-0.10	228.07	
3.48	-0.10	230.36	*
3.49	-0.10	232.66	
3.50	-0.10	234.98	
3.51	-0.10	237.31	
3.52	-0.10	239.65	
3.53	-0.10	242.01	
3.54	-0.10	244.39	
3.55	-0.10	246.78	
3.56	-0.10	249.18	
3.57	-0.10	251.61	
3.58	-0.10	254.02	
3.59	-0.10	256.39	
3.60	-0.10	258.77	
3.61	-0.10	261.17	
3.62	-0.10	263.58	
3.63	-0.09	266.01	
3.64	-0.09	268.45	
3.65	-0.09	270.91	
3.66	-0.09	273.38	
3.67	-0.09	275.86	
3.68	-0.09	278.36	
3.69	-0.09	280.88	
3.70	-0.09	283.40	
3.71	-0.09	285.94	
3.72	-0.09	288.50	
3.73	-0.09	291.07	
3.74	-0.09	293.66	*
3.75	-0.09	296.26	
3.76	-0.09	298.87	
3.77	-0.09	301.50	
