date,flow,logflow,quartile,qual
2019-01-01,13.5,1.130333768495006,3,A
2019-01-02,13.4,1.1271047983648077,3,A
2019-01-03,13.5,1.130333768495006,3,A
2019-01-04,13.2,1.1205739312058498,3,A
2019-01-05,15.3,1.1846914308175989,3,A
2019-01-06,488.0,2.6884198220027105,4,A
2019-01-07,371.0,2.569373909615046,4,A
2019-01-08,80.9,1.9079485216122722,4,A
2019-01-09,109.0,2.037426497940624,4,A
2019-01-10,73.2,1.8645110810583918,4,A
2019-01-11,55.4,1.7435097647284297,4,A
2019-01-12,48.6,1.6866362692622934,4,A
2019-01-13,39.0,1.591064607026499,4,A
2019-01-14,35.5,1.550228353055094,4,A
2019-01-15,267.0,2.4265112613645754,4,A
2019-01-16,624.0,2.795184589682424,4,A
2019-01-17,884.0,2.946452265013073,4,A
2019-01-18,231.0,2.3636119798921444,4,A
2019-01-19,125.0,2.0969100130080562,4,A
2019-01-20,91.9,1.9633155113861114,4,A
2019-01-21,76.6,1.8842287696326039,4,A
2019-01-22,55.3,1.7427251313046983,4,A
2019-01-23,42.5,1.6283889300503116,4,A
2019-01-24,35.4,1.5490032620257879,4,A
2019-01-25,29.4,1.4683473304121573,4,A
2019-01-26,24.5,1.3891660843645324,4,A
2019-01-27,20.7,1.3159703454569178,3,A
2019-01-28,18.7,1.271841606536499,3,A
2019-01-29,16.4,1.2148438480476977,3,A
2019-01-30,14.8,1.1702617153949575,3,A
2019-01-31,36.5,1.5622928644564746,4,A
2019-02-01,21.4,1.3304137733491908,3,A
2019-02-02,533.0,2.7267272090265724,4,A
2019-02-03,925.0,2.9661417327390325,4,A
2019-02-04,816.0,2.9116901587538613,4,A
2019-02-05,400.0,2.6020599913279625,4,A
2019-02-06,228.0,2.357934847000454,4,A
2019-02-07,157.0,2.1958996524092336,4,A
2019-02-08,154.0,2.187520720836463,4,A
2019-02-09,317.0,2.5010592622177517,4,A
2019-02-10,238.0,2.376576957056512,4,A
2019-02-11,165.0,2.2174839442139063,4,A
2019-02-12,133.0,2.123851640967086,4,A
2019-02-13,817.0,2.9122220565324155,4,A
2019-02-14,1110.0,3.0453229787866576,4,A
2019-02-15,638.0,2.8048206787211623,4,A
2019-02-16,472.0,2.673941998634088,4,A
2019-02-17,341.0,2.5327543789924976,4,A
2019-02-18,246.0,2.3909351071033793,4,A
2019-02-19,193.0,2.285557309007774,4,A
2019-02-20,163.0,2.2121876044039577,4,A
2019-02-21,139.0,2.143014800254095,4,A
2019-02-22,116.0,2.0644579892269186,4,A
2019-02-23,98.8,1.994756944587628,4,A
2019-02-24,87.7,1.9429995933660404,4,A
2019-02-25,79.6,1.900913067737669,4,A
2019-02-26,77.0,1.8864907251724818,4,A
2019-02-27,364.0,2.561101383649056,4,A
2019-02-28,194.0,2.287801729930226,4,A
2019-03-01,149.0,2.173186268412274,4,A
2019-03-02,414.0,2.617000341120899,4,A
2019-03-03,287.0,2.4578818967339924,4,A
2019-03-04,213.0,2.3283796034387376,4,A
2019-03-05,183.0,2.2624510897304293,4,A
2019-03-06,536.0,2.72916478969277,4,A
2019-03-07,326.0,2.513217600067939,4,A
2019-03-08,236.0,2.3729120029701067,4,A
2019-03-09,237.0,2.374748346010104,4,A
2019-03-10,366.0,2.5634810853944106,4,A
2019-03-11,242.0,2.383815365980431,4,A
2019-03-12,194.0,2.287801729930226,4,A
2019-03-13,163.0,2.2121876044039577,4,A
2019-03-14,143.0,2.155336037465062,4,A
2019-03-15,128.0,2.1072099696478683,4,A
2019-03-16,117.0,2.0681858617461617,4,A
2019-03-17,108.0,2.03342375548695,4,A
2019-03-18,99.8,1.999130541287371,4,A
2019-03-19,93.4,1.9703468762300933,4,A
2019-03-20,105.0,2.0211892990699383,4,A
2019-03-21,89.8,1.9532763366673043,4,A
2019-03-22,84.0,1.9242792860618816,4,A
2019-03-23,99.3,1.9969492484953812,4,A
2019-03-24,83.7,1.92272545799326,4,A
2019-03-25,80.2,1.9041743682841634,4,A
2019-03-26,86.0,1.9344984512435677,4,A
2019-03-27,93.9,1.972665592266111,4,A
2019-03-28,95.5,1.9800033715837464,4,A
2019-03-29,86.5,1.9370161074648142,4,A
2019-03-30,79.8,1.9020028913507294,4,A
2019-03-31,75.1,1.8756399370041683,4,A
2019-04-01,71.3,1.8530895298518655,4,A
2019-04-02,73.3,1.865103974641128,4,A
2019-04-03,70.1,1.8457180179666586,4,A
2019-04-04,69.8,1.8438554226231612,4,A
2019-04-05,74.0,1.8692317197309762,4,A
2019-04-06,70.5,1.8481891169913987,4,A
2019-04-07,64.9,1.8122446968003694,4,A
2019-04-08,60.4,1.7810369386211318,4,A
2019-04-09,56.3,1.7505083948513462,4,A
2019-04-10,52.7,1.7218106152125465,4,A
2019-04-11,50.5,1.7032913781186614,4,A
2019-04-12,48.4,1.6848453616444126,4,A
2019-04-13,45.7,1.6599162000698502,4,A
2019-04-14,43.6,1.639486489268586,4,A
2019-04-15,42.4,1.6273658565927327,4,A
2019-04-16,42.0,1.6232492903979006,4,A
2019-04-17,39.2,1.5932860670204574,4,A
2019-04-18,37.4,1.57287160220048,4,A
2019-04-19,36.0,1.5563025007672873,4,A
2019-04-20,34.7,1.5403294747908738,4,A
2019-04-21,33.1,1.5198279937757189,4,A
2019-04-22,31.8,1.5024271199844328,4,A
2019-04-23,30.6,1.4857214264815801,4,A
2019-04-24,29.3,1.4668676203541096,4,A
2019-04-25,28.3,1.4517864355242902,4,A
2019-04-26,27.7,1.4424797690644486,4,A
2019-04-27,27.4,1.437750562820388,4,A
2019-04-28,26.7,1.4265112613645752,4,A
2019-04-29,26.0,1.414973347970818,4,A
2019-04-30,25.7,1.4099331233312946,4,A
2019-05-01,25.0,1.3979400086720377,4,A
2019-05-02,23.8,1.376576957056512,4,A
2019-05-03,22.9,1.359835482339888,4,A
2019-05-04,22.1,1.3443922736851108,4,A
2019-05-05,21.9,1.3404441148401183,3,A
2019-05-06,21.9,1.3404441148401183,3,A
2019-05-07,21.5,1.3324384599156054,3,A
2019-05-08,20.5,1.3117538610557542,3,A
2019-05-09,20.8,1.3180633349627615,3,A
2019-05-10,20.6,1.3138672203691535,3,A
2019-05-11,19.2,1.2833012287035497,3,A
2019-05-12,18.2,1.2600713879850747,3,A
2019-05-13,17.4,1.2405492482825997,3,A
2019-05-14,16.9,1.2278867046136734,3,A
2019-05-15,21.5,1.3324384599156054,3,A
2019-05-16,54.8,1.7387805584843692,4,A
2019-05-17,26.9,1.429752280002408,4,A
2019-05-18,32.7,1.5145477526602862,4,A
2019-05-19,107.0,2.0293837776852097,4,A
2019-05-20,59.2,1.7723217067229198,4,A
2019-05-21,43.8,1.6414741105040995,4,A
2019-05-22,36.5,1.5622928644564746,4,A
2019-05-23,31.8,1.5024271199844328,4,A
2019-05-24,29.5,1.469822015978163,4,A
2019-05-25,27.1,1.4329692908744058,4,A
2019-05-26,26.6,1.424881636631067,4,A
2019-05-27,25.1,1.3996737214810382,4,A
2019-05-28,24.0,1.380211241711606,4,A
2019-05-29,23.0,1.3617278360175928,4,A
2019-05-30,21.9,1.3404441148401183,3,A
2019-05-31,21.2,1.3263358609287514,3,A
2019-06-01,20.6,1.3138672203691535,3,A
2019-06-02,20.0,1.3010299956639813,3,A
2019-06-03,19.1,1.2810333672477277,3,A
2019-06-04,18.2,1.2600713879850747,3,A
2019-06-05,17.6,1.24551266781415,3,A
2019-06-06,16.6,1.2201080880400552,3,A
2019-06-07,15.6,1.1931245983544616,3,A
2019-06-08,15.0,1.1760912590556813,3,A
2019-06-09,13.7,1.1367205671564067,3,A
2019-06-10,13.2,1.1205739312058498,3,A
2019-06-11,12.7,1.1038037209559568,3,A
2019-06-12,11.8,1.0718820073061255,3,A
2019-06-13,12.0,1.0791812460476249,3,A
2019-06-14,12.3,1.089905111439398,3,A
2019-06-15,12.3,1.089905111439398,3,A
2019-06-16,12.3,1.089905111439398,3,A
2019-06-17,12.2,1.0863598306747482,3,A
2019-06-18,11.6,1.0644579892269184,3,A
2019-06-19,11.5,1.0606978403536116,3,A
2019-06-20,11.6,1.0644579892269184,3,A
2019-06-21,11.6,1.0644579892269184,3,A
2019-06-22,11.1,1.0453229787866574,3,A
2019-06-23,10.7,1.0293837776852097,3,A
2019-06-24,10.2,1.0086001717619175,3,A
2019-06-25,10.1,1.0043213737826426,3,A
2019-06-26,9.7,0.9867717342662449,3,A
2019-06-27,10.1,1.0043213737826426,3,A
2019-06-28,10.8,1.0334237554869496,3,A
2019-06-29,10.7,1.0293837776852097,3,A
2019-06-30,10.4,1.0170333392987803,3,A
2019-07-01,10.1,1.0043213737826426,3,A
2019-07-02,9.85,0.9934362304976118,3,A
2019-07-03,9.62,0.983175072037813,3,A
2019-07-04,9.46,0.9758911364017928,3,A
2019-07-05,9.55,0.9800033715837464,3,A
2019-07-06,9.56,0.9804578922761001,3,A
2019-07-07,9.14,0.9609461957338314,3,A
2019-07-08,9.02,0.9552065375419417,3,A
2019-07-09,9.03,0.9556877503135057,3,A
2019-07-10,8.86,0.9474337218870508,3,A
2019-07-11,8.63,0.9360107957152096,2,A
2019-07-12,8.76,0.9425041061680807,2,A
2019-07-13,8.38,0.9232440186302765,2,A
2019-07-14,8.63,0.9360107957152096,2,A
2019-07-15,8.17,0.9122220565324155,2,A
2019-07-16,8.21,0.9143431571194408,2,A
2019-07-17,8.26,0.9169800473203822,2,A
2019-07-18,8.25,0.9164539485499251,2,A
2019-07-19,8.95,0.951823035315912,3,A
2019-07-20,9.32,0.9694159123539814,3,A
2019-07-21,9.24,0.9656719712201067,3,A
2019-07-22,8.82,0.9454685851318197,2,A
2019-07-23,8.72,0.9405164849325672,2,A
2019-07-24,8.38,0.9232440186302765,2,A
2019-07-25,7.92,0.8987251815894935,2,A
2019-07-26,7.66,0.884228769632604,2,A
2019-07-27,7.42,0.8704039052790271,2,A
2019-07-28,7.19,0.8567288903828826,2,A
