date,temp_avg,temp_min,dtemp_avg,rain_total,relhum_avg,rad_avg,wspd_avg
1/1/19,6.8,-0.5,-6.2,0,39,121,1.8
1/2/19,5.2,-1.1,1.4,0,77,117,1.4
1/3/19,5.6,-1.6,1,0,73,117,1.3
1/4/19,7.9,-0.9,4.5,0,79,115,1.5
1/5/19,11.7,8.1,8.9,12.1,83,29,2.5
1/6/19,10.8,6,10.2,40.3,96,13,2.4
1/7/19,12.1,8.4,10.3,0.1,89,78,1.1
1/8/19,14.3,12.6,11.5,1.8,83,40,2.5
1/9/19,13.7,10.8,12.5,2.5,92,66,2.1
1/10/19,10,5.4,8.9,0.1,93,86,1.1
1/11/19,11.2,6.5,9.2,9.2,88,42,1.4
1/12/19,11.6,7.1,9.4,0.7,87,101,1.3
1/13/19,10.8,5.3,7.9,0.2,82,68,1.1
1/14/19,11.2,8.6,8,1.8,81,59,1.3
1/15/19,11.9,10.2,10.4,16,90,28,1.9
1/16/19,14,13.1,12.4,34.3,90,19,3.4
1/17/19,13.1,9.6,11.5,3.4,90,47,1.6
1/18/19,12.6,9.6,10,0,85,88,1.1
1/19/19,13.9,10.8,11.1,0.1,83,113,1.2
1/20/19,12.5,9.6,11.2,4.3,92,40,2
1/21/19,10.2,3.2,6.6,0.7,79,114,2.9
1/22/19,7.3,1.1,2.7,0.1,73,133,1.6
1/23/19,7.7,0.8,4.1,0,78,137,1.4
1/24/19,8.7,1.6,5.4,0,80,137,1.3
1/25/19,9.5,1.6,4.9,0,73,143,1.3
1/26/19,10.7,2.5,6,0,73,106,1
1/27/19,12.7,6.6,7.3,0,70,128,1.2
1/28/19,11.3,6.4,9.7,0,90,92,1.4
1/29/19,12.1,7.9,10.6,0.1,90,85,1.5
1/30/19,12.5,6.8,9.9,5.1,84,133,1.1
1/31/19,12.9,8.4,10.9,6.7,88,104,1.1
2/1/19,12.3,8.1,10,10,86,72,2.2
2/2/19,12.4,10.6,10.1,43.8,86,90,2.9
2/3/19,11.7,8.4,9.8,10.4,88,58,1.9
2/4/19,9.2,5.7,6.1,11.9,81,69,2.4
2/5/19,6.3,1.6,1.6,3.2,72,150,2.7
2/6/19,7,1,3.8,0.5,80,133,2.2
