dt,temp,dtemp,rain,relhum,rad,wdir,wspd
1/1/19 1:00,0.5,-4.3,0,70,0,140,1
1/1/19 2:00,0.3,-4.6,0,70,0,133,1.1
1/1/19 3:00,4.3,-5.9,0,47,0,32,2.1
1/1/19 4:00,7.3,-7.8,0,33,0,47,3.2
1/1/19 5:00,7.8,-9,0,29,0,65,2.1
1/1/19 6:00,6.7,-9.1,0,31,0,111,1.2
1/1/19 7:00,7.3,-9.6,0,29,0,95,2.2
1/1/19 8:00,7.4,-9.9,0,28,11,86,2.3
1/1/19 9:00,8.6,-9.5,0,27,134,87,2.4
1/1/19 10:00,10.1,-9.5,0,24,311,96,3.1
1/1/19 11:00,11.9,-9,0,22,424,93,2.6
1/1/19 12:00,13.7,-7.8,0,22,489,45,2.5
1/1/19 13:00,14.2,-6.8,0,23,494,42,2.9
1/1/19 14:00,14.1,-6.7,0,23,460,40,2.9
1/1/19 15:00,14.1,-6.8,0,23,358,87,1.7
1/1/19 16:00,13.4,-6.7,0,24,189,36,2.2
1/1/19 17:00,10.7,-6.4,0,29,33,35,1.4
1/1/19 18:00,5.1,-3.6,0,54,2,127,0.9
1/1/19 19:00,2.7,-3.5,0,64,0,111,0.8
1/1/19 20:00,1,-3.6,0,71,0,112,0.9
1/1/19 21:00,0.8,-3.7,0,72,0,104,1.1
1/1/19 22:00,0.2,-3.7,0,75,0,95,1.1
1/1/19 23:00,0.2,-3.4,0,76,0,93,1.1
1/2/19 0:00,0.7,-3.2,0,75,0,105,1.1
1/2/19 1:00,0.3,-3.2,0,77,0,106,1.2
1/2/19 2:00,1.1,-3.3,0,72,0,131,1.5
1/2/19 3:00,0.3,-3.5,0,76,0,105,1.2
1/2/19 4:00,0,-3.4,0,77,0,99,1.1
1/2/19 5:00,-0.6,-3.4,0,81,0,95,1.1
1/2/19 6:00,-0.6,-3.2,0,82,0,97,1
1/2/19 7:00,-0.5,-3.1,0,82,0,94,1.1
1/2/19 8:00,-0.8,-3.2,0,84,7,84,1.1
1/2/19 9:00,2,-1.8,0,76,127,90,0.9
1/2/19 10:00,6.9,-0.3,0,60,289,160,1.4
1/2/19 11:00,11.7,1.4,0,49,405,195,1
1/2/19 12:00,13.1,5.3,0,59,467,276,1.9
1/2/19 13:00,13.1,5.2,0,59,480,287,2.2
1/2/19 14:00,13.6,6.2,0,61,436,280,2.2
1/2/19 15:00,13.2,7,0,66,343,286,2.3
1/2/19 16:00,13.1,7,0,67,210,290,2.1
1/2/19 17:00,11.4,6.5,0,71,48,288,1.5
1/2/19 18:00,7.4,4.6,0,83,1,133,0.8
1/2/19 19:00,4.8,3.1,0,89,0,117,0.8
1/2/19 20:00,4.2,2.7,0,90,0,117,1.1
1/2/19 21:00,4.3,2.2,0,86,0,136,1.5
1/2/19 22:00,3.1,0.8,0,85,0,113,1.2
1/2/19 23:00,1.3,-0.4,0,89,0,82,1.3
1/3/19 0:00,1.1,-0.5,0,89,0,98,1.1
1/3/19 1:00,1.6,-0.4,0,87,0,101,1.2
1/3/19 2:00,1.6,-0.7,0,84,0,114,1.2
1/3/19 3:00,0.4,-1.5,0,87,0,96,1
1/3/19 4:00,-0.2,-1.7,0,89,0,85,1
1/3/19 5:00,0.3,-1.4,0,88,0,114,1.2
1/3/19 6:00,-0.8,-2.2,0,90,0,86,1
1/3/19 7:00,-1.1,-2.3,0,92,0,87,1.1
1/3/19 8:00,-0.6,-1.8,0,91,7,96,1.2
1/3/19 9:00,2.7,0.1,0,83,129,98,1
1/3/19 10:00,7,1.3,0,67,294,156,1.5
1/3/19 11:00,11.7,2.6,0,54,392,161,1.1
1/3/19 12:00,14.9,3.2,0,45,467,262,1.4
1/3/19 13:00,14.5,2,0,43,478,275,2.2
1/3/19 14:00,14.7,1.7,0,41,438,303,2.4
1/3/19 15:00,14.8,3,0,45,391,303,2.3
1/3/19 16:00,13.3,4,0,53,166,295,2
1/3/19 17:00,10.9,4.2,0,64,44,210,0.9
1/3/19 18:00,7.2,3.1,0,75,1,128,0.9
1/3/19 19:00,5,2.1,0,82,0,100,1
1/3/19 20:00,3.8,1.4,0,85,0,82,1
1/3/19 21:00,3.8,1.8,0,86,0,89,1.1
1/3/19 22:00,3.6,1.7,0,87,0,86,1
1/3/19 23:00,3,1.4,0,89,0,105,1.1
1/4/19 0:00,2.1,0.7,0,90,0,79,1
1/4/19 1:00,1.8,0.5,0,91,0,83,1.1
1/4/19 2:00,2.5,1,0,90,0,104,1.3
1/4/19 3:00,1.3,-0.1,0,91,0,85,1.1
1/4/19 4:00,1.1,-0.1,0,92,0,96,1.2
1/4/19 5:00,1,-0.1,0,92,0,84,1.1
1/4/19 6:00,0.9,-0.3,0,92,0,91,1.2
