"Plot Title: RLSM"
"#","Date Time, GMT-07:00","Temp, °F (LGR S/N: 20309218, SEN S/N: 20309218)","Event, units (LGR S/N: 20309218, SEN S/N: 20309218)","Coupler Attached (LGR S/N: 20309218)","Host Connected (LGR S/N: 20309218)","Stopped (LGR S/N: 20309218)","End Of File (LGR S/N: 20309218)"
1,04/04/19 02:00:00 PM,57.268,0.00,,,,
2,04/04/19 03:00:00 PM,52.576,,,,,
3,04/04/19 04:00:00 PM,52.750,,,,,
4,04/04/19 05:00:00 PM,53.623,,,,,
5,04/04/19 06:00:00 PM,52.225,,,,,
6,04/04/19 07:00:00 PM,50.113,,,,,
7,04/04/19 08:00:00 PM,48.871,,,,,
8,04/04/19 09:00:00 PM,48.695,,,,,
9,04/04/19 10:00:00 PM,48.871,,,,,
10,04/04/19 11:00:00 PM,49.050,,,,,
11,04/05/19 12:00:00 AM,48.695,,,,,
12,04/05/19 01:00:00 AM,48.339,,,,,
13,04/05/19 02:00:00 AM,48.871,,,,,
14,04/05/19 03:00:00 AM,49.050,,,,,
15,04/05/19 04:00:00 AM,48.871,,,,,
16,04/05/19 05:00:00 AM,48.517,,,,,
17,04/05/19 05:33:37 AM,,0.01,,,,
18,04/05/19 06:00:00 AM,48.339,,,,,
19,04/05/19 07:00:00 AM,47.624,,,,,
20,04/05/19 08:00:00 AM,47.802,,,,,
21,04/05/19 08:39:38 AM,,0.02,,,,
22,04/05/19 09:00:00 AM,47.982,,,,,
23,04/05/19 09:29:12 AM,,0.03,,,,
24,04/05/19 09:34:00 AM,,0.04,,,,
25,04/05/19 09:36:59 AM,,0.05,,,,
26,04/05/19 09:39:23 AM,,0.06,,,,
27,04/05/19 09:43:33 AM,,0.07,,,,
28,04/05/19 09:48:44 AM,,0.08,,,,
29,04/05/19 09:52:21 AM,,0.09,,,,
30,04/05/19 09:54:57 AM,,0.10,,,,
31,04/05/19 09:58:51 AM,,0.11,,,,
32,04/05/19 09:59:57 AM,,0.12,,,,
33,04/05/19 10:00:00 AM,49.050,,,,,
34,04/05/19 10:00:51 AM,,0.13,,,,
35,04/05/19 10:01:37 AM,,0.14,,,,
36,04/05/19 10:02:41 AM,,0.15,,,,
37,04/05/19 10:03:36 AM,,0.16,,,,
38,04/05/19 10:05:04 AM,,0.17,,,,
39,04/05/19 10:09:04 AM,,0.18,,,,
40,04/05/19 10:14:04 AM,,0.19,,,,
41,04/05/19 10:31:02 AM,,0.20,,,,
42,04/05/19 10:35:47 AM,,0.21,,,,
43,04/05/19 10:37:13 AM,,0.22,,,,
44,04/05/19 10:38:38 AM,,0.23,,,,
45,04/05/19 10:39:31 AM,,0.24,,,,
46,04/05/19 10:40:23 AM,,0.25,,,,
47,04/05/19 10:41:37 AM,,0.26,,,,
48,04/05/19 10:44:45 AM,,0.27,,,,
49,04/05/19 10:49:15 AM,,0.28,,,,
50,04/05/19 10:52:43 AM,,0.29,,,,
51,04/05/19 10:55:59 AM,,0.30,,,,
52,04/05/19 11:00:00 AM,50.113,,,,,
53,04/05/19 11:01:27 AM,,0.31,,,,
54,04/05/19 11:03:57 AM,,0.32,,,,
55,04/05/19 11:07:21 AM,,0.33,,,,
56,04/05/19 11:09:27 AM,,0.34,,,,
57,04/05/19 11:10:28 AM,,0.35,,,,
58,04/05/19 11:12:28 AM,,0.36,,,,
59,04/05/19 11:15:16 AM,,0.37,,,,
60,04/05/19 11:19:28 AM,,0.38,,,,
61,04/05/19 12:00:00 PM,55.884,,,,,
62,04/05/19 01:00:00 PM,54.669,,,,,
63,04/05/19 02:00:00 PM,61.741,,,,,
64,04/05/19 03:00:00 PM,65.509,,,,,
65,04/05/19 04:00:00 PM,64.310,,,,,
66,04/05/19 05:00:00 PM,61.741,,,,,
67,04/05/19 06:00:00 PM,56.230,,,,,
68,04/05/19 07:00:00 PM,52.925,,,,,
69,04/05/19 08:00:00 PM,48.871,,,,,
70,04/05/19 09:00:00 PM,48.160,,,,,
71,04/05/19 10:00:00 PM,48.160,,,,,
72,04/05/19 11:00:00 PM,47.982,,,,,
73,04/06/19 12:00:00 AM,47.624,,,,,
74,04/06/19 01:00:00 AM,47.982,,,,,
75,04/06/19 02:00:00 AM,49.404,,,,,
76,04/06/19 03:00:00 AM,49.759,,,,,
77,04/06/19 03:40:20 AM,,0.39,,,,
78,04/06/19 04:00:00 AM,50.290,,,,,
79,04/06/19 04:30:58 AM,,0.40,,,,
80,04/06/19 05:00:00 AM,50.113,,,,,
81,04/06/19 05:31:01 AM,,0.41,,,,
82,04/06/19 05:56:13 AM,,0.42,,,,
83,04/06/19 06:00:00 AM,49.937,,,,,
84,04/06/19 06:44:19 AM,,0.43,,,,
85,04/06/19 07:00:00 AM,49.759,,,,,
86,04/06/19 08:00:00 AM,49.937,,,,,
87,04/06/19 09:00:00 AM,50.995,,,,,
88,04/06/19 10:00:00 AM,54.147,,,,,
89,04/06/19 11:00:00 AM,56.404,,,,,
90,04/06/19 12:00:00 PM,55.537,,,,,
91,04/06/19 01:00:00 PM,55.189,,,,,
92,04/06/19 02:00:00 PM,59.851,,,,,
93,04/06/19 03:00:00 PM,64.825,,,,,
94,04/06/19 04:00:00 PM,65.338,,,,,
95,04/06/19 05:00:00 PM,61.398,,,,,
96,04/06/19 06:00:00 PM,58.476,,,,,
97,04/06/19 07:00:00 PM,55.711,,,,,
98,04/06/19 08:00:00 PM,53.274,,,,,
99,04/06/19 09:00:00 PM,49.937,,,,,
100,04/06/19 10:00:00 PM,48.160,,,,,
101,04/06/19 11:00:00 PM,47.446,,,,,
102,04/07/19 12:00:00 AM,46.728,,,,,
103,04/07/19 01:00:00 AM,47.446,,,,,
104,04/07/19 02:00:00 AM,48.160,,,,,
105,04/07/19 03:00:00 AM,48.339,,,,,
106,04/07/19 04:00:00 AM,49.050,,,,,
107,04/07/19 05:00:00 AM,49.937,,,,,
108,04/07/19 06:00:00 AM,49.582,,,,,
109,04/07/19 07:00:00 AM,49.582,,,,,
110,04/07/19 08:00:00 AM,52.401,,,,,
111,04/07/19 09:00:00 AM,56.923,,,,,
112,04/07/19 10:00:00 AM,65.851,,,,,
113,04/07/19 11:00:00 AM,74.791,,,,,
114,04/07/19 12:00:00 PM,82.152,,,,,
115,04/07/19 01:00:00 PM,83.935,,,,,
116,04/07/19 02:00:00 PM,82.864,,,,,
117,04/07/19 03:00:00 PM,81.266,,,,,
118,04/07/19 04:00:00 PM,74.446,,,,,
119,04/07/19 05:00:00 PM,69.622,,,,,
120,04/07/19 06:00:00 PM,63.797,,,,,
121,04/07/19 07:00:00 PM,60.712,,,,,
122,04/07/19 08:00:00 PM,56.750,,,,,
123,04/07/19 09:00:00 PM,54.842,,,,,
124,04/07/19 10:00:00 PM,53.973,,,,,
125,04/07/19 11:00:00 PM,54.147,,,,,
126,04/08/19 12:00:00 AM,52.925,,,,,
127,04/08/19 01:00:00 AM,53.100,,,,,
128,04/08/19 02:00:00 AM,54.495,,,,,
129,04/08/19 03:00:00 AM,54.322,,,,,
130,04/08/19 04:00:00 AM,55.537,,,,,
131,04/08/19 05:00:00 AM,53.274,,,,,
132,04/08/19 06:00:00 AM,52.750,,,,,
133,04/08/19 07:00:00 AM,51.874,,,,,
134,04/08/19 08:00:00 AM,55.364,,,,,
135,04/08/19 09:00:00 AM,61.227,,,,,
136,04/08/19 10:00:00 AM,71.856,,,,,
137,04/08/19 11:00:00 AM,80.911,,,,,
138,04/08/19 12:00:00 PM,85.014,,,,,
139,04/08/19 01:00:00 PM,88.833,,,,,
140,04/08/19 02:00:00 PM,78.624,,,,,
141,04/08/19 03:00:00 PM,84.115,,,,,
142,04/08/19 04:00:00 PM,76.876,,,,,
143,04/08/19 05:00:00 PM,70.651,,,,,
144,04/08/19 06:00:00 PM,63.797,,,,,
145,04/08/19 07:00:00 PM,60.883,,,,,
146,04/08/19 08:00:00 PM,58.303,,,,,
147,04/08/19 09:00:00 PM,55.189,,,,,
148,04/08/19 09:44:28 PM,,0.44,,,,
149,04/08/19 10:00:00 PM,55.364,,,,,
150,04/08/19 10:56:23 PM,,0.45,,,,
151,04/08/19 11:00:00 PM,54.669,,,,,
152,04/08/19 11:40:53 PM,,0.46,,,,
153,04/09/19 12:00:00 AM,53.623,,,,,
154,04/09/19 12:33:30 AM,,0.47,,,,
155,04/09/19 01:00:00 AM,51.523,,,,,
156,04/09/19 02:00:00 AM,50.113,,,,,
157,04/09/19 02:23:28 AM,,0.48,,,,
158,04/09/19 03:00:00 AM,48.517,,,,,
159,04/09/19 04:00:00 AM,47.982,,,,,
160,04/09/19 05:00:00 AM,47.266,,,,,
161,04/09/19 06:00:00 AM,46.188,,,,,
162,04/09/19 07:00:00 AM,46.188,,,,,
163,04/09/19 08:00:00 AM,47.624,,,,,
164,04/09/19 08:18:09 AM,,0.49,,,,
165,04/09/19 09:00:00 AM,51.523,,,,,
166,04/09/19 10:00:00 AM,59.851,,,,,
167,04/09/19 11:00:00 AM,69.449,,,,,
168,04/09/19 12:00:00 PM,78.449,,,,,
169,04/09/19 01:00:00 PM,81.621,,,,,
170,04/09/19 02:00:00 PM,80.735,,,,,
171,04/09/19 03:00:00 PM,75.139,,,,,
172,04/09/19 04:00:00 PM,68.592,,,,,
173,04/09/19 05:00:00 PM,59.508,,,,,
174,04/09/19 06:00:00 PM,53.274,,,,,
