"Plot Title: LQC"
"#","Date Time, GMT-07:00","Temp, °F (LGR S/N: 20309222, SEN S/N: 20309222)","Event, units (LGR S/N: 20309222, SEN S/N: 20309222)","Bad Battery (LGR S/N: 20309222)","Good Battery (LGR S/N: 20309222)","End Of File (LGR S/N: 20309222)"
1,09/25/19 03:00:00 PM,78.449,0.00,,,
2,09/25/19 03:15:00 PM,77.923,,,,
3,09/25/19 03:30:00 PM,77.400,,,,
4,09/25/19 03:45:00 PM,77.400,,,,
5,09/25/19 04:00:00 PM,77.574,,,,
6,09/25/19 04:15:00 PM,78.800,,,,
7,09/25/19 04:30:00 PM,78.449,,,,
8,09/25/19 04:45:00 PM,78.800,,,,
9,09/25/19 05:00:00 PM,77.574,,,,
10,09/25/19 05:15:00 PM,77.400,,,,
11,09/25/19 05:30:00 PM,75.832,,,,
12,09/25/19 05:45:00 PM,74.964,,,,
13,09/25/19 06:00:00 PM,72.545,,,,
14,09/25/19 06:15:00 PM,70.824,,,,
15,09/25/19 06:30:00 PM,69.964,,,,
16,09/25/19 06:45:00 PM,68.763,,,,
17,09/25/19 07:00:00 PM,66.879,,,,
18,09/25/19 07:15:00 PM,65.167,,,,
19,09/25/19 07:30:00 PM,63.626,,,,
20,09/25/19 07:45:00 PM,62.769,,,,
21,09/25/19 08:00:00 PM,62.425,,,,
22,09/25/19 08:15:00 PM,61.741,,,,
23,09/25/19 08:30:00 PM,61.054,,,,
24,09/25/19 08:45:00 PM,60.883,,,,
25,09/25/19 09:00:00 PM,60.539,,,,
26,09/25/19 09:15:00 PM,60.195,,,,
27,09/25/19 09:30:00 PM,60.195,,,,
28,09/25/19 09:45:00 PM,59.851,,,,
29,09/25/19 10:00:00 PM,59.680,,,,
30,09/25/19 10:15:00 PM,59.337,,,,
31,09/25/19 10:30:00 PM,58.993,,,,
32,09/25/19 10:45:00 PM,58.993,,,,
33,09/25/19 11:00:00 PM,58.820,,,,
34,09/25/19 11:15:00 PM,58.647,,,,
35,09/25/19 11:30:00 PM,58.476,,,,
36,09/25/19 11:45:00 PM,57.958,,,,
37,09/26/19 12:00:00 AM,57.785,,,,
38,09/26/19 12:15:00 AM,57.614,,,,
39,09/26/19 12:30:00 AM,57.096,,,,
40,09/26/19 12:45:00 AM,56.750,,,,
41,09/26/19 01:00:00 AM,56.923,,,,
42,09/26/19 01:15:00 AM,56.923,,,,
43,09/26/19 01:30:00 AM,56.750,,,,
44,09/26/19 01:45:00 AM,56.404,,,,
45,09/26/19 02:00:00 AM,56.057,,,,
46,09/26/19 02:15:00 AM,55.884,,,,
47,09/26/19 02:30:00 AM,55.537,,,,
48,09/26/19 02:45:00 AM,55.537,,,,
49,09/26/19 03:00:00 AM,56.230,,,,
50,09/26/19 03:15:00 AM,56.923,,,,
51,09/26/19 03:30:00 AM,57.785,,,,
52,09/26/19 03:45:00 AM,57.614,,,,
53,09/26/19 04:00:00 AM,57.441,,,,
54,09/26/19 04:15:00 AM,57.096,,,,
55,09/26/19 04:30:00 AM,58.820,,,,
56,09/26/19 04:45:00 AM,60.368,,,,
57,09/26/19 05:00:00 AM,60.883,,,,
58,09/26/19 05:15:00 AM,61.054,,,,
59,09/26/19 05:30:00 AM,61.054,,,,
60,09/26/19 05:45:00 AM,61.227,,,,
61,09/26/19 06:00:00 AM,61.227,,,,
62,09/26/19 06:15:00 AM,61.398,,,,
63,09/26/19 06:30:00 AM,61.741,,,,
64,09/26/19 06:45:00 AM,61.912,,,,
65,09/26/19 07:00:00 AM,62.254,,,,
66,09/26/19 07:15:00 AM,62.425,,,,
67,09/26/19 07:30:00 AM,62.769,,,,
68,09/26/19 07:45:00 AM,63.111,,,,
69,09/26/19 08:00:00 AM,63.455,,,,
70,09/26/19 08:15:00 AM,63.968,,,,
71,09/26/19 08:30:00 AM,64.310,,,,
72,09/26/19 08:45:00 AM,64.652,,,,
73,09/26/19 09:00:00 AM,65.167,,,,
74,09/26/19 09:15:00 AM,65.509,,,,
75,09/26/19 09:30:00 AM,65.851,,,,
76,09/26/19 09:45:00 AM,66.193,,,,
77,09/26/19 10:00:00 AM,66.708,,,,
78,09/26/19 10:15:00 AM,67.392,,,,
79,09/26/19 10:30:00 AM,68.077,,,,
80,09/26/19 10:45:00 AM,68.763,,,,
81,09/26/19 11:00:00 AM,69.278,,,,
82,09/26/19 11:15:00 AM,70.137,,,,
83,09/26/19 11:30:00 AM,70.995,,,,
84,09/26/19 11:45:00 AM,71.168,,,,
85,09/26/19 12:00:00 PM,71.339,,,,
86,09/26/19 12:15:00 PM,71.339,,,,
87,09/26/19 12:30:00 PM,72.545,,,,
88,09/26/19 12:45:00 PM,73.407,,,,
89,09/26/19 01:00:00 PM,76.528,,,,
90,09/26/19 01:15:00 PM,80.206,,,,
91,09/26/19 01:30:00 PM,80.559,,,,
92,09/26/19 01:45:00 PM,80.029,,,,
93,09/26/19 02:00:00 PM,78.975,,,,
94,09/26/19 02:15:00 PM,79.151,,,,
95,09/26/19 02:30:00 PM,79.151,,,,
96,09/26/19 02:45:00 PM,79.151,,,,
97,09/26/19 03:00:00 PM,79.151,,,,
98,09/26/19 03:15:00 PM,80.029,,,,
99,09/26/19 03:30:00 PM,80.559,,,,
100,09/26/19 03:45:00 PM,79.502,,,,
101,09/26/19 04:00:00 PM,78.800,,,,
102,09/26/19 04:15:00 PM,79.853,,,,
103,09/26/19 04:30:00 PM,80.206,,,,
104,09/26/19 04:45:00 PM,78.624,,,,
105,09/26/19 05:00:00 PM,77.923,,,,
106,09/26/19 05:15:00 PM,75.659,,,,
107,09/26/19 05:30:00 PM,73.580,,,,
108,09/26/19 05:45:00 PM,74.098,,,,
109,09/26/19 06:00:00 PM,74.791,,,,
110,09/26/19 06:15:00 PM,73.407,,,,
111,09/26/19 06:30:00 PM,72.372,,,,
112,09/26/19 06:45:00 PM,71.168,,,,
113,09/26/19 07:00:00 PM,69.793,,,,
114,09/26/19 07:15:00 PM,68.592,,,,
115,09/26/19 07:30:00 PM,67.564,,,,
116,09/26/19 07:45:00 PM,67.050,,,,
117,09/26/19 08:00:00 PM,66.879,,,,
118,09/26/19 08:15:00 PM,66.708,,,,
119,09/26/19 08:30:00 PM,66.708,,,,
120,09/26/19 08:45:00 PM,66.708,,,,
121,09/26/19 09:00:00 PM,66.537,,,,
122,09/26/19 09:15:00 PM,66.537,,,,
123,09/26/19 09:30:00 PM,66.366,,,,
124,09/26/19 09:45:00 PM,66.193,,,,
125,09/26/19 10:00:00 PM,66.022,,,,
126,09/26/19 10:15:00 PM,65.851,,,,
127,09/26/19 10:30:00 PM,65.680,,,,
128,09/26/19 10:45:00 PM,65.509,,,,
129,09/26/19 11:00:00 PM,65.338,,,,
130,09/26/19 11:15:00 PM,65.167,,,,
131,09/26/19 11:30:00 PM,64.825,,,,
132,09/26/19 11:45:00 PM,64.481,,,,
133,09/27/19 12:00:00 AM,64.310,,,,
134,09/27/19 12:15:00 AM,64.310,,,,
135,09/27/19 12:30:00 AM,64.481,,,,
136,09/27/19 12:45:00 AM,64.652,,,,
137,09/27/19 01:00:00 AM,64.652,,,,
138,09/27/19 01:15:00 AM,64.481,,,,
139,09/27/19 01:30:00 AM,64.310,,,,
140,09/27/19 01:45:00 AM,64.139,,,,
141,09/27/19 02:00:00 AM,63.968,,,,
142,09/27/19 02:15:00 AM,63.968,,,,
143,09/27/19 02:30:00 AM,63.797,,,,
144,09/27/19 02:45:00 AM,63.797,,,,
145,09/27/19 03:00:00 AM,63.626,,,,
146,09/27/19 03:15:00 AM,63.626,,,,
147,09/27/19 03:30:00 AM,63.626,,,,
148,09/27/19 03:45:00 AM,63.455,,,,
149,09/27/19 04:00:00 AM,63.455,,,,
150,09/27/19 04:15:00 AM,63.282,,,,
151,09/27/19 04:30:00 AM,63.282,,,,
152,09/27/19 04:45:00 AM,63.282,,,,
153,09/27/19 05:00:00 AM,63.282,,,,
154,09/27/19 05:15:00 AM,63.111,,,,
155,09/27/19 05:30:00 AM,63.111,,,,
156,09/27/19 05:45:00 AM,63.111,,,,
157,09/27/19 06:00:00 AM,63.111,,,,
158,09/27/19 06:15:00 AM,62.940,,,,
159,09/27/19 06:30:00 AM,62.940,,,,
160,09/27/19 06:45:00 AM,62.769,,,,
161,09/27/19 07:00:00 AM,62.769,,,,
162,09/27/19 07:15:00 AM,62.769,,,,
163,09/27/19 07:30:00 AM,62.940,,,,
164,09/27/19 07:45:00 AM,62.940,,,,
165,09/27/19 08:00:00 AM,63.111,,,,
166,09/27/19 08:15:00 AM,63.455,,,,
167,09/27/19 08:30:00 AM,63.968,,,,
168,09/27/19 08:45:00 AM,64.652,,,,
169,09/27/19 09:00:00 AM,65.338,,,,
170,09/27/19 09:15:00 AM,66.022,,,,
171,09/27/19 09:30:00 AM,66.366,,,,
172,09/27/19 09:45:00 AM,66.708,,,,
173,09/27/19 10:00:00 AM,67.392,,,,
174,09/27/19 10:15:00 AM,67.906,,,,
175,09/27/19 10:30:00 AM,68.248,,,,
176,09/27/19 10:45:00 AM,68.421,,,,
177,09/27/19 11:00:00 AM,68.934,,,,
178,09/27/19 11:15:00 AM,70.137,,,,
179,09/27/19 11:30:00 AM,71.339,,,,
