"Plot Title: UQC"
"#","Date Time, GMT-08:00","Temp, °F (LGR S/N: 10592076, SEN S/N: 10592076)","Event, inches (LGR S/N: 10592076, SEN S/N: 10592076)","Coupler Attached (LGR S/N: 10592076)","Host Connected (LGR S/N: 10592076)","Coupler Detached (LGR S/N: 10592076)","End Of File (LGR S/N: 10592076)"
1,01/06/20 03:00:00 PM,80.382,0.00,,,,
2,01/06/20 03:15:00 PM,70.480,,,,,
3,01/06/20 03:30:00 PM,68.592,,,,,
4,01/06/20 03:45:00 PM,66.879,,,,,
5,01/06/20 04:00:00 PM,64.996,,,,,
6,01/06/20 04:15:00 PM,63.282,,,,,
7,01/06/20 04:30:00 PM,62.598,,,,,
8,01/06/20 04:45:00 PM,61.227,,,,,
9,01/06/20 05:00:00 PM,57.958,,,,,
10,01/06/20 05:15:00 PM,52.750,,,,,
11,01/06/20 05:30:00 PM,49.759,,,,,
12,01/06/20 05:45:00 PM,48.695,,,,,
13,01/06/20 06:00:00 PM,48.517,,,,,
14,01/06/20 06:15:00 PM,48.695,,,,,
15,01/06/20 06:30:00 PM,48.871,,,,,
16,01/06/20 06:45:00 PM,49.050,,,,,
17,01/06/20 07:00:00 PM,49.228,,,,,
18,01/06/20 07:15:00 PM,49.228,,,,,
19,01/06/20 07:30:00 PM,49.404,,,,,
20,01/06/20 07:45:00 PM,49.404,,,,,
21,01/06/20 08:00:00 PM,49.404,,,,,
22,01/06/20 08:15:00 PM,49.759,,,,,
23,01/06/20 08:30:00 PM,50.113,,,,,
24,01/06/20 08:45:00 PM,50.290,,,,,
25,01/06/20 09:00:00 PM,50.819,,,,,
26,01/06/20 09:15:00 PM,51.172,,,,,
27,01/06/20 09:30:00 PM,50.995,,,,,
28,01/06/20 09:45:00 PM,51.172,,,,,
29,01/06/20 10:00:00 PM,51.346,,,,,
30,01/06/20 10:15:00 PM,51.346,,,,,
31,01/06/20 10:30:00 PM,51.523,,,,,
32,01/06/20 10:45:00 PM,51.523,,,,,
33,01/06/20 11:00:00 PM,51.346,,,,,
34,01/06/20 11:15:00 PM,50.819,,,,,
35,01/06/20 11:30:00 PM,50.643,,,,,
36,01/06/20 11:45:00 PM,50.466,,,,,
37,01/07/20 12:00:00 AM,50.290,,,,,
38,01/07/20 12:15:00 AM,49.937,,,,,
39,01/07/20 12:30:00 AM,49.228,,,,,
40,01/07/20 12:45:00 AM,49.050,,,,,
41,01/07/20 01:00:00 AM,49.050,,,,,
42,01/07/20 01:15:00 AM,48.695,,,,,
43,01/07/20 01:30:00 AM,48.339,,,,,
44,01/07/20 01:45:00 AM,47.802,,,,,
45,01/07/20 02:00:00 AM,47.446,,,,,
46,01/07/20 02:15:00 AM,46.728,,,,,
47,01/07/20 02:30:00 AM,46.188,,,,,
48,01/07/20 02:45:00 AM,46.008,,,,,
49,01/07/20 03:00:00 AM,46.369,,,,,
50,01/07/20 03:15:00 AM,46.728,,,,,
51,01/07/20 03:30:00 AM,46.908,,,,,
52,01/07/20 03:45:00 AM,46.908,,,,,
53,01/07/20 04:00:00 AM,46.548,,,,,
54,01/07/20 04:15:00 AM,46.188,,,,,
55,01/07/20 04:30:00 AM,46.188,,,,,
56,01/07/20 04:45:00 AM,45.828,,,,,
57,01/07/20 05:00:00 AM,45.286,,,,,
58,01/07/20 05:15:00 AM,45.466,,,,,
59,01/07/20 05:30:00 AM,45.466,,,,,
60,01/07/20 05:45:00 AM,45.466,,,,,
61,01/07/20 06:00:00 AM,44.922,,,,,
62,01/07/20 06:15:00 AM,44.560,,,,,
63,01/07/20 06:30:00 AM,44.922,,,,,
64,01/07/20 06:45:00 AM,44.922,,,,,
65,01/07/20 07:00:00 AM,44.922,,,,,
66,01/07/20 07:15:00 AM,44.379,,,,,
67,01/07/20 07:30:00 AM,44.560,,,,,
68,01/07/20 07:45:00 AM,44.560,,,,,
69,01/07/20 08:00:00 AM,44.922,,,,,
70,01/07/20 08:15:00 AM,46.008,,,,,
71,01/07/20 08:30:00 AM,46.908,,,,,
72,01/07/20 08:45:00 AM,47.624,,,,,
73,01/07/20 09:00:00 AM,49.582,,,,,
74,01/07/20 09:15:00 AM,52.050,,,,,
75,01/07/20 09:30:00 AM,54.322,,,,,
76,01/07/20 09:45:00 AM,57.614,,,,,
77,01/07/20 10:00:00 AM,58.303,,,,,
78,01/07/20 10:15:00 AM,60.195,,,,,
79,01/07/20 10:30:00 AM,61.741,,,,,
80,01/07/20 10:45:00 AM,63.455,,,,,
81,01/07/20 11:00:00 AM,62.598,,,,,
82,01/07/20 11:15:00 AM,62.598,,,,,
83,01/07/20 11:30:00 AM,63.626,,,,,
84,01/07/20 11:45:00 AM,66.366,,,,,
85,01/07/20 12:00:00 PM,67.906,,,,,
86,01/07/20 12:15:00 PM,69.449,,,,,
87,01/07/20 12:30:00 PM,70.480,,,,,
88,01/07/20 12:45:00 PM,70.480,,,,,
89,01/07/20 01:00:00 PM,69.622,,,,,
90,01/07/20 01:15:00 PM,72.718,,,,,
91,01/07/20 01:30:00 PM,73.062,,,,,
92,01/07/20 01:45:00 PM,72.372,,,,,
93,01/07/20 02:00:00 PM,71.512,,,,,
94,01/07/20 02:15:00 PM,70.995,,,,,
95,01/07/20 02:30:00 PM,70.651,,,,,
96,01/07/20 02:45:00 PM,69.793,,,,,
97,01/07/20 03:00:00 PM,68.763,,,,,
98,01/07/20 03:15:00 PM,68.592,,,,,
99,01/07/20 03:30:00 PM,66.366,,,,,
100,01/07/20 03:45:00 PM,64.996,,,,,
101,01/07/20 04:00:00 PM,63.455,,,,,
102,01/07/20 04:15:00 PM,62.425,,,,,
103,01/07/20 04:30:00 PM,59.851,,,,,
104,01/07/20 04:45:00 PM,55.884,,,,,
105,01/07/20 05:00:00 PM,50.995,,,,,
106,01/07/20 05:15:00 PM,48.695,,,,,
107,01/07/20 05:30:00 PM,47.624,,,,,
108,01/07/20 05:45:00 PM,47.088,,,,,
109,01/07/20 06:00:00 PM,47.088,,,,,
110,01/07/20 06:15:00 PM,47.624,,,,,
111,01/07/20 06:30:00 PM,48.160,,,,,
112,01/07/20 06:45:00 PM,48.517,,,,,
113,01/07/20 07:00:00 PM,48.339,,,,,
114,01/07/20 07:15:00 PM,48.695,,,,,
115,01/07/20 07:30:00 PM,48.695,,,,,
116,01/07/20 07:45:00 PM,49.050,,,,,
117,01/07/20 08:00:00 PM,49.228,,,,,
118,01/07/20 08:15:00 PM,49.228,,,,,
119,01/07/20 08:30:00 PM,48.160,,,,,
120,01/07/20 08:45:00 PM,47.266,,,,,
121,01/07/20 09:00:00 PM,47.802,,,,,
122,01/07/20 09:15:00 PM,48.339,,,,,
123,01/07/20 09:30:00 PM,47.802,,,,,
124,01/07/20 09:45:00 PM,48.339,,,,,
125,01/07/20 10:00:00 PM,47.982,,,,,
126,01/07/20 10:13:30 PM,,0.01,,,,
127,01/07/20 10:15:00 PM,47.982,,,,,
128,01/07/20 10:23:44 PM,,0.02,,,,
129,01/07/20 10:30:00 PM,47.802,,,,,
130,01/07/20 10:45:00 PM,47.982,,,,,
131,01/07/20 11:00:00 PM,48.339,,,,,
132,01/07/20 11:15:00 PM,48.695,,,,,
133,01/07/20 11:30:00 PM,48.871,,,,,
134,01/07/20 11:45:00 PM,48.871,,,,,
135,01/08/20 12:00:00 AM,48.695,,,,,
136,01/08/20 12:15:00 AM,48.517,,,,,
137,01/08/20 12:30:00 AM,48.695,,,,,
138,01/08/20 12:45:00 AM,48.871,,,,,
139,01/08/20 01:00:00 AM,49.228,,,,,
140,01/08/20 01:15:00 AM,49.404,,,,,
141,01/08/20 01:24:07 AM,,0.03,,,,
142,01/08/20 01:30:00 AM,49.582,,,,,
143,01/08/20 01:45:00 AM,49.582,,,,,
144,01/08/20 02:00:00 AM,49.582,,,,,
145,01/08/20 02:15:00 AM,49.582,,,,,
146,01/08/20 02:30:00 AM,49.050,,,,,
147,01/08/20 02:45:00 AM,48.160,,,,,
148,01/08/20 03:00:00 AM,46.728,,,,,
149,01/08/20 03:15:00 AM,45.828,,,,,
150,01/08/20 03:30:00 AM,45.828,,,,,
151,01/08/20 03:45:00 AM,45.828,,,,,
152,01/08/20 04:00:00 AM,45.466,,,,,
153,01/08/20 04:15:00 AM,45.104,,,,,
154,01/08/20 04:30:00 AM,44.922,,,,,
155,01/08/20 04:45:00 AM,44.922,,,,,
156,01/08/20 05:00:00 AM,45.466,,,,,
157,01/08/20 05:15:00 AM,45.828,,,,,
158,01/08/20 05:30:00 AM,46.188,,,,,
159,01/08/20 05:45:00 AM,45.648,,,,,
160,01/08/20 06:00:00 AM,45.104,,,,,
161,01/08/20 06:15:00 AM,44.560,,,,,
162,01/08/20 06:30:00 AM,44.195,,,,,
163,01/08/20 06:45:00 AM,44.195,,,,,
164,01/08/20 07:00:00 AM,45.286,,,,,
165,01/08/20 07:15:00 AM,44.922,,,,,
166,01/08/20 07:30:00 AM,44.379,,,,,
167,01/08/20 07:45:00 AM,44.560,,,,,
168,01/08/20 08:00:00 AM,44.742,,,,,
169,01/08/20 08:15:00 AM,44.922,,,,,
170,01/08/20 08:30:00 AM,46.369,,,,,
171,01/08/20 08:45:00 AM,47.624,,,,,
172,01/08/20 09:00:00 AM,48.339,,,,,
173,01/08/20 09:15:00 AM,49.582,,,,,
174,01/08/20 09:30:00 AM,52.225,,,,,
175,01/08/20 09:45:00 AM,56.230,,,,,
176,01/08/20 10:00:00 AM,59.164,,,,,
177,01/08/20 10:15:00 AM,61.227,,,,,
178,01/08/20 10:30:00 AM,60.539,,,,,
179,01/08/20 10:45:00 AM,61.398,,,,,
180,01/08/20 11:00:00 AM,64.481,,,,,
181,01/08/20 11:15:00 AM,64.652,,,,,
182,01/08/20 11:30:00 AM,60.024,,,,,
183,01/08/20 11:45:00 AM,58.131,,,,,
184,01/08/20 12:00:00 PM,57.785,,,,,
185,01/08/20 12:15:00 PM,59.508,,,,,
186,01/08/20 12:30:00 PM,59.851,,,,,
187,01/08/20 12:45:00 PM,61.227,,,,,
188,01/08/20 01:00:00 PM,58.647,,,,,
189,01/08/20 01:15:00 PM,64.825,,,,,
190,01/08/20 01:30:00 PM,68.248,,,,,
191,01/08/20 01:45:00 PM,61.912,,,,,
192,01/08/20 02:00:00 PM,61.912,,,,,
193,01/08/20 02:15:00 PM,67.392,,,,,
