"Plot Title: Waterlab"
"#","Date Time, GMT-08:00","Temp, °F (LGR S/N: 20309220, SEN S/N: 20309220)","Event, units (LGR S/N: 20309220, SEN S/N: 20309220)","Bad Battery (LGR S/N: 20309220)","End Of File (LGR S/N: 20309220)"
1,01/14/20 03:00:00 PM,53.798,0.00,,
2,01/14/20 03:15:00 PM,53.100,,,
3,01/14/20 03:30:00 PM,52.225,,,
4,01/14/20 03:45:00 PM,50.995,,,
5,01/14/20 04:00:00 PM,49.937,,,
6,01/14/20 04:15:00 PM,48.871,,,
7,01/14/20 04:30:00 PM,47.802,,,
8,01/14/20 04:45:00 PM,46.369,,,
9,01/14/20 05:00:00 PM,45.104,,,
10,01/14/20 05:15:00 PM,43.648,,,
11,01/14/20 05:30:00 PM,42.732,,,
12,01/14/20 05:45:00 PM,41.994,,,
13,01/14/20 06:00:00 PM,41.067,,,
14,01/14/20 06:15:00 PM,40.321,,,
15,01/14/20 06:30:00 PM,39.760,,,
16,01/14/20 06:45:00 PM,39.384,,,
17,01/14/20 07:00:00 PM,39.196,,,
18,01/14/20 07:15:00 PM,38.818,,,
19,01/14/20 07:30:00 PM,38.250,,,
20,01/14/20 07:45:00 PM,37.679,,,
21,01/14/20 08:00:00 PM,37.107,,,
22,01/14/20 08:15:00 PM,36.914,,,
23,01/14/20 08:30:00 PM,36.723,,,
24,01/14/20 08:45:00 PM,36.531,,,
25,01/14/20 09:00:00 PM,36.531,,,
26,01/14/20 09:15:00 PM,36.145,,,
27,01/14/20 09:30:00 PM,35.758,,,
28,01/14/20 09:45:00 PM,35.564,,,
29,01/14/20 10:00:00 PM,35.370,,,
30,01/14/20 10:15:00 PM,34.981,,,
31,01/14/20 10:30:00 PM,34.786,,,
32,01/14/20 10:45:00 PM,34.786,,,
33,01/14/20 11:00:00 PM,34.590,,,
34,01/14/20 11:15:00 PM,34.590,,,
35,01/14/20 11:30:00 PM,34.394,,,
36,01/14/20 11:45:00 PM,34.198,,,
37,01/15/20 12:00:00 AM,33.805,,,
38,01/15/20 12:15:00 AM,33.607,,,
39,01/15/20 12:30:00 AM,33.213,,,
40,01/15/20 12:45:00 AM,33.213,,,
41,01/15/20 01:00:00 AM,33.213,,,
42,01/15/20 01:15:00 AM,33.013,,,
43,01/15/20 01:30:00 AM,32.815,,,
44,01/15/20 01:45:00 AM,32.617,,,
45,01/15/20 02:00:00 AM,32.418,,,
46,01/15/20 02:15:00 AM,32.418,,,
47,01/15/20 02:30:00 AM,32.018,,,
48,01/15/20 02:45:00 AM,32.018,,,
49,01/15/20 03:00:00 AM,31.816,,,
50,01/15/20 03:15:00 AM,31.816,,,
51,01/15/20 03:30:00 AM,31.617,,,
52,01/15/20 03:45:00 AM,31.415,,,
53,01/15/20 04:00:00 AM,31.213,,,
54,01/15/20 04:15:00 AM,31.213,,,
55,01/15/20 04:30:00 AM,31.213,,,
56,01/15/20 04:45:00 AM,31.012,,,
57,01/15/20 05:00:00 AM,31.012,,,
58,01/15/20 05:15:00 AM,31.012,,,
59,01/15/20 05:30:00 AM,31.012,,,
60,01/15/20 05:45:00 AM,30.808,,,
61,01/15/20 06:00:00 AM,30.808,,,
62,01/15/20 06:15:00 AM,30.607,,,
63,01/15/20 06:30:00 AM,30.403,,,
64,01/15/20 06:45:00 AM,30.403,,,
65,01/15/20 07:00:00 AM,30.403,,,
66,01/15/20 07:15:00 AM,30.198,,,
67,01/15/20 07:30:00 AM,30.403,,,
68,01/15/20 07:45:00 AM,30.607,,,
69,01/15/20 08:00:00 AM,31.213,,,
70,01/15/20 08:15:00 AM,32.218,,,
71,01/15/20 08:30:00 AM,33.013,,,
72,01/15/20 08:45:00 AM,34.198,,,
73,01/15/20 09:00:00 AM,35.758,,,
74,01/15/20 09:15:00 AM,37.679,,,
75,01/15/20 09:30:00 AM,39.760,,,
76,01/15/20 09:45:00 AM,41.625,,,
77,01/15/20 10:00:00 AM,44.560,,,
78,01/15/20 10:15:00 AM,48.160,,,
79,01/15/20 10:30:00 AM,50.643,,,
80,01/15/20 10:45:00 AM,51.346,,,
81,01/15/20 11:00:00 AM,50.113,,,
82,01/15/20 11:15:00 AM,49.759,,,
83,01/15/20 11:30:00 AM,50.466,,,
84,01/15/20 11:45:00 AM,52.750,,,
85,01/15/20 12:00:00 PM,54.147,,,
86,01/15/20 12:15:00 PM,54.495,,,
87,01/15/20 12:30:00 PM,55.711,,,
88,01/15/20 12:45:00 PM,56.230,,,
89,01/15/20 01:00:00 PM,56.750,,,
90,01/15/20 01:15:00 PM,56.923,,,
91,01/15/20 01:30:00 PM,55.884,,,
92,01/15/20 01:45:00 PM,55.189,,,
93,01/15/20 02:00:00 PM,55.189,,,
94,01/15/20 02:15:00 PM,54.495,,,
95,01/15/20 02:30:00 PM,53.798,,,
96,01/15/20 02:45:00 PM,53.449,,,
97,01/15/20 03:00:00 PM,53.100,,,
98,01/15/20 03:15:00 PM,52.750,,,
99,01/15/20 03:30:00 PM,52.576,,,
100,01/15/20 03:45:00 PM,52.050,,,
101,01/15/20 04:00:00 PM,51.172,,,
102,01/15/20 04:15:00 PM,49.759,,,
103,01/15/20 04:30:00 PM,48.695,,,
104,01/15/20 04:45:00 PM,47.624,,,
105,01/15/20 05:00:00 PM,46.369,,,
106,01/15/20 05:15:00 PM,45.104,,,
107,01/15/20 05:30:00 PM,43.831,,,
108,01/15/20 05:45:00 PM,42.915,,,
109,01/15/20 06:00:00 PM,41.994,,,
110,01/15/20 06:15:00 PM,41.254,,,
111,01/15/20 06:30:00 PM,40.321,,,
112,01/15/20 06:45:00 PM,39.573,,,
113,01/15/20 07:00:00 PM,39.196,,,
114,01/15/20 07:15:00 PM,39.007,,,
115,01/15/20 07:30:00 PM,39.007,,,
116,01/15/20 07:45:00 PM,39.196,,,
117,01/15/20 08:00:00 PM,39.007,,,
118,01/15/20 08:15:00 PM,38.629,,,
119,01/15/20 08:30:00 PM,38.250,,,
120,01/15/20 08:45:00 PM,37.679,,,
121,01/15/20 09:00:00 PM,37.679,,,
122,01/15/20 09:15:00 PM,38.440,,,
123,01/15/20 09:30:00 PM,39.196,,,
124,01/15/20 09:45:00 PM,39.384,,,
125,01/15/20 10:00:00 PM,39.384,,,
126,01/15/20 10:15:00 PM,39.384,,,
127,01/15/20 10:30:00 PM,39.760,,,
128,01/15/20 10:45:00 PM,40.134,,,
129,01/15/20 11:00:00 PM,40.321,,,
130,01/15/20 11:15:00 PM,40.321,,,
131,01/15/20 11:30:00 PM,40.509,,,
132,01/15/20 11:45:00 PM,40.696,,,
133,01/16/20 12:00:00 AM,40.696,,,
134,01/16/20 12:15:00 AM,40.881,,,
135,01/16/20 12:30:00 AM,41.067,,,
136,01/16/20 12:45:00 AM,41.254,,,
137,01/16/20 01:00:00 AM,41.439,,,
138,01/16/20 01:15:00 AM,41.994,,,
139,01/16/20 01:30:00 AM,44.379,,,
140,01/16/20 01:45:00 AM,46.369,,,
141,01/16/20 02:00:00 AM,47.266,,,
142,01/16/20 02:15:00 AM,47.982,,,
143,01/16/20 02:30:00 AM,48.339,,,
144,01/16/20 02:45:00 AM,48.160,,,
145,01/16/20 03:00:00 AM,48.339,,,
146,01/16/20 03:15:00 AM,48.871,,,
147,01/16/20 03:30:00 AM,48.517,,,
148,01/16/20 03:45:00 AM,48.695,,,
149,01/16/20 04:00:00 AM,49.228,,,
150,01/16/20 04:15:00 AM,49.404,,,
151,01/16/20 04:30:00 AM,49.228,,,
152,01/16/20 04:45:00 AM,49.050,,,
153,01/16/20 05:00:00 AM,49.228,,,
154,01/16/20 05:15:00 AM,49.404,,,
155,01/16/20 05:30:00 AM,49.404,,,
156,01/16/20 05:45:00 AM,49.937,,,
157,01/16/20 06:00:00 AM,50.466,,,
158,01/16/20 06:15:00 AM,50.819,,,
159,01/16/20 06:30:00 AM,49.937,,,
160,01/16/20 06:45:00 AM,49.759,,,
161,01/16/20 07:00:00 AM,49.759,,,
162,01/16/20 07:15:00 AM,49.228,,,
163,01/16/20 07:30:00 AM,49.404,,,
164,01/16/20 07:45:00 AM,49.228,,,
165,01/16/20 08:00:00 AM,49.582,,,
166,01/16/20 08:15:00 AM,49.759,,,
167,01/16/20 08:30:00 AM,49.937,,,
168,01/16/20 08:45:00 AM,49.937,,,
169,01/16/20 08:47:26 AM,,0.01,,
170,01/16/20 09:00:00 AM,49.582,,,
171,01/16/20 09:10:24 AM,,0.02,,
172,01/16/20 09:11:41 AM,,0.03,,
173,01/16/20 09:11:45 AM,,0.04,,
174,01/16/20 09:11:53 AM,,0.05,,
175,01/16/20 09:12:00 AM,,0.06,,
176,01/16/20 09:12:09 AM,,0.07,,
177,01/16/20 09:12:18 AM,,0.08,,
178,01/16/20 09:12:31 AM,,0.09,,
179,01/16/20 09:12:47 AM,,0.10,,
180,01/16/20 09:13:17 AM,,0.11,,
181,01/16/20 09:13:50 AM,,0.12,,
182,01/16/20 09:15:00 AM,49.228,0.13,,
183,01/16/20 09:16:08 AM,,0.14,,
184,01/16/20 09:17:58 AM,,0.15,,
185,01/16/20 09:21:04 AM,,0.16,,
186,01/16/20 09:26:32 AM,,0.17,,
187,01/16/20 09:28:18 AM,,0.18,,
188,01/16/20 09:30:00 AM,46.908,,,
189,01/16/20 09:30:41 AM,,0.19,,
190,01/16/20 09:32:21 AM,,0.20,,
191,01/16/20 09:34:45 AM,,0.21,,
192,01/16/20 09:38:36 AM,,0.22,,
193,01/16/20 09:43:58 AM,,0.23,,
194,01/16/20 09:45:00 AM,46.548,,,
195,01/16/20 09:47:33 AM,,0.24,,
196,01/16/20 09:52:09 AM,,0.25,,
197,01/16/20 09:54:45 AM,,0.26,,
198,01/16/20 09:58:00 AM,,0.27,,
199,01/16/20 10:00:00 AM,46.188,,,
200,01/16/20 10:00:53 AM,,0.28,,
201,01/16/20 10:04:10 AM,,0.29,,
202,01/16/20 10:06:41 AM,,0.30,,
203,01/16/20 10:09:58 AM,,0.31,,
204,01/16/20 10:13:18 AM,,0.32,,
205,01/16/20 10:15:00 AM,46.008,,,
206,01/16/20 10:18:36 AM,,0.33,,
207,01/16/20 10:21:55 AM,,0.34,,
208,01/16/20 10:25:54 AM,,0.35,,
209,01/16/20 10:29:33 AM,,0.36,,
210,01/16/20 10:29:34 AM,,0.37,,
211,01/16/20 10:30:00 AM,46.008,,,
212,01/16/20 10:32:11 AM,,0.38,,
213,01/16/20 10:34:09 AM,,0.39,,
214,01/16/20 10:36:51 AM,,0.40,,
215,01/16/20 10:38:20 AM,,0.41,,
216,01/16/20 10:40:28 AM,,0.42,,
217,01/16/20 10:42:50 AM,,0.43,,
218,01/16/20 10:45:00 AM,46.008,,,
219,01/16/20 10:45:47 AM,,0.44,,
220,01/16/20 10:47:48 AM,,0.45,,
221,01/16/20 10:51:54 AM,,0.46,,
222,01/16/20 10:56:18 AM,,0.47,,
223,01/16/20 11:00:00 AM,45.828,,,
224,01/16/20 11:00:16 AM,,0.48,,
225,01/16/20 11:03:04 AM,,0.49,,
226,01/16/20 11:06:35 AM,,0.50,,
227,01/16/20 11:09:31 AM,,0.51,,
228,01/16/20 11:12:46 AM,,0.52,,
229,01/16/20 11:14:38 AM,,0.53,,
230,01/16/20 11:14:39 AM,,0.54,,
231,01/16/20 11:15:00 AM,45.828,,,
232,01/16/20 11:18:12 AM,,0.55,,
233,01/16/20 11:20:59 AM,,0.56,,
234,01/16/20 11:24:31 AM,,0.57,,
235,01/16/20 11:28:13 AM,,0.58,,
236,01/16/20 11:30:00 AM,45.286,,,
237,01/16/20 11:31:32 AM,,0.59,,
238,01/16/20 11:35:34 AM,,0.60,,
239,01/16/20 11:40:55 AM,,0.61,,
240,01/16/20 11:45:00 AM,44.922,,,
241,01/16/20 11:46:34 AM,,0.62,,
242,01/16/20 12:00:00 PM,44.922,,,
243,01/16/20 12:01:44 PM,,0.63,,
244,01/16/20 12:05:57 PM,,0.64,,
245,01/16/20 12:12:11 PM,,0.65,,
246,01/16/20 12:15:00 PM,45.286,,,
247,01/16/20 12:28:01 PM,,0.66,,
248,01/16/20 12:30:00 PM,45.104,,,
249,01/16/20 12:39:28 PM,,0.67,,
250,01/16/20 12:42:51 PM,,0.68,,
251,01/16/20 12:45:00 PM,45.104,,,
252,01/16/20 12:46:26 PM,,0.69,,
253,01/16/20 12:49:16 PM,,0.70,,
254,01/16/20 12:52:33 PM,,0.71,,
255,01/16/20 12:53:47 PM,,0.72,,
256,01/16/20 12:53:48 PM,,0.73,,
257,01/16/20 12:57:16 PM,,0.74,,
258,01/16/20 01:00:00 PM,45.104,,,
259,01/16/20 01:00:02 PM,,0.75,,
260,01/16/20 01:03:44 PM,,0.76,,
261,01/16/20 01:07:01 PM,,0.77,,
262,01/16/20 01:11:50 PM,,0.78,,
263,01/16/20 01:14:13 PM,,0.79,,
264,01/16/20 01:15:00 PM,45.648,,,
265,01/16/20 01:17:34 PM,,0.80,,
266,01/16/20 01:27:10 PM,,0.81,,
267,01/16/20 01:30:00 PM,46.188,,,
268,01/16/20 01:41:39 PM,,0.82,,
269,01/16/20 01:45:00 PM,46.908,,,
270,01/16/20 02:00:00 PM,48.160,,,
271,01/16/20 02:15:00 PM,49.582,,,
272,01/16/20 02:30:00 PM,51.172,,,
273,01/16/20 02:45:00 PM,51.172,,,
274,01/16/20 02:52:36 PM,,0.83,,
275,01/16/20 02:56:07 PM,,0.84,,
276,01/16/20 03:00:00 PM,49.404,,,
277,01/16/20 03:01:20 PM,,0.85,,
278,01/16/20 03:15:00 PM,48.339,,,
279,01/16/20 03:30:00 PM,48.339,,,
280,01/16/20 03:45:00 PM,47.982,,,
281,01/16/20 04:00:00 PM,47.446,,,
282,01/16/20 04:15:00 PM,47.624,,,
283,01/16/20 04:27:31 PM,,0.86,,
284,01/16/20 04:30:00 PM,47.446,,,
285,01/16/20 04:45:00 PM,47.266,,,
286,01/16/20 05:00:00 PM,46.548,,,
287,01/16/20 05:15:00 PM,45.828,,,
288,01/16/20 05:30:00 PM,45.648,,,
289,01/16/20 05:45:00 PM,45.286,,,
290,01/16/20 06:00:00 PM,44.742,,,
291,01/16/20 06:15:00 PM,44.560,,,
292,01/16/20 06:30:00 PM,44.560,,,
293,01/16/20 06:45:00 PM,44.379,,,
294,01/16/20 07:00:00 PM,44.013,,,
295,01/16/20 07:15:00 PM,43.831,,,
296,01/16/20 07:30:00 PM,43.831,,,
297,01/16/20 07:45:00 PM,43.831,,,
298,01/16/20 07:58:07 PM,,0.87,,
299,01/16/20 07:58:08 PM,,0.88,,
300,01/16/20 08:00:00 PM,43.831,,,
301,01/16/20 08:15:00 PM,44.013,,,
302,01/16/20 08:30:00 PM,43.831,,,
303,01/16/20 08:38:16 PM,,0.89,,
304,01/16/20 08:45:00 PM,43.282,,,
305,01/16/20 09:00:00 PM,42.732,,,
306,01/16/20 09:15:00 PM,42.179,,,
307,01/16/20 09:30:00 PM,42.548,,,
308,01/16/20 09:45:00 PM,42.548,,,
309,01/16/20 09:54:45 PM,,0.90,,
310,01/16/20 10:00:00 PM,42.363,,,
311,01/16/20 10:15:00 PM,41.994,,,
312,01/16/20 10:30:00 PM,41.439,,,
313,01/16/20 10:45:00 PM,41.439,,,
314,01/16/20 11:00:00 PM,40.696,,,
315,01/16/20 11:15:00 PM,39.947,,,
316,01/16/20 11:30:00 PM,39.573,,,
317,01/16/20 11:45:00 PM,39.573,,,
318,01/17/20 12:00:00 AM,39.196,,,
319,01/17/20 12:15:00 AM,39.384,,,
320,01/17/20 12:17:16 AM,,0.91,,
321,01/17/20 12:19:25 AM,,0.92,,
322,01/17/20 12:19:26 AM,,0.93,,
323,01/17/20 12:21:56 AM,,0.94,,
324,01/17/20 12:26:14 AM,,0.95,,
325,01/17/20 12:30:00 AM,40.321,,,
326,01/17/20 12:30:04 AM,,0.96,,
327,01/17/20 12:45:00 AM,40.509,,,
328,01/17/20 01:00:00 AM,40.134,,,
329,01/17/20 01:15:00 AM,39.573,,,
330,01/17/20 01:30:00 AM,38.818,,,
331,01/17/20 01:45:00 AM,38.061,,,
332,01/17/20 02:00:00 AM,37.679,,,
333,01/17/20 02:15:00 AM,37.107,,,
334,01/17/20 02:30:00 AM,36.723,,,
335,01/17/20 02:45:00 AM,36.531,,,
336,01/17/20 03:00:00 AM,36.145,,,
337,01/17/20 03:15:00 AM,35.951,,,
338,01/17/20 03:15:21 AM,,0.97,,
339,01/17/20 03:30:00 AM,35.758,,,
340,01/17/20 03:45:00 AM,35.758,,,
341,01/17/20 04:00:00 AM,35.370,,,
342,01/17/20 04:15:00 AM,35.175,,,
343,01/17/20 04:30:00 AM,35.370,,,
344,01/17/20 04:45:00 AM,34.786,,,
345,01/17/20 05:00:00 AM,34.590,,,
346,01/17/20 05:15:00 AM,34.198,,,
347,01/17/20 05:30:00 AM,34.198,,,
348,01/17/20 05:45:00 AM,33.805,,,
349,01/17/20 06:00:00 AM,34.002,,,
350,01/17/20 06:15:00 AM,33.805,,,
351,01/17/20 06:30:00 AM,33.607,,,
352,01/17/20 06:45:00 AM,33.411,,,
353,01/17/20 07:00:00 AM,33.213,,,
354,01/17/20 07:15:00 AM,33.013,,,
355,01/17/20 07:30:00 AM,32.815,,,
356,01/17/20 07:45:00 AM,33.013,,,
357,01/17/20 08:00:00 AM,33.411,,,
358,01/17/20 08:15:00 AM,33.805,,,
359,01/17/20 08:30:00 AM,34.394,,,
360,01/17/20 08:45:00 AM,35.564,,,
361,01/17/20 09:00:00 AM,36.914,,,
362,01/17/20 09:15:00 AM,38.061,,,
363,01/17/20 09:30:00 AM,39.007,,,
364,01/17/20 09:45:00 AM,39.760,,,
