"Plot Title: RLNF"
"#","Date Time, GMT-08:00","Temp, °F (LGR S/N: 20521510, SEN S/N: 20521510)","Event, units (LGR S/N: 20521510, SEN S/N: 20521510)","Coupler Attached (LGR S/N: 20521510)","Host Connected (LGR S/N: 20521510)","End Of File (LGR S/N: 20521510)"
1,01/24/20 02:30:00 PM,70.137,0.00,,,
2,01/24/20 02:45:00 PM,64.652,,,,
3,01/24/20 03:00:00 PM,62.425,,,,
4,01/24/20 03:15:00 PM,61.569,,,,
5,01/24/20 03:30:00 PM,61.054,,,,
6,01/24/20 03:45:00 PM,61.398,,,,
7,01/24/20 04:00:00 PM,63.111,,,,
8,01/24/20 04:15:00 PM,62.425,,,,
9,01/24/20 04:30:00 PM,60.539,,,,
10,01/24/20 04:45:00 PM,59.508,,,,
11,01/24/20 05:00:00 PM,58.476,,,,
12,01/24/20 05:15:00 PM,57.614,,,,
13,01/24/20 05:30:00 PM,56.750,,,,
14,01/24/20 05:45:00 PM,56.230,,,,
15,01/24/20 06:00:00 PM,55.711,,,,
16,01/24/20 06:15:00 PM,55.537,,,,
17,01/24/20 06:30:00 PM,55.017,,,,
18,01/24/20 06:45:00 PM,54.669,,,,
19,01/24/20 07:00:00 PM,54.495,,,,
20,01/24/20 07:15:00 PM,54.147,,,,
21,01/24/20 07:30:00 PM,53.623,,,,
22,01/24/20 07:45:00 PM,53.449,,,,
23,01/24/20 08:00:00 PM,53.623,,,,
24,01/24/20 08:15:00 PM,53.274,,,,
25,01/24/20 08:30:00 PM,52.925,,,,
26,01/24/20 08:45:00 PM,52.750,,,,
27,01/24/20 09:00:00 PM,52.576,,,,
28,01/24/20 09:15:00 PM,52.401,,,,
29,01/24/20 09:30:00 PM,52.225,,,,
30,01/24/20 09:45:00 PM,52.225,,,,
31,01/24/20 10:00:00 PM,52.225,,,,
32,01/24/20 10:15:00 PM,52.050,,,,
33,01/24/20 10:30:00 PM,51.874,,,,
34,01/24/20 10:45:00 PM,51.874,,,,
35,01/24/20 11:00:00 PM,51.699,,,,
36,01/24/20 11:15:00 PM,51.523,,,,
37,01/24/20 11:30:00 PM,51.523,,,,
38,01/24/20 11:45:00 PM,51.346,,,,
39,01/25/20 12:00:00 AM,51.346,,,,
40,01/25/20 12:15:00 AM,51.346,,,,
41,01/25/20 12:30:00 AM,51.172,,,,
42,01/25/20 12:45:00 AM,51.346,,,,
43,01/25/20 01:00:00 AM,51.523,,,,
44,01/25/20 01:15:00 AM,51.523,,,,
45,01/25/20 01:30:00 AM,51.523,,,,
46,01/25/20 01:45:00 AM,51.699,,,,
47,01/25/20 02:00:00 AM,51.699,,,,
48,01/25/20 02:15:00 AM,51.699,,,,
49,01/25/20 02:30:00 AM,51.523,,,,
50,01/25/20 02:45:00 AM,51.346,,,,
51,01/25/20 03:00:00 AM,51.346,,,,
52,01/25/20 03:15:00 AM,51.172,,,,
53,01/25/20 03:30:00 AM,50.995,,,,
54,01/25/20 03:45:00 AM,50.819,,,,
55,01/25/20 04:00:00 AM,50.643,,,,
56,01/25/20 04:15:00 AM,50.466,,,,
57,01/25/20 04:30:00 AM,50.466,,,,
58,01/25/20 04:45:00 AM,50.466,,,,
59,01/25/20 05:00:00 AM,50.643,,,,
60,01/25/20 05:15:00 AM,50.643,,,,
61,01/25/20 05:30:00 AM,50.643,,,,
62,01/25/20 05:45:00 AM,50.819,,,,
63,01/25/20 06:00:00 AM,50.819,,,,
64,01/25/20 06:15:00 AM,50.643,,,,
65,01/25/20 06:30:00 AM,50.466,,,,
66,01/25/20 06:45:00 AM,50.466,,,,
67,01/25/20 07:00:00 AM,50.466,,,,
68,01/25/20 07:15:00 AM,50.113,,,,
69,01/25/20 07:30:00 AM,49.937,,,,
70,01/25/20 07:45:00 AM,49.937,,,,
71,01/25/20 08:00:00 AM,49.937,,,,
72,01/25/20 08:15:00 AM,50.113,,,,
73,01/25/20 08:30:00 AM,50.643,,,,
74,01/25/20 08:45:00 AM,51.172,,,,
75,01/25/20 09:00:00 AM,51.523,,,,
76,01/25/20 09:15:00 AM,51.523,,,,
77,01/25/20 09:30:00 AM,51.523,,,,
78,01/25/20 09:45:00 AM,51.523,,,,
79,01/25/20 10:00:00 AM,51.699,,,,
80,01/25/20 10:15:00 AM,52.050,,,,
81,01/25/20 10:30:00 AM,52.225,,,,
82,01/25/20 10:45:00 AM,52.576,,,,
83,01/25/20 11:00:00 AM,52.925,,,,
84,01/25/20 11:15:00 AM,53.449,,,,
85,01/25/20 11:30:00 AM,54.147,,,,
86,01/25/20 11:45:00 AM,55.189,,,,
87,01/25/20 12:00:00 PM,56.750,,,,
88,01/25/20 12:15:00 PM,58.476,,,,
89,01/25/20 12:30:00 PM,60.368,,,,
90,01/25/20 12:45:00 PM,60.883,,,,
91,01/25/20 01:00:00 PM,60.883,,,,
92,01/25/20 01:15:00 PM,61.569,,,,
93,01/25/20 01:30:00 PM,61.054,,,,
94,01/25/20 01:45:00 PM,61.054,,,,
95,01/25/20 02:00:00 PM,60.539,,,,
96,01/25/20 02:15:00 PM,59.851,,,,
97,01/25/20 02:30:00 PM,59.508,,,,
98,01/25/20 02:45:00 PM,59.680,,,,
99,01/25/20 03:00:00 PM,58.993,,,,
100,01/25/20 03:15:00 PM,58.131,,,,
101,01/25/20 03:30:00 PM,58.303,,,,
102,01/25/20 03:45:00 PM,59.508,,,,
103,01/25/20 04:00:00 PM,59.337,,,,
104,01/25/20 04:15:00 PM,59.337,,,,
105,01/25/20 04:30:00 PM,58.131,,,,
106,01/25/20 04:45:00 PM,56.750,,,,
107,01/25/20 05:00:00 PM,55.884,,,,
108,01/25/20 05:15:00 PM,55.364,,,,
109,01/25/20 05:30:00 PM,55.189,,,,
110,01/25/20 05:45:00 PM,54.669,,,,
111,01/25/20 06:00:00 PM,54.669,,,,
112,01/25/20 06:15:00 PM,54.669,,,,
113,01/25/20 06:30:00 PM,54.669,,,,
114,01/25/20 06:45:00 PM,54.495,,,,
115,01/25/20 07:00:00 PM,54.322,,,,
