"Plot Title: RLNF"
"#","Date Time, GMT-08:00","Temp, °F (LGR S/N: 20521510, SEN S/N: 20521510)","Event, units (LGR S/N: 20521510, SEN S/N: 20521510)","Coupler Attached (LGR S/N: 20521510)","Host Connected (LGR S/N: 20521510)","Stopped (LGR S/N: 20521510)","End Of File (LGR S/N: 20521510)"
1,03/06/20 02:30:00 PM,63.968,0.00,,,,
2,03/06/20 02:45:00 PM,57.268,,,,,
3,03/06/20 03:00:00 PM,55.017,,,,,
4,03/06/20 03:15:00 PM,53.973,,,,,
5,03/06/20 03:30:00 PM,53.623,,,,,
6,03/06/20 03:45:00 PM,52.576,,,,,
7,03/06/20 04:00:00 PM,51.874,,,,,
8,03/06/20 04:15:00 PM,50.819,,,,,
9,03/06/20 04:30:00 PM,49.582,,,,,
10,03/06/20 04:45:00 PM,48.871,,,,,
11,03/06/20 05:00:00 PM,48.339,,,,,
12,03/06/20 05:15:00 PM,47.982,,,,,
13,03/06/20 05:30:00 PM,47.802,,,,,
14,03/06/20 05:45:00 PM,47.446,,,,,
15,03/06/20 06:00:00 PM,46.908,,,,,
16,03/06/20 06:15:00 PM,46.728,,,,,
17,03/06/20 06:30:00 PM,46.548,,,,,
18,03/06/20 06:45:00 PM,46.369,,,,,
19,03/06/20 07:00:00 PM,46.369,,,,,
20,03/06/20 07:15:00 PM,46.188,,,,,
21,03/06/20 07:25:31 PM,,1.00,,,,
22,03/06/20 07:30:00 PM,46.188,,,,,
23,03/06/20 07:45:00 PM,46.008,,,,,
24,03/06/20 08:00:00 PM,46.008,,,,,
25,03/06/20 08:15:00 PM,45.828,,,,,
26,03/06/20 08:25:26 PM,,2.00,,,,
27,03/06/20 08:30:00 PM,45.828,,,,,
28,03/06/20 08:45:00 PM,45.828,,,,,
29,03/06/20 09:00:00 PM,45.828,,,,,
30,03/06/20 09:05:49 PM,,3.00,,,,
31,03/06/20 09:15:00 PM,45.828,,,,,
32,03/06/20 09:30:00 PM,45.648,,,,,
33,03/06/20 09:45:00 PM,45.466,,,,,
34,03/06/20 10:00:00 PM,45.466,,,,,
35,03/06/20 10:15:00 PM,45.286,,,,,
36,03/06/20 10:21:52 PM,,4.00,,,,
37,03/06/20 10:30:00 PM,45.286,,,,,
38,03/06/20 10:45:00 PM,45.286,,,,,
39,03/06/20 11:00:00 PM,45.286,,,,,
40,03/06/20 11:15:00 PM,45.286,,,,,
41,03/06/20 11:30:00 PM,44.922,,,,,
42,03/06/20 11:45:00 PM,44.922,,,,,
43,03/06/20 11:58:26 PM,,5.00,,,,
44,03/07/20 12:00:00 AM,44.922,,,,,
45,03/07/20 12:15:00 AM,44.742,,,,,
46,03/07/20 12:30:00 AM,44.742,,,,,
47,03/07/20 12:45:00 AM,44.742,,,,,
48,03/07/20 01:00:00 AM,44.742,,,,,
49,03/07/20 01:07:12 AM,,6.00,,,,
50,03/07/20 01:15:00 AM,44.742,,,,,
51,03/07/20 01:19:00 AM,,7.00,,,,
52,03/07/20 01:23:04 AM,,8.00,,,,
53,03/07/20 01:30:00 AM,44.742,,,,,
54,03/07/20 01:34:08 AM,,9.00,,,,
55,03/07/20 01:42:09 AM,,10.00,,,,
56,03/07/20 01:44:26 AM,,11.00,,,,
57,03/07/20 01:45:00 AM,44.922,,,,,
58,03/07/20 02:00:00 AM,44.742,,,,,
59,03/07/20 02:03:29 AM,,12.00,,,,
60,03/07/20 02:03:30 AM,,13.00,,,,
61,03/07/20 02:15:00 AM,44.742,,,,,
62,03/07/20 02:30:00 AM,44.379,,,,,
63,03/07/20 02:45:00 AM,44.379,,,,,
64,03/07/20 03:00:00 AM,44.195,,,,,
65,03/07/20 03:15:00 AM,44.013,,,,,
66,03/07/20 03:30:00 AM,43.831,,,,,
67,03/07/20 03:45:00 AM,43.648,,,,,
68,03/07/20 04:00:00 AM,43.466,,,,,
69,03/07/20 04:15:00 AM,43.282,,,,,
70,03/07/20 04:30:00 AM,43.282,,,,,
71,03/07/20 04:45:00 AM,43.282,,,,,
72,03/07/20 05:00:00 AM,43.282,,,,,
73,03/07/20 05:13:31 AM,,14.00,,,,
74,03/07/20 05:15:00 AM,43.282,,,,,
75,03/07/20 05:30:00 AM,43.099,,,,,
76,03/07/20 05:45:00 AM,43.099,,,,,
77,03/07/20 06:00:00 AM,43.099,,,,,
78,03/07/20 06:02:32 AM,,15.00,,,,
79,03/07/20 06:15:00 AM,43.282,,,,,
80,03/07/20 06:30:00 AM,43.282,,,,,
81,03/07/20 06:39:16 AM,,16.00,,,,
82,03/07/20 06:45:00 AM,43.466,,,,,
83,03/07/20 06:48:01 AM,,17.00,,,,
