"Plot Title: RLSM"
"#","Date Time, GMT-07:00","Temp, °F (LGR S/N: 20790224, SEN S/N: 20790224)","Event, units (LGR S/N: 20790224, SEN S/N: 20790224)","Coupler Attached (LGR S/N: 20790224)","Host Connected (LGR S/N: 20790224)","End Of File (LGR S/N: 20790224)"
1,03/20/20 12:00:00 PM,58.303,0.00,,,
2,03/20/20 01:00:00 PM,64.481,,,,
3,03/20/20 02:00:00 PM,67.050,,,,
4,03/20/20 03:00:00 PM,64.481,,,,
5,03/20/20 04:00:00 PM,61.227,,,,
6,03/20/20 05:00:00 PM,57.096,,,,
7,03/20/20 06:00:00 PM,52.225,,,,
8,03/20/20 07:00:00 PM,48.160,,,,
9,03/20/20 08:00:00 PM,45.466,,,,
10,03/20/20 09:00:00 PM,45.286,,,,
11,03/20/20 10:00:00 PM,45.104,,,,
12,03/20/20 11:00:00 PM,45.648,,,,
13,03/21/20 12:00:00 AM,45.828,,,,
14,03/21/20 01:00:00 AM,46.008,,,,
15,03/21/20 02:00:00 AM,44.922,,,,
16,03/21/20 03:00:00 AM,43.648,,,,
17,03/21/20 04:00:00 AM,46.008,,,,
18,03/21/20 05:00:00 AM,46.548,,,,
19,03/21/20 06:00:00 AM,46.008,,,,
20,03/21/20 06:24:16 AM,,1.00,,,
21,03/21/20 07:00:00 AM,45.648,,,,
22,03/21/20 08:00:00 AM,46.008,,,,
23,03/21/20 09:00:00 AM,47.446,,,,
24,03/21/20 10:00:00 AM,50.466,,,,
25,03/21/20 11:00:00 AM,61.569,,,,
26,03/21/20 12:00:00 PM,55.017,,,,
27,03/21/20 01:00:00 PM,54.495,,,,
28,03/21/20 02:00:00 PM,56.577,,,,
29,03/21/20 02:34:27 PM,,2.00,,,
30,03/21/20 03:00:00 PM,60.712,,,,
31,03/21/20 04:00:00 PM,61.569,,,,
32,03/21/20 05:00:00 PM,59.680,,,,
33,03/21/20 06:00:00 PM,56.404,,,,
34,03/21/20 07:00:00 PM,52.925,,,,
35,03/21/20 08:00:00 PM,48.695,,,,
36,03/21/20 09:00:00 PM,47.266,,,,
37,03/21/20 10:00:00 PM,48.339,,,,
38,03/21/20 11:00:00 PM,47.266,,,,
39,03/22/20 12:00:00 AM,49.759,,,,
40,03/22/20 01:00:00 AM,49.228,,,,
41,03/22/20 02:00:00 AM,49.050,,,,
42,03/22/20 03:00:00 AM,49.582,,,,
43,03/22/20 04:00:00 AM,49.937,,,,
44,03/22/20 05:00:00 AM,50.113,,,,
45,03/22/20 06:00:00 AM,50.466,,,,
46,03/22/20 07:00:00 AM,50.290,,,,
47,03/22/20 08:00:00 AM,51.172,,,,
48,03/22/20 09:00:00 AM,52.576,,,,
49,03/22/20 10:00:00 AM,52.576,,,,
50,03/22/20 11:00:00 AM,63.455,,,,
51,03/22/20 12:00:00 PM,64.652,,,,
52,03/22/20 01:00:00 PM,67.050,,,,
53,03/22/20 02:00:00 PM,72.372,,,,
54,03/22/20 03:00:00 PM,59.851,,,,
55,03/22/20 04:00:00 PM,59.851,,,,
56,03/22/20 05:00:00 PM,59.164,,,,
57,03/22/20 06:00:00 PM,57.614,,,,
58,03/22/20 07:00:00 PM,55.189,,,,
59,03/22/20 08:00:00 PM,50.466,,,,
60,03/22/20 09:00:00 PM,49.937,,,,
