"Plot Title: Waterlab"
"#","Date Time, GMT-07:00","Temp, °F (LGR S/N: 20309220, SEN S/N: 20309220)","Event, units (LGR S/N: 20309220, SEN S/N: 20309220)","Coupler Attached (LGR S/N: 20309220)","Host Connected (LGR S/N: 20309220)","End Of File (LGR S/N: 20309220)"
1,03/20/20 05:00:00 PM,64.481,0.00,,,
2,03/20/20 06:00:00 PM,56.057,,,,
3,03/20/20 07:00:00 PM,50.290,,,,
4,03/20/20 08:00:00 PM,45.466,,,,
5,03/20/20 09:00:00 PM,43.099,,,,
6,03/20/20 10:00:00 PM,42.732,,,,
7,03/20/20 11:00:00 PM,41.625,,,,
8,03/21/20 12:00:00 AM,42.732,,,,
9,03/21/20 01:00:00 AM,41.254,,,,
10,03/21/20 02:00:00 AM,40.509,,,,
11,03/21/20 03:00:00 AM,38.629,,,,
12,03/21/20 04:00:00 AM,41.439,,,,
13,03/21/20 05:00:00 AM,42.363,,,,
14,03/21/20 06:00:00 AM,43.099,,,,
15,03/21/20 06:23:44 AM,,0.01,,,
16,03/21/20 06:41:15 AM,,0.02,,,
17,03/21/20 07:00:00 AM,43.466,,,,
18,03/21/20 08:00:00 AM,44.195,,,,
19,03/21/20 08:03:25 AM,,0.03,,,
20,03/21/20 09:00:00 AM,46.908,,,,
21,03/21/20 10:00:00 AM,53.449,,,,
22,03/21/20 11:00:00 AM,64.652,,,,
23,03/21/20 12:00:00 PM,59.337,,,,
24,03/21/20 01:00:00 PM,63.455,,,,
25,03/21/20 02:00:00 PM,59.851,,,,
26,03/21/20 03:00:00 PM,65.338,,,,
27,03/21/20 04:00:00 PM,66.879,,,,
28,03/21/20 05:00:00 PM,64.310,,,,
29,03/21/20 06:00:00 PM,62.425,,,,
30,03/21/20 07:00:00 PM,57.268,,,,
31,03/21/20 08:00:00 PM,51.346,,,,
32,03/21/20 09:00:00 PM,47.624,,,,
33,03/21/20 10:00:00 PM,47.446,,,,
34,03/21/20 11:00:00 PM,44.379,,,,
35,03/22/20 12:00:00 AM,45.648,,,,
36,03/22/20 01:00:00 AM,46.188,,,,
37,03/22/20 02:00:00 AM,46.188,,,,
38,03/22/20 03:00:00 AM,44.742,,,,
39,03/22/20 04:00:00 AM,44.922,,,,
40,03/22/20 05:00:00 AM,45.104,,,,
41,03/22/20 06:00:00 AM,44.742,,,,
42,03/22/20 07:00:00 AM,44.379,,,,
43,03/22/20 08:00:00 AM,45.828,,,,
44,03/22/20 09:00:00 AM,50.113,,,,
45,03/22/20 10:00:00 AM,54.842,,,,
46,03/22/20 11:00:00 AM,67.906,,,,
47,03/22/20 12:00:00 PM,73.753,,,,
48,03/22/20 01:00:00 PM,70.824,,,,
49,03/22/20 02:00:00 PM,65.167,,,,
50,03/22/20 03:00:00 PM,62.769,,,,
51,03/22/20 04:00:00 PM,64.652,,,,
52,03/22/20 05:00:00 PM,62.254,,,,
53,03/22/20 06:00:00 PM,62.083,,,,
54,03/22/20 07:00:00 PM,59.164,,,,
55,03/22/20 08:00:00 PM,53.100,,,,
56,03/22/20 09:00:00 PM,49.937,,,,
57,03/22/20 10:00:00 PM,48.160,,,,
58,03/22/20 11:00:00 PM,50.466,,,,
59,03/23/20 12:00:00 AM,51.874,,,,
60,03/23/20 01:00:00 AM,52.050,,,,
61,03/23/20 02:00:00 AM,50.466,,,,
62,03/23/20 03:00:00 AM,50.819,,,,
63,03/23/20 04:00:00 AM,50.113,,,,
64,03/23/20 05:00:00 AM,49.050,,,,
65,03/23/20 06:00:00 AM,47.982,,,,
66,03/23/20 07:00:00 AM,49.228,,,,
67,03/23/20 08:00:00 AM,49.050,,,,
68,03/23/20 09:00:00 AM,54.669,,,,
69,03/23/20 10:00:00 AM,55.189,,,,
70,03/23/20 11:00:00 AM,56.750,,,,
71,03/23/20 12:00:00 PM,60.368,,,,
72,03/23/20 01:00:00 PM,60.195,,,,
73,03/23/20 02:00:00 PM,60.024,,,,
74,03/23/20 03:00:00 PM,61.741,,,,
75,03/23/20 04:00:00 PM,55.711,,,,
76,03/23/20 05:00:00 PM,54.495,,,,
77,03/23/20 06:00:00 PM,54.669,,,,
78,03/23/20 07:00:00 PM,53.100,,,,
