"Plot Title: LQC"
"#","Date Time, GMT-07:00","Temp, °F (LGR S/N: 20309222, SEN S/N: 20309222)","Event, units (LGR S/N: 20309222, SEN S/N: 20309222)","Coupler Attached (LGR S/N: 20309222)","Host Connected (LGR S/N: 20309222)","Coupler Detached (LGR S/N: 20309222)","End Of File (LGR S/N: 20309222)"
1,03/20/20 04:00:00 PM,66.708,0.00,,,,
2,03/20/20 05:00:00 PM,70.651,,,,,
3,03/20/20 06:00:00 PM,67.221,,,,,
4,03/20/20 07:00:00 PM,62.598,,,,,
5,03/20/20 08:00:00 PM,50.113,,,,,
6,03/20/20 09:00:00 PM,46.908,,,,,
7,03/20/20 10:00:00 PM,47.088,,,,,
8,03/20/20 11:00:00 PM,46.188,,,,,
9,03/21/20 12:00:00 AM,47.802,,,,,
10,03/21/20 01:00:00 AM,46.548,,,,,
11,03/21/20 02:00:00 AM,45.466,,,,,
12,03/21/20 03:00:00 AM,44.013,,,,,
13,03/21/20 04:00:00 AM,44.742,,,,,
14,03/21/20 05:00:00 AM,45.286,,,,,
15,03/21/20 05:54:03 AM,,0.01,,,,
16,03/21/20 06:00:00 AM,45.286,,,,,
17,03/21/20 06:23:17 AM,,0.02,,,,
18,03/21/20 06:38:26 AM,,0.03,,,,
19,03/21/20 06:53:18 AM,,0.04,,,,
20,03/21/20 07:00:00 AM,45.648,,,,,
21,03/21/20 08:00:00 AM,46.369,,,,,
22,03/21/20 08:10:27 AM,,0.05,,,,
23,03/21/20 09:00:00 AM,48.695,,,,,
24,03/21/20 10:00:00 AM,52.576,,,,,
25,03/21/20 11:00:00 AM,56.750,,,,,
26,03/21/20 12:00:00 PM,63.626,,,,,
27,03/21/20 01:00:00 PM,64.652,,,,,
28,03/21/20 02:00:00 PM,61.569,,,,,
29,03/21/20 03:00:00 PM,67.906,,,,,
30,03/21/20 04:00:00 PM,67.392,,,,,
31,03/21/20 05:00:00 PM,69.278,,,,,
32,03/21/20 06:00:00 PM,67.735,,,,,
33,03/21/20 07:00:00 PM,63.968,,,,,
34,03/21/20 08:00:00 PM,55.364,,,,,
35,03/21/20 09:00:00 PM,50.643,,,,,
36,03/21/20 10:00:00 PM,49.228,,,,,
37,03/21/20 11:00:00 PM,47.088,,,,,
38,03/22/20 12:00:00 AM,48.695,,,,,
39,03/22/20 01:00:00 AM,48.695,,,,,
40,03/22/20 02:00:00 AM,48.517,,,,,
41,03/22/20 03:00:00 AM,47.088,,,,,
42,03/22/20 04:00:00 AM,47.088,,,,,
43,03/22/20 05:00:00 AM,47.088,,,,,
44,03/22/20 06:00:00 AM,46.908,,,,,
45,03/22/20 07:00:00 AM,46.548,,,,,
46,03/22/20 08:00:00 AM,47.624,,,,,
47,03/22/20 09:00:00 AM,51.172,,,,,
48,03/22/20 10:00:00 AM,56.404,,,,,
49,03/22/20 11:00:00 AM,67.564,,,,,
50,03/22/20 12:00:00 PM,73.753,,,,,
51,03/22/20 01:00:00 PM,72.718,,,,,
52,03/22/20 02:00:00 PM,65.167,,,,,
53,03/22/20 03:00:00 PM,62.769,,,,,
54,03/22/20 04:00:00 PM,63.626,,,,,
55,03/22/20 05:00:00 PM,63.626,,,,,
56,03/22/20 06:00:00 PM,64.139,,,,,
57,03/22/20 07:00:00 PM,61.054,,,,,
58,03/22/20 08:00:00 PM,55.537,,,,,
59,03/22/20 09:00:00 PM,51.172,,,,,
60,03/22/20 10:00:00 PM,49.404,,,,,
61,03/22/20 11:00:00 PM,53.798,,,,,
62,03/23/20 12:00:00 AM,54.147,,,,,
63,03/23/20 01:00:00 AM,53.623,,,,,
64,03/23/20 02:00:00 AM,52.050,,,,,
65,03/23/20 03:00:00 AM,52.225,,,,,
66,03/23/20 04:00:00 AM,49.937,,,,,
67,03/23/20 05:00:00 AM,49.228,,,,,
68,03/23/20 06:00:00 AM,49.582,,,,,
69,03/23/20 07:00:00 AM,50.466,,,,,
70,03/23/20 08:00:00 AM,49.937,,,,,
71,03/23/20 09:00:00 AM,55.189,,,,,
72,03/23/20 10:00:00 AM,56.057,,,,,
73,03/23/20 11:00:00 AM,57.958,,,,,
74,03/23/20 12:00:00 PM,59.851,,,,,
75,03/23/20 01:00:00 PM,59.508,,,,,
76,03/23/20 02:00:00 PM,60.712,,,,,
77,03/23/20 03:00:00 PM,62.083,,,,,
78,03/23/20 04:00:00 PM,56.230,,,,,
79,03/23/20 05:00:00 PM,55.711,,,,,
80,03/23/20 06:00:00 PM,55.017,,,,,
81,03/23/20 07:00:00 PM,53.798,,,,,
82,03/23/20 08:00:00 PM,51.346,,,,,
83,03/23/20 09:00:00 PM,48.695,,,,,
84,03/23/20 10:00:00 PM,48.695,,,,,
85,03/23/20 11:00:00 PM,49.050,,,,,
86,03/24/20 12:00:00 AM,48.695,,,,,
87,03/24/20 01:00:00 AM,48.871,,,,,
88,03/24/20 02:00:00 AM,48.695,,,,,
89,03/24/20 03:00:00 AM,50.466,,,,,
90,03/24/20 03:15:41 AM,,0.06,,,,
91,03/24/20 04:00:00 AM,48.517,,,,,
92,03/24/20 05:00:00 AM,47.982,,,,,
93,03/24/20 06:00:00 AM,45.828,,,,,
94,03/24/20 07:00:00 AM,45.286,,,,,
95,03/24/20 08:00:00 AM,46.548,,,,,
96,03/24/20 09:00:00 AM,50.643,,,,,
97,03/24/20 10:00:00 AM,56.230,,,,,
98,03/24/20 11:00:00 AM,60.539,,,,,
99,03/24/20 12:00:00 PM,57.441,,,,,
100,03/24/20 01:00:00 PM,58.993,,,,,
101,03/24/20 02:00:00 PM,55.537,,,,,
102,03/24/20 02:03:37 PM,,0.07,,,,
103,03/24/20 03:00:00 PM,56.057,,,,,
104,03/24/20 03:00:11 PM,,0.08,,,,
105,03/24/20 03:08:01 PM,,0.09,,,,
106,03/24/20 03:23:57 PM,,0.10,,,,
107,03/24/20 03:27:17 PM,,0.11,,,,
108,03/24/20 03:32:08 PM,,0.12,,,,
109,03/24/20 03:39:20 PM,,0.13,,,,
110,03/24/20 03:46:04 PM,,0.14,,,,
111,03/24/20 04:00:00 PM,54.495,,,,,
112,03/24/20 05:00:00 PM,56.057,,,,,
113,03/24/20 06:00:00 PM,57.441,,,,,
114,03/24/20 06:35:57 PM,,0.15,,,,
115,03/24/20 06:38:16 PM,,0.16,,,,
116,03/24/20 06:41:59 PM,,0.17,,,,
117,03/24/20 06:47:59 PM,,0.18,,,,
118,03/24/20 07:00:00 PM,54.495,,,,,
119,03/24/20 08:00:00 PM,48.339,,,,,
120,03/24/20 09:00:00 PM,46.908,,,,,
121,03/24/20 10:00:00 PM,44.922,,,,,
122,03/24/20 11:00:00 PM,44.195,,,,,
123,03/25/20 12:00:00 AM,45.286,,,,,
124,03/25/20 12:07:01 AM,,0.19,,,,
125,03/25/20 01:00:00 AM,45.648,,,,,
126,03/25/20 02:00:00 AM,43.466,,,,,
127,03/25/20 03:00:00 AM,44.195,,,,,
128,03/25/20 03:23:35 AM,,0.20,,,,
129,03/25/20 04:00:00 AM,44.560,,,,,
130,03/25/20 04:03:06 AM,,0.21,,,,
131,03/25/20 04:18:14 AM,,0.22,,,,
132,03/25/20 04:23:19 AM,,0.23,,,,
133,03/25/20 04:28:34 AM,,0.24,,,,
134,03/25/20 04:48:46 AM,,0.25,,,,
135,03/25/20 05:00:00 AM,44.195,,,,,
136,03/25/20 05:46:35 AM,,0.26,,,,
137,03/25/20 05:53:45 AM,,0.27,,,,
138,03/25/20 06:00:00 AM,44.195,,,,,
139,03/25/20 07:00:00 AM,42.179,,,,,
140,03/25/20 08:00:00 AM,41.994,,,,,
141,03/25/20 09:00:00 AM,45.104,,,,,
142,03/25/20 10:00:00 AM,48.871,,,,,
143,03/25/20 11:00:00 AM,55.189,,,,,
144,03/25/20 12:00:00 PM,66.193,,,,,
145,03/25/20 01:00:00 PM,70.824,,,,,
146,03/25/20 02:00:00 PM,61.227,,,,,
147,03/25/20 03:00:00 PM,60.712,,,,,
148,03/25/20 04:00:00 PM,61.569,,,,,
149,03/25/20 05:00:00 PM,62.598,,,,,
150,03/25/20 06:00:00 PM,58.647,,,,,
151,03/25/20 06:15:02 PM,,0.28,,,,
152,03/25/20 07:00:00 PM,51.346,,,,,
153,03/25/20 08:00:00 PM,45.828,,,,,
154,03/25/20 09:00:00 PM,42.548,,,,,
155,03/25/20 10:00:00 PM,40.509,,,,,
156,03/25/20 11:00:00 PM,38.629,,,,,
157,03/26/20 12:00:00 AM,38.250,,,,,
158,03/26/20 01:00:00 AM,39.196,,,,,
159,03/26/20 01:53:28 AM,,0.29,,,,
160,03/26/20 02:00:00 AM,40.509,,,,,
161,03/26/20 02:00:02 AM,,0.30,,,,
162,03/26/20 03:00:00 AM,40.509,,,,,
163,03/26/20 03:33:22 AM,,0.31,,,,
164,03/26/20 03:36:18 AM,,0.32,,,,
165,03/26/20 04:00:00 AM,40.134,,,,,
166,03/26/20 04:15:00 AM,,0.33,,,,
167,03/26/20 04:21:05 AM,,0.34,,,,
168,03/26/20 04:28:18 AM,,0.35,,,,
169,03/26/20 04:34:01 AM,,0.36,,,,
170,03/26/20 05:00:00 AM,41.810,,,,,
171,03/26/20 05:16:04 AM,,0.37,,,,
172,03/26/20 06:00:00 AM,41.439,,,,,
173,03/26/20 07:00:00 AM,39.760,,,,,
174,03/26/20 08:00:00 AM,40.509,,,,,
175,03/26/20 09:00:00 AM,42.179,,,,,
176,03/26/20 10:00:00 AM,49.404,,,,,
177,03/26/20 11:00:00 AM,56.923,,,,,
178,03/26/20 12:00:00 PM,66.708,,,,,
179,03/26/20 01:00:00 PM,70.824,,,,,
180,03/26/20 02:00:00 PM,55.189,,,,,
181,03/26/20 03:00:00 PM,62.769,,,,,
182,03/26/20 04:00:00 PM,58.476,,,,,
183,03/26/20 05:00:00 PM,60.883,,,,,
184,03/26/20 06:00:00 PM,61.398,,,,,
185,03/26/20 07:00:00 PM,55.537,,,,,
186,03/26/20 08:00:00 PM,47.982,,,,,
187,03/26/20 09:00:00 PM,43.099,,,,,
188,03/26/20 10:00:00 PM,41.067,,,,,
189,03/26/20 11:00:00 PM,39.760,,,,,
190,03/27/20 12:00:00 AM,39.384,,,,,
191,03/27/20 01:00:00 AM,38.440,,,,,
192,03/27/20 02:00:00 AM,37.870,,,,,
193,03/27/20 03:00:00 AM,37.679,,,,,
194,03/27/20 04:00:00 AM,37.297,,,,,
195,03/27/20 05:00:00 AM,38.818,,,,,
196,03/27/20 06:00:00 AM,39.573,,,,,
197,03/27/20 07:00:00 AM,39.196,,,,,
198,03/27/20 08:00:00 AM,39.760,,,,,
199,03/27/20 09:00:00 AM,43.831,,,,,
200,03/27/20 10:00:00 AM,51.523,,,,,
201,03/27/20 11:00:00 AM,63.626,,,,,
202,03/27/20 12:00:00 PM,69.107,,,,,
203,03/27/20 01:00:00 PM,67.735,,,,,
204,03/27/20 02:00:00 PM,63.282,,,,,
205,03/27/20 03:00:00 PM,62.425,,,,,
206,03/27/20 04:00:00 PM,60.883,,,,,
207,03/27/20 05:00:00 PM,64.139,,,,,
208,03/27/20 06:00:00 PM,61.912,,,,,
209,03/27/20 07:00:00 PM,54.495,,,,,
210,03/27/20 08:00:00 PM,51.874,,,,,
211,03/27/20 09:00:00 PM,46.548,,,,,
212,03/27/20 10:00:00 PM,47.446,,,,,
