"Plot Title: LQC"
"#","Date Time, GMT-07:00","Temp, °F (LGR S/N: 20309222, SEN S/N: 20309222)","Event, units (LGR S/N: 20309222, SEN S/N: 20309222)","Coupler Attached (LGR S/N: 20309222)","Coupler Detached (LGR S/N: 20309222)","Host Connected (LGR S/N: 20309222)","Stopped (LGR S/N: 20309222)","End Of File (LGR S/N: 20309222)"
1,05/23/19 03:00:00 PM,67.735,0.00,,,,,
2,05/23/19 03:15:00 PM,67.050,,,,,,
3,05/23/19 03:30:00 PM,66.708,,,,,,
4,05/23/19 03:45:00 PM,65.338,,,,,,
5,05/23/19 04:00:00 PM,64.825,,,,,,
6,05/23/19 04:15:00 PM,63.968,,,,,,
7,05/23/19 04:30:00 PM,62.425,,,,,,
8,05/23/19 04:45:00 PM,61.569,,,,,,
9,05/23/19 05:00:00 PM,60.712,,,,,,
10,05/23/19 05:15:00 PM,60.195,,,,,,
11,05/23/19 05:30:00 PM,59.851,,,,,,
12,05/23/19 05:45:00 PM,59.337,,,,,,
13,05/23/19 06:00:00 PM,58.993,,,,,,
14,05/23/19 06:15:00 PM,58.647,,,,,,
15,05/23/19 06:30:00 PM,58.820,,,,,,
16,05/23/19 06:45:00 PM,58.476,,,,,,
17,05/23/19 07:00:00 PM,57.958,,,,,,
18,05/23/19 07:15:00 PM,57.614,,,,,,
19,05/23/19 07:30:00 PM,57.441,,,,,,
20,05/23/19 07:45:00 PM,57.096,,,,,,
21,05/23/19 08:00:00 PM,56.750,,,,,,
22,05/23/19 08:15:00 PM,56.404,,,,,,
23,05/23/19 08:30:00 PM,56.230,,,,,,
24,05/23/19 08:45:00 PM,56.057,,,,,,
25,05/23/19 09:00:00 PM,56.057,,,,,,
26,05/23/19 09:15:00 PM,56.057,,,,,,
27,05/23/19 09:30:00 PM,55.884,,,,,,
28,05/23/19 09:45:00 PM,55.884,,,,,,
29,05/23/19 10:00:00 PM,55.884,,,,,,
30,05/23/19 10:15:00 PM,55.884,,,,,,
31,05/23/19 10:30:00 PM,55.884,,,,,,
32,05/23/19 10:45:00 PM,55.884,,,,,,
33,05/23/19 11:00:00 PM,55.884,,,,,,
34,05/23/19 11:15:00 PM,55.711,,,,,,
35,05/23/19 11:30:00 PM,55.711,,,,,,
36,05/23/19 11:45:00 PM,55.537,,,,,,
37,05/24/19 12:00:00 AM,55.364,,,,,,
38,05/24/19 12:15:00 AM,55.189,,,,,,
39,05/24/19 12:30:00 AM,54.842,,,,,,
40,05/24/19 12:45:00 AM,54.842,,,,,,
41,05/24/19 01:00:00 AM,54.842,,,,,,
42,05/24/19 01:15:00 AM,54.669,,,,,,
43,05/24/19 01:30:00 AM,54.669,,,,,,
44,05/24/19 01:45:00 AM,54.669,,,,,,
45,05/24/19 02:00:00 AM,54.669,,,,,,
46,05/24/19 02:15:00 AM,54.669,,,,,,
47,05/24/19 02:30:00 AM,54.669,,,,,,
48,05/24/19 02:45:00 AM,54.669,,,,,,
49,05/24/19 03:00:00 AM,54.669,,,,,,
50,05/24/19 03:15:00 AM,54.669,,,,,,
51,05/24/19 03:30:00 AM,54.669,,,,,,
52,05/24/19 03:45:00 AM,54.669,,,,,,
53,05/24/19 04:00:00 AM,54.495,,,,,,
54,05/24/19 04:15:00 AM,54.495,,,,,,
55,05/24/19 04:30:00 AM,54.495,,,,,,
56,05/24/19 04:45:00 AM,54.322,,,,,,
57,05/24/19 05:00:00 AM,54.322,,,,,,
58,05/24/19 05:15:00 AM,54.322,,,,,,
59,05/24/19 05:30:00 AM,54.147,,,,,,
60,05/24/19 05:45:00 AM,53.798,,,,,,
61,05/24/19 06:00:00 AM,52.925,,,,,,
62,05/24/19 06:15:00 AM,52.401,,,,,,
63,05/24/19 06:30:00 AM,51.874,,,,,,
64,05/24/19 06:45:00 AM,51.346,,,,,,
65,05/24/19 07:00:00 AM,51.172,,,,,,
66,05/24/19 07:15:00 AM,52.576,,,,,,
67,05/24/19 07:30:00 AM,54.322,,,,,,
68,05/24/19 07:45:00 AM,56.230,,,,,,
69,05/24/19 08:00:00 AM,57.958,,,,,,
70,05/24/19 08:15:00 AM,59.508,,,,,,
71,05/24/19 08:30:00 AM,60.712,,,,,,
72,05/24/19 08:45:00 AM,61.741,,,,,,
73,05/24/19 09:00:00 AM,62.598,,,,,,
74,05/24/19 09:15:00 AM,63.282,,,,,,
75,05/24/19 09:30:00 AM,65.167,,,,,,
76,05/24/19 09:45:00 AM,66.022,,,,,,
77,05/24/19 10:00:00 AM,65.851,,,,,,
78,05/24/19 10:15:00 AM,66.366,,,,,,
79,05/24/19 10:30:00 AM,66.879,,,,,,
80,05/24/19 10:45:00 AM,67.735,,,,,,
81,05/24/19 11:00:00 AM,68.421,,,,,,
82,05/24/19 11:15:00 AM,72.199,,,,,,
83,05/24/19 11:30:00 AM,74.964,,,,,,
84,05/24/19 11:45:00 AM,75.659,,,,,,
85,05/24/19 12:00:00 PM,75.312,,,,,,
86,05/24/19 12:15:00 PM,76.006,,,,,,
87,05/24/19 12:30:00 PM,75.832,,,,,,
88,05/24/19 12:45:00 PM,73.753,,,,,,
89,05/24/19 01:00:00 PM,72.718,,,,,,
90,05/24/19 01:15:00 PM,72.199,,,,,,
91,05/24/19 01:30:00 PM,71.339,,,,,,
92,05/24/19 01:45:00 PM,70.995,,,,,,
93,05/24/19 02:00:00 PM,70.480,,,,,,
94,05/24/19 02:15:00 PM,70.308,,,,,,
95,05/24/19 02:30:00 PM,70.824,,,,,,
96,05/24/19 02:45:00 PM,70.480,,,,,,
97,05/24/19 03:00:00 PM,70.480,,,,,,
98,05/24/19 03:15:00 PM,69.964,,,,,,
99,05/24/19 03:30:00 PM,70.308,,,,,,
100,05/24/19 03:45:00 PM,70.137,,,,,,
101,05/24/19 04:00:00 PM,69.622,,,,,,
102,05/24/19 04:15:00 PM,69.107,,,,,,
103,05/24/19 04:30:00 PM,68.421,,,,,,
104,05/24/19 04:45:00 PM,68.248,,,,,,
105,05/24/19 05:00:00 PM,67.564,,,,,,
106,05/24/19 05:15:00 PM,67.392,,,,,,
107,05/24/19 05:30:00 PM,66.879,,,,,,
108,05/24/19 05:45:00 PM,67.050,,,,,,
109,05/24/19 06:00:00 PM,66.193,,,,,,
110,05/24/19 06:15:00 PM,65.338,,,,,,
111,05/24/19 06:30:00 PM,63.455,,,,,,
112,05/24/19 06:45:00 PM,63.282,,,,,,
113,05/24/19 07:00:00 PM,61.569,,,,,,
114,05/24/19 07:15:00 PM,60.539,,,,,,
115,05/24/19 07:30:00 PM,59.680,,,,,,
116,05/24/19 07:45:00 PM,58.820,,,,,,
117,05/24/19 08:00:00 PM,57.096,,,,,,
118,05/24/19 08:15:00 PM,55.884,,,,,,
119,05/24/19 08:30:00 PM,55.017,,,,,,
120,05/24/19 08:45:00 PM,54.495,,,,,,
121,05/24/19 09:00:00 PM,53.973,,,,,,
122,05/24/19 09:15:00 PM,53.449,,,,,,
123,05/24/19 09:30:00 PM,53.100,,,,,,
124,05/24/19 09:45:00 PM,52.401,,,,,,
125,05/24/19 10:00:00 PM,51.699,,,,,,
126,05/24/19 10:15:00 PM,51.172,,,,,,
127,05/24/19 10:30:00 PM,50.643,,,,,,
128,05/24/19 10:45:00 PM,49.937,,,,,,
129,05/24/19 11:00:00 PM,49.404,,,,,,
130,05/24/19 11:15:00 PM,48.871,,,,,,
131,05/24/19 11:30:00 PM,48.517,,,,,,
132,05/24/19 11:45:00 PM,48.871,,,,,,
133,05/25/19 12:00:00 AM,49.937,,,,,,
134,05/25/19 12:15:00 AM,50.643,,,,,,
135,05/25/19 12:30:00 AM,51.172,,,,,,
136,05/25/19 12:45:00 AM,51.523,,,,,,
137,05/25/19 01:00:00 AM,51.874,,,,,,
138,05/25/19 01:15:00 AM,52.050,,,,,,
139,05/25/19 01:30:00 AM,52.050,,,,,,
140,05/25/19 01:45:00 AM,52.225,,,,,,
141,05/25/19 02:00:00 AM,52.576,,,,,,
142,05/25/19 02:15:00 AM,52.925,,,,,,
143,05/25/19 02:30:00 AM,53.100,,,,,,
144,05/25/19 02:45:00 AM,53.274,,,,,,
145,05/25/19 03:00:00 AM,53.274,,,,,,
146,05/25/19 03:15:00 AM,53.449,,,,,,
147,05/25/19 03:30:00 AM,53.449,,,,,,
148,05/25/19 03:45:00 AM,53.449,,,,,,
149,05/25/19 04:00:00 AM,53.449,,,,,,
150,05/25/19 04:15:00 AM,53.449,,,,,,
151,05/25/19 04:30:00 AM,53.449,,,,,,
152,05/25/19 04:45:00 AM,53.449,,,,,,
153,05/25/19 05:00:00 AM,53.449,,,,,,
154,05/25/19 05:15:00 AM,53.623,,,,,,
155,05/25/19 05:30:00 AM,53.449,,,,,,
156,05/25/19 05:45:00 AM,53.449,,,,,,
157,05/25/19 06:00:00 AM,53.449,,,,,,
158,05/25/19 06:15:00 AM,53.449,,,,,,
159,05/25/19 06:30:00 AM,53.449,,,,,,
160,05/25/19 06:45:00 AM,53.623,,,,,,
161,05/25/19 07:00:00 AM,53.973,,,,,,
162,05/25/19 07:15:00 AM,54.322,,,,,,
163,05/25/19 07:30:00 AM,54.842,,,,,,
164,05/25/19 07:45:00 AM,55.711,,,,,,
165,05/25/19 08:00:00 AM,56.230,,,,,,
166,05/25/19 08:15:00 AM,56.750,,,,,,
167,05/25/19 08:30:00 AM,57.441,,,,,,
168,05/25/19 08:45:00 AM,57.958,,,,,,
169,05/25/19 09:00:00 AM,59.508,,,,,,
170,05/25/19 09:15:00 AM,59.851,,,,,,
171,05/25/19 09:30:00 AM,60.195,,,,,,
172,05/25/19 09:45:00 AM,60.712,,,,,,
173,05/25/19 10:00:00 AM,61.912,,,,,,
174,05/25/19 10:15:00 AM,66.537,,,,,,
175,05/25/19 10:30:00 AM,66.708,,,,,,
176,05/25/19 10:45:00 AM,68.763,,,,,,
177,05/25/19 11:00:00 AM,68.934,,,,,,
178,05/25/19 11:15:00 AM,72.199,,,,,,
179,05/25/19 11:30:00 AM,73.926,,,,,,
180,05/25/19 11:45:00 AM,70.995,,,,,,
181,05/25/19 12:00:00 PM,70.137,,,,,,
182,05/25/19 12:15:00 PM,69.622,,,,,,
183,05/25/19 12:30:00 PM,69.964,,,,,,
184,05/25/19 12:45:00 PM,70.137,,,,,,
185,05/25/19 01:00:00 PM,69.964,,,,,,
186,05/25/19 01:15:00 PM,68.934,,,,,,
187,05/25/19 01:30:00 PM,68.763,,,,,,
188,05/25/19 01:45:00 PM,68.592,,,,,,
189,05/25/19 02:00:00 PM,68.077,,,,,,
190,05/25/19 02:15:00 PM,67.906,,,,,,
191,05/25/19 02:30:00 PM,67.735,,,,,,
192,05/25/19 02:45:00 PM,67.564,,,,,,
193,05/25/19 03:00:00 PM,67.735,,,,,,
194,05/25/19 03:15:00 PM,67.735,,,,,,
195,05/25/19 03:30:00 PM,67.735,,,,,,
196,05/25/19 03:45:00 PM,67.735,,,,,,
197,05/25/19 04:00:00 PM,67.392,,,,,,
198,05/25/19 04:15:00 PM,67.221,,,,,,
199,05/25/19 04:30:00 PM,67.050,,,,,,
200,05/25/19 04:45:00 PM,66.708,,,,,,
201,05/25/19 05:00:00 PM,65.338,,,,,,
202,05/25/19 05:15:00 PM,63.111,,,,,,
203,05/25/19 05:30:00 PM,61.741,,,,,,
204,05/25/19 05:45:00 PM,60.712,,,,,,
205,05/25/19 06:00:00 PM,60.024,,,,,,
206,05/25/19 06:15:00 PM,59.508,,,,,,
207,05/25/19 06:30:00 PM,58.647,,,,,,
208,05/25/19 06:45:00 PM,58.131,,,,,,
209,05/25/19 07:00:00 PM,57.785,,,,,,
210,05/25/19 07:15:00 PM,57.096,,,,,,
211,05/25/19 07:30:00 PM,56.577,,,,,,
212,05/25/19 07:45:00 PM,56.230,,,,,,
213,05/25/19 08:00:00 PM,55.711,,,,,,
214,05/25/19 08:15:00 PM,55.537,,,,,,
215,05/25/19 08:30:00 PM,55.189,,,,,,
216,05/25/19 08:45:00 PM,55.017,,,,,,
217,05/25/19 09:00:00 PM,54.842,,,,,,
218,05/25/19 09:15:00 PM,54.669,,,,,,
219,05/25/19 09:30:00 PM,54.669,,,,,,
220,05/25/19 09:45:00 PM,54.495,,,,,,
221,05/25/19 10:00:00 PM,54.322,,,,,,
222,05/25/19 10:15:00 PM,54.322,,,,,,
223,05/25/19 10:30:00 PM,54.322,,,,,,
224,05/25/19 10:45:00 PM,54.147,,,,,,
225,05/25/19 11:00:00 PM,54.147,,,,,,
226,05/25/19 11:15:00 PM,53.973,,,,,,
227,05/25/19 11:30:00 PM,53.973,,,,,,
228,05/25/19 11:45:00 PM,53.973,,,,,,
229,05/26/19 12:00:00 AM,53.798,,,,,,
230,05/26/19 12:15:00 AM,53.798,,,,,,
231,05/26/19 12:30:00 AM,53.798,,,,,,
232,05/26/19 12:45:00 AM,53.973,,,,,,
233,05/26/19 01:00:00 AM,53.973,,,,,,
234,05/26/19 01:15:00 AM,53.973,,,,,,
235,05/26/19 01:18:29 AM,,0.01,,,,,
236,05/26/19 01:30:00 AM,53.798,,,,,,
237,05/26/19 01:40:14 AM,,0.02,,,,,
238,05/26/19 01:45:00 AM,53.623,,,,,,
239,05/26/19 02:00:00 AM,53.449,,,,,,
240,05/26/19 02:15:00 AM,53.274,,,,,,
241,05/26/19 02:30:00 AM,53.274,,,,,,
242,05/26/19 02:45:00 AM,53.100,,,,,,
243,05/26/19 03:00:00 AM,52.925,,,,,,
244,05/26/19 03:15:00 AM,52.750,,,,,,
245,05/26/19 03:30:00 AM,52.750,,,,,,
246,05/26/19 03:45:00 AM,52.576,,,,,,
247,05/26/19 04:00:00 AM,52.225,,,,,,
248,05/26/19 04:15:00 AM,52.050,,,,,,
249,05/26/19 04:30:00 AM,51.874,,,,,,
250,05/26/19 04:45:00 AM,51.874,,,,,,
251,05/26/19 04:51:42 AM,,0.03,,,,,
252,05/26/19 04:55:31 AM,,0.04,,,,,
253,05/26/19 05:00:00 AM,51.874,,,,,,
254,05/26/19 05:03:20 AM,,0.05,,,,,
255,05/26/19 05:15:00 AM,50.995,,,,,,
256,05/26/19 05:24:47 AM,,0.06,,,,,
257,05/26/19 05:30:00 AM,50.819,,,,,,
258,05/26/19 05:45:00 AM,50.643,,,,,,
259,05/26/19 06:00:00 AM,50.819,,,,,,
260,05/26/19 06:00:50 AM,,0.07,,,,,
261,05/26/19 06:15:00 AM,50.995,,,,,,
262,05/26/19 06:30:00 AM,51.172,,,,,,
263,05/26/19 06:45:00 AM,51.874,,,,,,
264,05/26/19 07:00:00 AM,52.225,,,,,,
265,05/26/19 07:15:00 AM,52.576,,,,,,
266,05/26/19 07:30:00 AM,52.925,,,,,,
267,05/26/19 07:45:00 AM,53.449,,,,,,
268,05/26/19 08:00:00 AM,53.973,,,,,,
269,05/26/19 08:15:00 AM,54.495,,,,,,
270,05/26/19 08:30:00 AM,55.884,,,,,,
271,05/26/19 08:45:00 AM,56.057,,,,,,
272,05/26/19 09:00:00 AM,56.923,,,,,,
273,05/26/19 09:15:00 AM,57.614,,,,,,
274,05/26/19 09:30:00 AM,59.164,,,,,,
275,05/26/19 09:45:00 AM,61.054,,,,,,
276,05/26/19 10:00:00 AM,61.741,,,,,,
277,05/26/19 10:15:00 AM,61.569,,,,,,
278,05/26/19 10:30:00 AM,64.996,,,,,,
279,05/26/19 10:45:00 AM,68.592,,,,,,
280,05/26/19 11:00:00 AM,70.480,,,,,,
281,05/26/19 11:15:00 AM,71.168,,,,,,
282,05/26/19 11:30:00 AM,72.199,,,,,,
283,05/26/19 11:45:00 AM,73.062,,,,,,
284,05/26/19 12:00:00 PM,73.062,,,,,,
285,05/26/19 12:15:00 PM,71.168,,,,,,
286,05/26/19 12:30:00 PM,70.308,,,,,,
287,05/26/19 12:45:00 PM,68.763,,,,,,
288,05/26/19 01:00:00 PM,67.735,,,,,,
289,05/26/19 01:15:00 PM,67.564,,,,,,
290,05/26/19 01:30:00 PM,67.392,,,,,,
291,05/26/19 01:45:00 PM,66.708,,,,,,
292,05/26/19 02:00:00 PM,66.366,,,,,,
293,05/26/19 02:15:00 PM,67.050,,,,,,
294,05/26/19 02:30:00 PM,67.735,,,,,,
295,05/26/19 02:45:00 PM,67.221,,,,,,
296,05/26/19 03:00:00 PM,67.221,,,,,,
297,05/26/19 03:15:00 PM,67.564,,,,,,
298,05/26/19 03:30:00 PM,69.107,,,,,,
299,05/26/19 03:45:00 PM,67.050,,,,,,
300,05/26/19 04:00:00 PM,64.996,,,,,,
301,05/26/19 04:15:00 PM,63.968,,,,,,
302,05/26/19 04:30:00 PM,63.111,,,,,,
303,05/26/19 04:45:00 PM,62.425,,,,,,
304,05/26/19 05:00:00 PM,62.083,,,,,,
305,05/26/19 05:15:00 PM,60.883,,,,,,
306,05/26/19 05:30:00 PM,58.993,,,,,,
307,05/26/19 05:45:00 PM,58.303,,,,,,
308,05/26/19 06:00:00 PM,58.476,,,,,,
309,05/26/19 06:15:00 PM,58.303,,,,,,
310,05/26/19 06:30:00 PM,56.923,,,,,,
311,05/26/19 06:45:00 PM,56.057,,,,,,
312,05/26/19 07:00:00 PM,55.711,,,,,,
313,05/26/19 07:15:00 PM,54.842,,,,,,
314,05/26/19 07:30:00 PM,54.147,,,,,,
315,05/26/19 07:45:00 PM,53.623,,,,,,
316,05/26/19 08:00:00 PM,53.274,,,,,,
317,05/26/19 08:15:00 PM,52.925,,,,,,
318,05/26/19 08:30:00 PM,52.750,,,,,,
319,05/26/19 08:45:00 PM,52.576,,,,,,
320,05/26/19 09:00:00 PM,52.225,,,,,,
321,05/26/19 09:15:00 PM,51.699,,,,,,
322,05/26/19 09:30:00 PM,51.699,,,,,,
323,05/26/19 09:45:00 PM,51.874,,,,,,
324,05/26/19 09:53:36 PM,,0.08,,,,,
325,05/26/19 10:00:00 PM,52.050,,,,,,
326,05/26/19 10:15:00 PM,52.050,,,,,,
327,05/26/19 10:30:00 PM,52.050,,,,,,
328,05/26/19 10:45:00 PM,51.172,,,,,,
329,05/26/19 11:00:00 PM,50.466,,,,,,
330,05/26/19 11:15:00 PM,50.466,,,,,,
331,05/26/19 11:30:00 PM,50.290,,,,,,
332,05/26/19 11:45:00 PM,50.643,,,,,,
333,05/27/19 12:00:00 AM,50.995,,,,,,
334,05/27/19 12:15:00 AM,50.995,,,,,,
335,05/27/19 12:30:00 AM,50.995,,,,,,
