"Plot Title: Waterlab"
"#","Date Time, GMT-08:00","Temp, °F (LGR S/N: 20309220, SEN S/N: 20309220)","Event, units (LGR S/N: 20309220, SEN S/N: 20309220)","End Of File (LGR S/N: 20309220)"
1,01/06/20 03:00:00 PM,54.495,0.00,
2,01/06/20 03:15:00 PM,53.623,,
3,01/06/20 03:30:00 PM,52.401,,
4,01/06/20 03:45:00 PM,50.995,,
5,01/06/20 04:00:00 PM,49.937,,
6,01/06/20 04:15:00 PM,48.871,,
7,01/06/20 04:30:00 PM,48.339,,
8,01/06/20 04:45:00 PM,47.446,,
9,01/06/20 05:00:00 PM,46.188,,
10,01/06/20 05:15:00 PM,45.648,,
11,01/06/20 05:30:00 PM,44.560,,
12,01/06/20 05:45:00 PM,43.466,,
13,01/06/20 06:00:00 PM,42.915,,
14,01/06/20 06:15:00 PM,42.363,,
15,01/06/20 06:30:00 PM,41.994,,
16,01/06/20 06:45:00 PM,41.625,,
17,01/06/20 07:00:00 PM,41.254,,
18,01/06/20 07:15:00 PM,40.881,,
19,01/06/20 07:30:00 PM,40.509,,
20,01/06/20 07:45:00 PM,40.134,,
21,01/06/20 08:00:00 PM,39.573,,
22,01/06/20 08:15:00 PM,39.196,,
23,01/06/20 08:30:00 PM,39.384,,
24,01/06/20 08:45:00 PM,39.007,,
25,01/06/20 09:00:00 PM,38.818,,
26,01/06/20 09:15:00 PM,38.629,,
27,01/06/20 09:30:00 PM,38.440,,
28,01/06/20 09:45:00 PM,38.440,,
29,01/06/20 10:00:00 PM,38.250,,
30,01/06/20 10:15:00 PM,37.870,,
31,01/06/20 10:30:00 PM,37.297,,
32,01/06/20 10:45:00 PM,37.107,,
33,01/06/20 11:00:00 PM,36.723,,
34,01/06/20 11:15:00 PM,36.531,,
35,01/06/20 11:30:00 PM,36.338,,
36,01/06/20 11:45:00 PM,36.145,,
37,01/07/20 12:00:00 AM,36.338,,
38,01/07/20 12:15:00 AM,36.145,,
39,01/07/20 12:30:00 AM,35.758,,
40,01/07/20 12:45:00 AM,35.175,,
41,01/07/20 01:00:00 AM,34.981,,
42,01/07/20 01:15:00 AM,34.981,,
43,01/07/20 01:30:00 AM,34.394,,
44,01/07/20 01:45:00 AM,34.002,,
