date,days_since_full_moon,moon_phase,tide_phase,photoperiod
2019-01-20,0.0,full,spring,0.410190313050407
2019-01-21,1.0,full,spring,0.4112538272092934
2019-01-22,2.0,full,spring,0.41234409106255043
2019-01-23,3.0,full,spring,0.413460365292849
2019-01-24,4.0,waning,neap,0.4146019195250119
2019-01-25,5.0,waning,neap,0.4157680265852832
2019-01-26,6.0,waning,neap,0.41695795638952404
2019-01-27,7.0,waning,neap,0.41817097288003424
2019-01-28,8.0,waning,neap,0.4194063349132193
2019-01-29,9.0,waning,neap,0.4206632997811539
2019-01-30,10.0,waning,neap,0.4219411270823912
2019-01-31,11.0,waning,neap,0.4232390820106957
2019-02-01,12.0,new,spring,0.4245564379452844
2019-02-02,13.0,new,spring,0.42589247876458103
2019-02-03,14.0,new,spring,0.4272465005706181
2019-02-04,15.0,new,spring,0.42861781272949884
2019-02-05,16.0,new,spring,0.43000573818426346
2019-02-06,17.0,new,spring,0.43140961352037266
2019-02-07,18.0,new,spring,0.43282878877653275
2019-02-08,19.0,waxing,neap,0.434262627393764
2019-02-09,20.0,waxing,neap,0.43571050583705073
2019-02-10,21.0,waxing,neap,0.437171813682653
2019-02-11,22.0,waxing,neap,0.4386459537781775
2019-02-12,23.0,waxing,neap,0.4401323429265176
2019-02-13,24.0,waxing,neap,0.4416304126934847
2019-02-14,25.0,waxing,neap,0.44313960999716073
2019-02-15,26.0,full,spring,0.444659397668147
2019-02-16,27.0,full,spring,0.44618925494432915
2019-02-17,28.0,full,spring,0.4477286790206563
2019-02-18,29.0,full,spring,0.4492771880759392
2019-02-19,0.0,full,spring,0.4508343248962774
2019-02-20,1.0,full,spring,0.45239965881046373
2019-02-21,2.0,full,spring,0.4539727836599923
2019-02-22,3.0,full,spring,0.4555533109960379
2019-02-23,4.0,waning,neap,0.45714086180669256
2019-02-24,5.0,waning,neap,0.45873505975760054
2019-02-25,6.0,waning,neap,0.46033552915469045
2019-02-26,7.0,waning,neap,0.4619418955844594
2019-02-27,8.0,waning,neap,0.46355378825683147
2019-02-28,9.0,waning,neap,0.46517084215884097
2019-03-01,10.0,waning,neap,0.4667926996189635
2019-03-02,11.0,waning,neap,0.46841901171865175
2019-03-03,12.0,new,spring,0.47004943922365783
2019-03-04,13.0,new,spring,0.47168365299876314
2019-03-05,14.0,new,spring,0.4733213337385678
2019-03-06,15.0,new,spring,0.4749621713999659
2019-03-07,16.0,new,spring,0.47660586446727393
2019-03-08,17.0,new,spring,0.47825211902090814
2019-03-09,18.0,new,spring,0.479900647784234
2019-03-10,19.0,waxing,neap,0.481551168995793
2019-03-11,20.0,waxing,neap,0.48320340592908906
2019-03-12,21.0,waxing,neap,0.4848570866161026
2019-03-13,22.0,waxing,neap,0.48651194415288046
2019-03-14,23.0,waxing,neap,0.48816771725250874
2019-03-15,24.0,waxing,neap,0.4898241511255037
2019-03-16,25.0,waxing,neap,0.4914809988476918
2019-03-17,26.0,full,spring,0.4931380212219665
2019-03-18,27.0,full,spring,0.49479499156586826
2019-03-19,28.0,full,spring,0.4964516960317269
2019-03-20,0.0,full,spring,0.498107936073211
2019-03-21,1.0,full,spring,0.49976352736121044
2019-03-22,2.0,full,spring,0.5014182948652888
2019-03-23,3.0,full,spring,0.5030720653303433
2019-03-24,4.0,waning,neap,0.5047246599497157
2019-03-25,5.0,waning,neap,0.5063758899123059
2019-03-26,6.0,waning,neap,0.5080255551365553
2019-03-27,7.0,waning,neap,0.5096734459293657
2019-03-28,8.0,waning,neap,0.511319342556817
2019-03-29,9.0,waning,neap,0.5129630192823242
2019-03-30,10.0,waning,neap,0.5146042444102932
2019-03-31,11.0,waning,neap,0.5162427815739647
2019-04-01,12.0,new,spring,0.5178783902811119
2019-04-02,13.0,new,spring,0.5195108259067638
2019-04-03,14.0,new,spring,0.521139839423995
2019-04-04,15.0,new,spring,0.5227651770619559
2019-04-05,16.0,new,spring,0.5243865797456237
2019-04-06,17.0,new,spring,0.5260037822881714
2019-04-07,18.0,new,spring,0.5276165124378167
2019-04-08,19.0,waxing,neap,0.5292244901065715
2019-04-09,20.0,waxing,neap,0.5308274268609239
2019-04-10,21.0,waxing,neap,0.532425025900011
2019-04-11,22.0,waxing,neap,0.5340169825431076
2019-04-12,23.0,waxing,neap,0.5356029854592634
2019-04-13,24.0,waxing,neap,0.537182718537224
2019-04-14,25.0,waxing,neap,0.5387558632792206
2019-04-15,26.0,full,spring,0.5403221014857991
2019-04-16,27.0,full,spring,0.5418811178096803
2019-04-17,28.0,full,spring,0.5434326016111299
2019-04-18,29.0,full,spring,0.5449762462376384
2019-04-19,0.0,full,spring,0.5465117462372291
2019-04-20,1.0,full,spring,0.5480387913848972
2019-04-21,2.0,full,spring,0.5495570602288353
2019-04-22,3.0,full,spring,0.5510662149463315
2019-04-23,4.0,waning,neap,0.5525658986371127
2019-04-24,5.0,waning,neap,0.5540557349086157
2019-04-25,6.0,waning,neap,0.555535329025588
2019-04-26,7.0,waning,neap,0.5570042696635937
2019-04-27,8.0,waning,neap,0.5584621306697954
2019-04-28,9.0,waning,neap,0.559908472452662
2019-04-29,10.0,waning,neap,0.5613428427604958
2019-04-30,11.0,waning,neap,0.5627647771834745
2019-05-01,12.0,new,spring,0.5641737994228606
2019-05-02,13.0,new,spring,0.5655694217057317
2019-05-03,14.0,new,spring,0.5669511450250866
2019-05-04,15.0,new,spring,0.568318459270813
2019-05-05,16.0,new,spring,0.5696708430914441
2019-05-06,17.0,new,spring,0.5710077636613278
2019-05-07,18.0,new,spring,0.5723286764477962
2019-05-08,19.0,waxing,neap,0.5736330251893378
2019-05-09,20.0,waxing,neap,0.5749202425067779
2019-05-10,21.0,waxing,neap,0.5761897515767487
2019-05-11,22.0,waxing,neap,0.577440968962037
2019-05-12,23.0,waxing,neap,0.5786733085333253
2019-05-13,24.0,waxing,neap,0.5798861857547308
2019-05-14,25.0,waxing,neap,0.5810790215837187
2019-05-15,26.0,full,spring,0.5822512449813075
2019-05-16,27.0,full,spring,0.5834022934286622
2019-05-17,28.0,full,spring,0.5845316111153807
2019-05-18,0.0,full,spring,0.5856386452942388
2019-05-19,1.0,full,spring,0.5867228417700971
2019-05-20,2.0,full,spring,0.5877836409708834
2019-05-21,3.0,full,spring,0.5888204756483901
2019-05-22,4.0,waning,neap,0.5898327705654083
2019-05-23,5.0,waning,neap,0.5908199440673343
2019-05-24,6.0,waning,neap,0.5917814107815502
2019-05-25,7.0,waning,neap,0.5927165845496347
2019-05-26,8.0,waning,neap,0.593624881003052
2019-05-27,9.0,waning,neap,0.5945057196367998
2019-05-28,10.0,waning,neap,0.5953585253810161
2019-05-29,11.0,waning,neap,0.5961827302235179
2019-05-30,12.0,new,spring,0.5969777747595799
2019-05-31,13.0,new,spring,0.5977431098654051
2019-06-01,14.0,new,spring,0.5984781983861467
2019-06-02,15.0,new,spring,0.5991825166347553
2019-06-03,16.0,new,spring,0.5998555555052008
2019-06-04,17.0,new,spring,0.6004968209090293
2019-06-05,18.0,new,spring,0.6011058338772273
2019-06-06,19.0,waxing,neap,0.6016821307566715
2019-06-07,20.0,waxing,neap,0.60222526457801
2019-06-08,21.0,waxing,neap,0.6027348079660442
2019-06-09,22.0,waxing,neap,0.6032103578618262
2019-06-10,23.0,waxing,neap,0.603651540732244
2019-06-11,24.0,waxing,neap,0.6040580171174952
2019-06-12,25.0,waxing,neap,0.6044294842140516
2019-06-13,26.0,full,spring,0.6047656759910751
2019-06-14,27.0,full,spring,0.6050663610731135
2019-06-15,28.0,full,spring,0.6053313394295401
2019-06-16,29.0,full,spring,0.6055604386710911
