dt,Temp,SpCond,Cond,Resist,TDS,Sal,Press,Depth,Turbid+,Chl,Fluor,Battery
m/d/y h:m,    C, mS/cm,mS/cm,MOhm*cm,  g/L,   ppt,   psia, meters,    NTU, ug/L,  %FS,  volts
12/18/19 16:00,10.74,0.245,0.178,0.006,0.159,0.12,14.715,-0.109,2.9,0,0,12.4
12/18/19 16:15,10.73,0.244,0.177,0.006,0.159,0.12,14.737,-0.094,3.3,0.6,0.1,12.4
12/18/19 16:30,10.73,0.242,0.176,0.006,0.158,0.12,14.75,-0.085,2.6,0.9,0.2,12.3
12/18/19 16:45,10.71,0.241,0.175,0.006,0.156,0.11,14.754,-0.082,2.9,0.6,0.2,12.3
12/18/19 17:00,10.7,0.239,0.173,0.006,0.155,0.11,14.759,-0.078,2.9,1.2,0.3,12.3
12/18/19 17:15,10.68,0.237,0.172,0.006,0.154,0.11,14.764,-0.075,2.9,1.1,0.3,12.3
12/18/19 17:30,10.67,0.235,0.171,0.006,0.153,0.11,14.766,-0.073,3,1,0.2,12.4
12/18/19 17:45,10.66,0.234,0.17,0.006,0.152,0.11,14.769,-0.071,3.4,0.8,0.2,12.3
12/18/19 18:00,10.66,0.233,0.169,0.006,0.152,0.11,14.776,-0.066,3.4,1.7,0.4,12.3
12/18/19 18:15,10.65,0.232,0.169,0.006,0.151,0.11,14.781,-0.062,4.2,0.7,0.2,12.3
12/18/19 18:30,10.66,0.232,0.168,0.006,0.151,0.11,14.788,-0.058,3.7,1.4,0.3,12.3
12/18/19 18:45,10.66,0.231,0.168,0.006,0.15,0.11,14.795,-0.053,4.2,0.4,0.1,12.3
12/18/19 19:00,10.65,0.231,0.167,0.006,0.15,0.11,14.799,-0.05,3.7,0.9,0.2,12.4
12/18/19 19:15,10.65,0.23,0.167,0.006,0.15,0.11,14.804,-0.047,4,0.9,0.2,12.3
12/18/19 19:30,10.64,0.229,0.167,0.006,0.149,0.11,14.809,-0.043,4.3,1.8,0.4,12.3
12/18/19 19:45,10.64,0.229,0.166,0.006,0.149,0.11,14.814,-0.039,5.7,1.4,0.3,12.3
12/18/19 20:00,10.64,0.228,0.166,0.006,0.148,0.11,14.819,-0.036,5.9,1.6,0.4,12.3
12/18/19 20:15,10.64,0.228,0.165,0.006,0.148,0.11,14.826,-0.031,4.7,0.8,0.2,12.3
12/18/19 20:30,10.64,0.227,0.165,0.006,0.148,0.11,14.832,-0.027,5.2,0.8,0.2,12.3
12/18/19 20:45,10.65,0.226,0.164,0.006,0.147,0.11,14.848,-0.015,7.3,1.6,0.4,12.3
12/18/19 21:00,10.64,0.225,0.163,0.006,0.146,0.11,14.875,0.004,6.7,0.7,0.2,12.3
12/18/19 21:15,10.64,0.223,0.162,0.006,0.145,0.11,14.905,0.025,12.1,2.6,0.6,12.3
12/18/19 21:30,10.64,0.221,0.161,0.006,0.144,0.11,14.929,0.041,13.9,3.8,0.9,12.3
12/18/19 21:45,10.63,0.219,0.159,0.006,0.143,0.1,14.961,0.065,17.7,2.5,0.6,12.3
12/18/19 22:00,10.63,0.217,0.157,0.006,0.141,0.1,15.008,0.098,21.1,1.8,0.4,12.3
12/18/19 22:15,10.63,0.214,0.156,0.006,0.139,0.1,15.035,0.116,23.4,2.5,0.6,12.3
12/18/19 22:30,10.64,0.211,0.153,0.007,0.137,0.1,15.063,0.136,24,3.5,0.8,12.3
12/18/19 22:45,10.64,0.207,0.15,0.007,0.135,0.1,15.065,0.138,23.3,3.3,0.8,12.3
12/18/19 23:00,10.64,0.204,0.148,0.007,0.133,0.1,15.075,0.145,24.9,3.9,0.9,12.3
12/18/19 23:15,10.64,0.203,0.147,0.007,0.132,0.1,15.08,0.148,22,1.8,0.4,12.3
12/18/19 23:30,10.63,0.202,0.147,0.007,0.131,0.1,15.088,0.154,21.9,2.5,0.6,12.3
12/18/19 23:45,10.63,0.201,0.146,0.007,0.131,0.1,15.101,0.163,21.7,3.1,0.7,12.3
12/19/19 0:00,10.63,0.2,0.145,0.007,0.13,0.1,15.101,0.163,22.3,3.2,0.7,12.3
12/19/19 0:15,10.63,0.199,0.144,0.007,0.129,0.09,15.089,0.155,19.2,3,0.7,12.3
12/19/19 0:30,10.65,0.197,0.143,0.007,0.128,0.09,15.089,0.154,17.6,2.7,0.6,12.3
12/19/19 0:45,10.66,0.195,0.141,0.007,0.126,0.09,15.082,0.149,17.1,3.9,0.9,12.3
12/19/19 1:00,10.68,0.192,0.14,0.007,0.125,0.09,15.084,0.151,16.2,2.2,0.5,12.3
12/19/19 1:15,10.69,0.19,0.138,0.007,0.123,0.09,15.081,0.149,15.9,3.5,0.8,12.3
12/19/19 1:30,10.71,0.187,0.136,0.007,0.122,0.09,15.076,0.145,15.8,2.2,0.5,12.3
12/19/19 1:45,10.72,0.185,0.134,0.007,0.12,0.09,15.076,0.146,15.2,3.9,0.9,12.3
