"Plot Title: Range"
"#","Date Time, GMT-07:00","Event, units (LGR S/N: 20309219, SEN S/N: 20309219)","Coupler Attached (LGR S/N: 20309219)","Host Connected (LGR S/N: 20309219)","End Of File (LGR S/N: 20309219)"
1,04/16/19 01:00:00 PM,0.00,,,
2,04/19/19 02:22:44 AM,0.01,,,
3,04/20/19 05:22:07 AM,0.02,,,
4,04/20/19 05:47:12 AM,0.03,,,
5,04/20/19 07:45:42 AM,0.04,,,
6,04/20/19 08:31:39 AM,0.05,,,
7,04/20/19 11:53:32 AM,0.06,,,
8,04/25/19 05:22:19 AM,0.07,,,
9,04/26/19 06:01:04 AM,0.08,,,
10,04/30/19 11:44:35 AM,,Logged,,
11,04/30/19 11:44:51 AM,,,Logged,
12,04/30/19 11:45:11 AM,,,Logged,
13,04/30/19 11:45:45 AM,0.08,,,Logged
