"Plot Title: Experiment"
"#","Date Time, GMT-08:00","Temp, °F (LGR S/N: 20521510, SEN S/N: 20521510)","Event, units (LGR S/N: 20521510, SEN S/N: 20521510)","Coupler Attached (LGR S/N: 20521510)","Host Connected (LGR S/N: 20521510)","End Of File (LGR S/N: 20521510)"
1,11/07/19 12:00:00 PM,68.077,0.00,,,
2,11/07/19 12:15:00 PM,67.564,,,,
3,11/07/19 12:30:00 PM,64.825,,,,
4,11/07/19 12:45:00 PM,63.968,,,,
5,11/07/19 01:00:00 PM,63.455,,,,
6,11/07/19 01:15:00 PM,61.741,,,,
7,11/07/19 01:30:00 PM,60.368,,,,
8,11/07/19 01:45:00 PM,60.883,,,,
9,11/07/19 02:00:00 PM,63.282,,,,
10,11/07/19 02:15:00 PM,64.310,,,,
11,11/07/19 02:30:00 PM,64.996,,,,
12,11/07/19 02:45:00 PM,66.708,,,,
13,11/07/19 03:00:00 PM,67.564,,,,
14,11/07/19 03:15:00 PM,64.481,,,,
15,11/07/19 03:30:00 PM,68.077,,,,
16,11/07/19 03:45:00 PM,62.598,,,,
17,11/07/19 04:00:00 PM,58.303,,,,
18,11/07/19 04:15:00 PM,55.364,,,,
19,11/07/19 04:30:00 PM,53.100,,,,
20,11/07/19 04:45:00 PM,51.874,,,,
21,11/07/19 05:00:00 PM,50.819,,,,
22,11/07/19 05:15:00 PM,50.290,,,,
23,11/07/19 05:30:00 PM,49.937,,,,
24,11/07/19 05:45:00 PM,49.228,,,,
25,11/07/19 06:00:00 PM,48.339,,,,
26,11/07/19 06:15:00 PM,47.624,,,,
27,11/07/19 06:30:00 PM,46.908,,,,
28,11/07/19 06:45:00 PM,46.548,,,,
29,11/07/19 07:00:00 PM,46.548,,,,
30,11/07/19 07:15:00 PM,46.728,,,,
31,11/07/19 07:30:00 PM,46.548,,,,
32,11/07/19 07:45:00 PM,46.548,,,,
33,11/07/19 08:00:00 PM,46.548,,,,
34,11/07/19 08:15:00 PM,46.008,,,,
35,11/07/19 08:30:00 PM,45.466,,,,
36,11/07/19 08:45:00 PM,45.286,,,,
37,11/07/19 09:00:00 PM,45.104,,,,
38,11/07/19 09:15:00 PM,46.188,,,,
39,11/07/19 09:30:00 PM,47.624,,,,
40,11/07/19 09:45:00 PM,48.517,,,,
41,11/07/19 10:00:00 PM,48.871,,,,
42,11/07/19 10:15:00 PM,48.871,,,,
43,11/07/19 10:30:00 PM,48.160,,,,
44,11/07/19 10:45:00 PM,47.982,,,,
45,11/07/19 11:00:00 PM,48.517,,,,
46,11/07/19 11:15:00 PM,48.871,,,,
47,11/07/19 11:30:00 PM,48.339,,,,
48,11/07/19 11:45:00 PM,48.517,,,,
49,11/08/19 12:00:00 AM,49.050,,,,
50,11/08/19 12:15:00 AM,49.582,,,,
51,11/08/19 12:30:00 AM,50.290,,,,
52,11/08/19 12:45:00 AM,50.995,,,,
53,11/08/19 01:00:00 AM,51.172,,,,
54,11/08/19 01:15:00 AM,50.995,,,,
55,11/08/19 01:30:00 AM,49.404,,,,
56,11/08/19 01:45:00 AM,48.871,,,,
57,11/08/19 02:00:00 AM,49.404,,,,
58,11/08/19 02:15:00 AM,50.290,,,,
59,11/08/19 02:30:00 AM,51.523,,,,
60,11/08/19 02:45:00 AM,52.225,,,,
61,11/08/19 03:00:00 AM,52.750,,,,
62,11/08/19 03:15:00 AM,53.100,,,,
63,11/08/19 03:30:00 AM,53.274,,,,
64,11/08/19 03:45:00 AM,53.274,,,,
65,11/08/19 04:00:00 AM,53.274,,,,
66,11/08/19 04:15:00 AM,53.449,,,,
67,11/08/19 04:30:00 AM,53.623,,,,
68,11/08/19 04:45:00 AM,53.449,,,,
69,11/08/19 05:00:00 AM,53.449,,,,
70,11/08/19 05:15:00 AM,53.449,,,,
71,11/08/19 05:30:00 AM,53.623,,,,
72,11/08/19 05:45:00 AM,53.623,,,,
73,11/08/19 06:00:00 AM,53.623,,,,
74,11/08/19 06:15:00 AM,53.798,,,,
75,11/08/19 06:30:00 AM,53.798,,,,
76,11/08/19 06:45:00 AM,53.973,,,,
77,11/08/19 07:00:00 AM,54.147,,,,
78,11/08/19 07:15:00 AM,54.322,,,,
79,11/08/19 07:30:00 AM,54.495,,,,
