"Plot Title: SF"
"#","Date Time, GMT-08:00","Temp, °F (LGR S/N: 20521509, SEN S/N: 20521509)","Event, units (LGR S/N: 20521509, SEN S/N: 20521509)","Coupler Attached (LGR S/N: 20521509)","Host Connected (LGR S/N: 20521509)","End Of File (LGR S/N: 20521509)"
1,11/06/19 11:00:00 AM,88.650,0.00,,,
2,11/06/19 11:15:00 AM,87.552,,,,
3,11/06/19 11:30:00 AM,88.099,,,,
4,11/06/19 11:45:00 AM,89.755,,,,
5,11/06/19 12:00:00 PM,89.938,,,,
6,11/06/19 12:15:00 PM,88.282,,,,
7,11/06/19 12:30:00 PM,87.552,,,,
8,11/06/19 12:45:00 PM,87.733,,,,
9,11/06/19 01:00:00 PM,87.733,,,,
10,11/06/19 01:15:00 PM,87.004,,,,
11,11/06/19 01:30:00 PM,85.735,,,,
12,11/06/19 01:45:00 PM,84.474,,,,
13,11/06/19 02:00:00 PM,84.115,,,,
14,11/06/19 02:15:00 PM,83.579,,,,
15,11/06/19 02:30:00 PM,83.757,,,,
16,11/06/19 02:45:00 PM,83.399,,,,
17,11/06/19 03:00:00 PM,82.508,,,,
18,11/06/19 03:15:00 PM,81.442,,,,
19,11/06/19 03:30:00 PM,79.678,,,,
20,11/06/19 03:45:00 PM,78.449,,,,
21,11/06/19 04:00:00 PM,77.225,,,,
22,11/06/19 04:15:00 PM,75.659,,,,
23,11/06/19 04:30:00 PM,73.407,,,,
24,11/06/19 04:45:00 PM,71.339,,,,
25,11/06/19 05:00:00 PM,68.421,,,,
26,11/06/19 05:15:00 PM,65.338,,,,
27,11/06/19 05:30:00 PM,63.111,,,,
28,11/06/19 05:45:00 PM,61.912,,,,
29,11/06/19 06:00:00 PM,61.398,,,,
30,11/06/19 06:15:00 PM,60.883,,,,
31,11/06/19 06:30:00 PM,60.368,,,,
32,11/06/19 06:45:00 PM,59.851,,,,
33,11/06/19 07:00:00 PM,59.680,,,,
34,11/06/19 07:15:00 PM,58.820,,,,
35,11/06/19 07:30:00 PM,58.476,,,,
36,11/06/19 07:45:00 PM,58.303,,,,
37,11/06/19 08:00:00 PM,58.303,,,,
38,11/06/19 08:15:00 PM,58.131,,,,
39,11/06/19 08:30:00 PM,58.303,,,,
40,11/06/19 08:45:00 PM,57.958,,,,
41,11/06/19 09:00:00 PM,57.614,,,,
42,11/06/19 09:15:00 PM,57.441,,,,
43,11/06/19 09:30:00 PM,56.923,,,,
44,11/06/19 09:45:00 PM,56.230,,,,
45,11/06/19 10:00:00 PM,56.057,,,,
46,11/06/19 10:15:00 PM,56.230,,,,
47,11/06/19 10:30:00 PM,56.230,,,,
48,11/06/19 10:45:00 PM,56.577,,,,
49,11/06/19 11:00:00 PM,56.750,,,,
50,11/06/19 11:15:00 PM,55.884,,,,
51,11/06/19 11:30:00 PM,55.364,,,,
52,11/06/19 11:45:00 PM,55.189,,,,
53,11/07/19 12:00:00 AM,54.842,,,,
54,11/07/19 12:15:00 AM,55.711,,,,
55,11/07/19 12:30:00 AM,56.750,,,,
56,11/07/19 12:45:00 AM,56.923,,,,
57,11/07/19 01:00:00 AM,57.268,,,,
58,11/07/19 01:15:00 AM,57.268,,,,
59,11/07/19 01:30:00 AM,56.923,,,,
60,11/07/19 01:45:00 AM,56.750,,,,
61,11/07/19 02:00:00 AM,56.750,,,,
62,11/07/19 02:15:00 AM,56.750,,,,
63,11/07/19 02:30:00 AM,56.577,,,,
64,11/07/19 02:45:00 AM,56.404,,,,
65,11/07/19 03:00:00 AM,56.230,,,,
66,11/07/19 03:15:00 AM,56.230,,,,
67,11/07/19 03:30:00 AM,56.577,,,,
68,11/07/19 03:45:00 AM,56.057,,,,
69,11/07/19 04:00:00 AM,55.537,,,,
70,11/07/19 04:15:00 AM,54.842,,,,
71,11/07/19 04:30:00 AM,54.842,,,,
72,11/07/19 04:45:00 AM,54.842,,,,
73,11/07/19 05:00:00 AM,55.017,,,,
74,11/07/19 05:15:00 AM,55.189,,,,
75,11/07/19 05:30:00 AM,55.017,,,,
76,11/07/19 05:45:00 AM,54.842,,,,
77,11/07/19 06:00:00 AM,55.364,,,,
78,11/07/19 06:15:00 AM,55.364,,,,
79,11/07/19 06:30:00 AM,55.364,,,,
80,11/07/19 06:45:00 AM,55.189,,,,
81,11/07/19 07:00:00 AM,54.322,,,,
82,11/07/19 07:15:00 AM,55.017,,,,
83,11/07/19 07:30:00 AM,56.577,,,,
84,11/07/19 07:45:00 AM,57.785,,,,
85,11/07/19 08:00:00 AM,60.195,,,,
86,11/07/19 08:15:00 AM,62.083,,,,
87,11/07/19 08:30:00 AM,64.310,,,,
88,11/07/19 08:45:00 AM,72.028,,,,
89,11/07/19 09:00:00 AM,74.098,,,,
90,11/07/19 09:15:00 AM,73.580,,,,
91,11/07/19 09:30:00 AM,74.098,,,,
92,11/07/19 09:45:00 AM,78.098,,,,
93,11/07/19 10:00:00 AM,84.295,,,,
94,11/07/19 10:15:00 AM,84.654,,,,
95,11/07/19 10:30:00 AM,82.508,,,,
96,11/07/19 10:45:00 AM,81.621,,,,
97,11/07/19 11:00:00 AM,81.797,,,,
98,11/07/19 11:15:00 AM,81.621,,,,
99,11/07/19 11:30:00 AM,82.152,,,,
100,11/07/19 11:45:00 AM,82.864,,,,
