"Plot Title: UNF"
"#","Date Time, GMT-07:00","Temp, °F (LGR S/N: 9668993, SEN S/N: 9668993)","Event, inches (LGR S/N: 9668993, SEN S/N: 9668993)","Coupler Detached (LGR S/N: 9668993)","Coupler Attached (LGR S/N: 9668993)","Host Connected (LGR S/N: 9668993)","End Of File (LGR S/N: 9668993)"
1,09/26/19 10:28:39 AM,69.278,0.00,,,,
2,09/26/19 10:29:04 AM,,,Logged,,,
3,09/26/19 10:43:39 AM,67.221,,,,,
4,09/26/19 10:58:39 AM,66.022,,,,,
5,09/26/19 11:13:39 AM,66.193,,,,,
6,09/26/19 11:28:39 AM,66.537,,,,,
7,09/26/19 11:43:39 AM,66.708,,,,,
8,09/26/19 11:58:39 AM,66.708,,,,,
9,09/26/19 12:13:39 PM,66.708,,,,,
10,09/26/19 12:28:39 PM,67.050,,,,,
11,09/26/19 12:43:39 PM,67.735,,,,,
12,09/26/19 12:58:39 PM,68.592,,,,,
13,09/26/19 01:13:39 PM,68.763,,,,,
14,09/26/19 01:28:39 PM,69.793,,,,,
15,09/26/19 01:43:39 PM,70.480,,,,,
16,09/26/19 01:58:39 PM,70.480,,,,,
17,09/26/19 02:13:39 PM,71.168,,,,,
18,09/26/19 02:28:39 PM,72.199,,,,,
19,09/26/19 02:43:39 PM,73.753,,,,,
20,09/26/19 02:58:39 PM,73.580,,,,,
21,09/26/19 03:13:39 PM,72.372,,,,,
22,09/26/19 03:28:39 PM,71.856,,,,,
23,09/26/19 03:43:39 PM,72.199,,,,,
24,09/26/19 03:58:39 PM,72.199,,,,,
25,09/26/19 04:13:39 PM,70.824,,,,,
26,09/26/19 04:28:39 PM,69.964,,,,,
27,09/26/19 04:43:39 PM,69.107,,,,,
28,09/26/19 04:58:39 PM,68.421,,,,,
29,09/26/19 05:13:39 PM,68.077,,,,,
30,09/26/19 05:28:39 PM,67.735,,,,,
31,09/26/19 05:43:39 PM,67.392,,,,,
32,09/26/19 05:58:39 PM,67.050,,,,,
33,09/26/19 06:13:39 PM,66.537,,,,,
34,09/26/19 06:28:39 PM,66.022,,,,,
35,09/26/19 06:43:39 PM,65.509,,,,,
36,09/26/19 06:58:39 PM,65.167,,,,,
37,09/26/19 07:13:39 PM,64.996,,,,,
38,09/26/19 07:28:39 PM,64.825,,,,,
39,09/26/19 07:43:39 PM,64.652,,,,,
40,09/26/19 07:58:39 PM,64.310,,,,,
41,09/26/19 08:13:39 PM,63.968,,,,,
42,09/26/19 08:28:39 PM,63.797,,,,,
43,09/26/19 08:43:39 PM,63.797,,,,,
44,09/26/19 08:58:39 PM,63.626,,,,,
45,09/26/19 09:13:39 PM,63.455,,,,,
46,09/26/19 09:28:39 PM,63.455,,,,,
47,09/26/19 09:43:39 PM,63.282,,,,,
48,09/26/19 09:58:39 PM,63.111,,,,,
49,09/26/19 10:13:39 PM,62.940,,,,,
50,09/26/19 10:28:39 PM,62.769,,,,,
51,09/26/19 10:43:39 PM,62.598,,,,,
52,09/26/19 10:58:39 PM,62.425,,,,,
53,09/26/19 11:13:39 PM,62.254,,,,,
54,09/26/19 11:28:39 PM,62.254,,,,,
55,09/26/19 11:43:39 PM,62.254,,,,,
56,09/26/19 11:58:39 PM,62.254,,,,,
57,09/27/19 12:13:39 AM,62.254,,,,,
58,09/27/19 12:28:39 AM,62.254,,,,,
59,09/27/19 12:43:39 AM,62.254,,,,,
60,09/27/19 12:58:39 AM,62.083,,,,,
61,09/27/19 01:13:39 AM,62.083,,,,,
62,09/27/19 01:28:39 AM,62.083,,,,,
63,09/27/19 01:43:39 AM,62.083,,,,,
64,09/27/19 01:58:39 AM,62.254,,,,,
65,09/27/19 02:13:39 AM,62.083,,,,,
66,09/27/19 02:28:39 AM,62.083,,,,,
67,09/27/19 02:43:39 AM,62.083,,,,,
68,09/27/19 02:58:39 AM,62.083,,,,,
69,09/27/19 03:13:39 AM,62.083,,,,,
70,09/27/19 03:28:39 AM,62.254,,,,,
71,09/27/19 03:43:39 AM,62.254,,,,,
72,09/27/19 03:58:39 AM,62.254,,,,,
73,09/27/19 04:13:39 AM,62.254,,,,,
74,09/27/19 04:28:39 AM,62.254,,,,,
75,09/27/19 04:43:39 AM,62.254,,,,,
76,09/27/19 04:58:39 AM,62.083,,,,,
77,09/27/19 05:13:39 AM,62.083,,,,,
78,09/27/19 05:28:39 AM,62.083,,,,,
79,09/27/19 05:43:39 AM,61.912,,,,,
80,09/27/19 05:58:39 AM,61.912,,,,,
