"Plot Title: Waterlab"
"#","Date Time, GMT-07:00","Temp, °F (LGR S/N: 20309220, SEN S/N: 20309220)","Event, units (LGR S/N: 20309220, SEN S/N: 20309220)","Bad Battery (LGR S/N: 20309220)","End Of File (LGR S/N: 20309220)"
1,09/25/19 03:00:00 PM,89.569,0.00,,
2,09/25/19 03:15:00 PM,88.650,,,
3,09/25/19 03:30:00 PM,87.186,,,
4,09/25/19 03:45:00 PM,85.735,,,
5,09/25/19 04:00:00 PM,84.474,,,
6,09/25/19 04:15:00 PM,83.221,,,
7,09/25/19 04:30:00 PM,82.152,,,
8,09/25/19 04:45:00 PM,81.090,,,
9,09/25/19 05:00:00 PM,80.206,,,
10,09/25/19 05:15:00 PM,78.274,,,
11,09/25/19 05:30:00 PM,76.006,,,
12,09/25/19 05:45:00 PM,73.753,,,
13,09/25/19 06:00:00 PM,72.545,,,
14,09/25/19 06:15:00 PM,70.824,,,
15,09/25/19 06:30:00 PM,68.421,,,
16,09/25/19 06:45:00 PM,66.708,,,
17,09/25/19 07:00:00 PM,65.509,,,
18,09/25/19 07:15:00 PM,64.310,,,
19,09/25/19 07:30:00 PM,63.455,,,
20,09/25/19 07:45:00 PM,62.940,,,
21,09/25/19 08:00:00 PM,62.769,,,
22,09/25/19 08:15:00 PM,62.254,,,
23,09/25/19 08:30:00 PM,61.569,,,
24,09/25/19 08:45:00 PM,60.883,,,
25,09/25/19 09:00:00 PM,60.024,,,
26,09/25/19 09:15:00 PM,59.680,,,
27,09/25/19 09:30:00 PM,59.337,,,
28,09/25/19 09:45:00 PM,58.820,,,
29,09/25/19 10:00:00 PM,58.476,,,
30,09/25/19 10:15:00 PM,57.958,,,
31,09/25/19 10:30:00 PM,57.785,,,
32,09/25/19 10:45:00 PM,57.614,,,
33,09/25/19 11:00:00 PM,57.268,,,
34,09/25/19 11:15:00 PM,56.750,,,
35,09/25/19 11:30:00 PM,56.750,,,
36,09/25/19 11:45:00 PM,56.404,,,
37,09/26/19 12:00:00 AM,56.057,,,
38,09/26/19 12:15:00 AM,55.711,,,
39,09/26/19 12:30:00 AM,55.364,,,
40,09/26/19 12:45:00 AM,55.189,,,
41,09/26/19 01:00:00 AM,55.017,,,
42,09/26/19 01:15:00 AM,55.189,,,
43,09/26/19 01:30:00 AM,55.189,,,
44,09/26/19 01:45:00 AM,54.842,,,
45,09/26/19 02:00:00 AM,54.495,,,
46,09/26/19 02:15:00 AM,54.322,,,
47,09/26/19 02:30:00 AM,54.322,,,
48,09/26/19 02:45:00 AM,53.973,,,
49,09/26/19 03:00:00 AM,53.798,,,
