"Plot Title: Landing"
"#","Date Time, GMT-08:00","Temp, °F (LGR S/N: 20309223, SEN S/N: 20309223)","Event, units (LGR S/N: 20309223, SEN S/N: 20309223)","Coupler Attached (LGR S/N: 20309223)","Host Connected (LGR S/N: 20309223)","End Of File (LGR S/N: 20309223)"
1,12/06/19 03:30:00 PM,64.996,0.00,,,
2,12/06/19 03:30:22 PM,,0.01,,,
3,12/06/19 03:45:00 PM,59.680,,,,
4,12/06/19 04:00:00 PM,56.923,,,,
5,12/06/19 04:15:00 PM,56.057,,,,
6,12/06/19 04:30:00 PM,56.057,,,,
7,12/06/19 04:45:00 PM,56.230,,,,
8,12/06/19 05:00:00 PM,56.404,,,,
9,12/06/19 05:15:00 PM,56.230,,,,
10,12/06/19 05:30:00 PM,56.057,,,,
11,12/06/19 05:45:00 PM,56.057,,,,
12,12/06/19 06:00:00 PM,55.711,,,,
13,12/06/19 06:05:41 PM,,0.02,,,
14,12/06/19 06:15:00 PM,55.017,,,,
15,12/06/19 06:30:00 PM,54.669,,,,
16,12/06/19 06:44:45 PM,,0.03,,,
17,12/06/19 06:45:00 PM,54.495,,,,
18,12/06/19 07:00:00 PM,54.842,,,,
19,12/06/19 07:15:00 PM,55.364,,,,
20,12/06/19 07:30:00 PM,55.537,,,,
21,12/06/19 07:45:00 PM,55.537,,,,
22,12/06/19 07:49:05 PM,,0.04,,,
23,12/06/19 08:00:00 PM,55.189,,,,
24,12/06/19 08:15:00 PM,54.842,,,,
25,12/06/19 08:23:46 PM,,0.05,,,
26,12/06/19 08:30:00 PM,54.842,,,,
27,12/06/19 08:30:57 PM,,0.06,,,
28,12/06/19 08:37:31 PM,,0.07,,,
29,12/06/19 08:45:00 PM,54.669,,,,
30,12/06/19 08:49:11 PM,,0.08,,,
31,12/06/19 09:00:00 PM,54.322,,,,
32,12/06/19 09:01:43 PM,,0.09,,,
33,12/06/19 09:15:00 PM,54.147,,,,
34,12/06/19 09:25:08 PM,,0.10,,,
35,12/06/19 09:30:00 PM,53.973,,,,
36,12/06/19 09:32:02 PM,,0.11,,,
37,12/06/19 09:36:01 PM,,0.12,,,
38,12/06/19 09:44:31 PM,,0.13,,,
39,12/06/19 09:45:00 PM,53.798,,,,
40,12/06/19 09:48:47 PM,,0.14,,,
41,12/06/19 09:53:02 PM,,0.15,,,
42,12/06/19 09:54:57 PM,,0.16,,,
43,12/06/19 10:00:00 PM,53.623,,,,
44,12/06/19 10:02:35 PM,,0.17,,,
45,12/06/19 10:11:54 PM,,0.18,,,
46,12/06/19 10:15:00 PM,53.623,,,,
47,12/06/19 10:30:00 PM,53.798,,,,
48,12/06/19 10:45:00 PM,53.973,,,,
49,12/06/19 11:00:00 PM,54.147,,,,
50,12/06/19 11:10:50 PM,,0.19,,,
51,12/06/19 11:15:00 PM,54.147,,,,
52,12/06/19 11:23:11 PM,,0.20,,,
53,12/06/19 11:26:46 PM,,0.21,,,
54,12/06/19 11:30:00 PM,54.147,,,,
55,12/06/19 11:31:48 PM,,0.22,,,
56,12/06/19 11:45:00 PM,54.322,,,,
57,12/06/19 11:51:07 PM,,0.23,,,
58,12/06/19 11:51:57 PM,,0.24,,,
59,12/07/19 12:00:00 AM,54.322,,,,
60,12/07/19 12:15:00 AM,54.322,,,,
61,12/07/19 12:22:32 AM,,0.25,,,
62,12/07/19 12:30:00 AM,54.495,,,,
63,12/07/19 12:35:18 AM,,0.26,,,
64,12/07/19 12:45:00 AM,54.495,,,,
65,12/07/19 01:00:00 AM,54.495,,,,
66,12/07/19 01:15:00 AM,54.495,,,,
67,12/07/19 01:17:24 AM,,0.27,,,
68,12/07/19 01:30:00 AM,54.495,,,,
69,12/07/19 01:45:00 AM,54.669,,,,
70,12/07/19 01:56:59 AM,,0.28,,,
