"Plot Title: RLSM"
"#","Date Time, GMT-08:00","Temp, °F (LGR S/N: 20309218, SEN S/N: 20309218)","Event, units (LGR S/N: 20309218, SEN S/N: 20309218)","Bad Battery (LGR S/N: 20309218)","End Of File (LGR S/N: 20309218)"
1,12/31/19 03:00:00 PM,64.481,0.00,,
2,12/31/19 03:15:00 PM,63.282,,,
3,12/31/19 03:30:00 PM,61.912,,,
4,12/31/19 03:45:00 PM,60.195,,,
5,12/31/19 04:00:00 PM,58.131,,,
6,12/31/19 04:15:00 PM,56.750,,,
7,12/31/19 04:30:00 PM,55.711,,,
8,12/31/19 04:45:00 PM,55.017,,,
9,12/31/19 05:00:00 PM,53.973,,,
10,12/31/19 05:15:00 PM,52.225,,,
11,12/31/19 05:30:00 PM,50.819,,,
12,12/31/19 05:45:00 PM,50.113,,,
13,12/31/19 06:00:00 PM,49.759,,,
14,12/31/19 06:15:00 PM,49.404,,,
15,12/31/19 06:30:00 PM,49.228,,,
16,12/31/19 06:45:00 PM,48.695,,,
17,12/31/19 07:00:00 PM,48.871,,,
18,12/31/19 07:15:00 PM,49.228,,,
19,12/31/19 07:30:00 PM,49.228,,,
20,12/31/19 07:45:00 PM,48.339,,,
21,12/31/19 08:00:00 PM,47.446,,,
22,12/31/19 08:15:00 PM,46.908,,,
23,12/31/19 08:30:00 PM,46.728,,,
24,12/31/19 08:45:00 PM,46.548,,,
25,12/31/19 09:00:00 PM,46.188,,,
26,12/31/19 09:15:00 PM,45.648,,,
27,12/31/19 09:30:00 PM,45.648,,,
28,12/31/19 09:45:00 PM,45.828,,,
29,12/31/19 10:00:00 PM,45.828,,,
30,12/31/19 10:15:00 PM,45.828,,,
31,12/31/19 10:30:00 PM,45.648,,,
32,12/31/19 10:45:00 PM,46.188,,,
33,12/31/19 11:00:00 PM,47.088,,,
34,12/31/19 11:15:00 PM,47.624,,,
35,12/31/19 11:30:00 PM,49.228,,,
36,12/31/19 11:45:00 PM,50.466,,,
37,01/01/20 12:00:00 AM,50.290,,,
38,01/01/20 12:15:00 AM,49.050,,,
39,01/01/20 12:30:00 AM,47.446,,,
40,01/01/20 12:45:00 AM,45.828,,,
41,01/01/20 01:00:00 AM,44.922,,,
42,01/01/20 01:15:00 AM,44.742,,,
43,01/01/20 01:30:00 AM,45.286,,,
44,01/01/20 01:45:00 AM,45.648,,,
45,01/01/20 02:00:00 AM,46.369,,,
46,01/01/20 02:15:00 AM,46.188,,,
47,01/01/20 02:30:00 AM,45.466,,,
48,01/01/20 02:45:00 AM,45.286,,,
49,01/01/20 03:00:00 AM,47.266,,,
50,01/01/20 03:15:00 AM,48.871,,,
51,01/01/20 03:30:00 AM,48.339,,,
52,01/01/20 03:45:00 AM,46.908,,,
53,01/01/20 04:00:00 AM,46.008,,,
54,01/01/20 04:15:00 AM,46.369,,,
55,01/01/20 04:30:00 AM,47.088,,,
56,01/01/20 04:45:00 AM,46.728,,,
57,01/01/20 05:00:00 AM,46.908,,,
58,01/01/20 05:15:00 AM,46.369,,,
59,01/01/20 05:30:00 AM,45.828,,,
60,01/01/20 05:45:00 AM,45.104,,,
61,01/01/20 06:00:00 AM,44.013,,,
62,01/01/20 06:15:00 AM,43.466,,,
63,01/01/20 06:30:00 AM,43.099,,,
64,01/01/20 06:45:00 AM,42.732,,,
65,01/01/20 07:00:00 AM,42.915,,,
66,01/01/20 07:15:00 AM,42.915,,,
67,01/01/20 07:30:00 AM,43.099,,,
68,01/01/20 07:45:00 AM,43.831,,,
69,01/01/20 08:00:00 AM,44.922,,,
70,01/01/20 08:15:00 AM,46.369,,,
71,01/01/20 08:30:00 AM,47.982,,,
72,01/01/20 08:45:00 AM,49.759,,,
73,01/01/20 09:00:00 AM,51.523,,,
74,01/01/20 09:15:00 AM,53.798,,,
75,01/01/20 09:30:00 AM,54.842,,,
76,01/01/20 09:45:00 AM,56.750,,,
77,01/01/20 10:00:00 AM,59.680,,,
78,01/01/20 10:15:00 AM,63.455,,,
79,01/01/20 10:30:00 AM,67.735,,,
80,01/01/20 10:45:00 AM,71.856,,,
81,01/01/20 11:00:00 AM,71.856,,,
82,01/01/20 11:15:00 AM,73.062,,,
83,01/01/20 11:30:00 AM,81.975,,,
84,01/01/20 11:45:00 AM,87.733,,,
85,01/01/20 12:00:00 PM,90.309,,,
86,01/01/20 12:15:00 PM,89.017,,,
87,01/01/20 12:30:00 PM,79.678,,,
88,01/01/20 12:45:00 PM,73.407,,,
89,01/01/20 01:00:00 PM,71.856,,,
90,01/01/20 01:15:00 PM,72.028,,,
91,01/01/20 01:30:00 PM,71.856,,,
92,01/01/20 01:45:00 PM,71.512,,,
93,01/01/20 02:00:00 PM,70.480,,,
94,01/01/20 02:15:00 PM,68.592,,,
95,01/01/20 02:30:00 PM,67.050,,,
96,01/01/20 02:45:00 PM,64.481,,,
97,01/01/20 03:00:00 PM,62.598,,,
98,01/01/20 03:15:00 PM,61.227,,,
99,01/01/20 03:30:00 PM,59.851,,,
100,01/01/20 03:45:00 PM,58.820,,,
101,01/01/20 04:00:00 PM,58.131,,,
102,01/01/20 04:15:00 PM,57.441,,,
103,01/01/20 04:30:00 PM,56.577,,,
104,01/01/20 04:45:00 PM,55.711,,,
105,01/01/20 05:00:00 PM,54.669,,,
106,01/01/20 05:15:00 PM,53.798,,,
107,01/01/20 05:30:00 PM,53.274,,,
108,01/01/20 05:45:00 PM,52.750,,,
109,01/01/20 06:00:00 PM,52.225,,,
110,01/01/20 06:15:00 PM,51.874,,,
111,01/01/20 06:30:00 PM,51.699,,,
112,01/01/20 06:45:00 PM,51.346,,,
113,01/01/20 07:00:00 PM,51.172,,,
114,01/01/20 07:15:00 PM,50.819,,,
115,01/01/20 07:30:00 PM,50.643,,,
116,01/01/20 07:45:00 PM,50.466,,,
117,01/01/20 08:00:00 PM,50.290,,,
118,01/01/20 08:15:00 PM,50.113,,,
119,01/01/20 08:30:00 PM,49.937,,,
