"Plot Title: SF"
"#","Date Time, GMT-08:00","Temp, °F (LGR S/N: 20521509, SEN S/N: 20521509)","Event, units (LGR S/N: 20521509, SEN S/N: 20521509)","Coupler Attached (LGR S/N: 20521509)","Host Connected (LGR S/N: 20521509)","Coupler Detached (LGR S/N: 20521509)","End Of File (LGR S/N: 20521509)"
1,12/16/19 03:30:00 PM,58.993,0.00,,,,
2,12/16/19 03:45:00 PM,55.364,,,,,
3,12/16/19 04:00:00 PM,52.750,,,,,
4,12/16/19 04:15:00 PM,50.995,,,,,
5,12/16/19 04:30:00 PM,49.582,,,,,
6,12/16/19 04:45:00 PM,47.446,,,,,
7,12/16/19 05:00:00 PM,45.104,,,,,
8,12/16/19 05:15:00 PM,43.282,,,,,
9,12/16/19 05:30:00 PM,42.179,,,,,
10,12/16/19 05:45:00 PM,41.625,,,,,
11,12/16/19 06:00:00 PM,41.439,,,,,
12,12/16/19 06:15:00 PM,41.810,,,,,
13,12/16/19 06:30:00 PM,41.625,,,,,
14,12/16/19 06:45:00 PM,41.439,,,,,
15,12/16/19 07:00:00 PM,41.810,,,,,
16,12/16/19 07:15:00 PM,41.254,,,,,
17,12/16/19 07:30:00 PM,40.321,,,,,
18,12/16/19 07:45:00 PM,39.196,,,,,
19,12/16/19 08:00:00 PM,38.440,,,,,
20,12/16/19 08:15:00 PM,37.870,,,,,
21,12/16/19 08:30:00 PM,37.870,,,,,
22,12/16/19 08:45:00 PM,38.061,,,,,
23,12/16/19 09:00:00 PM,38.440,,,,,
24,12/16/19 09:15:00 PM,39.007,,,,,
25,12/16/19 09:30:00 PM,38.629,,,,,
26,12/16/19 09:45:00 PM,38.250,,,,,
27,12/16/19 10:00:00 PM,38.250,,,,,
28,12/16/19 10:15:00 PM,38.818,,,,,
29,12/16/19 10:30:00 PM,39.384,,,,,
30,12/16/19 10:45:00 PM,39.760,,,,,
31,12/16/19 11:00:00 PM,39.573,,,,,
32,12/16/19 11:15:00 PM,39.384,,,,,
33,12/16/19 11:30:00 PM,39.384,,,,,
34,12/16/19 11:45:00 PM,39.573,,,,,
35,12/17/19 12:00:00 AM,39.760,,,,,
36,12/17/19 12:15:00 AM,39.573,,,,,
37,12/17/19 12:30:00 AM,39.573,,,,,
38,12/17/19 12:45:00 AM,40.134,,,,,
39,12/17/19 01:00:00 AM,40.134,,,,,
40,12/17/19 01:15:00 AM,39.760,,,,,
41,12/17/19 01:30:00 AM,39.947,,,,,
42,12/17/19 01:45:00 AM,40.696,,,,,
43,12/17/19 02:00:00 AM,40.696,,,,,
44,12/17/19 02:15:00 AM,40.881,,,,,
45,12/17/19 02:30:00 AM,41.254,,,,,
46,12/17/19 02:45:00 AM,41.439,,,,,
47,12/17/19 03:00:00 AM,41.254,,,,,
48,12/17/19 03:15:00 AM,40.696,,,,,
49,12/17/19 03:30:00 AM,40.509,,,,,
50,12/17/19 03:45:00 AM,40.321,,,,,
51,12/17/19 04:00:00 AM,40.509,,,,,
52,12/17/19 04:15:00 AM,40.881,,,,,
53,12/17/19 04:30:00 AM,41.254,,,,,
54,12/17/19 04:45:00 AM,41.439,,,,,
55,12/17/19 05:00:00 AM,41.439,,,,,
56,12/17/19 05:15:00 AM,41.625,,,,,
57,12/17/19 05:30:00 AM,41.625,,,,,
58,12/17/19 05:45:00 AM,41.439,,,,,
59,12/17/19 06:00:00 AM,40.881,,,,,
60,12/17/19 06:15:00 AM,40.696,,,,,
61,12/17/19 06:30:00 AM,40.696,,,,,
62,12/17/19 06:45:00 AM,40.321,,,,,
63,12/17/19 07:00:00 AM,40.134,,,,,
64,12/17/19 07:15:00 AM,39.760,,,,,
65,12/17/19 07:30:00 AM,39.760,,,,,
66,12/17/19 07:45:00 AM,40.696,,,,,
67,12/17/19 08:00:00 AM,41.439,,,,,
68,12/17/19 08:15:00 AM,43.099,,,,,
69,12/17/19 08:30:00 AM,44.742,,,,,
70,12/17/19 08:45:00 AM,45.648,,,,,
71,12/17/19 09:00:00 AM,45.828,,,,,
72,12/17/19 09:15:00 AM,46.728,,,,,
73,12/17/19 09:30:00 AM,47.802,,,,,
74,12/17/19 09:45:00 AM,49.050,,,,,
75,12/17/19 10:00:00 AM,51.699,,,,,
76,12/17/19 10:15:00 AM,57.268,,,,,
77,12/17/19 10:30:00 AM,60.195,,,,,
78,12/17/19 10:45:00 AM,61.398,,,,,
79,12/17/19 11:00:00 AM,61.398,,,,,
80,12/17/19 11:15:00 AM,59.508,,,,,
81,12/17/19 11:30:00 AM,59.164,,,,,
82,12/17/19 11:45:00 AM,58.820,,,,,
83,12/17/19 12:00:00 PM,59.164,,,,,
84,12/17/19 12:15:00 PM,58.476,,,,,
85,12/17/19 12:30:00 PM,58.820,,,,,
86,12/17/19 12:45:00 PM,58.476,,,,,
87,12/17/19 01:00:00 PM,57.785,,,,,
88,12/17/19 01:15:00 PM,57.096,,,,,
89,12/17/19 01:30:00 PM,56.404,,,,,
90,12/17/19 01:45:00 PM,56.750,,,,,
91,12/17/19 02:00:00 PM,56.750,,,,,
92,12/17/19 02:15:00 PM,56.577,,,,,
93,12/17/19 02:30:00 PM,56.230,,,,,
94,12/17/19 02:45:00 PM,55.364,,,,,
95,12/17/19 03:00:00 PM,53.623,,,,,
96,12/17/19 03:15:00 PM,53.100,,,,,
97,12/17/19 03:30:00 PM,53.973,,,,,
98,12/17/19 03:45:00 PM,53.274,,,,,
99,12/17/19 04:00:00 PM,52.050,,,,,
100,12/17/19 04:15:00 PM,52.576,,,,,
101,12/17/19 04:30:00 PM,52.225,,,,,
102,12/17/19 04:45:00 PM,50.290,,,,,
103,12/17/19 05:00:00 PM,47.802,,,,,
104,12/17/19 05:15:00 PM,46.008,,,,,
105,12/17/19 05:30:00 PM,45.466,,,,,
106,12/17/19 05:45:00 PM,45.828,,,,,
107,12/17/19 06:00:00 PM,46.188,,,,,
108,12/17/19 06:15:00 PM,46.369,,,,,
109,12/17/19 06:30:00 PM,46.188,,,,,
110,12/17/19 06:45:00 PM,45.648,,,,,
111,12/17/19 07:00:00 PM,45.828,,,,,
112,12/17/19 07:15:00 PM,46.188,,,,,
113,12/17/19 07:30:00 PM,46.548,,,,,
114,12/17/19 07:45:00 PM,46.548,,,,,
115,12/17/19 08:00:00 PM,46.548,,,,,
116,12/17/19 08:15:00 PM,46.548,,,,,
117,12/17/19 08:30:00 PM,46.548,,,,,
118,12/17/19 08:45:00 PM,46.728,,,,,
119,12/17/19 09:00:00 PM,46.908,,,,,
120,12/17/19 09:15:00 PM,46.908,,,,,
121,12/17/19 09:30:00 PM,46.908,,,,,
122,12/17/19 09:45:00 PM,46.908,,,,,
123,12/17/19 10:00:00 PM,47.088,,,,,
124,12/17/19 10:15:00 PM,47.266,,,,,
125,12/17/19 10:30:00 PM,47.446,,,,,
126,12/17/19 10:45:00 PM,47.446,,,,,
127,12/17/19 11:00:00 PM,47.266,,,,,
128,12/17/19 11:15:00 PM,47.088,,,,,
129,12/17/19 11:30:00 PM,46.728,,,,,
130,12/17/19 11:45:00 PM,46.548,,,,,
131,12/18/19 12:00:00 AM,46.369,,,,,
132,12/18/19 12:15:00 AM,45.828,,,,,
133,12/18/19 12:15:36 AM,,0.01,,,,
134,12/18/19 12:18:54 AM,,0.02,,,,
135,12/18/19 12:25:33 AM,,0.03,,,,
136,12/18/19 12:30:00 AM,45.828,,,,,
137,12/18/19 12:43:38 AM,,0.04,,,,
138,12/18/19 12:45:00 AM,45.828,,,,,
139,12/18/19 12:52:27 AM,,0.05,,,,
140,12/18/19 12:56:03 AM,,0.06,,,,
141,12/18/19 01:00:00 AM,45.466,,,,,
142,12/18/19 01:03:32 AM,,0.07,,,,
143,12/18/19 01:15:00 AM,45.286,,,,,
144,12/18/19 01:30:00 AM,45.104,,,,,
145,12/18/19 01:45:00 AM,44.560,,,,,
146,12/18/19 02:00:00 AM,44.195,,,,,
147,12/18/19 02:08:31 AM,,0.08,,,,
148,12/18/19 02:12:33 AM,,0.09,,,,
149,12/18/19 02:15:00 AM,43.831,,,,,
150,12/18/19 02:16:23 AM,,0.10,,,,
151,12/18/19 02:20:38 AM,,0.11,,,,
152,12/18/19 02:26:46 AM,,0.12,,,,
153,12/18/19 02:30:00 AM,43.648,,,,,
154,12/18/19 02:33:26 AM,,0.13,,,,
155,12/18/19 02:42:07 AM,,0.14,,,,
156,12/18/19 02:45:00 AM,43.831,,,,,
157,12/18/19 03:00:00 AM,43.831,,,,,
158,12/18/19 03:04:46 AM,,0.15,,,,
159,12/18/19 03:12:48 AM,,0.16,,,,
