"Plot Title: SF"
"#","Date Time, GMT-08:00","Temp, °F (LGR S/N: 20521509, SEN S/N: 20521509)","Event, units (LGR S/N: 20521509, SEN S/N: 20521509)","Coupler Attached (LGR S/N: 20521509)","Host Connected (LGR S/N: 20521509)","End Of File (LGR S/N: 20521509)"
1,01/24/20 02:15:00 PM,78.098,0.00,,,
2,01/24/20 02:30:00 PM,73.753,,,,
3,01/24/20 02:45:00 PM,71.856,,,,
4,01/24/20 03:00:00 PM,69.964,,,,
5,01/24/20 03:15:00 PM,68.763,,,,
6,01/24/20 03:30:00 PM,68.763,,,,
7,01/24/20 03:45:00 PM,68.592,,,,
8,01/24/20 04:00:00 PM,67.564,,,,
9,01/24/20 04:15:00 PM,65.851,,,,
10,01/24/20 04:30:00 PM,64.139,,,,
11,01/24/20 04:45:00 PM,63.455,,,,
12,01/24/20 05:00:00 PM,61.227,,,,
13,01/24/20 05:15:00 PM,59.680,,,,
14,01/24/20 05:30:00 PM,57.785,,,,
15,01/24/20 05:45:00 PM,56.404,,,,
16,01/24/20 06:00:00 PM,55.711,,,,
17,01/24/20 06:15:00 PM,55.364,,,,
18,01/24/20 06:30:00 PM,54.669,,,,
19,01/24/20 06:45:00 PM,54.322,,,,
20,01/24/20 07:00:00 PM,54.147,,,,
21,01/24/20 07:15:00 PM,53.100,,,,
22,01/24/20 07:30:00 PM,52.750,,,,
23,01/24/20 07:45:00 PM,52.576,,,,
24,01/24/20 08:00:00 PM,52.576,,,,
25,01/24/20 08:15:00 PM,52.225,,,,
26,01/24/20 08:30:00 PM,52.050,,,,
27,01/24/20 08:45:00 PM,51.699,,,,
28,01/24/20 09:00:00 PM,51.699,,,,
29,01/24/20 09:15:00 PM,51.346,,,,
30,01/24/20 09:30:00 PM,51.172,,,,
31,01/24/20 09:45:00 PM,51.172,,,,
32,01/24/20 10:00:00 PM,50.995,,,,
33,01/24/20 10:15:00 PM,50.643,,,,
34,01/24/20 10:30:00 PM,50.466,,,,
35,01/24/20 10:45:00 PM,50.466,,,,
36,01/24/20 11:00:00 PM,50.466,,,,
37,01/24/20 11:15:00 PM,50.466,,,,
38,01/24/20 11:30:00 PM,50.290,,,,
39,01/24/20 11:45:00 PM,50.290,,,,
40,01/25/20 12:00:00 AM,50.290,,,,
41,01/25/20 12:15:00 AM,50.113,,,,
42,01/25/20 12:30:00 AM,49.937,,,,
43,01/25/20 12:45:00 AM,50.290,,,,
44,01/25/20 01:00:00 AM,50.819,,,,
45,01/25/20 01:15:00 AM,51.172,,,,
46,01/25/20 01:30:00 AM,51.172,,,,
47,01/25/20 01:45:00 AM,51.346,,,,
48,01/25/20 02:00:00 AM,51.523,,,,
49,01/25/20 02:15:00 AM,51.172,,,,
50,01/25/20 02:30:00 AM,50.643,,,,
51,01/25/20 02:45:00 AM,50.290,,,,
52,01/25/20 03:00:00 AM,50.113,,,,
53,01/25/20 03:15:00 AM,50.113,,,,
54,01/25/20 03:30:00 AM,49.937,,,,
55,01/25/20 03:45:00 AM,49.937,,,,
56,01/25/20 04:00:00 AM,49.937,,,,
57,01/25/20 04:15:00 AM,49.759,,,,
58,01/25/20 04:30:00 AM,49.582,,,,
59,01/25/20 04:45:00 AM,49.582,,,,
60,01/25/20 05:00:00 AM,49.759,,,,
61,01/25/20 05:15:00 AM,49.582,,,,
62,01/25/20 05:30:00 AM,49.582,,,,
63,01/25/20 05:45:00 AM,49.937,,,,
64,01/25/20 06:00:00 AM,49.937,,,,
65,01/25/20 06:15:00 AM,49.582,,,,
66,01/25/20 06:30:00 AM,49.228,,,,
67,01/25/20 06:45:00 AM,49.228,,,,
68,01/25/20 07:00:00 AM,48.871,,,,
69,01/25/20 07:15:00 AM,48.517,,,,
70,01/25/20 07:30:00 AM,48.695,,,,
71,01/25/20 07:45:00 AM,49.050,,,,
72,01/25/20 08:00:00 AM,49.404,,,,
73,01/25/20 08:15:00 AM,50.819,,,,
74,01/25/20 08:30:00 AM,56.923,,,,
75,01/25/20 08:45:00 AM,55.537,,,,
76,01/25/20 09:00:00 AM,53.973,,,,
77,01/25/20 09:15:00 AM,58.993,,,,
78,01/25/20 09:30:00 AM,63.455,,,,
79,01/25/20 09:45:00 AM,64.139,,,,
80,01/25/20 10:00:00 AM,68.077,,,,
81,01/25/20 10:15:00 AM,77.400,,,,
82,01/25/20 10:30:00 AM,78.624,,,,
83,01/25/20 10:45:00 AM,75.139,,,,
84,01/25/20 11:00:00 AM,70.651,,,,
85,01/25/20 11:15:00 AM,69.622,,,,
86,01/25/20 11:30:00 AM,69.793,,,,
87,01/25/20 11:45:00 AM,70.137,,,,
88,01/25/20 12:00:00 PM,69.793,,,,
89,01/25/20 12:15:00 PM,70.824,,,,
90,01/25/20 12:30:00 PM,72.028,,,,
91,01/25/20 12:45:00 PM,70.480,,,,
92,01/25/20 01:00:00 PM,70.308,,,,
93,01/25/20 01:15:00 PM,71.856,,,,
94,01/25/20 01:30:00 PM,72.545,,,,
95,01/25/20 01:45:00 PM,73.234,,,,
96,01/25/20 02:00:00 PM,71.168,,,,
97,01/25/20 02:15:00 PM,66.193,,,,
98,01/25/20 02:30:00 PM,64.825,,,,
99,01/25/20 02:45:00 PM,65.509,,,,
100,01/25/20 03:00:00 PM,63.968,,,,
101,01/25/20 03:15:00 PM,62.769,,,,
102,01/25/20 03:30:00 PM,63.797,,,,
103,01/25/20 03:45:00 PM,66.366,,,,
104,01/25/20 04:00:00 PM,64.481,,,,
105,01/25/20 04:15:00 PM,63.797,,,,
106,01/25/20 04:30:00 PM,62.083,,,,
107,01/25/20 04:45:00 PM,60.368,,,,
108,01/25/20 05:00:00 PM,58.647,,,,
109,01/25/20 05:15:00 PM,57.785,,,,
110,01/25/20 05:30:00 PM,57.268,,,,
111,01/25/20 05:45:00 PM,56.577,,,,
112,01/25/20 06:00:00 PM,56.230,,,,
113,01/25/20 06:15:00 PM,55.884,,,,
114,01/25/20 06:30:00 PM,55.711,,,,
115,01/25/20 06:45:00 PM,55.364,,,,
116,01/25/20 07:00:00 PM,55.364,,,,
117,01/25/20 07:15:00 PM,54.842,,,,
118,01/25/20 07:30:00 PM,54.495,,,,
119,01/25/20 07:45:00 PM,54.322,,,,
120,01/25/20 08:00:00 PM,54.147,,,,
121,01/25/20 08:15:00 PM,53.973,,,,
122,01/25/20 08:30:00 PM,54.147,,,,
123,01/25/20 08:45:00 PM,54.322,,,,
124,01/25/20 09:00:00 PM,54.322,,,,
125,01/25/20 09:15:00 PM,54.147,,,,
126,01/25/20 09:30:00 PM,53.973,,,,
127,01/25/20 09:45:00 PM,53.623,,,,
