"Plot Title: Range"
"#","Date Time, GMT-08:00","Temp, °F (LGR S/N: 20309219, SEN S/N: 20309219, LBL: F)","Event, units (LGR S/N: 20309219, SEN S/N: 20309219)","Coupler Attached (LGR S/N: 20309219)","Host Connected (LGR S/N: 20309219)","Stopped (LGR S/N: 20309219)","End Of File (LGR S/N: 20309219)"
1,03/06/20 09:30:00 AM,65.680,0.00,,,,
2,03/06/20 09:45:00 AM,65.851,,,,,
3,03/06/20 10:00:00 AM,67.564,,,,,
4,03/06/20 10:15:00 AM,69.278,,,,,
5,03/06/20 10:30:00 AM,71.683,,,,,
6,03/06/20 10:45:00 AM,71.168,,,,,
7,03/06/20 11:00:00 AM,71.856,,,,,
8,03/06/20 11:15:00 AM,75.484,,,,,
9,03/06/20 11:30:00 AM,76.354,,,,,
10,03/06/20 11:45:00 AM,76.354,,,,,
11,03/06/20 12:00:00 PM,74.791,,,,,
12,03/06/20 12:15:00 PM,73.062,,,,,
13,03/06/20 12:30:00 PM,72.891,,,,,
14,03/06/20 12:45:00 PM,74.791,,,,,
15,03/06/20 01:00:00 PM,75.484,,,,,
16,03/06/20 01:15:00 PM,75.139,,,,,
17,03/06/20 01:30:00 PM,70.308,,,,,
18,03/06/20 01:45:00 PM,67.050,,,,,
19,03/06/20 02:00:00 PM,66.537,,,,,
20,03/06/20 02:15:00 PM,64.310,,,,,
21,03/06/20 02:30:00 PM,64.825,,,,,
22,03/06/20 02:45:00 PM,66.537,,,,,
23,03/06/20 03:00:00 PM,68.248,,,,,
24,03/06/20 03:15:00 PM,66.879,,,,,
25,03/06/20 03:30:00 PM,68.077,,,,,
26,03/06/20 03:45:00 PM,67.564,,,,,
27,03/06/20 04:00:00 PM,62.940,,,,,
28,03/06/20 04:15:00 PM,59.508,,,,,
29,03/06/20 04:30:00 PM,57.441,,,,,
30,03/06/20 04:45:00 PM,56.923,,,,,
31,03/06/20 05:00:00 PM,56.230,,,,,
32,03/06/20 05:15:00 PM,55.537,,,,,
33,03/06/20 05:30:00 PM,54.495,,,,,
34,03/06/20 05:45:00 PM,53.623,,,,,
35,03/06/20 06:00:00 PM,52.925,,,,,
36,03/06/20 06:15:00 PM,52.225,,,,,
37,03/06/20 06:30:00 PM,51.874,,,,,
38,03/06/20 06:45:00 PM,51.699,,,,,
39,03/06/20 07:00:00 PM,51.523,,,,,
40,03/06/20 07:15:00 PM,51.523,,,,,
41,03/06/20 07:30:00 PM,51.346,,,,,
42,03/06/20 07:45:00 PM,50.643,,,,,
43,03/06/20 08:00:00 PM,50.466,,,,,
44,03/06/20 08:15:00 PM,50.466,,,,,
45,03/06/20 08:30:00 PM,50.466,,,,,
46,03/06/20 08:45:00 PM,50.290,,,,,
47,03/06/20 09:00:00 PM,50.113,,,,,
48,03/06/20 09:15:00 PM,49.759,,,,,
49,03/06/20 09:30:00 PM,49.582,,,,,
50,03/06/20 09:45:00 PM,49.759,,,,,
51,03/06/20 10:00:00 PM,50.113,,,,,
52,03/06/20 10:10:07 PM,,0.01,,,,
53,03/06/20 10:15:00 PM,49.759,,,,,
54,03/06/20 10:30:00 PM,49.050,,,,,
55,03/06/20 10:45:00 PM,48.695,,,,,
56,03/06/20 11:00:00 PM,48.517,,,,,
57,03/06/20 11:15:00 PM,48.339,,,,,
58,03/06/20 11:30:00 PM,48.339,,,,,
59,03/06/20 11:45:00 PM,48.517,,,,,
60,03/07/20 12:00:00 AM,48.517,,,,,
61,03/07/20 12:15:00 AM,48.695,,,,,
62,03/07/20 12:27:55 AM,,0.02,,,,
63,03/07/20 12:30:00 AM,48.695,,,,,
64,03/07/20 12:45:00 AM,48.517,,,,,
65,03/07/20 01:00:00 AM,48.517,,,,,
66,03/07/20 01:15:00 AM,48.695,,,,,
67,03/07/20 01:30:00 AM,48.695,,,,,
68,03/07/20 01:45:00 AM,48.517,,,,,
69,03/07/20 02:00:00 AM,48.339,,,,,
70,03/07/20 02:15:00 AM,48.160,,,,,
71,03/07/20 02:30:00 AM,48.160,,,,,
72,03/07/20 02:45:00 AM,47.802,,,,,
73,03/07/20 03:00:00 AM,47.624,,,,,
74,03/07/20 03:15:00 AM,47.446,,,,,
75,03/07/20 03:23:11 AM,,0.03,,,,
76,03/07/20 03:30:00 AM,47.266,,,,,
77,03/07/20 03:45:00 AM,47.088,,,,,
78,03/07/20 04:00:00 AM,46.728,,,,,
79,03/07/20 04:15:00 AM,46.369,,,,,
80,03/07/20 04:30:00 AM,46.548,,,,,
81,03/07/20 04:45:00 AM,46.548,,,,,
82,03/07/20 04:48:15 AM,,0.04,,,,
83,03/07/20 05:00:00 AM,46.728,,,,,
84,03/07/20 05:15:00 AM,47.088,,,,,
85,03/07/20 05:30:00 AM,47.088,,,,,
86,03/07/20 05:45:00 AM,46.908,,,,,
87,03/07/20 06:00:00 AM,46.908,,,,,
88,03/07/20 06:10:29 AM,,0.05,,,,
89,03/07/20 06:15:00 AM,46.908,,,,,
90,03/07/20 06:26:02 AM,,0.06,,,,
91,03/07/20 06:30:00 AM,46.908,,,,,
92,03/07/20 06:45:00 AM,47.088,,,,,
93,03/07/20 07:00:00 AM,47.088,,,,,
94,03/07/20 07:15:00 AM,47.624,,,,,
95,03/07/20 07:30:00 AM,48.160,,,,,
96,03/07/20 07:45:00 AM,49.050,,,,,
97,03/07/20 08:00:00 AM,49.759,,,,,
98,03/07/20 08:03:35 AM,,0.07,,,,
99,03/07/20 08:15:00 AM,49.937,,,,,
100,03/07/20 08:17:35 AM,,0.08,,,,
101,03/07/20 08:30:00 AM,50.643,,,,,
102,03/07/20 08:45:00 AM,53.449,,,,,
103,03/07/20 09:00:00 AM,53.623,,,,,
104,03/07/20 09:15:00 AM,54.495,,,,,
105,03/07/20 09:30:00 AM,57.096,,,,,
106,03/07/20 09:45:00 AM,60.712,,,,,
107,03/07/20 10:00:00 AM,60.368,,,,,
108,03/07/20 10:15:00 AM,58.993,,,,,
109,03/07/20 10:30:00 AM,60.539,,,,,
110,03/07/20 10:45:00 AM,61.741,,,,,
111,03/07/20 10:57:39 AM,,0.09,,,,
112,03/07/20 11:00:00 AM,60.883,,,,,
113,03/07/20 11:15:00 AM,59.680,,,,,
114,03/07/20 11:19:09 AM,,0.10,,,,
115,03/07/20 11:30:00 AM,58.647,,,,,
116,03/07/20 11:38:54 AM,,0.11,,,,
117,03/07/20 11:44:47 AM,,0.12,,,,
118,03/07/20 11:45:00 AM,57.958,,,,,
119,03/07/20 11:54:52 AM,,0.13,,,,
120,03/07/20 12:00:00 PM,58.131,,,,,
121,03/07/20 12:15:00 PM,58.303,,,,,
122,03/07/20 12:16:44 PM,,0.14,,,,
123,03/07/20 12:20:46 PM,,0.15,,,,
124,03/07/20 12:23:24 PM,,0.16,,,,
125,03/07/20 12:26:21 PM,,0.17,,,,
126,03/07/20 12:27:21 PM,,0.18,,,,
127,03/07/20 12:30:00 PM,57.614,,,,,
128,03/07/20 12:30:13 PM,,0.19,,,,
129,03/07/20 12:32:52 PM,,0.20,,,,
130,03/07/20 12:34:59 PM,,0.21,,,,
131,03/07/20 12:36:39 PM,,0.22,,,,
132,03/07/20 12:38:47 PM,,0.23,,,,
133,03/07/20 12:40:07 PM,,0.24,,,,
134,03/07/20 12:44:38 PM,,0.25,,,,
135,03/07/20 12:45:00 PM,57.268,,,,,
136,03/07/20 12:51:32 PM,,0.26,,,,
137,03/07/20 01:00:00 PM,57.441,,,,,
138,03/07/20 01:15:00 PM,58.993,,,,,
139,03/07/20 01:30:00 PM,58.993,,,,,
140,03/07/20 01:45:00 PM,58.131,,,,,
141,03/07/20 02:00:00 PM,57.268,,,,,
142,03/07/20 02:03:25 PM,,0.27,,,,
143,03/07/20 02:10:01 PM,,0.28,,,,
144,03/07/20 02:15:00 PM,61.741,,,,,
145,03/07/20 02:30:00 PM,61.569,,,,,
146,03/07/20 02:45:00 PM,62.425,,,,,
147,03/07/20 03:00:00 PM,69.793,,,,,
148,03/07/20 03:15:00 PM,78.800,,,,,
149,03/07/20 03:30:00 PM,80.382,,,,,
150,03/07/20 03:45:00 PM,78.449,,,,,
151,03/07/20 04:00:00 PM,68.077,,,,,
152,03/07/20 04:15:00 PM,63.111,,,,,
153,03/07/20 04:30:00 PM,61.569,,,,,
154,03/07/20 04:45:00 PM,60.024,,,,,
155,03/07/20 05:00:00 PM,58.820,,,,,
156,03/07/20 05:15:00 PM,57.614,,,,,
157,03/07/20 05:30:00 PM,54.669,,,,,
158,03/07/20 05:45:00 PM,52.925,,,,,
159,03/07/20 06:00:00 PM,50.995,,,,,
160,03/07/20 06:15:00 PM,48.871,,,,,
161,03/07/20 06:30:00 PM,46.908,,,,,
162,03/07/20 06:45:00 PM,45.648,,,,,
163,03/07/20 07:00:00 PM,45.286,,,,,
164,03/07/20 07:15:00 PM,45.648,,,,,
165,03/07/20 07:30:00 PM,44.922,,,,,
166,03/07/20 07:45:00 PM,44.379,,,,,
167,03/07/20 08:00:00 PM,44.195,,,,,
168,03/07/20 08:15:00 PM,43.831,,,,,
169,03/07/20 08:30:00 PM,43.831,,,,,
170,03/07/20 08:45:00 PM,44.195,,,,,
171,03/07/20 09:00:00 PM,44.560,,,,,
172,03/07/20 09:15:00 PM,44.922,,,,,
173,03/07/20 09:30:00 PM,44.922,,,,,
174,03/07/20 09:45:00 PM,45.104,,,,,
175,03/07/20 10:00:00 PM,45.286,,,,,
176,03/07/20 10:15:00 PM,45.828,,,,,
177,03/07/20 10:30:00 PM,46.008,,,,,
178,03/07/20 10:45:00 PM,46.008,,,,,
179,03/07/20 11:00:00 PM,45.828,,,,,
180,03/07/20 11:15:00 PM,45.648,,,,,
181,03/07/20 11:30:00 PM,46.008,,,,,
182,03/07/20 11:45:00 PM,46.369,,,,,
183,03/08/20 12:00:00 AM,46.369,,,,,
184,03/08/20 12:15:00 AM,46.369,,,,,
185,03/08/20 12:30:00 AM,46.548,,,,,
186,03/08/20 12:45:00 AM,46.548,,,,,
187,03/08/20 01:00:00 AM,46.369,,,,,
188,03/08/20 01:15:00 AM,46.188,,,,,
189,03/08/20 01:23:59 AM,,0.29,,,,
190,03/08/20 01:30:00 AM,46.369,,,,,
191,03/08/20 01:45:00 AM,46.188,,,,,
192,03/08/20 02:00:00 AM,45.286,,,,,
193,03/08/20 02:15:00 AM,44.560,,,,,
194,03/08/20 02:30:00 AM,43.831,,,,,
195,03/08/20 02:45:00 AM,43.282,,,,,
196,03/08/20 03:00:00 AM,43.099,,,,,
197,03/08/20 03:15:00 AM,42.363,,,,,
198,03/08/20 03:30:00 AM,41.810,,,,,
199,03/08/20 03:45:00 AM,42.363,,,,,
200,03/08/20 04:00:00 AM,42.363,,,,,
201,03/08/20 04:15:00 AM,42.179,,,,,
202,03/08/20 04:30:00 AM,41.810,,,,,
203,03/08/20 04:45:00 AM,41.810,,,,,
204,03/08/20 05:00:00 AM,41.625,,,,,
205,03/08/20 05:15:00 AM,41.439,,,,,
206,03/08/20 05:30:00 AM,41.254,,,,,
207,03/08/20 05:45:00 AM,40.881,,,,,
208,03/08/20 06:00:00 AM,41.254,,,,,
209,03/08/20 06:15:00 AM,41.439,,,,,
210,03/08/20 06:30:00 AM,41.439,,,,,
211,03/08/20 06:45:00 AM,41.439,,,,,
212,03/08/20 07:00:00 AM,42.179,,,,,
213,03/08/20 07:15:00 AM,42.915,,,,,
214,03/08/20 07:30:00 AM,44.013,,,,,
215,03/08/20 07:45:00 AM,45.648,,,,,
216,03/08/20 08:00:00 AM,49.404,,,,,
217,03/08/20 08:15:00 AM,52.576,,,,,
218,03/08/20 08:30:00 AM,55.189,,,,,
219,03/08/20 08:45:00 AM,57.785,,,,,
220,03/08/20 09:00:00 AM,60.368,,,,,
221,03/08/20 09:15:00 AM,61.912,,,,,
222,03/08/20 09:30:00 AM,63.282,,,,,
223,03/08/20 09:45:00 AM,65.338,,,,,
224,03/08/20 09:58:30 AM,,0.30,,,,
