"Plot Title: ASH"
"#","Date Time, GMT-07:00","Temp, °F (LGR S/N: 20309221, SEN S/N: 20309221)","Event, units (LGR S/N: 20309221, SEN S/N: 20309221)","Coupler Attached (LGR S/N: 20309221)","Host Connected (LGR S/N: 20309221)","End Of File (LGR S/N: 20309221)"
1,03/20/20 01:00:00 PM,73.234,0.00,,,
2,03/20/20 02:00:00 PM,63.968,,,,
3,03/20/20 03:00:00 PM,63.968,,,,
4,03/20/20 04:00:00 PM,64.996,,,,
5,03/20/20 05:00:00 PM,71.856,,,,
6,03/20/20 06:00:00 PM,75.484,,,,
7,03/20/20 07:00:00 PM,56.577,,,,
8,03/20/20 08:00:00 PM,49.759,,,,
9,03/20/20 09:00:00 PM,46.008,,,,
10,03/20/20 10:00:00 PM,45.104,,,,
11,03/20/20 11:00:00 PM,44.379,,,,
12,03/21/20 12:00:00 AM,45.466,,,,
13,03/21/20 01:00:00 AM,45.104,,,,
14,03/21/20 02:00:00 AM,44.560,,,,
15,03/21/20 03:00:00 AM,43.648,,,,
16,03/21/20 04:00:00 AM,45.828,,,,
17,03/21/20 05:00:00 AM,46.908,,,,
18,03/21/20 06:00:00 AM,47.088,,,,
19,03/21/20 06:24:33 AM,,0.01,,,
20,03/21/20 06:41:55 AM,,0.02,,,
21,03/21/20 07:00:00 AM,47.088,,,,
22,03/21/20 07:40:27 AM,,0.03,,,
23,03/21/20 08:00:00 AM,47.088,,,,
24,03/21/20 09:00:00 AM,49.050,,,,
25,03/21/20 10:00:00 AM,53.449,,,,
26,03/21/20 11:00:00 AM,61.741,,,,
27,03/21/20 12:00:00 PM,58.647,,,,
28,03/21/20 01:00:00 PM,61.054,,,,
29,03/21/20 02:00:00 PM,58.820,,,,
30,03/21/20 03:00:00 PM,63.626,,,,
31,03/21/20 04:00:00 PM,66.879,,,,
32,03/21/20 05:00:00 PM,66.022,,,,
33,03/21/20 06:00:00 PM,66.879,,,,
34,03/21/20 07:00:00 PM,58.993,,,,
35,03/21/20 08:00:00 PM,53.449,,,,
36,03/21/20 09:00:00 PM,49.582,,,,
37,03/21/20 10:00:00 PM,48.871,,,,
38,03/21/20 11:00:00 PM,47.088,,,,
39,03/22/20 12:00:00 AM,47.982,,,,
40,03/22/20 01:00:00 AM,48.339,,,,
41,03/22/20 02:00:00 AM,48.517,,,,
42,03/22/20 03:00:00 AM,47.624,,,,
43,03/22/20 04:00:00 AM,47.802,,,,
44,03/22/20 05:00:00 AM,48.517,,,,
45,03/22/20 06:00:00 AM,48.517,,,,
46,03/22/20 07:00:00 AM,48.160,,,,
47,03/22/20 08:00:00 AM,49.228,,,,
48,03/22/20 09:00:00 AM,52.925,,,,
49,03/22/20 09:31:34 AM,,0.04,,,
50,03/22/20 10:00:00 AM,56.404,,,,
51,03/22/20 11:00:00 AM,67.050,,,,
52,03/22/20 12:00:00 PM,69.622,,,,
53,03/22/20 01:00:00 PM,66.366,,,,
54,03/22/20 02:00:00 PM,64.310,,,,
55,03/22/20 03:00:00 PM,60.539,,,,
56,03/22/20 04:00:00 PM,62.769,,,,
57,03/22/20 05:00:00 PM,61.569,,,,
58,03/22/20 06:00:00 PM,62.254,,,,
59,03/22/20 07:00:00 PM,59.851,,,,
60,03/22/20 08:00:00 PM,54.495,,,,
61,03/22/20 09:00:00 PM,50.995,,,,
62,03/22/20 10:00:00 PM,49.582,,,,
63,03/22/20 11:00:00 PM,52.925,,,,
64,03/23/20 12:00:00 AM,52.576,,,,
65,03/23/20 01:00:00 AM,52.401,,,,
66,03/23/20 02:00:00 AM,50.995,,,,
