"Plot Title: Range"
"#","Date Time, GMT-07:00","Temp, °F (LGR S/N: 20309219, SEN S/N: 20309219, LBL: F)","Event, units (LGR S/N: 20309219, SEN S/N: 20309219)","Bad Battery (LGR S/N: 20309219)","End Of File (LGR S/N: 20309219)"
1,03/20/20 05:00:00 PM,73.926,0.00,,
2,03/20/20 06:00:00 PM,72.545,,,
3,03/20/20 07:00:00 PM,58.303,,,
4,03/20/20 08:00:00 PM,49.050,,,
5,03/20/20 09:00:00 PM,48.339,,,
6,03/20/20 10:00:00 PM,48.695,,,
7,03/20/20 11:00:00 PM,47.802,,,
8,03/21/20 12:00:00 AM,49.404,,,
9,03/21/20 01:00:00 AM,47.982,,,
10,03/21/20 02:00:00 AM,48.339,,,
11,03/21/20 03:00:00 AM,47.088,,,
12,03/21/20 04:00:00 AM,50.290,,,
13,03/21/20 05:00:00 AM,50.290,,,
14,03/21/20 06:00:00 AM,49.759,,,
15,03/21/20 06:05:42 AM,,0.01,,
16,03/21/20 06:34:15 AM,,0.02,,
17,03/21/20 07:00:00 AM,48.695,,,
18,03/21/20 08:00:00 AM,48.871,,,
19,03/21/20 08:08:20 AM,,0.03,,
20,03/21/20 09:00:00 AM,53.100,,,
21,03/21/20 10:00:00 AM,59.851,,,
22,03/21/20 11:00:00 AM,66.022,,,
23,03/21/20 12:00:00 PM,63.282,,,
24,03/21/20 01:00:00 PM,72.545,,,
25,03/21/20 02:00:00 PM,61.741,,,
26,03/21/20 03:00:00 PM,77.574,,,
27,03/21/20 04:00:00 PM,76.528,,,
28,03/21/20 05:00:00 PM,72.718,,,
29,03/21/20 06:00:00 PM,78.624,,,
30,03/21/20 07:00:00 PM,62.425,,,
31,03/21/20 08:00:00 PM,52.750,,,
32,03/21/20 09:00:00 PM,50.290,,,
33,03/21/20 10:00:00 PM,50.466,,,
34,03/21/20 11:00:00 PM,48.695,,,
35,03/22/20 12:00:00 AM,50.995,,Logged,
36,03/22/20 01:00:00 AM,51.523,,,
37,03/22/20 02:00:00 AM,51.346,,,
38,03/22/20 03:00:00 AM,50.113,,,
39,03/22/20 04:00:00 AM,50.466,,,
40,03/22/20 05:00:00 AM,50.113,,,
41,03/22/20 06:00:00 AM,50.466,,,
42,03/22/20 07:00:00 AM,50.819,,,
43,03/22/20 08:00:00 AM,52.401,,,
44,03/22/20 09:00:00 AM,58.131,,,
45,03/22/20 10:00:00 AM,61.912,,,
46,03/22/20 11:00:00 AM,71.856,,,
47,03/22/20 12:00:00 PM,79.502,,,
48,03/22/20 01:00:00 PM,82.508,,,
49,03/22/20 02:00:00 PM,78.624,,,
50,03/22/20 03:00:00 PM,71.856,,,
