"Plot Title: UNF"
"#","Date Time, GMT-07:00","Temp, °F (LGR S/N: 9668993, SEN S/N: 9668993)","Event, inches (LGR S/N: 9668993, SEN S/N: 9668993)","Coupler Attached (LGR S/N: 9668993)","Host Connected (LGR S/N: 9668993)","End Of File (LGR S/N: 9668993)"
1,03/20/20 12:00:00 PM,56.577,0.00,,,
2,03/20/20 01:00:00 PM,67.050,,,,
3,03/20/20 02:00:00 PM,62.254,,,,
4,03/20/20 03:00:00 PM,61.054,,,,
5,03/20/20 04:00:00 PM,61.398,,,,
6,03/20/20 05:00:00 PM,57.958,,,,
7,03/20/20 06:00:00 PM,53.100,,,,
8,03/20/20 07:00:00 PM,50.466,,,,
9,03/20/20 08:00:00 PM,47.446,,,,
10,03/20/20 09:00:00 PM,45.466,,,,
11,03/20/20 10:00:00 PM,44.560,,,,
12,03/20/20 11:00:00 PM,44.560,,,,
13,03/21/20 12:00:00 AM,44.922,,,,
14,03/21/20 01:00:00 AM,44.922,,,,
15,03/21/20 02:00:00 AM,44.922,,,,
16,03/21/20 03:00:00 AM,44.560,,,,
17,03/21/20 04:00:00 AM,45.104,,,,
18,03/21/20 05:00:00 AM,46.008,,,,
19,03/21/20 06:00:00 AM,46.369,,,,
20,03/21/20 06:27:55 AM,,0.01,,,
21,03/21/20 07:00:00 AM,46.548,,,,
22,03/21/20 07:10:18 AM,,0.02,,,
23,03/21/20 08:00:00 AM,46.908,,,,
24,03/21/20 09:00:00 AM,48.160,,,,
25,03/21/20 10:00:00 AM,50.290,,,,
26,03/21/20 11:00:00 AM,54.669,,,,
27,03/21/20 12:00:00 PM,54.495,,,,
28,03/21/20 01:00:00 PM,55.189,,,,
29,03/21/20 02:00:00 PM,56.057,,,,
30,03/21/20 03:00:00 PM,59.337,,,,
31,03/21/20 04:00:00 PM,63.111,,,,
32,03/21/20 05:00:00 PM,58.993,,,,
33,03/21/20 06:00:00 PM,56.923,,,,
34,03/21/20 07:00:00 PM,54.495,,,,
35,03/21/20 08:00:00 PM,51.346,,,,
36,03/21/20 09:00:00 PM,49.228,,,,
37,03/21/20 10:00:00 PM,48.517,,,,
38,03/21/20 11:00:00 PM,47.446,,,,
39,03/22/20 12:00:00 AM,47.446,,,,
40,03/22/20 01:00:00 AM,47.624,,,,
41,03/22/20 02:00:00 AM,48.160,,,,
42,03/22/20 03:00:00 AM,47.982,,,,
43,03/22/20 04:00:00 AM,48.339,,,,
44,03/22/20 05:00:00 AM,48.339,,,,
45,03/22/20 06:00:00 AM,48.517,,,,
46,03/22/20 07:00:00 AM,47.982,,,,
47,03/22/20 08:00:00 AM,48.695,,,,
48,03/22/20 09:00:00 AM,50.995,,,,
49,03/22/20 09:26:47 AM,,0.03,,,
50,03/22/20 10:00:00 AM,53.274,,,,
51,03/22/20 11:00:00 AM,58.476,,,,
52,03/22/20 12:00:00 PM,62.598,,,,
53,03/22/20 01:00:00 PM,70.651,,,,
54,03/22/20 02:00:00 PM,64.139,,,,
55,03/22/20 03:00:00 PM,58.131,,,,
56,03/22/20 04:00:00 PM,58.993,,,,
57,03/22/20 05:00:00 PM,57.958,,,,
58,03/22/20 06:00:00 PM,57.268,,,,
59,03/22/20 07:00:00 PM,56.230,,,,
60,03/22/20 08:00:00 PM,53.100,,,,
61,03/22/20 09:00:00 PM,50.466,,,,
62,03/22/20 10:00:00 PM,49.228,,,,
63,03/22/20 11:00:00 PM,50.995,,,,
64,03/23/20 12:00:00 AM,51.346,,,,
65,03/23/20 01:00:00 AM,51.172,,,,
66,03/23/20 02:00:00 AM,50.290,,,,
67,03/23/20 03:00:00 AM,50.113,,,,
68,03/23/20 04:00:00 AM,49.937,,,,
69,03/23/20 05:00:00 AM,48.871,,,,
70,03/23/20 06:00:00 AM,48.339,,,,
71,03/23/20 07:00:00 AM,48.871,,,,
72,03/23/20 08:00:00 AM,49.228,,,,
73,03/23/20 09:00:00 AM,51.172,,,,
74,03/23/20 10:00:00 AM,51.874,,,,
75,03/23/20 11:00:00 AM,52.576,,,,
76,03/23/20 12:00:00 PM,53.274,,,,
77,03/23/20 01:00:00 PM,55.884,,,,
78,03/23/20 02:00:00 PM,53.798,,,,
79,03/23/20 03:00:00 PM,55.711,,,,
80,03/23/20 04:00:00 PM,53.274,,,,
81,03/23/20 05:00:00 PM,51.172,,,,
82,03/23/20 06:00:00 PM,51.172,,,,
83,03/23/20 07:00:00 PM,49.937,,,,
84,03/23/20 08:00:00 PM,48.517,,,,
85,03/23/20 09:00:00 PM,47.446,,,,
86,03/23/20 10:00:00 PM,46.728,,,,
87,03/23/20 11:00:00 PM,46.908,,,,
88,03/24/20 12:00:00 AM,46.728,,,,
89,03/24/20 01:00:00 AM,46.908,,,,
90,03/24/20 02:00:00 AM,46.908,,,,
91,03/24/20 02:21:32 AM,,0.04,,,
92,03/24/20 02:43:03 AM,,0.05,,,
93,03/24/20 02:54:52 AM,,0.06,,,
94,03/24/20 03:00:00 AM,46.728,,,,
95,03/24/20 03:05:31 AM,,0.07,,,
96,03/24/20 03:10:21 AM,,0.08,,,
97,03/24/20 04:00:00 AM,46.548,,,,
98,03/24/20 05:00:00 AM,45.648,,,,
99,03/24/20 06:00:00 AM,44.922,,,,
100,03/24/20 07:00:00 AM,43.466,,,,
101,03/24/20 08:00:00 AM,44.379,,,,
102,03/24/20 09:00:00 AM,46.908,,,,
103,03/24/20 09:27:38 AM,,0.09,,,
104,03/24/20 10:00:00 AM,50.290,,,,
105,03/24/20 11:00:00 AM,52.925,,,,
106,03/24/20 12:00:00 PM,52.050,,,,
107,03/24/20 12:12:03 PM,,0.10,,,
108,03/24/20 01:00:00 PM,52.050,,,,
109,03/24/20 01:12:09 PM,,0.11,,,
110,03/24/20 01:43:47 PM,,0.12,,,
111,03/24/20 02:00:00 PM,50.995,,,,
112,03/24/20 02:02:27 PM,,0.13,,,
113,03/24/20 02:04:24 PM,,0.14,,,
114,03/24/20 02:08:57 PM,,0.15,,,
115,03/24/20 02:11:04 PM,,0.16,,,
116,03/24/20 02:12:05 PM,,0.17,,,
117,03/24/20 02:12:54 PM,,0.18,,,
118,03/24/20 02:15:38 PM,,0.19,,,
119,03/24/20 02:18:04 PM,,0.20,,,
120,03/24/20 02:28:52 PM,,0.21,,,
121,03/24/20 02:42:39 PM,,0.22,,,
122,03/24/20 03:00:00 PM,51.699,,,,
123,03/24/20 03:12:01 PM,,0.23,,,
124,03/24/20 03:27:46 PM,,0.24,,,
125,03/24/20 03:40:30 PM,,0.25,,,
126,03/24/20 03:50:21 PM,,0.26,,,
127,03/24/20 04:00:00 PM,50.290,,,,
128,03/24/20 04:04:52 PM,,0.27,,,
129,03/24/20 04:44:16 PM,,0.28,,,
130,03/24/20 05:00:00 PM,50.819,,,,
131,03/24/20 06:00:00 PM,50.466,,,,
132,03/24/20 06:42:24 PM,,0.29,,,
133,03/24/20 06:48:19 PM,,0.30,,,
134,03/24/20 06:58:02 PM,,0.31,,,
135,03/24/20 07:00:00 PM,48.517,,,,
136,03/24/20 08:00:00 PM,46.369,,,,
137,03/24/20 08:17:04 PM,,0.32,,,
138,03/24/20 08:22:31 PM,,0.33,,,
139,03/24/20 08:24:46 PM,,0.34,,,
140,03/24/20 09:00:00 PM,45.466,,,,
141,03/24/20 10:00:00 PM,44.742,,,,
142,03/24/20 11:00:00 PM,44.379,,,,
143,03/25/20 12:00:00 AM,44.013,,,,
144,03/25/20 01:00:00 AM,44.560,,,,
145,03/25/20 02:00:00 AM,43.831,,,,
146,03/25/20 03:00:00 AM,43.466,,,,
147,03/25/20 03:33:06 AM,,0.35,,,
148,03/25/20 04:00:00 AM,43.466,,,,
149,03/25/20 04:23:40 AM,,0.36,,,
150,03/25/20 05:00:00 AM,43.466,,,,
151,03/25/20 05:46:58 AM,,0.37,,,
152,03/25/20 05:55:46 AM,,0.38,,,
153,03/25/20 05:58:11 AM,,0.39,,,
154,03/25/20 06:00:00 AM,42.732,,,,
155,03/25/20 07:00:00 AM,41.625,,,,
156,03/25/20 08:00:00 AM,40.881,,,,
157,03/25/20 09:00:00 AM,43.282,,,,
158,03/25/20 09:49:33 AM,,0.40,,,
159,03/25/20 10:00:00 AM,45.828,,,,
160,03/25/20 11:00:00 AM,49.228,,,,
161,03/25/20 12:00:00 PM,50.819,,,,
162,03/25/20 01:00:00 PM,65.680,,,,
163,03/25/20 02:00:00 PM,53.449,,,,
164,03/25/20 03:00:00 PM,55.537,,,,
165,03/25/20 04:00:00 PM,52.925,,,,
166,03/25/20 05:00:00 PM,53.274,,,,
167,03/25/20 06:00:00 PM,49.759,,,,
168,03/25/20 07:00:00 PM,45.648,,,,
169,03/25/20 08:00:00 PM,43.099,,,,
170,03/25/20 09:00:00 PM,41.625,,,,
171,03/25/20 10:00:00 PM,40.696,,,,
172,03/25/20 11:00:00 PM,39.573,,,,
173,03/26/20 12:00:00 AM,39.007,,,,
174,03/26/20 12:32:16 AM,,0.41,,,
175,03/26/20 12:49:35 AM,,0.42,,,
176,03/26/20 01:00:00 AM,39.947,,,,
177,03/26/20 02:00:00 AM,40.321,,,,
178,03/26/20 03:00:00 AM,40.134,,,,
179,03/26/20 03:18:12 AM,,0.43,,,
180,03/26/20 03:25:25 AM,,0.44,,,
181,03/26/20 04:00:00 AM,40.321,,,,
182,03/26/20 04:24:08 AM,,0.45,,,
183,03/26/20 04:37:15 AM,,0.46,,,
184,03/26/20 05:00:00 AM,39.947,,,,
185,03/26/20 06:00:00 AM,39.947,,,,
186,03/26/20 07:00:00 AM,38.818,,,,
187,03/26/20 08:00:00 AM,38.250,,,,
188,03/26/20 09:00:00 AM,40.134,,,,
189,03/26/20 10:00:00 AM,44.379,,,,
190,03/26/20 11:00:00 AM,48.871,,,,
191,03/26/20 12:00:00 PM,52.225,,,,
192,03/26/20 01:00:00 PM,64.825,,,,
193,03/26/20 01:46:26 PM,,0.47,,,
194,03/26/20 02:00:00 PM,49.404,,,,
195,03/26/20 03:00:00 PM,53.449,,,,
196,03/26/20 03:47:06 PM,,0.48,,,
197,03/26/20 04:00:00 PM,49.937,,,,
198,03/26/20 04:03:27 PM,,0.49,,,
199,03/26/20 04:18:04 PM,,0.50,,,
200,03/26/20 04:20:36 PM,,0.51,,,
201,03/26/20 04:22:33 PM,,0.52,,,
202,03/26/20 04:26:55 PM,,0.53,,,
203,03/26/20 04:29:18 PM,,0.54,,,
204,03/26/20 04:35:52 PM,,0.55,,,
205,03/26/20 05:00:00 PM,45.648,,,,
206,03/26/20 05:42:04 PM,,0.56,,,
207,03/26/20 05:48:55 PM,,0.57,,,
208,03/26/20 05:50:47 PM,,0.58,,,
209,03/26/20 05:52:24 PM,,0.59,,,
210,03/26/20 06:00:00 PM,45.466,,,,
211,03/26/20 07:00:00 PM,44.742,,,,
212,03/26/20 08:00:00 PM,43.466,,,,
213,03/26/20 09:00:00 PM,41.994,,,,
214,03/26/20 10:00:00 PM,41.067,,,,
215,03/26/20 11:00:00 PM,40.881,,,,
216,03/27/20 12:00:00 AM,40.509,,,,
217,03/27/20 12:45:29 AM,,0.60,,,
218,03/27/20 01:00:00 AM,40.696,,,,
219,03/27/20 02:00:00 AM,40.881,,,,
