"Plot Title: UQC"
"#","Date Time, GMT-07:00","Temp, °F (LGR S/N: 10592076, SEN S/N: 10592076)","Event, inches (LGR S/N: 10592076, SEN S/N: 10592076)","End Of File (LGR S/N: 10592076)"
1,03/20/20 04:00:00 PM,71.683,0.00,
2,03/20/20 05:00:00 PM,68.592,,
3,03/20/20 06:00:00 PM,64.481,,
4,03/20/20 07:00:00 PM,57.785,,
5,03/20/20 08:00:00 PM,48.517,,
6,03/20/20 09:00:00 PM,47.802,,
7,03/20/20 10:00:00 PM,48.695,,
8,03/20/20 11:00:00 PM,47.982,,
9,03/21/20 12:00:00 AM,49.937,,
10,03/21/20 01:00:00 AM,49.050,,
11,03/21/20 02:00:00 AM,47.982,,
12,03/21/20 03:00:00 AM,47.446,,
13,03/21/20 04:00:00 AM,49.228,,
14,03/21/20 05:00:00 AM,48.339,,
15,03/21/20 06:00:00 AM,47.446,,
16,03/21/20 06:17:41 AM,,0.01,
17,03/21/20 06:27:31 AM,,0.02,
18,03/21/20 06:36:47 AM,,0.03,
19,03/21/20 06:53:50 AM,,0.04,
20,03/21/20 07:00:00 AM,46.908,,
21,03/21/20 08:00:00 AM,47.266,,
22,03/21/20 08:07:38 AM,,0.05,
23,03/21/20 08:07:39 AM,,0.06,
24,03/21/20 09:00:00 AM,49.228,,
25,03/21/20 10:00:00 AM,53.798,,
26,03/21/20 11:00:00 AM,60.368,,
27,03/21/20 12:00:00 PM,61.569,,
28,03/21/20 01:00:00 PM,64.310,,
29,03/21/20 02:00:00 PM,62.425,,
30,03/21/20 03:00:00 PM,62.254,,
31,03/21/20 04:00:00 PM,68.421,,
32,03/21/20 05:00:00 PM,65.338,,
33,03/21/20 06:00:00 PM,62.083,,
34,03/21/20 07:00:00 PM,59.680,,
35,03/21/20 08:00:00 PM,51.874,,
36,03/21/20 09:00:00 PM,48.871,,
37,03/21/20 10:00:00 PM,49.404,,
38,03/21/20 11:00:00 PM,47.624,,
39,03/22/20 12:00:00 AM,50.290,,
40,03/22/20 01:00:00 AM,49.937,,
41,03/22/20 02:00:00 AM,50.290,,
42,03/22/20 03:00:00 AM,49.228,,
43,03/22/20 04:00:00 AM,49.404,,
44,03/22/20 05:00:00 AM,50.290,,
45,03/22/20 06:00:00 AM,50.643,,
46,03/22/20 07:00:00 AM,49.582,,
47,03/22/20 08:00:00 AM,51.699,,
48,03/22/20 09:00:00 AM,56.230,,
49,03/22/20 10:00:00 AM,56.230,,
50,03/22/20 11:00:00 AM,74.791,,
51,03/22/20 12:00:00 PM,73.407,,
52,03/22/20 01:00:00 PM,72.718,,
53,03/22/20 02:00:00 PM,64.310,,
54,03/22/20 03:00:00 PM,60.712,,
55,03/22/20 04:00:00 PM,63.282,,
56,03/22/20 05:00:00 PM,61.741,,
57,03/22/20 06:00:00 PM,61.569,,
58,03/22/20 07:00:00 PM,58.647,,
59,03/22/20 08:00:00 PM,52.225,,
60,03/22/20 09:00:00 PM,50.466,,
61,03/22/20 10:00:00 PM,50.290,,
62,03/22/20 11:00:00 PM,51.699,,
63,03/23/20 12:00:00 AM,51.346,,
64,03/23/20 01:00:00 AM,51.172,,
65,03/23/20 02:00:00 AM,50.466,,
66,03/23/20 03:00:00 AM,51.172,,
67,03/23/20 04:00:00 AM,48.517,,
68,03/23/20 05:00:00 AM,48.871,,
69,03/23/20 06:00:00 AM,48.871,,
70,03/23/20 07:00:00 AM,50.290,,
71,03/23/20 08:00:00 AM,49.050,,
72,03/23/20 09:00:00 AM,53.100,,
73,03/23/20 10:00:00 AM,53.973,,
74,03/23/20 11:00:00 AM,55.711,,
75,03/23/20 12:00:00 PM,59.164,,
76,03/23/20 01:00:00 PM,59.337,,
77,03/23/20 02:00:00 PM,59.337,,
78,03/23/20 03:00:00 PM,61.912,,
79,03/23/20 04:00:00 PM,53.798,,
80,03/23/20 05:00:00 PM,52.050,,
81,03/23/20 06:00:00 PM,52.050,,
82,03/23/20 07:00:00 PM,50.290,,
83,03/23/20 08:00:00 PM,48.160,,
84,03/23/20 09:00:00 PM,46.728,,
85,03/23/20 10:00:00 PM,46.908,,
86,03/23/20 11:00:00 PM,47.802,,
87,03/24/20 12:00:00 AM,47.446,,
88,03/24/20 01:00:00 AM,47.624,,
89,03/24/20 02:00:00 AM,48.339,,
90,03/24/20 03:00:00 AM,47.088,,
91,03/24/20 03:12:36 AM,,0.07,
92,03/24/20 04:00:00 AM,45.286,,
93,03/24/20 05:00:00 AM,45.466,,
94,03/24/20 06:00:00 AM,43.831,,
95,03/24/20 07:00:00 AM,44.742,,
96,03/24/20 08:00:00 AM,47.088,,
97,03/24/20 09:00:00 AM,51.874,,
98,03/24/20 10:00:00 AM,57.614,,
99,03/24/20 11:00:00 AM,59.337,,
100,03/24/20 12:00:00 PM,52.925,,
101,03/24/20 12:03:07 PM,,0.08,
102,03/24/20 01:00:00 PM,54.842,,
103,03/24/20 01:58:40 PM,,0.09,
104,03/24/20 02:00:00 PM,50.819,,
105,03/24/20 02:06:44 PM,,0.10,
106,03/24/20 02:10:15 PM,,0.11,
107,03/24/20 02:44:03 PM,,0.12,
108,03/24/20 03:00:00 PM,51.874,,
109,03/24/20 03:09:45 PM,,0.13,
110,03/24/20 03:24:59 PM,,0.14,
111,03/24/20 03:29:26 PM,,0.15,
112,03/24/20 03:36:57 PM,,0.16,
113,03/24/20 03:43:26 PM,,0.17,
114,03/24/20 04:00:00 PM,50.290,,
115,03/24/20 04:00:43 PM,,0.18,
116,03/24/20 05:00:00 PM,51.699,,
117,03/24/20 06:00:00 PM,53.100,,
118,03/24/20 06:38:01 PM,,0.19,
119,03/24/20 06:41:19 PM,,0.20,
120,03/24/20 06:49:14 PM,,0.21,
121,03/24/20 07:00:00 PM,50.819,,
122,03/24/20 08:00:00 PM,44.742,,
123,03/24/20 09:00:00 PM,44.560,,
124,03/24/20 10:00:00 PM,43.648,,
125,03/24/20 11:00:00 PM,43.466,,
126,03/25/20 12:00:00 AM,44.560,,
127,03/25/20 01:00:00 AM,44.742,,
128,03/25/20 02:00:00 AM,42.732,,
129,03/25/20 03:00:00 AM,43.648,,
130,03/25/20 03:23:06 AM,,0.22,
131,03/25/20 04:00:00 AM,43.466,,
132,03/25/20 04:04:43 AM,,0.23,
133,03/25/20 04:23:10 AM,,0.24,
134,03/25/20 04:32:16 AM,,0.25,
135,03/25/20 05:00:00 AM,42.363,,
136,03/25/20 05:47:59 AM,,0.26,
137,03/25/20 05:57:39 AM,,0.27,
138,03/25/20 06:00:00 AM,42.363,,
139,03/25/20 07:00:00 AM,40.134,,
140,03/25/20 08:00:00 AM,41.439,,
141,03/25/20 09:00:00 AM,48.160,,
142,03/25/20 10:00:00 AM,64.825,,
143,03/25/20 11:00:00 AM,57.958,,
144,03/25/20 12:00:00 PM,63.455,,
