"Plot Title: LQC"
"#","Date Time, GMT-08:00","Temp, °F (LGR S/N: 20309222, SEN S/N: 20309222)","Event, units (LGR S/N: 20309222, SEN S/N: 20309222)","Bad Battery (LGR S/N: 20309222)","Good Battery (LGR S/N: 20309222)","End Of File (LGR S/N: 20309222)"
1,12/30/19 09:30:00 AM,54.495,0.00,,,
2,12/30/19 09:45:00 AM,50.819,,,,
3,12/30/19 10:00:00 AM,52.225,,,,
4,12/30/19 10:15:00 AM,55.884,,,,
5,12/30/19 10:30:00 AM,61.398,,,,
6,12/30/19 10:45:00 AM,65.167,,Logged,,
7,12/30/19 11:00:00 AM,67.906,,,,
8,12/30/19 11:15:00 AM,68.592,,,,
9,12/30/19 11:30:00 AM,69.278,,,,
10,12/30/19 11:45:00 AM,70.651,,,,
11,12/30/19 12:00:00 PM,71.683,,,,
12,12/30/19 12:15:00 PM,70.651,,,,
13,12/30/19 12:30:00 PM,70.651,,,,
14,12/30/19 12:45:00 PM,70.137,,,,
15,12/30/19 01:00:00 PM,70.308,,,,
16,12/30/19 01:15:00 PM,71.339,,,,
17,12/30/19 01:30:00 PM,72.028,,,,
18,12/30/19 01:45:00 PM,72.372,,,,
19,12/30/19 02:00:00 PM,73.234,,,,
20,12/30/19 02:15:00 PM,72.372,,,,
21,12/30/19 02:30:00 PM,70.480,,,,
22,12/30/19 02:45:00 PM,69.622,,,,
23,12/30/19 03:00:00 PM,69.107,,,,
24,12/30/19 03:15:00 PM,67.735,,,,
25,12/30/19 03:30:00 PM,66.537,,,,
26,12/30/19 03:45:00 PM,65.167,,,,
27,12/30/19 04:00:00 PM,63.797,,,,
28,12/30/19 04:15:00 PM,62.425,,,,
29,12/30/19 04:30:00 PM,59.851,,,,
30,12/30/19 04:45:00 PM,57.268,,,,
31,12/30/19 05:00:00 PM,55.364,,,,
32,12/30/19 05:15:00 PM,53.274,,,,
33,12/30/19 05:30:00 PM,51.346,,,,
34,12/30/19 05:45:00 PM,49.759,,,,
35,12/30/19 06:00:00 PM,48.695,,,Logged,
36,12/30/19 06:15:00 PM,47.624,,,,
37,12/30/19 06:30:00 PM,46.908,,,,
38,12/30/19 06:45:00 PM,46.369,,,,
39,12/30/19 07:00:00 PM,46.008,,,,
40,12/30/19 07:15:00 PM,45.286,,,,
41,12/30/19 07:30:00 PM,44.742,,,,
42,12/30/19 07:45:00 PM,44.195,,,,
43,12/30/19 08:00:00 PM,43.648,,,,
44,12/30/19 08:15:00 PM,43.099,,,,
45,12/30/19 08:30:00 PM,42.732,,,,
46,12/30/19 08:45:00 PM,42.548,,,,
47,12/30/19 09:00:00 PM,42.179,,,,
48,12/30/19 09:15:00 PM,42.179,,,,
49,12/30/19 09:30:00 PM,41.994,,,,
50,12/30/19 09:45:00 PM,41.625,,,,
51,12/30/19 10:00:00 PM,41.439,,,,
52,12/30/19 10:15:00 PM,40.881,,,,
53,12/30/19 10:30:00 PM,41.067,,,,
54,12/30/19 10:45:00 PM,40.881,,,,
55,12/30/19 11:00:00 PM,40.696,,,,
56,12/30/19 11:15:00 PM,40.321,,,,
57,12/30/19 11:30:00 PM,39.947,,,,
58,12/30/19 11:45:00 PM,39.760,,,,
59,12/31/19 12:00:00 AM,39.573,,,,
60,12/31/19 12:15:00 AM,39.384,,,,
61,12/31/19 12:30:00 AM,39.384,,,,
62,12/31/19 12:45:00 AM,39.196,,,,
