"Plot Title: LQC"
"#","Date Time, GMT-08:00","Temp, °F (LGR S/N: 20309222, SEN S/N: 20309222)","Event, units (LGR S/N: 20309222, SEN S/N: 20309222)","End Of File (LGR S/N: 20309222)"
1,01/15/20 08:45:00 AM,44.922,0.00,
2,01/15/20 09:00:00 AM,42.548,,
3,01/15/20 09:15:00 AM,42.548,,
4,01/15/20 09:30:00 AM,43.466,,
5,01/15/20 09:45:00 AM,44.560,,
6,01/15/20 10:00:00 AM,46.728,,
7,01/15/20 10:15:00 AM,50.466,,
8,01/15/20 10:30:00 AM,53.973,,
9,01/15/20 10:45:00 AM,55.884,,
10,01/15/20 11:00:00 AM,54.322,,
11,01/15/20 11:15:00 AM,53.274,,
12,01/15/20 11:30:00 AM,52.925,,
13,01/15/20 11:45:00 AM,53.973,,
14,01/15/20 12:00:00 PM,55.189,,
15,01/15/20 12:15:00 PM,55.884,,
16,01/15/20 12:30:00 PM,57.441,,
17,01/15/20 12:45:00 PM,57.268,,
18,01/15/20 01:00:00 PM,57.614,,
19,01/15/20 01:15:00 PM,57.441,,
20,01/15/20 01:30:00 PM,57.441,,
21,01/15/20 01:45:00 PM,57.614,,
22,01/15/20 02:00:00 PM,56.923,,
23,01/15/20 02:15:00 PM,55.884,,
24,01/15/20 02:30:00 PM,56.404,,
25,01/15/20 02:45:00 PM,56.577,,
26,01/15/20 03:00:00 PM,55.884,,
27,01/15/20 03:15:00 PM,55.364,,
28,01/15/20 03:30:00 PM,54.842,,
29,01/15/20 03:45:00 PM,54.147,,
30,01/15/20 04:00:00 PM,53.274,,
31,01/15/20 04:15:00 PM,52.225,,
32,01/15/20 04:30:00 PM,51.346,,
33,01/15/20 04:45:00 PM,50.290,,
34,01/15/20 05:00:00 PM,49.050,,
35,01/15/20 05:15:00 PM,47.266,,
36,01/15/20 05:30:00 PM,45.466,,
37,01/15/20 05:45:00 PM,44.195,,
38,01/15/20 06:00:00 PM,43.099,,
39,01/15/20 06:15:00 PM,42.548,,
40,01/15/20 06:30:00 PM,41.810,,
41,01/15/20 06:45:00 PM,41.254,,
42,01/15/20 07:00:00 PM,41.254,,
43,01/15/20 07:15:00 PM,41.439,,
44,01/15/20 07:30:00 PM,41.625,,
45,01/15/20 07:45:00 PM,41.625,,
46,01/15/20 08:00:00 PM,41.439,,
47,01/15/20 08:15:00 PM,41.254,,
48,01/15/20 08:30:00 PM,40.881,,
49,01/15/20 08:45:00 PM,40.509,,
50,01/15/20 09:00:00 PM,40.321,,
51,01/15/20 09:15:00 PM,40.509,,
52,01/15/20 09:30:00 PM,41.067,,
53,01/15/20 09:45:00 PM,41.254,,
54,01/15/20 10:00:00 PM,41.067,,
55,01/15/20 10:15:00 PM,41.067,,
56,01/15/20 10:30:00 PM,41.439,,
57,01/15/20 10:45:00 PM,41.810,,
58,01/15/20 11:00:00 PM,42.179,,
59,01/15/20 11:15:00 PM,43.099,,
60,01/15/20 11:30:00 PM,45.648,,
61,01/15/20 11:45:00 PM,47.266,,
62,01/16/20 12:00:00 AM,48.339,,
63,01/16/20 12:15:00 AM,48.871,,
64,01/16/20 12:30:00 AM,49.228,,
65,01/16/20 12:45:00 AM,49.759,,
66,01/16/20 01:00:00 AM,50.290,,
67,01/16/20 01:15:00 AM,50.819,,
68,01/16/20 01:30:00 AM,51.172,,
69,01/16/20 01:45:00 AM,51.346,,
70,01/16/20 02:00:00 AM,51.523,,
71,01/16/20 02:15:00 AM,51.699,,
72,01/16/20 02:30:00 AM,51.699,,
73,01/16/20 02:45:00 AM,51.523,,
74,01/16/20 03:00:00 AM,51.346,,
75,01/16/20 03:15:00 AM,51.523,,
76,01/16/20 03:30:00 AM,51.699,,
77,01/16/20 03:45:00 AM,51.874,,
78,01/16/20 04:00:00 AM,51.874,,
79,01/16/20 04:15:00 AM,51.874,,
80,01/16/20 04:30:00 AM,51.172,,
81,01/16/20 04:45:00 AM,50.995,,
82,01/16/20 05:00:00 AM,50.643,,
83,01/16/20 05:15:00 AM,50.819,,
84,01/16/20 05:30:00 AM,51.523,,
85,01/16/20 05:45:00 AM,52.050,,
86,01/16/20 06:00:00 AM,52.401,,
87,01/16/20 06:15:00 AM,52.401,,
88,01/16/20 06:30:00 AM,51.699,,
89,01/16/20 06:45:00 AM,52.050,,
90,01/16/20 07:00:00 AM,51.523,,
91,01/16/20 07:15:00 AM,50.819,,
92,01/16/20 07:30:00 AM,50.995,,
93,01/16/20 07:45:00 AM,50.643,,
94,01/16/20 08:00:00 AM,50.819,,
95,01/16/20 08:15:00 AM,51.346,,
96,01/16/20 08:30:00 AM,51.346,,
97,01/16/20 08:45:00 AM,50.819,,
98,01/16/20 09:00:00 AM,50.466,,
99,01/16/20 09:11:59 AM,,0.01,
100,01/16/20 09:12:26 AM,,0.02,
101,01/16/20 09:13:04 AM,,0.03,
102,01/16/20 09:13:29 AM,,0.04,
103,01/16/20 09:13:51 AM,,0.05,
104,01/16/20 09:14:31 AM,,0.06,
105,01/16/20 09:15:00 AM,49.937,,
106,01/16/20 09:15:09 AM,,0.07,
107,01/16/20 09:16:32 AM,,0.08,
108,01/16/20 09:18:42 AM,,0.09,
109,01/16/20 09:20:56 AM,,0.10,
110,01/16/20 09:22:44 AM,,0.11,
111,01/16/20 09:24:15 AM,,0.12,
112,01/16/20 09:25:59 AM,,0.13,
113,01/16/20 09:27:33 AM,,0.14,
114,01/16/20 09:28:50 AM,,0.15,
115,01/16/20 09:30:00 AM,47.446,,
116,01/16/20 09:30:05 AM,,0.16,
117,01/16/20 09:31:23 AM,,0.17,
118,01/16/20 09:32:22 AM,,0.18,
119,01/16/20 09:33:57 AM,,0.19,
120,01/16/20 09:37:48 AM,,0.20,
121,01/16/20 09:44:08 AM,,0.21,
122,01/16/20 09:45:00 AM,46.908,,
123,01/16/20 09:49:09 AM,,0.22,
124,01/16/20 09:52:22 AM,,0.23,
125,01/16/20 09:55:58 AM,,0.24,
126,01/16/20 09:58:56 AM,,0.25,
127,01/16/20 10:00:00 AM,46.548,,
128,01/16/20 10:01:02 AM,,0.26,
129,01/16/20 10:03:33 AM,,0.27,
130,01/16/20 10:05:59 AM,,0.28,
131,01/16/20 10:09:09 AM,,0.29,
132,01/16/20 10:12:09 AM,,0.30,
133,01/16/20 10:15:00 AM,46.728,,
134,01/16/20 10:17:17 AM,,0.31,
135,01/16/20 10:20:33 AM,,0.32,
136,01/16/20 10:23:41 AM,,0.33,
137,01/16/20 10:26:49 AM,,0.34,
138,01/16/20 10:30:00 AM,46.908,,
139,01/16/20 10:30:11 AM,,0.35,
140,01/16/20 10:32:36 AM,,0.36,
141,01/16/20 10:34:18 AM,,0.37,
142,01/16/20 10:36:24 AM,,0.38,
143,01/16/20 10:38:51 AM,,0.39,
144,01/16/20 10:40:53 AM,,0.40,
145,01/16/20 10:43:27 AM,,0.41,
146,01/16/20 10:45:00 AM,46.548,,
147,01/16/20 10:46:05 AM,,0.42,
148,01/16/20 10:49:06 AM,,0.43,
149,01/16/20 10:54:41 AM,,0.44,
150,01/16/20 10:59:46 AM,,0.45,
151,01/16/20 11:00:00 AM,46.188,,
152,01/16/20 11:03:59 AM,,0.46,
153,01/16/20 11:07:54 AM,,0.47,
154,01/16/20 11:11:13 AM,,0.48,
155,01/16/20 11:14:05 AM,,0.49,
156,01/16/20 11:15:00 AM,45.466,,
157,01/16/20 11:16:51 AM,,0.50,
158,01/16/20 11:19:11 AM,,0.51,
159,01/16/20 11:23:05 AM,,0.52,
160,01/16/20 11:28:02 AM,,0.53,
161,01/16/20 11:30:00 AM,45.286,,
162,01/16/20 11:31:39 AM,,0.54,
163,01/16/20 11:35:29 AM,,0.55,
