"Plot Title: LQC"
"#","Date Time, GMT-08:00","Temp, °F (LGR S/N: 20309222, SEN S/N: 20309222)","Event, units (LGR S/N: 20309222, SEN S/N: 20309222)","Coupler Attached (LGR S/N: 20309222)","Host Connected (LGR S/N: 20309222)","End Of File (LGR S/N: 20309222)"
1,01/23/20 09:45:00 AM,62.083,0.00,,,
2,01/23/20 10:00:00 AM,59.164,,,,
3,01/23/20 10:15:00 AM,59.337,,,,
4,01/23/20 10:30:00 AM,62.254,,,,
5,01/23/20 10:45:00 AM,64.996,,,,
6,01/23/20 11:00:00 AM,68.248,,,,
7,01/23/20 11:15:00 AM,68.421,,,,
8,01/23/20 11:30:00 AM,69.622,,,,
9,01/23/20 11:45:00 AM,71.339,,,,
10,01/23/20 12:00:00 PM,69.107,,,,
11,01/23/20 12:15:00 PM,67.221,,,,
12,01/23/20 12:30:00 PM,64.139,,,,
13,01/23/20 12:45:00 PM,64.996,,,,
14,01/23/20 01:00:00 PM,62.769,,,,
15,01/23/20 01:15:00 PM,61.912,,,,
16,01/23/20 01:30:00 PM,61.912,,,,
17,01/23/20 01:45:00 PM,61.227,,,,
18,01/23/20 02:00:00 PM,60.883,,,,
19,01/23/20 02:15:00 PM,60.368,,,,
20,01/23/20 02:30:00 PM,59.851,,,,
21,01/23/20 02:45:00 PM,59.337,,,,
22,01/23/20 03:00:00 PM,58.820,,,,
23,01/23/20 03:15:00 PM,58.303,,,,
24,01/23/20 03:30:00 PM,57.614,,,,
25,01/23/20 03:45:00 PM,56.923,,,,
26,01/23/20 04:00:00 PM,56.750,,,,
27,01/23/20 04:15:00 PM,56.923,,,,
28,01/23/20 04:30:00 PM,57.441,,,,
29,01/23/20 04:45:00 PM,57.785,,,,
30,01/23/20 05:00:00 PM,56.923,,,,
31,01/23/20 05:15:00 PM,55.711,,,,
32,01/23/20 05:30:00 PM,54.842,,,,
33,01/23/20 05:45:00 PM,54.322,,,,
34,01/23/20 06:00:00 PM,53.973,,,,
35,01/23/20 06:15:00 PM,53.449,,,,
36,01/23/20 06:30:00 PM,52.925,,,,
37,01/23/20 06:45:00 PM,52.576,,,,
38,01/23/20 07:00:00 PM,52.225,,,,
39,01/23/20 07:15:00 PM,52.401,,,,
40,01/23/20 07:30:00 PM,52.576,,,,
41,01/23/20 07:45:00 PM,52.925,,,,
42,01/23/20 08:00:00 PM,52.750,,,,
43,01/23/20 08:15:00 PM,51.874,,,,
44,01/23/20 08:30:00 PM,51.346,,,,
45,01/23/20 08:45:00 PM,50.995,,,,
46,01/23/20 09:00:00 PM,50.466,,,,
47,01/23/20 09:15:00 PM,50.819,,,,
48,01/23/20 09:30:00 PM,50.643,,,,
49,01/23/20 09:45:00 PM,50.466,,,,
50,01/23/20 10:00:00 PM,49.937,,,,
51,01/23/20 10:15:00 PM,49.759,,,,
52,01/23/20 10:30:00 PM,49.937,,,,
53,01/23/20 10:45:00 PM,49.404,,,,
54,01/23/20 11:00:00 PM,49.050,,,,
55,01/23/20 11:15:00 PM,48.517,,,,
56,01/23/20 11:30:00 PM,48.339,,,,
