"Plot Title: Landing23"
"#","Date Time, GMT-07:00","Temp, °F (LGR S/N: 20309223, SEN S/N: 20309223)","Event, units (LGR S/N: 20309223, SEN S/N: 20309223)","Coupler Attached (LGR S/N: 20309223)","Host Connected (LGR S/N: 20309223)","End Of File (LGR S/N: 20309223)"
1,03/20/20 01:00:00 PM,69.793,0.00,,,
2,03/20/20 02:00:00 PM,70.480,,,,
3,03/20/20 03:00:00 PM,69.793,,,,
4,03/20/20 04:00:00 PM,64.481,,,,
5,03/20/20 05:00:00 PM,60.883,,,,
6,03/20/20 06:00:00 PM,58.303,,,,
7,03/20/20 07:00:00 PM,54.842,,,,
8,03/20/20 08:00:00 PM,48.871,,,,
9,03/20/20 09:00:00 PM,46.188,,,,
10,03/20/20 10:00:00 PM,45.466,,,,
11,03/20/20 11:00:00 PM,45.828,,,,
12,03/21/20 12:00:00 AM,46.188,,,,
13,03/21/20 01:00:00 AM,45.828,,,,
14,03/21/20 02:00:00 AM,46.008,,,,
15,03/21/20 03:00:00 AM,45.104,,,,
16,03/21/20 04:00:00 AM,46.008,,,,
17,03/21/20 05:00:00 AM,47.446,,,,
18,03/21/20 06:00:00 AM,47.266,,,,
19,03/21/20 06:13:27 AM,,0.01,,,
20,03/21/20 07:00:00 AM,47.266,,,,
21,03/21/20 07:14:48 AM,,0.02,,,
22,03/21/20 08:00:00 AM,47.446,,,,
23,03/21/20 08:18:44 AM,,0.03,,,
24,03/21/20 09:00:00 AM,49.582,,,,
25,03/21/20 10:00:00 AM,52.576,,,,
26,03/21/20 10:08:52 AM,,0.04,,,
27,03/21/20 11:00:00 AM,56.923,,,,
28,03/21/20 12:00:00 PM,56.404,,,,
29,03/21/20 01:00:00 PM,58.476,,,,
30,03/21/20 02:00:00 PM,59.164,,,,
31,03/21/20 03:00:00 PM,65.509,,,,
32,03/21/20 04:00:00 PM,64.139,,,,
33,03/21/20 05:00:00 PM,62.083,,,,
34,03/21/20 06:00:00 PM,60.024,,,,
35,03/21/20 07:00:00 PM,57.785,,,,
36,03/21/20 08:00:00 PM,52.401,,,,
37,03/21/20 09:00:00 PM,49.404,,,,
38,03/21/20 10:00:00 PM,49.050,,,,
39,03/21/20 11:00:00 PM,47.624,,,,
40,03/22/20 12:00:00 AM,47.982,,,,
41,03/22/20 01:00:00 AM,48.517,,,,
42,03/22/20 02:00:00 AM,48.871,,,,
43,03/22/20 03:00:00 AM,48.160,,,,
44,03/22/20 04:00:00 AM,48.339,,,,
45,03/22/20 05:00:00 AM,48.695,,,,
46,03/22/20 06:00:00 AM,49.228,,,,
47,03/22/20 07:00:00 AM,48.339,,,,
48,03/22/20 08:00:00 AM,49.759,,,,
49,03/22/20 09:00:00 AM,53.274,,,,
50,03/22/20 10:00:00 AM,55.537,,,,
51,03/22/20 10:38:26 AM,,0.05,,,
52,03/22/20 11:00:00 AM,60.712,,,,
53,03/22/20 12:00:00 PM,66.193,,,,
54,03/22/20 01:00:00 PM,71.339,,,,
55,03/22/20 02:00:00 PM,65.167,,,,
56,03/22/20 03:00:00 PM,60.195,,,,
57,03/22/20 04:00:00 PM,63.111,,,,
58,03/22/20 05:00:00 PM,61.398,,,,
59,03/22/20 06:00:00 PM,61.227,,,,
60,03/22/20 07:00:00 PM,58.820,,,,
61,03/22/20 08:00:00 PM,53.798,,,,
62,03/22/20 09:00:00 PM,50.466,,,,
63,03/22/20 10:00:00 PM,49.759,,,,
64,03/22/20 11:00:00 PM,51.523,,,,
65,03/23/20 12:00:00 AM,51.523,,,,
66,03/23/20 01:00:00 AM,51.346,,,,
67,03/23/20 02:00:00 AM,50.466,,,,
68,03/23/20 03:00:00 AM,50.466,,,,
69,03/23/20 04:00:00 AM,50.113,,,,
70,03/23/20 05:00:00 AM,49.228,,,,
71,03/23/20 06:00:00 AM,48.695,,,,
72,03/23/20 07:00:00 AM,49.404,,,,
73,03/23/20 08:00:00 AM,49.937,,,,
74,03/23/20 09:00:00 AM,52.925,,,,
75,03/23/20 10:00:00 AM,53.274,,,,
76,03/23/20 11:00:00 AM,54.842,,,,
77,03/23/20 12:00:00 PM,57.096,,,,
78,03/23/20 01:00:00 PM,62.254,,,,
79,03/23/20 02:00:00 PM,59.508,,,,
80,03/23/20 03:00:00 PM,60.712,,,,
81,03/23/20 04:00:00 PM,55.711,,,,
82,03/23/20 05:00:00 PM,53.449,,,,
83,03/23/20 06:00:00 PM,53.274,,,,
84,03/23/20 07:00:00 PM,51.523,,,,
85,03/23/20 08:00:00 PM,49.404,,,,
86,03/23/20 09:00:00 PM,47.982,,,,
87,03/23/20 10:00:00 PM,47.266,,,,
88,03/23/20 11:00:00 PM,47.446,,,,
89,03/24/20 12:00:00 AM,47.446,,,,
90,03/24/20 01:00:00 AM,47.446,,,,
91,03/24/20 02:00:00 AM,47.446,,,,
92,03/24/20 02:29:46 AM,,0.06,,,
93,03/24/20 02:46:04 AM,,0.07,,,
94,03/24/20 03:00:00 AM,47.446,,,,
95,03/24/20 03:05:54 AM,,0.08,,,
96,03/24/20 03:22:18 AM,,0.09,,,
97,03/24/20 04:00:00 AM,46.908,,,,
98,03/24/20 05:00:00 AM,46.008,,,,
99,03/24/20 06:00:00 AM,44.742,,,,
100,03/24/20 07:00:00 AM,43.466,,,,
101,03/24/20 08:00:00 AM,45.286,,,,
102,03/24/20 09:00:00 AM,49.050,,,,
103,03/24/20 10:00:00 AM,53.449,,,,
104,03/24/20 11:00:00 AM,55.884,,,,
105,03/24/20 12:00:00 PM,54.495,,,,
106,03/24/20 12:07:20 PM,,0.10,,,
107,03/24/20 01:00:00 PM,55.364,,,,
108,03/24/20 01:10:38 PM,,0.11,,,
109,03/24/20 02:00:00 PM,52.925,,,,
110,03/24/20 02:03:16 PM,,0.12,,,
111,03/24/20 02:13:17 PM,,0.13,,,
112,03/24/20 02:24:03 PM,,0.14,,,
113,03/24/20 02:31:22 PM,,0.15,,,
114,03/24/20 02:45:04 PM,,0.16,,,
115,03/24/20 02:55:09 PM,,0.17,,,
116,03/24/20 03:00:00 PM,54.669,,,,
117,03/24/20 03:13:26 PM,,0.18,,,
118,03/24/20 03:28:09 PM,,0.19,,,
119,03/24/20 03:53:48 PM,,0.20,,,
120,03/24/20 04:00:00 PM,52.401,,,,
121,03/24/20 04:12:04 PM,,0.21,,,
122,03/24/20 04:42:44 PM,,0.22,,,
123,03/24/20 05:00:00 PM,52.750,,,,
124,03/24/20 05:05:25 PM,,0.23,,,
125,03/24/20 05:46:16 PM,,0.24,,,
126,03/24/20 06:00:00 PM,52.225,,,,
127,03/24/20 06:18:04 PM,,0.25,,,
128,03/24/20 07:00:00 PM,49.937,,,,
129,03/24/20 07:12:16 PM,,0.26,,,
130,03/24/20 07:51:17 PM,,0.27,,,
131,03/24/20 08:00:00 PM,46.908,,,,
132,03/24/20 09:00:00 PM,46.008,,,,
133,03/24/20 09:00:35 PM,,0.28,,,
134,03/24/20 09:53:18 PM,,0.29,,,
135,03/24/20 10:00:00 PM,45.104,,,,
136,03/24/20 11:00:00 PM,44.379,,,,
137,03/24/20 11:29:29 PM,,0.30,,,
138,03/25/20 12:00:00 AM,44.195,,,,
139,03/25/20 12:43:17 AM,,0.31,,,
140,03/25/20 01:00:00 AM,44.742,,,,
141,03/25/20 02:00:00 AM,43.648,,,,
142,03/25/20 03:00:00 AM,43.831,,,,
143,03/25/20 03:17:52 AM,,0.32,,,
144,03/25/20 04:00:00 AM,43.648,,,,
145,03/25/20 05:00:00 AM,43.466,,,,
146,03/25/20 05:35:28 AM,,0.33,,,
147,03/25/20 06:00:00 AM,43.099,,,,
148,03/25/20 07:00:00 AM,41.439,,,,
149,03/25/20 08:00:00 AM,41.067,,,,
150,03/25/20 09:00:00 AM,44.195,,,,
151,03/25/20 10:00:00 AM,46.548,,,,
152,03/25/20 11:00:00 AM,52.401,,,,
153,03/25/20 11:47:43 AM,,0.34,,,
154,03/25/20 12:00:00 PM,52.750,,,,
155,03/25/20 01:00:00 PM,60.368,,,,
156,03/25/20 02:00:00 PM,69.622,,,,
157,03/25/20 03:00:00 PM,71.856,,,,
158,03/25/20 04:00:00 PM,59.337,,,,
159,03/25/20 05:00:00 PM,58.303,,,,
160,03/25/20 06:00:00 PM,54.322,,,,
161,03/25/20 07:00:00 PM,47.802,,,,
162,03/25/20 08:00:00 PM,44.013,,,,
163,03/25/20 09:00:00 PM,42.179,,,,
164,03/25/20 10:00:00 PM,41.067,,,,
165,03/25/20 11:00:00 PM,40.134,,,,
166,03/26/20 12:00:00 AM,39.760,,,,
167,03/26/20 01:00:00 AM,40.881,,,,
168,03/26/20 02:00:00 AM,40.881,,,,
169,03/26/20 03:00:00 AM,40.321,,,,
170,03/26/20 04:00:00 AM,40.509,,,,
171,03/26/20 04:54:15 AM,,0.35,,,
172,03/26/20 05:00:00 AM,40.509,,,,
173,03/26/20 06:00:00 AM,39.947,,,,
174,03/26/20 07:00:00 AM,39.007,,,,
175,03/26/20 08:00:00 AM,38.818,,,,
176,03/26/20 09:00:00 AM,41.254,,,,
177,03/26/20 10:00:00 AM,47.624,,,,
178,03/26/20 11:00:00 AM,51.172,,,,
179,03/26/20 12:00:00 PM,53.798,,,,
180,03/26/20 01:00:00 PM,65.167,,,,
181,03/26/20 02:00:00 PM,52.925,,,,
182,03/26/20 03:00:00 PM,67.735,,,,
183,03/26/20 04:00:00 PM,54.495,,,,
184,03/26/20 05:00:00 PM,49.228,,,,
185,03/26/20 06:00:00 PM,49.404,,,,
186,03/26/20 07:00:00 PM,48.160,,,,
187,03/26/20 08:00:00 PM,44.379,,,,
188,03/26/20 09:00:00 PM,42.732,,,,
189,03/26/20 10:00:00 PM,41.625,,,,
190,03/26/20 11:00:00 PM,41.254,,,,
191,03/27/20 12:00:00 AM,41.067,,,,
192,03/27/20 01:00:00 AM,41.439,,,,
193,03/27/20 02:00:00 AM,41.810,,,,
194,03/27/20 03:00:00 AM,41.994,,,,
195,03/27/20 04:00:00 AM,41.810,,,,
196,03/27/20 05:00:00 AM,41.625,,,,
197,03/27/20 06:00:00 AM,41.994,,,,
198,03/27/20 07:00:00 AM,41.810,,,,
199,03/27/20 08:00:00 AM,41.810,,,,
200,03/27/20 09:00:00 AM,44.742,,,,
201,03/27/20 10:00:00 AM,49.937,,,,
202,03/27/20 11:00:00 AM,53.623,,,,
203,03/27/20 12:00:00 PM,57.785,,,,
204,03/27/20 01:00:00 PM,61.054,,,,
205,03/27/20 02:00:00 PM,63.111,,,,
206,03/27/20 03:00:00 PM,60.024,,,,
207,03/27/20 04:00:00 PM,61.054,,,,
208,03/27/20 05:00:00 PM,56.404,,,,
209,03/27/20 06:00:00 PM,56.057,,,,
210,03/27/20 07:00:00 PM,51.346,,,,
211,03/27/20 08:00:00 PM,48.517,,,,
212,03/27/20 09:00:00 PM,46.008,,,,
213,03/27/20 10:00:00 PM,46.188,,,,
214,03/27/20 11:00:00 PM,46.728,,,,
215,03/28/20 12:00:00 AM,46.188,,,,
216,03/28/20 01:00:00 AM,44.922,,,,
217,03/28/20 02:00:00 AM,45.286,,,,
218,03/28/20 03:00:00 AM,46.369,,,,
219,03/28/20 03:36:58 AM,,0.36,,,
220,03/28/20 04:00:00 AM,46.728,,,,
