"Plot Title: Waterlab"
"#","Date Time, GMT-07:00","Temp, °F (LGR S/N: 20309220, SEN S/N: 20309220)","Event, units (LGR S/N: 20309220, SEN S/N: 20309220)","Coupler Attached (LGR S/N: 20309220)","Coupler Detached (LGR S/N: 20309220)","Host Connected (LGR S/N: 20309220)","End Of File (LGR S/N: 20309220)"
1,05/23/19 10:00:00 AM,58.993,0.00,,,,
2,05/23/19 11:00:00 AM,64.139,,,,,
3,05/23/19 12:00:00 PM,66.022,,,,,
4,05/23/19 01:00:00 PM,64.481,,,,,
5,05/23/19 02:00:00 PM,63.968,,,,,
6,05/23/19 03:00:00 PM,65.680,,,,,
7,05/23/19 04:00:00 PM,63.626,,,,,
8,05/23/19 05:00:00 PM,60.195,,,,,
9,05/23/19 06:00:00 PM,58.303,,,,,
10,05/23/19 07:00:00 PM,57.268,,,,,
11,05/23/19 08:00:00 PM,56.230,,,,,
12,05/23/19 09:00:00 PM,55.364,,,,,
13,05/23/19 10:00:00 PM,54.842,,,,,
14,05/23/19 11:00:00 PM,54.495,,,,,
15,05/24/19 12:00:00 AM,54.322,,,,,
16,05/24/19 01:00:00 AM,54.147,,,,,
17,05/24/19 02:00:00 AM,53.973,,,,,
18,05/24/19 03:00:00 AM,53.973,,,,,
19,05/24/19 04:00:00 AM,53.973,,,,,
20,05/24/19 05:00:00 AM,53.798,,,,,
21,05/24/19 06:00:00 AM,53.274,,,,,
22,05/24/19 07:00:00 AM,50.995,,,,,
23,05/24/19 08:00:00 AM,57.614,,,,,
24,05/24/19 09:00:00 AM,62.940,,,,,
25,05/24/19 10:00:00 AM,66.708,,,,,
26,05/24/19 11:00:00 AM,71.856,,,,,
27,05/24/19 12:00:00 PM,76.354,,,,,
28,05/24/19 01:00:00 PM,77.225,,,,,
29,05/24/19 02:00:00 PM,72.199,,,,,
30,05/24/19 03:00:00 PM,68.421,,,,,
31,05/24/19 04:00:00 PM,67.735,,,,,
32,05/24/19 05:00:00 PM,61.054,,,,,
33,05/24/19 06:00:00 PM,60.195,,,,,
34,05/24/19 07:00:00 PM,58.303,,,,,
35,05/24/19 08:00:00 PM,54.842,,,,,
36,05/24/19 09:00:00 PM,52.401,,,,,
37,05/24/19 10:00:00 PM,50.290,,,,,
38,05/24/19 11:00:00 PM,48.517,,,,,
39,05/25/19 12:00:00 AM,49.404,,,,,
40,05/25/19 01:00:00 AM,50.995,,,,,
41,05/25/19 02:00:00 AM,51.699,,,,,
42,05/25/19 03:00:00 AM,52.576,,,,,
43,05/25/19 04:00:00 AM,52.576,,,,,
44,05/25/19 05:00:00 AM,52.750,,,,,
45,05/25/19 06:00:00 AM,52.576,,,,,
46,05/25/19 07:00:00 AM,53.274,,,,,
47,05/25/19 08:00:00 AM,56.750,,,,,
48,05/25/19 09:00:00 AM,61.741,,,,,
49,05/25/19 10:00:00 AM,64.139,,,,,
50,05/25/19 11:00:00 AM,69.622,,,,,
51,05/25/19 12:00:00 PM,69.449,,,,,
52,05/25/19 01:00:00 PM,69.622,,,,,
53,05/25/19 02:00:00 PM,71.339,,,,,
54,05/25/19 03:00:00 PM,66.537,,,,,
55,05/25/19 04:00:00 PM,66.022,,,,,
56,05/25/19 05:00:00 PM,62.425,,,,,
57,05/25/19 06:00:00 PM,59.508,,,,,
58,05/25/19 07:00:00 PM,57.096,,,,,
59,05/25/19 08:00:00 PM,55.189,,,,,
60,05/25/19 09:00:00 PM,54.322,,,,,
